"ABBREVIATE_CHART_LABELS";"Forkort diagrampunkter"
"requestaccount";"Bestil ny brugerkonto"
"requestpassword";"Bestil ny adgangskode"
"research_log";"Forskningslog"
"reset";"Fortryd"
"reset_default_blocks";"Genetabler standardblokke"
"resolution";"Skærmopløsning"
"return_editconfig_gedcom";"Du kan vende tilbage til denne indstilling på et senere tidspunkt ved at klikke <b>Rediger</b> i <b>#gm_lang[current_Gedcoms]#</b> tabellen på <b>#gm_lang[Gedcom_adm_head]#</b> siden eller på adressen </i>editconfig_Gedcom.php</i>.<br />"
"review_changes";"Vurder Gedcom ændringer"
"review_changes_block";"Foreliggende ændringer."
"review_changes_body";"Der er sket ændringer i slægtforskningsdatabasen. Disse skal vurderes og godkendes før de kan ses af alle brugere. Brug venligst denne URL for at komme til webstedet, login og godkend ændringer."
"review_changes_descr";"<i>Foreliggende ændringer</i> blokken vil give brugere med redigeringsrettigheder mulighed for at se, hvad der er blivet ændret siden sidst.<br /><br />Hvis denne blok er aktiveret vil brugere med godkendelsesrettigheder modtage en email 1 gang om dagen, med besked om at der er nye ændringer til godkendelse."
"review_changes_subject";"Genmod - Seneste ændringer"
"right_section";"Højresektionsblokke"
"root_person";"Proband ID:"
"rootid";"Anetræ proband"
"rss_descr";"Nyheder og link fra #Gedcom_TITLE# webstedet"
"rss_feeds";"RSS Feeds"
"rss_logo_descr";"Feed produceret af Genmod"
"rtl";"højre til venstre"
"run_report";"Se rapport"
"run_tools";"Vil du bruge et af disse redskaber på din Gedcom før den importeres:"
"same_ids";"De indtastede ID-numre er identiske. Du kan ikke sammenflette identiske poster."
"saturday";"lørdag"
"save";"Gem"
"save_and_import";"Når du har gemt denne Gedcom-indstilling skal du importere Gedcom-filen ved at klikke på <b>Importer Gedcom</b> knappen eller ved at gå til <b>Administration->Administrer Gedcom-filer->Importer Gedcom</b>"
"save_changed_settings";"Gem indstillinger"
"save_config";"Gem indstillinger"
"savedata";"Gem ændrede data"
"savelang";"Gem"
"sealing";"Besegling"
"search";"Søg"
"search_gedcom";"Søg i Gedcom-filer"
"search_general";"Generel søgning"
"search_place";"Sted"
"search_soundex";"Soundex-søgning"
"search_year";"År"
"sec";"sek."
"security_no_create";"Sikkerhedsadvarsel: Filen <b><i>index.php</i></b> findes ikke i"
"security_not_exist";"Sikkerhedsadvarsel: Kunne ikke oprette filen <b><i>index.php</i></b> i"
"select_an_option";"Vælg en af flg. valgmuligheder:"
"select_date";"Vælg en dato"
"select_fact";"Vælg et faktum"
"select_gedcom_records";"Vælg 2 Gedcom-poster til sammenfletning. Poster skal være af samme type."
"select_privacyfile_button";"Vælg fortrolighedsfil"
"select_report";"Vælg rapport"
"selected_report";"Valgte rapport"
"send";"Send"
"sending_to";"Denne besked bliver sendt til #TO_USER#"
"sep";"september"
"servant";"Tjener"
"server_url_note";"Dette skal være URLen til din Genmod folder. Du bør kun ændre denne indstilling hvis du er sikker på du ved hvad du gør. Genmod har beregnet URLen til<b>#GUESS_URL#</b>"
"set_link";"Lav link"
"sex";"Køn"
"show";"Vis"
"show_age";"Vis aldersmarkør"
"show_basic";"Medtag almindelige begivenheder hvis felterne er tomme?"
"show_changes";"Denne post er opdateret. Klik her for at se ændringer."
"show_cousins";"Vis fætre/kusiner"
"show_details";"Vis detaljer"
"show_notes";"Medtag noter ?"
"show_path";"Vis forbindelse"
"show_photos";"Medtag billeder ?"
"show_phpinfo";"Vis PHPInfo"
"show_place_hierarchy";"Vis stednavne niveaudelt"
"show_place_list";"Vis alle stednavne i listeform"
"show_question";"Vis?"
"show_spouses";"Vis ægtefæller"
"show_surnames";"Vis efternavnsliste"
"show_thumbnail";"Vis billedikoner"
"showcal";"Vis begivenheder for:"
"sibling";"Søskende"
"siblings";"Søskende"
"sister";"Søster"
"site_default";"Standard for dette websted"
"skip_cleanup";"Undlad oprydning"
"skip_surnames";"Drop efternavnsliste"
"slk_list";"EXCEL SLK fil"
"son";"Søn"
"sorry";"<b>Der er desværre ikke udarbejdet en hjælpetekst til denne side eller dette emne endnu</b>"
"sort_by";"Sorteret efter"
"sort_by_birth";"Sortering efter fødselsdato"
"sort_by_marriage";"Sorter efter bryllupsdato"
"sosa_10";"Oldefar (Farmors Far)"
"sosa_11";"Oldemor (Farmors Mor)"
"sosa_12";"Oldefar (Morfars Far)"
"sosa_13";"Oldemor (Morfars Mor)"
"sosa_14";"Oldefar (Mormors Far)"
"sosa_15";"Oldemor (Mormors Mor)"
"sosa_16";"Tipoldefar (Farfars Farfar)"
"sosa_17";"Tipoldemorr (Farfars Farmor)"
"sosa_18";"Tipoldefarr (Farfars Morfar)"
"sosa_19";"Tipoldemorr (Farfars Mormor)"
"sosa_2";"Far"
"sosa_20";"Tipoldefarr (Farmors Farfar)"
"sosa_21";"Tipoldemor (Farmors Farmor)"
"sosa_22";"Tipoldefar (Farmors Morfar)"
"sosa_23";"Tipoldemor (Farmors Mormor)"
"sosa_24";"Tipoldefar (Morfars Farfar)"
"sosa_25";"Tipoldemor (Morfars Farmor)"
"sosa_26";"Tipoldefar (Morfars Morfar)"
"sosa_27";"Tipoldemor (Morfars Mormor)"
"sosa_28";"Tipoldefar (Mormors Farfar)"
"sosa_29";"Tipoldemor (Mormors Farmor)"
"sosa_3";"Mor"
"sosa_30";"Tipoldefar (Mormors Morfar)"
"sosa_31";"Tipoldemor (Mormors Mormor)"
"sosa_32";"Tiptipoldefar"
"sosa_33";"Tiptipoldemor"
"sosa_34";"Tiptipoldefar"
"sosa_35";"Tiptipoldemor"
"sosa_36";"Tiptipoldefar"
"sosa_37";"Tiptipoldemor"
"sosa_38";"Tiptipoldefar"
"sosa_39";"Tiptipoldemor"
"sosa_4";"Bedstefar (Farfar)"
"sosa_40";"Tiptipoldefar"
"sosa_41";"Tiptipoldemor"
"sosa_42";"Tiptipoldefar"
"sosa_43";"Tiptipoldemor"
"sosa_44";"Tiptipoldefar"
"sosa_45";"Tiptipoldemor"
"sosa_46";"Tiptipoldefar"
"sosa_47";"Tiptipoldemor"
"sosa_48";"Tiptipoldefar"
"sosa_49";"Tiptipoldemor"
"sosa_5";"Bedstemor (Farmor)"
"sosa_50";"Tiptipoldefar"
"sosa_51";"Tiptipoldemor"
"sosa_52";"Tiptipoldefar"
"sosa_53";"Tiptipoldemor"
"sosa_54";"Tiptipoldefar"
"sosa_55";"Tiptipoldemor"
"sosa_56";"Tiptipoldefar"
"sosa_57";"Tiptipoldemor"
"sosa_58";"Tiptipoldefar"
"sosa_59";"Tiptipoldemor"
"sosa_6";"Bedstefar (Morfar)"
"sosa_60";"Tiptipoldefar"
"sosa_61";"Tiptipoldemor"
"sosa_62";"Tiptipoldefar"
"sosa_63";"Tiptipoldemor"
"sosa_7";"Bedstemor (Mormor)"
"sosa_8";"Oldefar (Farfars Far)"
"sosa_9";"Oldemor (Farfars Mor)"
"soundex_search";"Soundex navnesøgning:"
"source";"Kilde:"
"source_complete";"Opdatering af kildeindeksfil er færdig."
"source_downloaded_from";"Denne kilde blev downloaded fra:"
"source_info";"Kildeinformation"
"source_list";"Kildeliste"
"source_name";"Kildenavn:"
"sources";"Kilder"
"sources_found";"Kilder fundet"
"spouse";"Ægtefælle"
"spouse-family";"Ægtefælle og børn"
"ssourcess";"Kilder"
"standard_conf";"Standardindstillinger"
"start_at_parents";"Start med forældrepar"
"starts_with";"Begynder med:"
"stat_10_none";"ingen"
"stat_11_mb";"Fødselsmåned"
"stat_12_md";"Dødsmåned"
"stat_13_mm";"Vielsesmåned"
"stat_14_mb1";"Fødselsmåned for førstefødte"
"stat_15_mm1";"Måned for første vielse"
"stat_16_mmb";"Måneder mellem vielse og første barn."
"stat_17_arb";"alder i forhold til fødeår."
"stat_18_ard";"alder i forhold til dødsår."
"stat_19_arm";"alder i forhold til vielsesår."
"stat_200_none";"alle (eller tom)"
"stat_201_num";"antal"
"stat_202_perc";"procent"
"stat_20_arm1";"alder ved første ægteskab."
"stat_21_nok";"antal børn."
"stat_300_none";"ingen"
"stat_301_mf";"mand/kvinde"
"stat_302_cgp";"perioder. Husk akseværdier for z-akse"
"stat_families";"Familier,"
"stat_gax";"husk akseværdier for alder"
"stat_gmx";"husk akseværdier for måned"
"stat_gnx";"husk akseværdier for antal"
"stat_individuals";"Personer,"
"stat_other";"Andre poster"
"stat_sources";"Kilder,"
"statar_xga";"akseværdier for antal (x-akse):"
"statar_xgl";"akseværdier for alder (x-akse):"
"statar_xgm";"akseværdier for måned (x-akse):"
"statar_xgp";"akseværdier for perioder (x-akse):"
"statar_zgp";"akseværdier for perioder (z-akse):"
"statistics";"Statistik"
"statlxa";"langs x-aksen"
"statlya";"langs y-aksen"
"statlza";"langs z-aksen"
"statmess1";"<b>Fyld kun rækker med forbindelse til tidligere værdier for x- og z-aksen</b>"
"statnfam";"antal familier ="
"statnfemale";"antal kvinder ="
"statnmale";"antal mænd ="
"statnnames";"antal navne ="
"statreset";"Nulstil"
"statsubmit";"vis diagram"
"status";"Status"
"statutci";"Kunne ikke lave index"
"statvars";"Udfyld følgende værdier for diagrammet"
"step1";"Trin 1 af 4"
"step2";"Trin 2 af 4"
"step3";"Trin 3 af 4"
"step4";"Trin 4 af 4"
"stepbrother";"Stedbror"
"stepdad";"Stedfar"
"stepfamily";"Stedfamilie"
"stepmom";"Stedmor"
"stepsister";"Stedsøster"
"still_living_error";"Personen lever muligvis. Alle detaljer om levende personer er skjult for offentligheden.<br />For yderligere information kontakt"
"stpl";"..."
"stplGDno";"GD-library til grafikdisplay er ikke tilgængelig i PHP4. Kontakt venligst din webhost om dette."
"stplage";"alder"
"stplgzas";"rammer z-aksen:"
"stplinfo";"diagraminformation"
"stplipot";"/ pr. tidsperiode"
"stpljpgraphno";"Jpgraph-moduler fandtes ikke i mappen <i>Genmod/jpgraph/</i> . Anskaf dem venligst fra http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>Installer først JPgraph i mappen <i>Genmod/jpgraph/</i></h3><br>"
"stplmf";"/ mand-kvinde"
"stplmonth";"måned"
"stplnoim";"ikke tilgængelig:"
"stplnumbers";"antal for en familie"
"stplperc";"procent"
"stpltype";"type:"
"subtractions";"Udeladelser"
"suffix";"Suffiks:"
"sunday";"søndag"
"support_contact";"For teknisk hjælp, kontakt"
"surname";"Efternavn:"
"surnames";"Efternavne"
"system_time";"Nuværende systemtid"
"tables_exist";"Genmod tabeller findes allerede i databasen"
"temple";"LDS Tempel"
"temple_code";"LDS Tempelkode:"
"text";"Kildetekst:"
"text_direction";"Tekstretning"
"thankyou";"Hej #user_fullname# ...<br />Tak for din registrering"
"theme_select_block";"Temavalg blok"
"theme_select_descr";"<b>Temavalg<b>-blokken viser temavælgeren, også selvom funktionen er slået fra."
"thumb_genned";"Lav automatisk et billedikon."
"thumbgen_error";"Kunne ikke lave billedikon for"
"thumbnail";"Billedikon"
"thursday";"torsdag"
"time_format";"Tidsformat"
"time_limit";"Tids begrænsning"
"timeline_chart";"Tidslinjediagram"
"timeline_instructions";"De nyeste browsere tillader, at man kan klikke og flytte rundt med boksene."
"timeline_title";"Genmod tidslinje"
"timeout_error";"Scriptet timede ud før der blev fundet en forbindelse."
"title";"Titel:"
"titles_found";"Titler"
"to";"til"
"to_family";"Til familie"
"to_person";"Til person"
"to_source";"Til kilde"
"today";"Idag"
"todays_events_block";"På denne dag blok"
"todays_events_descr";"<b>På denne dag</b>-blokken viser en liste af begivenheder i den aktive Gedcom-fil, som indtraf på denne dag. Hvis ingen begivenheder eksisterer, vises blokken ikke. På brugernes <b>Min Side</b> vises kun nulevende personer. På en Gedcom-fils velkomstside vises alle personer."
"tools_readme";"For yderligere information, læs under tools i #README.TXT#."
"top10_pageviews";"Oftest viste"
"top10_pageviews_block";"Oftest viste blokke"
"top10_pageviews_descr";"Denne blok vil vise de 10 personer som er blivet vist mest. Denne blok kræver at tælleren er blivet aktiveret i denne Gedcom konfigurationsindstillinger."
"top10_pageviews_msg";"Tæller skal være aktiveret i Gedcomindstillinger for at denne blok kan vises."
"top10_pageviews_nohits";"Der er ingen hits at vise"
"top_level";"Top niveau"
"total_dead";"Antal Døde"
"total_fams";"Antal familier"
"total_indis";"Antal personer"
"total_living";"Antal Levende"
"total_memory_usage";"Systemhukommelsesbrug"
"total_names";"Antal navne"
"total_not_born";"Antal, endnu ufødte"
"total_privacy_checks";"Antal fortrolighedskontroller:"
"total_queries";"Antal databaseopslag:"
"total_repositories";"Antal Arkivsteder"
"total_sources";"Antal kilder"
"total_unic_places";"Antal unikke stednavne"
"translation_forum";"Link til Genmods oversætterforum på SourceForge (engelsk)"
"tuesday";"tirsdag"
"twin";"Tvilling"
"twin_brother";"Tvillingbror"
"twin_sister";"Tvillingsøster"
"type";"Type"
"um_backup";"Sikkerhedskopi"
"um_bu_config";"Genmod-indstillingsfil"
"um_bu_explain";"Dette redskab kan lave en sikkerhedskopi af alle data i Genmod.<br /><br />De data du vælger vil blive gemt i en ZIP-fil, som du kan downloade ved at klikke på linket i bunden af siden, efter at filen er blivet oprettet.<br /><br />Denne ZIP-fil vil forblive i index-mappen indtil du fjerner den manuelt."
"um_bu_gedcoms";"Gedcom-filer"
"um_bu_gedsets";"Gedcom-indstillings og -fortrolighedsfiler"
"um_bu_logs";"Gedcom-tællere, -søgelogs og Genmod-logfiler"
"um_bu_usinfo";"Brugerdefinitioner, Blokindstillinger, Favoritter, Beskeder, Nyheder"
"um_creating";"Opretter"
"um_export";"Exporter"
"um_file_create_fail1";"Ny fil kunne ikke oprettes, fordi der allerede eksisterer en fil med dette navn:"
"um_file_create_fail2";"Kan ikke oprette"
"um_file_create_fail3";"Kontroller adgangsrettighederne til denne mappe."
"um_file_create_succ1";"Ny fil oprettet uden problemer:"
"um_file_not_created";"Filen blev ikke oprettet."
"um_files_exist";"En af disse filer findes allerede. Vil du overskrive den?"
"um_header";"Eksportredskab for brugerinformation"
"um_imp_blocks";"Importerer blokke"
"um_imp_fail";"Import slog fejl"
"um_imp_favorites";"Importerer favoritter"
"um_imp_messages";"Importerer beskeder"
"um_imp_news";"Importerer nyheder"
"um_imp_succ";"Import udført uden problemer"
"um_imp_users";"Importerer brugere"
"um_import";"Importer"
"um_mk_bu";"Lav sikkerhedskopi"
"um_noaction";"Det er ikke nødvendigt at konvertere bruger-information til SQL-modus nu.<br /><br />Hvis du har skiftet til SQL-databasemodus, skal du imidlertid udføre konverteringen for at importere alle data til SQL-databasen. Genmod vil da bruge de eksisterende filer fra Index-modus.<br /><br /><b>BEMÆRK! Du må <u>ikke</u> fjerne filen <i>authenticate.php</i> og <i>.dat</i> filerne fra index-mappen under bytte-processen.</b><br />"
"um_noblocks";"Der eksisterer øjensynligt ingen blokke i systemet."
"um_nofav";"Der eksisterer øjensynligt ingen favoritter i systemet."
"um_nofiles";"Ingen filer fundet at sikkerhedskopiere"
"um_nomsg";"Der eksisterer øjensynligt ingen beskeder i systemet."
"um_nonews";"Der eksisterer øjensynligt ingen nyheder i systemet."
"um_nousers";"Filen <i>authenticate.php</i> blev ikke fundet i index mappen. Flytning anulleret."
"um_proceed";"Fortsæt med eksport af brugerinformation?<br /><br />"
"um_zip_dl";"Download ZIPped sikkerhedskopifil"
"um_zip_succ";"ZIP filen oprettet uden problemer."
"unable_to_create_index";"Indeksfil kan ikke oprettes. Sørg for, de fornødne skrivetilladelser for Genmod mappen. Skrivebeskyttelse kan evt. genetableres når indeksfiler er oprettet."
"unable_to_find_family";"Kan ikke finde familien med ID"
"unable_to_find_indi";"Kan ikke finde personen med ID"
"unable_to_find_privacy_indi";"Kan ikke finde person med ID"
"unable_to_find_record";"Kan ikke finde posten med ID"
"unable_to_find_repo";"Kan ikke finde arkivstedet med ID"
"unable_to_find_source";"Kan ikke finde kilden med ID"
"unable_to_open";"Der kan ikke skrives til udklipsmappen"
"undo";"Fortryd"
"unknown";"Ukendt"
"unmatching_facts";"Følgende fakta matcher ikke. Vælg den information du ønsker at beholde."
"unrecognized_code";"Ukendt Gedcom-kode"
"unrecognized_code_msg";"Dette er en fejl, som vi gerne vil have lejlighed til udbedre. Indberet derfor venligst denne fejl til"
"upcoming_events";"Kommende begivenheder"
"upcoming_events_block";"Kommende begivenheder blok"
"upcoming_events_descr";"<b>Kommende begivenheder</b>-blokken viser en liste med begivenheder fra den aktive Gedcom-fil, som indtræffer de næste 30 dage. For brugerne af <b>Min Side</b> viser blokken kun nulevende personer. Gedcom velkomstsiden viser derimod alle personer."
"update_address";"Opdater Adresse"
"update_fact";"Opdater faktum"
"update_fact_restricted";"Opdatering af dette faktum, er forbeholdt:"
"update_myaccount";"Opdater MinKonto"
"update_name";"Opdater navn"
"update_photo";"Opdater billede"
"update_successful";"Opdatering lykkedes"
"update_user";"Opdaterer brugerkonto"
"updating_family_names";"Opdaterer familienavne for FAM"
"updating_is_dead";"Opdaterer "er død" status for INDI"
"updating_linked";"Opdaterer tilknyttet post"
"upgrade";"Opgrader Genmod"
"upload_error";"Der opstod en fejl under upload af din Gedcom-fil."
"upload_file";"Send fil fra din computer"
"upload_gedcom";"Upload Gedcom"
"upload_media";"Upload mediefiler"
"upload_successful";"Upload lykkedes"
"upload_to_index";"Placer fil i index-mappen på serveren"
"use_blocks_for_default";"Skal disse blokindstillinger være standard for alle brugere?"
"user_admin";"Brugeradministration"
"user_cannot_edit";"Dette brugernavn kan ikke redigere i denne Gedcom."
"user_contact_method";"Foretrukne kontaktmetode"
"user_create_error";"Bruger kan ikke oprettes.Prøv venligst igen."
"user_created";"Bruger oprettet."
"user_default_tab";"Standardfane på personinformationssiden."
"user_favorites_block";"Brugerfavoritter blok"
"user_favorites_descr";"<b>Brugerfavoritter</b>-blokken viser brugerne en liste med deres favoritpersoner, således de nemt kan hoppe til dem."
"user_info";"Min brugerinformation"
"user_manual";"Genmod brugermanual"
"user_messages_block";"Brugerbeskeder blok"
"user_messages_descr";"I <b>Brugerbeskeder</b>-blokken vises en liste over beskeder der er sendt til den aktive bruger."
"user_name";"Brugernavn"
"user_news_block";"Brugernotat blok"
"user_news_descr";"<b>Brugernotat</b>-blokken lader en bruger lave notater, eller at føre dagbog online."
"user_not_found";"Kunne ikke godkende de oplysninger du indtastede. Prøv venligst igen."
"user_privacy";"Bruger-fortrolighedsindstillinger"
"user_theme";"Mit tema"
"user_verify";"Brugergodkendelse"
"username";"Brugernavn"
"useropt_conf";"Brugerindstillinger"
"users_logged_in";"Brugere online"
"utf8_to_ansi";"Vil du konvertere denne Gedcom fra UTF-8 til ANSI (ISO-8859-1)?"
"valid_gedcom";"Gyldig Gedcom-fil. Ingen oprydning nødvendig."
"validate_gedcom";"Gedcomvalidering"
"var_not_exist";"<span style=font-weight: bold>Sprog variablen eksister ikke. Rapporter venligst dette som en fejl.</span>"
"verified";"Brugeren bekræftede sig selv:"
"verified_by_admin";"Bruger godkendt af administrator"
"verify_upload_instructions";"Hvis du vælger at fortsætte, vil den gamle Gedcom-fil blive erstattet med den fil du har uploaded og importprocessen vil blive gentaget. Vælger du derimod at afbryde, vil den gamle Gedcom-fil foreblive intakt og uændret."
"view";"Vis"
"view_change_diff";"Vis ændringer og forskelle"
"view_family";"Vis familie"
"view_gedcom";"Vis Gedcom-post"
"view_logs";"Se logfiler"
"view_person";"Vis person"
"view_records_in_place";"Se alle poster tilknyttet denne lokalitet"
"view_source";"Vis kilde"
"viewday";"Se dag"
"viewing_url";"Denne besked blev afsendt fra denne URL:"
"viewmonth";"Se måned"
"viewyear";"Se år"
"visibleonline";"Synlig for andre brugere online"
"wednesday";"onsdag"
"week_start";"Ugestart"
"weekly";"Ugentlig"
"welcome";"Velkommen"
"welcome_block";"Brugervelkomst blok"
"welcome_descr";"<b>Brugervelkomst</b>-blokken viser brugeren den aktuelle dato og klokkeslæt, links til hurtig ændring af deres konto eller til deres personlige anetræ, samt link til tilpasning af deres <b>Min Portal</b> side."
"welcome_new";"Velkommen til din ny Genmod webside.<br /><br />Siden du ser denne side skulle Genmod være blevet installeret problemfrit på din server og være parat til at blive indstillet efter dine ønsker.<br /><br />"
"welcome_page";"Velkomstside"
"welcome_text_auth_mode_1";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er tilladt for alle besøgende, der har en brugerkonto.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator aktivere din brugerkonto.<br />Du får tilsendt en e-mail når kontoen er godkendt."
"welcome_text_auth_mode_2";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er forbehold <b>godkendte</b> brugere.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator enten godkende eller afslå din anmodning.<br/>Du får tilsendt en e-mail med besked, hvis din anmodning bliver godkendt."
"welcome_text_auth_mode_3";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til webstedet er forbeholdt<b>familiemedlemmer</b>.<br /><br />Hvis du allerede har en brugerkonto her, kan du logge ind her. Har du endnu ikke en brugerkonto, kan du anmode om at få en konto ved at klikke på nedenstående link.<br /><br />Efter at du har bekræftet dine oplysninger, vil webstedets administrator enten godkende eller afslå din anmodning.<br />Du får tilsendt en e-mail med besked, hvis din anmodning godkendes.<br />"
"welcome_text_cust_head";"<center><b>Velkommen til denne slægtsside</b></center><br /><br />Adgang til dette websted er forbehold brugere, der har en brugerkonto og en adgangskode her til webstedet.<br />"
"which_links";"Hvilke links fra denne familie vil du tilføje?"
"which_p_links";"Hvilke links fra denne person vil du tilføje?"
"wife";"Hustru"
"witness";"Vidne"
"xreftorin";"Konverter XREF ID-nummer til RIN nummer"
"year";"År:"
"year_anniversary";"#year_var# Årsdag"
"year_error";"Desværre, datoer før 1970 er ikke understøttet."
"yearly";"Årlig"
"yes";"Ja"
"you_may";"Du kan:"
"you_may_login";"af webstedadministrator. Du kan nu logge ine på Genmod webstedet ved at følge linket herunder:"
"zoom_box";"Zoom denne boks ind/ud"
"zoom_in";"Zoom ind"
"zoom_out";"Zoom ud"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
