"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"hs_searchin";"Search in"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />You determine the scope of the search here.<br /><br />Administrators have the choice of searching User Help or Configuration Help or both.  Users do not have this choice; because they do not have access to any configuration features, they can only search the User Help file.<br /><br />The Help files contain not only Help text but also certain text strings used to build input forms and other material.  This option lets you control whether the entire Help file should be examined or whether only the Help text should be looked at.<br />"
"hs_searchsentence";"Exact phrase"
"hs_searchuser";"User Help"
"hs_title";"Search Help Text"
"html_block_descr";"This is a simple HTML block that you can place on your page to add any sort of message you may want."
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>Put your title here</b></p><br /><p>Click the configure button"
"html_block_sample_part2";"to change what is printed here.</p>"
"html_reports";"HTML reports"
"husb_present";"This family already has a husband assigned to it."
"husband";"Husband"
"husband_added";"Husband has been succesfully added."
"id";"ID"
"illegal_chars";"Illegal characters in name"
"image_format";"Image Format"
"image_size";"Image Dimensions"
"imageview";"Image Viewer"
"import_complete";"Import complete"
"import_gedcom";"Import this GEDCOM file"
"import_marr_names";"Import Married Names"
"import_multiple";"Import and work with multiple GEDCOMs"
"import_options";"Import Options"
"import_progress";"Import Progress..."
"import_sql";"SQL files have been found in your index directory. Since they may have originated from the User Migration tool, you have the option to import the information into your database. Do you wish to attempt importing these files into your database now? All existing user-related information (users, news, favorites, block layouts, and messages) in your database will be lost.<br /><br />If you choose to proceed, Genmod will attempt to import the data. If this is not successful, you will be asked to make the first administrator account anyway.<br /><br />"
"import_statistics";"Import Statistics"
"import_time_exceeded";"The execution time limit was reached.  Click the Continue button below to resume importing the GEDCOM file."
"import_warn";"The following languages are changed and should be re-imported:"
"importing_dates";"Importing date records"
"importing_places";"Importing place records"
"importing_records";"Importing records into database"
"in";"in "
"in_export";"Upload/Import/Export"
"in_this_month";"In This Month, in Your History..."
"in_this_year";"In This Year, in Your History..."
"inc_languages";"Languages"
"inc_themes";"Themes"
"include";"Include"
"ind_evt_report";"Event (Individual) Date and Place Report"
"indevtdate1";"Individual Event Date range start"
"indevtdate2";"Individual Event Date range end"
"indevtplace";"Individual Event Place contains"
"index_complete";"Index complete."
"index_edit_advice";"Highlight a  block name and then click on one of the arrow icons to move that highlighted block in the indicated direction."
"index_header";"Pedigree Tree"
"indi_complete";"Individual Index file update complete."
"indi_downloaded_from";"This Individual was downloaded from:"
"indi_id_no_exists";"This individual ID does not exist, please enter a valid one!"
"indi_info";"Individual Information"
"indi_linking";"Links from Individuals"
"indis_charts";"Options for individual"
"indis_with_fistname_letter";"Individuals with firstname with letter #letter#"
"indis_with_surname";"Individuals with surname #surname#"
"indis_with_surname_letter";"Individuals with surnames with letter #letter#"
"individual";"Individual"
"individual_list";"Individual List"
"individual_list_report";"Individual List report"
"individual_report";"Individual Report"
"individuals";"Individuals"
"infant";"Infant"
"informant";"Informant"
"information";"Informational message"
"inject_media_tool";"Add media to GEDCOM file"
"int";"interpreted"
"invalid_birthfams";"A child can have a birth relation with only one family. Nothing has been changed."
"invalid_dates";"Detected invalid date formats, on cleanup these will be changed to format of DD MMM YYYY (eg. 1 JAN 2004)."
"invalid_email";"Please enter a valid email address."
"invalid_file";"Invalid characters in path/filename"
"invalid_gedformat";"Invalid GEDCOM 5.5 format"
"invalid_header";"Detected lines before the GEDCOM header <b>0&nbsp;HEAD</b>.  On cleanup, these lines will be removed."
"invalid_id";"No such ID exists in this GEDCOM file."
"invalid_ip";"Invalid IP address format"
"invalid_order";"The order you indicated is invalid. Nothing has been changed."
"invalid_search_input";"Please enter a Given name, Last name, or Place \n\t in addition to Year"
"invalid_user";"Username does not exist"
"invalid_username";"User name contains invalid characters"
"invalidalias";"Enter aliases in the right format (see help)."
"ip_address";"IP address"
"is_alive_in";"Is alive in #YEAR#"
"is_rawedited";"This record has been changed by the GEDCOM edit utility. Changes may not display correctly."
"isdead_not_reset";"The isdead status has not been reset."
"isdead_reset";"The isdead status has been reset."
"item_with_id";"Item with ID"
"jan";"January"
"jewish";"Jewish"
"jewish_and_gregorian";"Jewish and Gregorian"
"jul";"July"
"julian";"Julian"
"jun";"June"
"just_family";"Add just this family record."
"just_person";"Add just this person."
"landscape";"Landscape"
"lang_back";"Return to the main menu to edit and configure language files"
"lang_back_admin";"Return to the Admin menu"
"lang_back_manage_gedcoms";"Return to the GEDCOM management menu"
"lang_config_write_error";"Error writing language settings into the file <b>lang_settings.php</b>.  Please check permissions and try again."
"lang_debug";"Help Text Debug Option"
"lang_debug_desc";"When you enable this option, the names of the language variables used in help text will print in the help text popup window.  This will help translators determine the variable name when text needs to be adjusted.<br /><br />This setting will only be valid during your current Genmod session."
"lang_debug_use";"Use Help Text Debug Option"
"lang_edit";"Edit"
"lang_facts_not_stored";"Facts not stored in database."
"lang_file_write_error";"E R R O R !!!<br /><br />Could not write changes into the selected language file.  Please check Write permissions on <b>#lang_filename#</b>"
"lang_filenames";"Language files"
"lang_help_not_stored";"Language help not stored in database."
"lang_langcode";"Language detection codes"
"lang_language";"Language"
"lang_name_arabic";"Arabic"
"lang_name_chinese";"Chinese"
"lang_name_czech";"Czech"
"lang_name_danish";"Danish"
"lang_name_dutch";"Dutch"
"lang_name_english";"English"
"0";"0"
"lang_name_finnish";"Finnish"
"lang_name_french";"French"
"lang_name_german";"German"
"lang_name_greek";"Greek"
"lang_name_hebrew";"Hebrew"
"lang_name_hungarian";"Hungarian"
"lang_name_italian";"Italian"
"lang_name_lithuanian";"Lithuanian"
"lang_name_norwegian";"Norwegian"
"lang_name_polish";"Polish"
"lang_name_portuguese";"Portuguese"
"lang_name_portuguese_br";"Portuguese (Brazil)"
"lang_name_russian";"Russian"
"lang_name_spanish";"Spanish"
"lang_name_spanish_ar";"Spanish (Latin America)"
"lang_name_swedish";"Swedish"
"lang_name_turkish";"Turkish"
"lang_name_vietnamese";"Vietnamese"
"lang_new_language";"New Language"
"lang_not_stored";"Language not stored in database."
"lang_save";"Save"
"lang_set_file_read_error";"E R R O R !!! Could not read <b>lang_settings.php</b>!"
"lang_shortcut";"Abbreviation for language files"
"language_to_edit";"Language to edit"
"language_to_export";"Language to export"
"last_email_sent";"Last email reminder was sent "
"last_login";"Last logged in"
"lastname";"Last Name"
"lastname_search";"Last name"
"launch_media_tool";"Click here to launch the Add Media tool."
"lds_sealing";"LDS Sealing:"
"leave_blank";"Leave password blank if you want to keep the current password."
"line_up_generations";"Line up the same generations"
"link_as_child";"Link this person to an existing family as a child"
"link_as_husband";"Link this person to an existing family as a husband"
"link_as_wife";"Link this person to an existing family as a wife"
"link_exists";"A reference already exists."
"link_media";"Link Media"
"link_media_records";"Link Media"
"link_new_husb";"Add a husband using an existing person"
"link_new_wife";"Add a wife using an existing person"
"link_not_added";"You made a link to a non existent ID. This link is not added:"
"linked";"Linked"
"linked_only";"Only files that are linked to a Multimedia object"
"list_children";"List each child in order of birth."
"listing";"Listing"
"lists";"Lists"
"living";"Living"
"living_only";"Living People"
"living_or_all";"Show only events of living people?"
"load_all_langs";"Load all active languages from file"
"load_english";"Load English language files"
"locked";"Locked"
"lockout_at";"Locked out"
"lockout_maint";"Locked out users and IP-addresses"
"lockout_submit";"Add lockout"
"lodger";"Lodger"
"logfile_content";"Content of log file"
"logged_in_as";"Logged in as "
"logged_in_users_block";"Logged In Users"
"logged_in_users_descr";"The Logged In Users block shows a list of the users who are currently logged in."
"login";"Login"
"login_aut";"Edit User"
"login_block";"Login"
"login_descr";"The Login block accepts a user name and password for users to login."
"login_head";"Genmod User Login"
"login_user";"1 logged-in user"
"login_users";"#gm_lang[global_num2]# logged-in users"
"loglevel_0";"No logging at all"
"loglevel_1";"Log exceeding treshold"
"loglevel_2";"Log exceeding theshold and # views at time unit reset"
"logout";"Logout"
"logs";"Logs"
"lost_password";"Lost your password?"
"lost_pw_reset";"Lost password request"
"ltr";"Left to right"
"m_imp_err";"There were errors. Checkout your system log."
"macfile_detected";"Macintosh file detected.  On cleanup your file will be converted to a DOS file."
"magnify";"Magnify"
"mail01_line01";"Hello #user_fullname# ..."
"mail01_line02";"A request was received at ( #SERVER_NAME# ) to create an account with your email address ( #user_email# )."
"mail01_line03";"Information about the request is shown under the link below."
"mail01_line04";"Please click on this link and fill in the requested data to verify your account and email address."
"mail01_line05";"If you didn't request an account, you can just delete this message."
"mail01_line06";"You won't get any more email from this site, because the account request will be deleted automatically after seven days."
"mail01_subject";"Your registration at #SERVER_NAME#"
"mail02_line01";"Hello Administrator ..."
"mail02_line02";"A prospective user registered himself at ( #SERVER_NAME# )."
"mail02_line03";"The user received an email with the information necessary to verify his account with this link:"
"mail02_line04";"You will be informed by email when this prospective user has verified himself.  You can then complete the process by activating the user name.  The new user will not be able to login until you activate the account."
"mail02_line04a";"You will be informed by email when this prospective user has verified himself.  After verification, the user will be able to login without any action on your part."
"mail02_subject";"New registration at #SERVER_NAME#"
"mail03_line01";"Hello Administrator ..."
"mail03_line02";"User #newuser[username]# ( #newuser[fullname]# ) has verified his registration data."
"mail03_line03";"Please click on the link below to login to your site.  You must Edit the user to activate the account so that he can login to your site."
"mail03_line03a";"You do not have to take any action; the user can now login."
"mail03_subject";"New verification at #SERVER_NAME#"
"mail04_line01";"Hello #user_fullname# ..."
"mail04_line02";"A new password was requested for your user name."
"mail04_line03";"Recommendation:"
"mail04_line04";"Please click on the link below or paste it into your browser, login with the new password, and change it immediately to keep the integrity of your data secure."
"mail04_line05";"After you have logged in, select the '#gm_lang[myuserdata]#' link under the '#gm_lang[mygenmod]#' menu and fill in the password fields to change your password."
"mail04_subject";"Data request at #SERVER_NAME#"
"mailto";"Mailto link"
"main_section";"Main Section Blocks"
"maintenance";"Maintenance"
"make_slklist";"Create EXCEL (SLK) list"
"male";"Male"
"malecousin";"Male cousin"
"manage_gedcoms";"Manage GEDCOMs and edit Privacy"
"manage_media";"Manage Media"
"manage_media_files";"Manage Media files"
"mandatory";"Fields marked with * are mandatory."
"mar";"March"
"marr_name_import_instr";"Click the button below only if you want Genmod to calculate married names for female individuals in this GEDCOM.  This will allow you to search and list females by their married names.  <i>Note: The married names will only show up in the lists if you enable this option in the GEDCOM configuration. <b>Calculating married names is optional.</b></i>"
"marr_report";"Marriage Date and Place Report"
"marrdate1";"Marriage Date range start"
"marrdate2";"Marriage Date range end"
"marriage";"Marriage:"
"marriage_license";"Marriage License:"
"marrplace";"Marriage Place contains"
"mass_update";"Mass update user settings"
"max_generation";"The maximum number of pedigree generations is #PEDIGREE_GENERATIONS#."
"max_media_depth";"You can only go #MEDIA_DIRECTORY_LEVELS# directories deep"
"max_time";"Test maximum execution time"
"max_upload_size";"Maximum upload size: "
"maxtime_explain";"This script runs until either:<br />1. the maximum execution time for PHP scripts, set by your administrator, is exceeded.<br />2. The maximum runtime, set by you, is exceeded.<br /><br />The maximum value reached is stored in the database.<br /><br />Upon termination of this script, you may close this window.<br /><br />"
"maxtime_explain2";"To prevent this script from running forever, select the number of minutes you want to set as maximum, then press the Go button."
"maxtime_is";"The maximum execution time measured previously is:"
"maxtime_lower";"The actual maximum execution time exceeds the maximum time you indicated at the start of this script.<br />"
"maxtime_measure";"Click <a href="maxtime.php" target="_blank">here</a> to start a new measurement"
"maxtime_not_set";"The maximum execution time for your system is not determined yet"
"maxtime_now";"The maximum execution time in seconds is at least:"
"maxviews_exceeded";"Page view rate exceeded, try again later."
"may";"May"
"maybe";"Maybe "
"md5_ok";"All files have the correct version"
"media";"Media"
"media_conf";"Multimedia"
"media_contains";"Media contains:"
"media_deleted";"Media directory successfully removed."
"media_downloaded_from";"This Media Object was downloaded from:"
"media_drive_letter";"Media path should not contain a drive letter; media may not be displayed."
"media_exists";"Media file already exists."
"media_file";"Media file"
"media_file_deleted";"Media file successfully deleted."
"media_file_not_deleted";"Media file could not be deleted."
"media_file_size";"Media Size"
"media_files";"Media Files referenced in this GEDCOM"
"media_folder_corrupt";"The media folder is corrupted."
"media_format";"Media Format"
"media_found";"Media Objects found"
"media_id";"Media ID"
"media_id_no_exists";"This media ID does not exist, please enter a valid one!"
"media_import";"Import and convert media"
"media_info";"Multimedia Information"
"media_linked";"This media object is linked to the following:"
"media_list";"MultiMedia List"
"media_not_deleted";"Media directory not removed."
"media_not_found";"Multimedia item not found"
"media_not_linked";"This media object is not linked to any GEDCOM record."
"media_object";"Multimedia Object"
"media_record_deleted";"Media record #xref# and links successfully deleted from database."
"media_record_not_deleted";"Media record #xref# and links could not be deleted from database."
"media_table_created";"Successfully updated <i>media</i> table."
"media_thumb_exists";"Media thumbnail already exists."
"medialist_show";"Show"
"menu";"Menu"
"menu_calendar";"Calendar"
"menu_calendar_day";"Day"
"menu_calendar_month";"Month"
"menu_calendar_year";"Year"
"menu_charts";"Charts"
"menu_edit";"Edit"
"menu_favorites";"Favorites"
"menu_file";"File"
"menu_lists";"Lists"
"menu_open";"Open"
"menu_reports";"Reports"
"menu_view";"View"
"merge_dm_0";"Don't merge"
"merge_dm_1";"Merge based on filename"
"merge_dm_2";"Merge based on filename and title"
"merge_facts_same";"The following facts were exactly the same in both records and will be merged automatically."
"merge_from";"Merge From ID:"
"merge_gedcom";"Merge GEDCOM"
"merge_haschanges";"One of the designated records has changes. Accept/reject those first, then try again."
"merge_more";"Merge more records."
"merge_notunique";"The following facts are unique and must be selected no more than once:"
"merge_perform";"Performing Record Merge"
"merge_records";"Merge records"
"merge_same";"Records are not the same type.  Cannot merge records that are not the same type."
"merge_step1";"Merge Step 1 of 3"
"merge_step2";"Merge Step 2 of 3"
"merge_step3";"Merge Step 3 of 3"
"merge_success";"Merge succesfully accomplished. Click Accept/Reject changes to make it permanent."
"merge_success_auto";"Merge succesfully accomplished. Changes are committed to the datatabase."
"merge_to";"Merge To ID:"
"merge_what";"GEDCOM to be merged"
"merge_what_upload";"GEDCOM to be uploaded and merged"
"merge_with";"Existing GEDCOM to merge with"
"message";"Message"
"message_body";"Body:"
"message_deleted";"Message Deleted"
"message_email1";"The following message has been sent to your Genmod user account "
"message_email2";"You sent the following message to a Genmod user:"
"message_email3";"You sent the following message to a Genmod administrator:"
"message_empty_warning";"-> Warning!!! This message is empty in #LANGUAGE_FILE# <-"
"message_from";"Email Address:"
"message_from_name";"Your Name:"
"message_instructions";"<b>Please Note:</b> Private information of living individuals will only be given to family relatives and close friends.  You will be asked to verify your relationship before you will receive any private data.  Sometimes information of dead persons may also be private.  If this is the case, it is because there is not enough information known about the person to determine whether they are alive or not and we probaby do not have more information on this person.<br /><br />Before asking a question, please verify that you are inquiring about the correct person by checking dates, places, and close relatives.  If you are submitting changes to the genealogical data, please include the sources where you obtained the data.<br /><br />"
"message_sent";"Message Sent"
"message_subject";"Subject:"
"message_to";"Message To:"
"message_to_all";"Send message to all users"
"message_to_edit";"Message to edit"
"messages";"Messages"
"messaging";"Genmod internal messaging"
"messaging2";"Internal messaging with emails"
"messaging3";"Genmod sends emails with no storage"
"meta_conf";"Web Site and META Tag Settings"
"mgv";"MyGenmod"
"min_generation";"The minimum number of pedigree generations is 3."
"mm_exports";"Number of items exported:"
"mm_inserts";"Number of items imported:"
"mm_linking";"Links from Multimedia"
"mm_links";"Links to Multimedia objects"
"mon_short";"Abbreviations for month names"
"monday";"Monday"
"monday_1st";"M"
"month";"Month:"
"month1";"month"
"month_before_day";"Month before Day (MM DD YYYY)"
"monthly";"Monthly"
"months";"months"
"more_config_hjaelp";"<br /><b>More help</b><br />More help is available by clicking the <b>?</b> next to items on the page.<br />"
"more_events_privacy";"More events exist for the next #gm_lang[global_num4]# days, but privacy restrictions prevent you from seeing them."
"more_events_privacy1";"More events exist for tomorrow, but privacy restrictions prevent you from seeing them."
"more_information";"For more information contact"
"more_today_privacy";"More events exist for today, but privacy restrictions prevent you from seeing them."
"mother";"Mother"
"mothers_family_with";"Mother's Family with "
"mousedown";"On Mouse Down"
"mouseover";"On Mouse Over"
"move_down";"Move Down"
"move_fail";"There was a problem moving the file(s)"
"move_file_success";"Media and thumbnail files successfully moved. Links will show after approval."
"move_left";"Move Left"
"move_ok";"File(s) are succesfully moved, changes are generated. Links will show after approval."
"move_right";"Move Right"
"move_to";"Move To"
"move_up";"Move Up"
"movedown_faq_item";"Move FAQ item down"
"moveup_faq_item";"Move FAQ item up"
"mu_descr";"Description"
"mu_new_value";"Select a new value"
"mu_options";"Options to be changed"
"mu_users";"Users to be updated"
"multi_title";"MultiMedia Object List"
"must_provide";"You must provide a "
"my_favorites";"My Favorites"
"my_indi";"My Individual Record"
"my_journal";"My Journal"
"my_messages";"My Messages"
"my_pages";"My pages"
"my_pedigree";"My Pedigree"
"mygenmod";"MyGenmod"
"mygenmod_desc";"Your mygenmod page allows you to keep bookmarks of your favorite people, track upcoming events, and collaborate with other Genmod users."
"mysql";"MySQL"
"myuserdata";"My Account"
"name";"Name"
"name_contains";"Name contains:"
"name_description";"Name / Description"
"name_list";"Name List"
"name_of_fact";"Name of fact"
"name_reverse";"Surname first"
"navigation";"Navigation"
"never";"Never"
"new";"New"
"new_gedcom_title";"Genealogy from [#GEDCOMFILE#]"
"new_gnote_created";"New General Note created succesfully"
"new_language";"Source language"
"new_record";"New record"
"new_repo_created";"New Repository created"
"new_source_created";"New source created successfully."
"newfact";"New fact"
"newfam_as_child";"Add a new family with this person as child"
"newlink_as_husband";"Add a new family with this person as husband"
"newlink_as_wife";"Add a new family with this person as wife"
"news_saved";"News/Journal entry successfully saved."
"next";"Next &gt;"
"next_email_sent";"Next email reminder will be sent after "
"next_free";"Next free for"
"next_path";"Find next path"
"no";"No"
"no_account_yet";"No account?"
"no_action_found";"No ToDo's found"
"no_additions";"No Additions"
"no_changes";"There are currently no changes to be reviewed."
"no_children";"No recorded children"
"no_content";"No Content"
"no_double_media";"You have selected a mediafile that is already know to Genmod.<br />Your information is replaced by a link to the existing Multimedia item."
"no_empty_dirs";"No empty directories found"
"no_empty_notes";"Sorry, you cannot enter empty notes."
"no_events_all";"No events exist for the next #gm_lang[global_num4]# days."
"no_events_all1";"No events exist for tomorrow."
"no_events_living";"No events for living people exist for the next #gm_lang[global_num4]# days."
"no_events_living1";"No events for living people exist for tomorrow."
"no_events_privacy";"Events exist for the next #gm_lang[global_num4]# days, but privacy restrictions prevent you from seeing them."
"no_events_privacy1";"Events exist for tomorrow, but privacy restrictions prevent you from seeing them."
"no_family_facts";"No facts for this family."
"no_faq_content";"An FAQ must have header and body text."
"no_faq_items";"The FAQ list is empty."
"no_favorites";"You have not selected any favorites.<br /><br />To add an individual, a family, or a source to your favorites, click on the <b>#gm_lang[add_favorite]#</b> link to reveal some fields where you can enter or search for an ID number.  Instead of an ID number, you can enter a URL and a title."
"no_gedcom_favorites";"At this moment there are no selected Favorites.	The admin can add Favorites to display at startup."
"no_id";"No FAQ ID has been specified !"
"no_journal";"You have not created any Journal items."
"no_link_found";"No (other) link between the two individuals could be found."
"no_lockouts";"No lockouts present"
"no_login";"Unable to authenticate user."
"no_login_users";"No logged-in and no anonymous users"
"no_logs";"Disable logging"
"no_matches_found";"No matching facts found"
"no_messages";"You have no pending messages."
"no_messaging";"No contact method"
"no_news";"No News articles have been submitted."
"no_open";"E R R O R !!!<br /><br />Cannot open file <b>#lang_filename#</b>"
"no_primary";"Don't set a primary family for charts"
"no_relation";"No relation"
"no_results";"No results found."
"no_subtractions";"No subtractions"
"no_tab1";"There are no Facts for this individual."
"no_tab2";"There are no Notes for this individual."
"no_tab3";"There are no Source citations for this individual."
"no_tab4";"There are no media objects for this individual."
"no_tab5";"There are no close relatives for this individual."
"no_tab6";"There are no ToDo's attached to this individual."
"no_tab7";"There are no associates."
"no_temple";"No Temple - Living Ordinance"
"no_thumb_dir";"thumbnail directory does not exist and it could not be created."
"no_to_user";"No recipient user was provided.  Cannot continue."
"no_upload";"Uploading media files is not allowed because multi-media items have been disabled or because the media directory is not writable."
"no_users_selected";"No users have been selected"
"noemail";"Without email address"
"none";"None"
"none_today_all";"No events exist for today."
"none_today_living";"No events for living people exist for today."
"none_today_privacy";"Events exist for today, but privacy restrictions prevent you from seeing them."
"normal";"All news"
"not_an_array";"Not an Array"
"not_writable";"We have detected that your configuration file is not writable by PHP.  You can use the <b>#gm_lang[download_file]#</b> button to save your settings to a file that you can upload manually."
"note";"Note"
"note_contains";"General Note contains:"
"note_downloaded_from";"This Note was downloaded from:"
"note_id_no_exists";"This General Note ID does not exist, please enter a valid one!"
"note_info";"Note Information"
"note_linking";"Links from General Notes"
"note_list";"General Note List"
"note_not_found";"Note not found"
"notes";"Notes"
"notes_sources_media";"Notes, Sources, and Media"
"nothing_selected";"Nothing was selected"
"nov";"November"
"now_import";"You should now import the GEDCOM records into Genmod by clicking on the Import link below."
"num_to_show";"Number of items to show"
"number";"Number"
"number_children";"Number of children: "
"number_sign";"#"
"nurse";"Nurse"
"object_note";"Object Note:"
"oct";"October"
"of";"of"
"ok";"ok"
"old_language";"Secondary language"
"old_record";"Old record"
"oldest_top";"Show oldest top"
"on";"on "
"on_this_day";"On This Day, in Your History..."
"only_show_logged_in";"Only show this block to logged in users"
"onlyemail";"With email address"
"optional";"Optional Tools"
"optional_tools";"You may also choose to run the following optional tools before importing."
"options";"Options:"
"or";"or"
"order";"Order"
"orientation";"Orientation"
"original_lang_name";"Original name of language in #D_LANGNAME#"
"original_message";"Original message"
"other";"Other"
"other_mmrecords";"Records that link to this Multimedia Object:"
"other_note_records";"Records that link to this General Note:"
"other_records";"Records that link to this Source:"
"other_repo_records";"Records that link to this Repository:"
"other_theme";"Other, please type in"
"p_A3";"A3"
"p_A4";"A4"
"p_A5";"A5"
"p_legal";"Legal"
"p_letter";"Letter"
"page";"Page"
"page_deleted";"Page has been deleted"
"page_size";"Page size"
"page_views";"&nbsp;&nbsp;page views in&nbsp;&nbsp;"
"parent";"Parent"
"parents";"Parents:"
"parents_and_child";"Add parents' and children's records together with this family record."
"parents_and_family";"Add parents' records together with this family record."
"parents_desc";"Add parents' and all descendants' records together with this family record."
"parents_timeline";"Show couple on timeline chart"
"partner";"Partner"
"password";"Password"
"password_mismatch";"Passwords do not match."
"passwordlength";"Passwords must contain at least 6 characters."
"paste_id_into_field";"Paste the following Source ID into your editing fields to reference this Source "
"paste_mm_id_into_field";"Paste the following Multimedia ID into your editing fields to reference this Multimedia Object "
"paste_noteid_into_field";"Paste the following General Note ID into your editing fields to reference this General Note "
"paste_person";"Paste Person"
"paste_rid_into_field";"Paste the following Repository ID into your editing fields to reference this Repository "
"paternal_chart";"Paternal/Maternal lines"
"paternal_grandparents";"Grandparents"
"paternal_line_type";"Line type"
"paternal_lines_from";"Lines from"
"paternal_longest";"Longest"
"paternal_maternal";"Maternal"
"paternal_parents";"Parents"
"paternal_paternal";"Paternal"
"paternal_self";"This person"
"path_to_gedcom";"Enter the path to your GEDCOM file:"
"patriarch_list";"Patriarch list"
"pdf_reports";"PDF reports"
"pedigree_chart";"Pedigree Chart"
"people";"People"
"per_page";"media objects per page"
"performing_update";"Performing update."
"performing_validation";"Performing file validation..."
"person1";"Person 1"
"person2";"Person 2"
"person_ancestor_fams";"Add this person, his direct line ancestors, and their families."
"person_ancestors";"Add this person and his direct line ancestors."
"person_desc";"Add this person, his spouse, and all descendants."
"person_facts";"Specific Fact Level Privacy settings"
"person_links";"Links to charts, families, and close relatives of this person. Click this icon to view this page, starting at this person."
"person_list";"Person list:"
"person_living";"This person is living. Personal details will not be included."
"person_not_found";"Person not found."
"person_parents_sibs";"Add this person, his parents, and siblings."
"person_privacy";"Record Level Privacy settings"
"person_private";"Details about this person are private. Personal details will not be included."
"person_spouse";"Add this person, his spouse, and children."
"personal_facts";"Personal Facts and Details"
"phone";"Phone:"
"photo_replace";"Do you want to replace an older photo with this one?"
"phpinfo";"PHP information"
"physical_files";"Multimedia Files"
"pinyin_block";"Chinese to PinYin"
"pinyin_chinese_text";"Enter Chinese text"
"pinyin_descr";"The PinYin block allows the user to enter Chinese Simplified texts and translate them to PinYin"
"pinyin_pinyin_text";"PinYin"
"pinyin_translate";"Translate"
"pinyin_translate_desc";"Translate Chinese Simplified characters to PiYin"
"pinyin_translator";"PinYin translator"
"pl_large";"Large"
"pl_scr";"Auto to screen"
"pl_shadow";"Shadow:"
"pl_show_event";"Filter on event for this location:"
"pl_size";"Graph size:"
"pl_std";"Standard"
"pl_val";"Value position:"
"pl_win";"Auto to window"
"pl_xlarge";"X-Large"
"place_cleanup_detected";"Invalid place encodings were detected.  These errors should be fixed."
"place_contains";"Place contains:"
"place_description";"Place / Description"
"place_list";"Place Hierarchy"
"place_list2";"Place List"
"place_list_aft";"Place Hierarchy after"
"place_list_objects";"Persons, families and sources for this location"
"please_be_patient";"Please be patient"
"please_wait";"Please wait while Index files are rebuilt."
"pls_note06";"We will now send a confirmation email to the address ( #user_email# ). You must verify your account request by following instructions in the confirmation email. If you do not verify your account request within seven days, your application for an account will be rejected automatically.  You will have to apply again.<br /><br />After you have followed the instructions in the confirmation email, the administrator still has to approve your request before your account can be used.<br /><br />To login to this site, you will need to know your user name and password.<br /><br />"
"pls_note06a";"We will now send a confirmation email to the address ( #user_email# ). You must verify your account request by following instructions in the confirmation email. If you do not verify your account request within seven days, your application for an account will be rejected automatically.  You will have to apply again.<br /><br />After you have followed the instructions in the confirmation email, you can login.  To login to this site, you will need to know your user name and password.<br /><br />"
"pls_note07";"~#gm_lang[user_verify]#~<br /><br />To verify your account request, please type in your user name, your password, and the verification code you received by email."
"pls_note08";"The data for the user #user_name# was checked."
"pls_note09";"You have confirmed your request to become a registered user."
"pls_note10";"The Administrator has been informed.  As soon as he gives you permission to login, you can login with your user name and password."
"pls_note10a";"You can now login with your user name and password."
"pls_note11";"To have your password reset, enter your user name.<br /><br />We will respond by sending you an email to the address registered with your account.  The email will contain a URL and confirmation code for your account. When you visit this URL, you can change your password and login to this site. For security reasons, you should not give this confirmation code to anyone.<br /><br />If you require assistance from the site administrator, please use the contact link below."
"pls_note12";"Please use this field to describe why you are requesting an account on this site and how you are related to the genealogy data."
"portal_config_intructions";"~#gm_lang[customize_page]# <br /> #gm_lang[customize_gedcom_page]#~<br /><br />You can customize the page by positioning the blocks on the page the way that you want them.<br /><br />The page is divided into <b>Main</b> and <b>Right</b> sections.	The <b>Main</b> section blocks appear larger and under the page title.  The <b>Right</b> section starts to the right of the title and goes down the right side of the page.<br /><br />Each section has its own list of blocks that will be printed on the page in the order they are listed.  You can add, remove, and reorder the blocks however you like.<br /><br />When one of the block lists is empty, the remaining blocks will take up the whole width of the page.<br /><br />"
"portrait";"Portrait"
"position_item";"Position item"
"ppp_placelist_help2";"~PLACE LIST~<br /><br />In this list you can see the locations that have been found to this stage.<br /><br />The names of the locations in the list are clickable; clicking on a location works like a filter, you will be taken to the next level down.<br /><br />Only when you are in the top level will a name list not be displayed. At all subordinate levels you will get a list of families and individuals connected to that location.<br /><br />"
"preferred_lang";"This user prefers to receive messages in #USERLANG#"
"prev";"&lt; Previous"
"preview";"Preview"
"preview_faq_item";"Preview all FAQ items"
"priest";"Priest"
"primary";"Primary"
"print";"Print"
"print_preview";"Printer-friendly Version"
"privacy";"Privacy"
"privacy_error";"Details on this person are private.<br />"
"privacy_header";"Edit privacy settings"
"privacy_indi";"Individual"
"privacy_indi_id";"Individual - ID"
"privacy_indi_source";"Individual / Source"
"privacy_list_fam_error";"Due to privacy rules, one or more families are hidden."
"privacy_list_indi_error";"Due to privacy rules, one or more people are hidden."
"privacy_not_granted";"You have no access to"
"privacy_prevented_editing";"Privacy settings prevent you from editing this record."
"privacy_source";"Source"
"privacy_source_id";"Source - ID"
"private";"Private"
"privileges";"Privileges"
"processed_for";"Processed file for "
"provide_email";"Please provide your email address so that we may contact you in response to this message.  If you do not provide your email address we will not be able to respond to your inquiry.  You email address will not be used in any other way besides responding to this inquiry."
