"stat_sources";"Källor, "
"do_not_change";"Ändra inte"
"change_id";"Ändra person ID till:"
"example_place";"Exempel på en felaktig ort från din GEDCOM:"
"example_date";"Exempel på ogiltigt datum från din GEDCOM-fil:"
"add_media_tool";"Verktyg för att lägga till media"
"launch_media_tool";"Klicka här för att starta verkyget för att lägga till media."
"add_media_descr";"Detta verktyg kommer att lägga till OBJE taggar till din GEDCOM-fil. Stäng detta fönster när du är klar med att lägga till media."
"highlighted";"Framhäv bild"
"extension";"Förlängning"
"order";"Ordning"
"inject_media_tool";"Lägg till media till GEDCOM-filen"
"media_table_created";"Lyckad uppdatering av <i>mediatabellen</i>."
"click_to_add_media";"Klicka här för att addera media listad ovan till GEDCOM-filen #GEDCOM#"
"adds_completed";"Media lades till i GEDCOM-filen."
"ansi_encoding_detected";"ANSIkodning upptäckt i filen. Genmod fungerar bäst med teckenkodningen UTF-8."
"invalid_header";"Upptäckt rader före GEDCOM-headern (0 HEAD). Dessa rader kommer att raderas vid städning."
"macfile_detected";"Macintosh fil upptäckt. Filen kommer att konverteras till en DOS-fil vid städning."
"place_cleanup_detected";"Felaktig ortskodning upptäckt. Dessa fel bör rättas till. Följande prov visar den felaktiga orten som upptäcktes:"
"cleanup_places";"Städa orter"
"empty_lines_detected";"Tomma rader upptäcktes i din GEDCOM-fil. Vid städning kommer dessa tomma rader att tas bort."
"import_options";"Importeringsval"
"verify_gedcom";"Verifiera GEDCOM"
"import_statistics";"Importeringsstatestik"
"choose_report";"Välj en rapport att köra"
"enter_report_values";"Fyll i rapportvärden"
"selected_report";"Vald rapport"
"run_report";"Kör rapport"
"select_report";"Välj rapport"
"download_report";"Ladda ner rapport"
"pdf_reports";"PDF Rapporter"
"html_reports";"HTML-Rapporter"
"family_group_report";"Familjegruppsrapporter"
"page";"Sida"
"of";"av"
"enter_famid";"Skriv in familje-ID"
"show_notes";"Visa anteckningar?"
"show_basic";"Skriv ut standardhändelser när det är tomt?"
"show_photos";"Visa foton?"
"individual_report";"Personrapport"
"enter_pid";"Skriv in personens ID"
"individual_list_report";"Rapport: Personlista"
"generated_by";"Skapad av"
"list_children";"Lista varje barn i födelseordning."
"birth_report";"Födelsedatum- och ortsrapport"
"birthplace";"Födelseort innehåller"
"birthdate1";"Startdatum för födelseområde"
"birthdate2";"Slutdatum för födelseområdet"
"sort_by";"Sortera beroende på"
"cleanup";"Städa upp"
"skip_cleanup";"Hoppa över städning"
"dynasty_list";"Översikt över familjer"
"make_slklist";"Skapa EXCEL(SLK) lista"
"excel_list";"Utskrift i EXCEL(slk)-format för följande filer (först används patriarklista):"
"excel_tab";"Flik:"
"excel_create";"kommer att skapas på fil:"
"slk_list";"EXCEL SLK lista"
"statistics";"Statistik"
"merge_records";"Slå ihop poster"
"merge_same";"Posterna är inte av samma typ. Kan inte slå ihop poster som inte är samma typ."
"merge_step1";"Slå ihop steg 1 av 3"
"merge_step2";"Slå ihop steg 2 av 3"
"merge_step3";"Slå ihop steg 3 av 3"
"select_gedcom_records";"Välj 2 GEDCOM-poster att slå ihop. Posterna måste vara av samma typ."
"merge_to";"Slå ihop med ID:"
"merge_from";"Slå ihop från ID:"
"merge_facts_same";"Följande fakta är exakt samma i båda posterna och kommer att automatiskt slås ihop"
"no_matches_found";"Inga matchande fakta hittades"
"unmatching_facts";"Följande fakta matchade inte. Välj informationen du vill behålla."
"record";"Post"
"adding";"Lägga till"
"updating_linked";"Uppdatera länkade poster"
"merge_more";"Slå ihop flera poster."
"same_ids";"Du skrev in samma ID. Du kan inte slå ihop samma poster."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generationer i an-diagram"
"chart_style";"Diagramstil"
"chart_list";"Lista"
"chart_booklet";"Häfte"
"show_cousins";"Visa kusiner"
"sosa_2";"Far"
"sosa_3";"Mor"
"sosa_4";"Farfar"
"sosa_5";"Farmor"
"sosa_6";"Morfar"
"sosa_7";"Mormor"
"sosa_8";"Farfars far"
"sosa_9";"Farfars mor"
"sosa_10";"Farmors far"
"sosa_11";"Farmors mor"
"sosa_12";"Morfars far"
"sosa_13";"Morfars mor"
"sosa_14";"Mormors far"
"sosa_15";"Mormors mor"
"sosa_16";"Farfars farfar"
"sosa_17";"Farfars farmor"
"sosa_18";"Farfars morfar"
"sosa_19";"Farfars mormor"
"sosa_20";"Farmors farfar"
"sosa_21";"Farmors farmor"
"sosa_22";"Farmors morfar"
"sosa_23";"Farmors mormor"
"sosa_24";"Morfars farfar"
"sosa_25";"Morfars farmor"
"sosa_26";"Morfars morfar"
"sosa_27";"Morfars mormor"
"sosa_28";"Mormors farmor"
"sosa_29";"Mormors farmor"
"sosa_30";"Mormors morfar"
"sosa_31";"Mormors mormor"
"sosa_32";"Farfars farfars far"
"sosa_33";"Farfars farfars mor"
"sosa_34";"Farfars farmors far"
"sosa_35";"Farfars farmors mor"
"sosa_36";"Farfars morfars far"
"sosa_37";"Farfars morfars mor"
"sosa_38";"Farfars mormors far"
"sosa_39";"Farfars mormors mor"
"sosa_40";"Farmors farfars far"
"sosa_41";"Farmors farfars mor"
"sosa_42";"Farmors farmors far"
"sosa_43";"Farmors farmors mor"
"sosa_44";"Farmors morfars far"
"sosa_45";"Farmors morfars mor"
"sosa_46";"Farmors mormors far"
"sosa_47";"Farmors mormors mor"
"sosa_48";"Morfars farfars far"
"sosa_49";"Morfars farfars mor"
"sosa_50";"Morfars farmors far"
"sosa_51";"Morfars farmors mor"
"sosa_52";"Morfars morfars far"
"sosa_53";"Morfars morfars mor"
"sosa_54";"Morfars mormors far"
"sosa_55";"Morfars mormors mor"
"sosa_56";"Mormors farfars far"
"sosa_57";"Mormors farfars mor"
"sosa_58";"Mormors farmors far"
"sosa_59";"Mormors farmors mor"
"sosa_60";"Mormors morfars far"
"sosa_61";"Mormors morfars mor"
"sosa_62";"Mormors mormors far"
"sosa_63";"Mormors mormors mor"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generationer i Solfjäderdiagram"
"fan_width";"Solfjäderns bredd"
"gd_library";"Felkonfigurering av PHP-servern: GD 2.x biblioteket behövs för att använda bildfunktioner."
"gd_freetype";"Felkonfigurering av PHP-servern: Freetype biblioteket behövs för att använda TrueType-fonter."
"fontfile_error";"Teckensnittsfilen finns inte på PHP servern"
"fanchart_IE";"Solfjädersdiagrammet kan inte skrivas ut direkt av din webläsare. Använd högerklick, spara och skriv sedan ut bilden."
"rss_descr";"Nyheter och länkar från #GEDCOM_TITLE#-sajten"
"rss_logo_descr";"RSS-flöde skapat med Genmod"
"attendant";"Deltagare"
"attending";"Närvara"
"circumciser";"Omskärare"
"civil_registrar";"Borglig vigselförättare"
"friend";"Vän"
"godfather";"Gudfader"
"godmother";"Gudmoder"
"godparent";"Gudförälder"
"informant";"Sagesman"
"lodger";"Inneboende"
"nurse";"Sköterska"
"priest";"Präst"
"rabbi";"Rabbi"
"registry_officer";"Registreringskontor"
"servant";"Tjänare"
"twin";"Tvilling"
"twin_brother";"Tvillingbror"
"twin_sister";"Tvillingsyster"
"witness";"Vittne"
"statutci";"Kan inte skapa index"
"statnnames";"antal namn ="
"statnfam";"antal familjer ="
"statnmale";"antal män ="
"statnfemale";"antal kvinnor ="
"statvars";"Fyll i följande variabler för diagrammet"
"statlxa";"utmed x-axeln:"
"statlya";"utmed y-axeln:"
"statlza";"utmed z-axeln:"
"stat_10_none";"inga"
"stat_11_mb";"Födelsemånad"
"stat_12_md";"Dödsmånad"
"stat_13_mm";"Vigselmånad"
"stat_14_mb1";"Födelsemånad för det första barnet i relationen"
"stat_15_mm1";"Månad för första vigseln"
"stat_16_mmb";"Månader mellan vigsel och första barnet."
"stat_17_arb";"ålder i förhållande till födelseår."
"stat_18_ard";"ålder i förhållande till dödsår."
"stat_19_arm";"ålder vid vigsel."
"stat_20_arm1";"ålder vid första vigseln."
"stat_21_nok";"antal barn."
"stat_gmx";"kontrollera axelvärden för månad"
"stat_gax";"kontrollera axelvärden för åldrar"
"stat_gnx";"kontrollera axelvärden för antal"
"stat_200_none";"alla (eller tom)"
"stat_201_num";"antal"
"stat_202_perc";"procent"
"stat_300_none";"inga"
"stat_301_mf";"man/kvinna"
"stat_302_cgp";"perioder. kontrollera axelvärden för perioder (z-axeln)"
"statmess1";"<b>Fyll i nästa rad i förhållande till tidigare inställningar på x-axeln eller z-axeln</b>"
"statar_xgp";"Axelvärden för perioder (x-axeln):"
"statar_xgl";"axelvärden för ålder (x-axeln):"
"statar_xgm";"axelvärden för månad (x-axeln):"
"statar_xga";"axelvärden för antal (x-axeln):"
"statar_zgp";"axelvärden för perioder (z-axeln):"
"statreset";"Återställ"
"statsubmit";"Visa diagram"
"stpl";"..."
"stplGDno";"Grafikvisningsbiblioteket är inte tillgängligt i PHP 4. Fråga din systemadministratör"
"stpljpgraphno";"JPGraph moduler är inte tillgängliga i Genmod/jpgraph/. Var vänlig hämta dem från http://www.aditus.nu/jpgraph/jpdownload.php<br /><h3>Installera först JPGraph i katalogen Genmod/jpgraph/</h3><br />"
"stplinfo";"variabler i diagrammet:"
"stpltype";"typ:"
"stplnoim";"inte implementerad:"
"stplmf";"/ man-kvinna"
"stplipot";"/per tidsperiod"
"stplgzas";"gränser z-axel:"
"stplmonth";"månad"
"stplnumbers";"antal"
"stplage";"ålder"
"stplperc";"Procent"
"is_alive_in";"Är i livet år #YEAR#"
"alive";"Levde"
"dead";"Död "
"maybe";"Kanske "
"definitions";"Definitioner"
"description";"Beskrivning"
"block_desc";"Områdesbeskrivning"
"click_here";"Klicka här för att fortsätta"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Här är en kort beskrivning för varje område som du kan placera på #gm_lang[welcome]# eller #gm_lang[mygedview]# sidan.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"total_places";"Orter hittade"
"media_contains";"Media innehåller:"
"repo_contains";"Arkivet innehåller:"
"source_contains";"Källa innehåller:"
"display_all";"Visa alla"
"accesskeys";"Tangentbordsgenvägar"
"accesskey_skip_to_content";"C"
"accesskey_search";"S"
"accesskey_skip_to_content_desc";"Hoppa vidare till innehåll"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Visningsråd"
"accesskey_contact";"4"
"accesskey_individual_details";"|"
"accesskey_individual_relatives";"R"
"accesskey_individual_notes";"N"
"accesskey_individual_sources";"O"
"accesskey_individual_media";"A"
"accesskey_individual_research_log";"L"
"accesskey_individual_pedigree";"P"
"accesskey_individual_descendancy";"D"
"accesskey_individual_timeline";"T"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_gedcom";"G"; //clash with rarely used English Netscape/Mozilla G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_children_timeline";"D"
"accesskey_family_timeline";"T"
"accesskey_family_gedcom";"G"; //clash with rarely used English Netscape/Mozilla English G"
"add_faq_header";"FAQ rubrik"
"add_faq_body";"FAQ innehåll"
"add_faq_order";"FAQ position"
"no_faq_items";"FAQ listan är tom."
"position_item";"Position för artikel"
"confirm_faq_delete";"Är du säker på att du vill radera denna post?"
"preview";"Förhandsgranska"
"no_id";"Du har inte angett något FAQ ID!"
"hs_search";"Sök"
"hs_close";"Stäng fönster"
"hs_results";"Funna resultat:"
"hs_keyword";"Skriv in nyckelord:"
"hs_searchin";"Sök i:"
"hs_searchuser";"Användarhjälp"
"hs_searchconfig";"Administratörshjälp"
"hs_searchhow";"Sökningstyp"
"hs_searchall";"Alla ord"
"hs_searchany";"Något av orden"
"hs_searchsentence";"Exakt fras"
"hs_intruehelp";"Endast hjälptext"
"hs_inallhelp";"All text"
"media_import";"Importera och konvertera media"
"confirm_folder_delete";"Är du säker på att du vill radera denna mapp?"
"choose";"Välj:"
"account_information";"Kontoinformation"
"options";"Inställningar:"
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />Timglasdiagrammet visar både anorna och ättlingarna för den valda rotpersonen i samma diagram. Detta diagram är en sorts mix mellan en antavla och en stamtavla.<br /><br />Rotpersonen är centrerad i mitten på sidan med ättlingar till vänster och anor till höger. I denna vyn är varje generation uppställd så att den startar med den tidigaste generationer och slutar med den senaste.<br /><br />"
"help_header";"Extra information om:"
"help_pedigree.php";"~ANTAVLANS SIDA.~<br /><br />Antavlan är en uppräkning av alla anor till startpersonen.<br />När du kommer till denna sajt är startpersonen personen längst till vänster(när du loggar in kan du välja din egen startperson).<br /><br />Så alla anor betyder far och mor coch deras far och mor osv. På denna sida ser du anorna i en grafisk vy. Du behöver inte kämpa igenom sidor av text för att hitta dina anor. Alla personer visas i namnboxar på skärmen.<br /><ul><li><b>Namnboxar i antavlan</b><br />Om antavlan är satt att visa detaljer, kommer du att se personens namn och datumet för födelse och död.<br />Du kan klicka på en persons namn, du blir du förflyttad till personens #gm_lang[indi_info]#.<br /><br />När <b>visa detljer</b> är på så finns det två ikoner inuti namnboxen.</li><br /><li><b>Antavleikonen inuti namnboxen</b><br />När <b>visa detaljer</b> är på, kan du se en antavleikon inuti namnboxen. Beroende på sajt-inställningar måste du sväva över ikonen eller klicka på den.<br />Så, när du klickar på den eller svävar över den, visar sig en liten undermenyn.<br />Valen <b>#gm_lang[index_header]#</b> och <b>#gm_lang[descend_chart]#</b>är lika dem i huvudmenyn, skillnaden är att personen i namnboxen blir startperson. Dessutom ser du <b>#gm_lang[as_spouse]#</b>. Du ser namnet på maken/an följt av namnet/n på barnen. Alla namnen är klickbara.</li><br /><li><b>Förstoringsglaset inuti namnboxen</b><br />Beroende på sajt-inställningar, måste du sväva över eller klicka på det.<br />Detta förstorar namnboxen, så att fler detaljer visas.<br />Du ser fler händelser och datum. Namnen är klickbara.</li><br /><li><b>Pilarna</b><br />Till vänster eller höger om de yttersta namnboxarna kan du se pilar.<br />Om man klickar på dessa pilar så "skiftar man" skärmen i pilens riktning.</li></ul><br />#gm_lang[context_help]#<br/ ><br />"
"register_info_01";"~BEGÄR NYTT ANVÄNDARKONTO~<br /><br />Mängden data som kan ses av alla på denna sajt kan vara begränsad pga lagar som rör personers privatliv (PUL). De flesta människor vill inte ha sin personliga information tillgänglig på internet, då sådan information kan missbrukas för t ex spam eller identitetsstöld.<br /><br />För att få tillgång till den privata informationen måste du ha ett konto på denna sajt. Du kan registrera dig för att få konto och efter att administratören har kontrollerat och godkänt din ansökan, så kan du logga in och se den privata informationen.<br /><br />Om dessutom finessen relationssäkerhet är aktiverad, kommer du bara att kunna se privat information om dina egna nära släktingar. Administratören kan också ge rättigheter för att ändra och lägga till information i databasen.<br /><br />Om du behöver mer hjälp, använd länken nedan och kontakta administratören.<br /><br /> "
"register_info_02";"~BEGÄR NYTT ANVÄNDARKONTO~<br /><br />Mängden data som kan ses av alla på denna sajt kan vara begränsad pga lagar som rör personers privatliv (PUL). De flesta människor vill inte ha sin personliga information tillgänglig på internet, då sådan information kan missbrukas för t ex spam eller identitetsstöld.<br /><br />Tillgång till denna sajt är endast tillgänglig för <u>behöriga</u> användare. Efter administratören har verifierat och godkänt din kontoansökan, kan du logga in och för att se privat data.<br /><br />Om dessutom finessen relationssäkerhet är aktiverad, kommer du bara att kunna se privat information om dina egna nära släktingar. Administratören kan också ge rättigheter för att ändra och lägga till information i databasen.<br /><br />Om du behöver mer hjälp, använd länken nedan och kontakta administratören.<br /><br /> "
"register_info_03";"~REQUEST NEW USER ACCOUNT~<br /><br />Mängden data som kan ses av alla på denna sajt kan vara begränsad pga lagar som rör personers privatliv (PUL). De flesta människor vill inte ha sin personliga information tillgänglig på internet, då sådan information kan missbrukas för t ex spam eller identitetsstöld.<br /><br />Tillgång till denna sajt är endast tillgänglig för <u>familjemedlemar</u>. Efter administratören har verifierat och godkänt din kontoansökan, kan du logga in och för att se privat data.<br /><br />Om dessutom finessen relationssäkerhet är aktiverad, kommer du bara att kunna se privat information om dina egna nära släktingar. Administratören kan också ge rättigheter för att ändra och lägga till information i databasen.<br /><br />Om du inte är en nära släkting kommer du troligen inte att få några rättighter så det är inte värt besväret att försöka.<br />Om du behöver mer hjälp, använd länken nedan och kontakta administratören.<br /><br /> "
"help_descendancy.php";"~STAMTAVLA~<br /><br />Denna sida visar ättlingar till en person.<br />Du kan välja en annan startperson för stamtavlan på denna sida eller du kan länkas till denna sida genom klicka på <b>#gm_lang[descend_chart]#</b> från en annan sida.<br />Klicka på upp-pilen för att komma högre upp i trädet. Klicka på diagramikonen i en personruta för att göra denna person till rot i trädet.<br /><br />"
"help_timeline.php";"~TIDSLINJEDIAGRAM~<br /><br />På denna sida visa en eller flera personer längs en tidslinje. På detta sätt du t.ex. visa statusen för två eller flera personer vid ett visst tillfälle.<br /><br />Om du klickar på <b>Tidslinje</b> länken från en annan sida kommer du se den personen på tidslinje diagrammet.<br />Om du klickar på <b>Tidslinjediagramet</b> i menyn, kommer du att behöva skriva in ID på en person att starta med.<br /><br />"
"help_relationship.php";"~SLÄKTSKAPSSIDAN~<br /><br />På denna sida kan visa släktskapet mellan två personer. Det betyder inte att dessa personer behöver vara släkt via blodsband. Vilket förhållande som helst kommer att hittas.<br /><br />"
"help_ancestry.php";"~#gm_lang[ancestry_chart]# sida~<br /><br />Väldigt likt <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, med fler detaljer och många <a href="?help=chart_style_help">#gm_lang[chart_style]#</a>.<br /><br />Varje ana visas med ett unikt nummer från <i>Sosa-Stradonitz</i> systemet:<ul><b>Jämna</b> för men (barn*2)<br /><b>udda</b> för kvinnor (Make+1) utom för <b>1</b></ul><br />Ex: <br /><ul>rotpersonen är <b>1</b>, oavsett kön.<br /><b>1</b>'s fader är <b>2</b> (<b>1</b> * 2), moder är <b>3</b> (<b>2</b> + 1).<br /><b>2</b>'s fader är <b>4</b> (<b>2</b> * 2), moder är <b>5</b> (<b>4</b> + 1).<br /><b>3</b>'s fader är <b>6</b> (<b>3</b> * 2), moder är <b>7</b> (<b>6</b> + 1).<br /><b>7</b>'s fader är <b>14</b> (<b>7</b> * 2), moder är <b>15</b> (<b>14</b> +1).<br />etc.</ul><br />"
"help_fanchart.php";"~#gm_lang[fan_chart]# sida~<br /><br />Väldigt likt <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, fast med en mer grafisk inriktning.<br /><br />Rotpersonen är i centrum, hans föräldrar i den första ringen, far/mor-föräldrar i den andra ringen...<br /><br />Födelseåret och dödsåret skrivs ut om det är känt.<br /><br />Klicka på ett namn i diagrammet öppnar en länk till en meny specifik för den personen. Från denna meny kan du välja flytta den personen till centrum av solfjäderdiagrammet eller till en av persons nära släktingar, eller du kan flytta till personens #gm_lang[indi_info]#-sida eller ett annat diagram för personen.<br /><br />"
"help_indilist.php";"~PERSONLISTNINGSSIDAN~<br /><br />På denna sida kan du visa en lista på personer. Namnen kommer att visa efternamn först och sorterad i alfabetisk ordning.<br /><br />Listans utseende beror på:<ol><li>Bokstaven som du klickade på i den alfabetiska listan.</li><li>Beroende på klickade "Hoppa över" eller "Visa" efternamnslista.</li></ol>#gm_lang[context_help]#<br /><br />"
"help_famlist.php";"~FAMILJESIDAN~<br /><br />På denna sida kan du visa en lista av familjer. Namnen kommer att visas efternamn först och sorterade i bokstavsordning.<br /><br />Utskriften från namnlistan beror på:<ol><li>Bokstaven du klickade på i alfabetet.</li><li>Du klickade på "Hoppa över" eller "Visa" efternamnslista.</li></ol>Du kan söka efter makens eller makans efternamn, båda finns i listan.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_family.php";"~FAMILJDETALJSIDAN~<br /><br />Denna sida kommer att visa en översikt av familjen som du valt på en tidigare sida.<br />Från högst upp till längst ner kommer du att se boxar med:<br />Maken och hans föräldrar, makan och hennes föräldrar och barnen.<br /><br />Utseendet och innehållet för namnboxarna är det samma som namnboxarna som de redan känner till i antavlan och stamtavlan.<br />Till höger om namnboxarna ser du en pil. Klickar du på den pilen kommer du en generation bakåt till den familjens familjesida.<br />På höger sida <i>i</i> namnboxen kan du se ett förstoringsglas som ger mer detaljerad information om personen. Klickar man på namnet kommer man till personens detaljsida.<br />Dessutom finns det på höger sida en liten meny som kan ta dig till sidor med mer information eller diagram.<br /><br />Familjegruppens information visar alla kända fakta och information om familjen, som vigsel, multimediaobjekt och anteckningar. För faktainformationen, klickar man på en ort kommer man till ortslistan, där alla andra familjer och personer kopplade till orten visas. Klicka på ett datum och du kommer till dagkalendern, vilket kommer att visa alla händelser som hänt denna dag och månad i det förflutna. Multimediaobjekt kan också klickas på, detta kommer att öppna ett nytt fönster i vilket objektet visas. Om du klickar på en käll-länk kommer detaljerna om källan att visas på källsidan.<br /><br />Under namnboxarna för barn(en) hittar du en länk till "Lägg till ett barn till familjen".<br />Intill namnboxen för barnen ser du "familjegruppsinformationen".<br />Om du har tillräckligt med rättigheter kan du här, ändra, lägga till och ta bort data och fakta.<br /><br />På den högra sidan av skärmen ser du ikoner och länkar för(om tillåtet):<br /><b>Visa GEDCOM-post</b>, vilket visar informationen i GEDCOM-format.<br /><b>Lägg till i urklippskorgen</b> viklet gör det möjligt för dig att spara denna information i urklippskorgen. Därifrån kan du sedan ladda ner informationen och importera den i ditt eget släktforskningprogram.<br /><b>Visa par på tidslinjen</b>, vilket kommer att föra dig till en tidslinjediagram och visa alla fakta om paret på en tidsaxel.<br /><br />#gm_lang[more_help]#"
"help_sourcelist.php";"~KÄLLSIDAN~<br /><br />På denna sidan visas en lista av källor.<br />Skillnaden mot #gm_lang[indi_info]# och familjesidan är att det inte finns något alfabet överst. Detta beror på att källor kan vara personer med, förstås, för och efternamn, men det kan också vara databaser, kyrkböcker etc.<br />Detta betyder att det är svårt att sortera. Men Genmod <u>sorterar</u> källorna i alfabetiska ordning.<br /><br /><b>KÄLLOR</b><br />Utan källor kan vi inte bygga en databas eftersom all information i databasen är en källa. Detta kan vara en släkting ett institut, publik databas etc.<br /><br />En källa kan vara länkad till många personer. Men en person kan också vara länkad till många källor. Du kan ha olika källor för varje händelse, oavsett om det är ett födelsedatum, yrke, vigsel, barn, etc, etc.<br /><br />"
"help_source.php";"~KÄLLDETALJSIDAN~<br /><br />På denna sida visas detljerna om källan. Källor är väldigt viktiga för släktforskare och låter dig följa en annan släktforskare spår för att finna informationen.<br /><br />På sidan kan du se information om källans titel, författare, publicering och var källan finns. Eftersom det finns så många typer av källor kan vissa källor visa mer information än andra.<br /><br />Om ett multimediaobjekt(t.ex. ett scannat document) är knutet till en källa kan du se objektet i ett större fönster genom att antingen klicka på objektet eller på filnamnet sidan om det.<br /><br />Efter källdetaljeran visas en lista med namn på personer och familjer som är länkade till källan. Det gör det möjligt att se all information som man fått från samma källa.<br /><br />Om adminstratören satt på möjligheten så finns det ytterligare en eller två menyikoner på denna sidan:<ol><li><b>#gm_lang[view_gedcom]#</b><br />vilket visar informationen i GEDCOM-format.</li><br /><li><b>#gm_lang[add_to_cart]#</b><br /> vilket låter dig spara denna information i din #gm_lang[clip_cart]#. Därifrån kan du sedan ladda ner informationen och importera den till eget släktforskningsprogram.</li></ol><br />#gm_lang[context_help]#<br /><br />"
"help_placelist.php";"~ORTSHIERARKI~<br />(eller personer per ort)<br /><br />På denna sida kommer du se en hierarki av orter från GEDCOM-filen och vilka personer eller familjer som är kopplade till orten.<br /><br />Om det finns en koppling mellan en person eller familj och en händelse på en bestämd ort kommer programmet att hitta det åt dig.<br /><br />Resultater visas i en dubbel lista, En för personer och en för familjer.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~MULTIMEDIA OBJEKTLISTA~<br /><br />Denna sida listar alla multimediaobjekt(MMO) som hittas i denna GEDCOM-fil.<br /><br />För varje mediaartikel ser du titeln eller filnamnet för objektet, namnet på personen eller familjen som är kopplade till MMO-objektet och eventuella anteckningar.<br /><br />Klicka på namnet för personen eller familjen så förflyttas du till ansedeln eller familjesidan.<br /><br />Klikar man på namnet på MMO så har det samma effekt som att klicka på själva MMO-objektet.<br />Beroende på formatet för MMO (*.gif,*.jpg), kommer MMO att öppnas i den interna GM-visaren eller i en visare kopplade till din nätbläddare.<br /><br />Klickar man på visa-länken intill personen eller familjen kommer att föra dig till personens eller familjen detaljsida.<br /><br />"
"help_uploadmedia.php";"~UPPLADNING AV MEDIAFILER~<br /><br />Ladda upp filer är enkelt, men här kommer lite extra information.<br /><br /><b>Miniatyrbilder</b><br />Miniatyrbilder bör ha en storlek omkring 100 pixlar bred.<br />Filnamnet måste vara samma som för orginalbilden.<br /><br /><b>Uppladdning</b><br />Filerna kommer att automatiskt laddat upp till katalogen ./media för de stora bilderna och till ./media/thumbs för miniatyrbilderna.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~JUBILEUMSKALENDER~<br /><br />><ul><li><a href="#calendar_general">Generell information</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Händelse</a><li><a href="#calendar_button">Välja mod (knappar)</a><li><a href="#calendar_tip">Tips</a></ul><br /><a name="calendar_general"></a>Funktionen i jubileumskalendern är att visa personer eller familjer som är kopplade till en händelse en viss dag och/eller månad eller under en viss tid. Den har ett avancerat filter för att välja ut rätt datum eller period och händelser för dig.<dl><dt><b>Visa <a href="#calendar_day">Dagmod</b></dt><dd>Denna visar händelser en vissa dag oberoende av det valda året. Resultatet blir antingen en enkel lista med namn på personer eller familjer eller en dubbellista med på ena sidan personer och på andra sidan familjer.</dd><dt><b>Visa <a href="#calendar_month">Månadsmod</a></b></dt><dd>I <b>kalendern</b> visas namnen på både personer och familjer inom boxen. Kalendern visas som den såg ut vid det år du skrev in i årsboxen. Alla händelser som hänt i det förflutna fram till året du angav visas. I kombination med valet "<a href="#calendar_show">#gm_lang[recent_events]#</a>" ger det en realistisk bild av hur en kalender såg ut för våra anor.</dd><dt><b>Visa <a href="#calendar_year">År</a></b></dt><dd>Detta val visar händelser ett visst år eller under ett antal år. Resultatet blir antingen en enkel lista med namn på personer eller familjer eller en dubbellista med på ena sidan personer och på andra sidan familjer.</dd></dl>I en markerad färg visas den nuvarande dag, månad och vilka händelser som visas.<br /><br />Namnen som visas i listan eller kalendern är klickbara.<br />Klicka på ett namn och du kommer till ansedeln för denna person eller familj, klicka på ett datum kommer att föra dig till "Idag"-mod (eller år)som kommer att visa alla händelser för den dag och månad som du klickade på.<br /><br />><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
