"stat_sources";"Fontes, "
"lang_name_russian";"Russo"
"lang_name_spanish";"Espanhol"
"lang_name_spanish_ar";"Espanhol Latino Americano"
"lang_name_swedish";"Sueco"
"lang_name_turkish";"Turco"
"lang_new_language";"Nova Linguagem"
"original_lang_name";"Original name of language in #D_LANGNAME#"
"lang_shortcut";"Shortcut for language files"
"lang_langcode";"Language detection codes"
"flagsfile";"Flagfilename"
"text_direction";"Text direction"
"date_format";"Date format"
"time_format";"Time format"
"week_start";"Week Starting day"
"name_reverse";"Surname First"
"ltr";"Left to right"
"rtl";"Right to left"
"file_does_not_exist";"ERROR! The file does not exist..."
"alphabet_upper";"Alphabet upper case"
"alphabet_lower";"Alphabet lower case"
"lang_config_write_error";"Error writing language settings into the file [language_settings.php]. Check permissions and try again."
"translation_forum";"Link to the Genmod translations forum on SourceForge"
"system_time";"Current System Time:"
"gedcom_not_imported";"This GEDCOM has not been imported yet."
"lang_set_file_read_error";"E R R O R !!! Could not read [language_settings.php]!"
"add_new_language";"Add files and settings for a new language"
"add_new_lang_button";"Add new language"
"hide_translated";"Hide translated"
"lang_file_write_error";"E R R O R !!!<br /><br />Could not write changes into the selected language file!<br />Check write permissions on (#lang_filename#)"
"never";"Nunca"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
