"stat_sources";"Fuentes"
"theme_select_descr";"El bloque de <i>Tema Seleccionado(Theme Select)</i> muestra el selector de Tema (Theme) aun cuando la opci&oacute;n para cambiar el tema no este habilitado."
"block_top10_title";"Top 10 Apellidos"
"block_top10_descr";"Este bloque muestra una tabla de los 10 apellidos mas usados. Este bloque, numero actual de apellidos, es configurable. Usted puede configurar GEDCOM para remover los nombres de esta lista."
"gedcom_news_descr";"El bloque de <i>The GEDCOM News block shows the visitor news releases or articles posted by an admin user.<br /><br />The News block is a good place to announce a significant database update, a family reunion, or the birth of a child."
"user_news_descr";"El bloque de <i>Jornal de Usuario</i> le permite al usuario mantener notas o un jornal en linea."
"my_journal";"Mi Journal"
"no_journal";"Usted no ha agregado nada a su Jornal."
"confirm_journal_delete";"Esta seguro que quiere borrar este record?"
"add_journal";"Agregar algo a el Jornal"
"confirm_news_delete";"Esta seguro que quiere borrar este record de la secci&oacute;n de Noticias (News)?"
"add_news";"Agregar un articulo a la secci&oacute;n de Noticias (News)"
"no_news";"No se ha agregado ningun detalle a la secci&oacute;n de Noticias (News)."
"edit_news";"Agregar/Editar Record de Jornal/Noticias"
"enter_title";"Por favor agregar un titulo."
"enter_text";"Por favor agregar texto a este record de Noticias y Jornal."
"news_saved";"Un nuevo record ha sido agregado a la secci&oacute;n de Noticias/Jornal."
"article_text";"Texto:"
"main_section";"Secci&oacute;n de Bloques Principales"
"right_section";"Secci&oacute;n de Bloque de la parte derecha"
"available_blocks";"Bloques disponibles"
"move_up";"Subir"
"move_down";"Bajar"
"move_right";"Derecha"
"move_left";"Izquierda"
"broadcast_all";"Transmitir a todos los usuarios"
"hit_count";"Numero de veces visitado:"
"Genmod_message";"Mensaje Genmod"
"common_surnames";"Apellidos mas comunes"
"default_news_title";"Bienvenido a su Genealogia"
"default_news_text";"La informaci&oacute;n genealogica en este sitio esta impulsada por <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a>.  Esta p&aacute;gina provee una introducci&oacute;n a esta genealogia.<br /><br />Para comenzar a trabajar con esta data, escoga uno de las fichas (charts) en el menu de Fichas, vaya a la lista de Individuos, o use la opci&oacute;n de busqueda para buscar un nombre o lugar.<br /><br />Si usted tiene problemas usando nuestro sitio, puede pulsar en el icono de Ayuda (Help) para obtener mas informaci&oacute;n en cuanto a como usar la p&aacute;gina que esta viendo.<br /><br />Gracias por visitar nuestro sitio."
"reset_default_blocks";"Regresar a la lista de Bloques Original"
"recent_changes";"Cambios Recientes"
"recent_changes_descr";"El bloque de <i>Cambios frecuentes</i> mostrara una lista de todos los cambios que han sido hechos en el ultimo mes. Este bloque puede ayudarle a mantenerse al dia en relaci&oacute;n a los cambios efectuados recientemente. Los cambios son detectados automaticamente, usando el tag CHAN definido en el standard GEDCOM."
"recent_changes_none";"<b>No han habido cambioe efectuados en los ultimos #gm_lang[global_num1]# dias.</b><br />"
"recent_changes_some";"<b>Cambios efectuados en los ultimos #gm_lang[global_num1]# dias</b><br />"
"show_empty_block";"Le gustaria esconder este bloque si esta vacio?"
"hide_block_warn";"Si usted esconde un bloque vacio, no podra cambiar su configuraci&oacute;n hasta tanto no tenga algo dentro del mismo; es decir, no vacio."
"delete_selected_messages";"Borrar Mensajes seleccionados"
"use_blocks_for_default";"Use estos bloques como el bloque standard para todos los usuarios?"
"block_not_configure";"Este bloque no puede ser configurado."
"performing_validation";"Performing GEDCOM validation..."
"changed_mac";"Macintosh line endings detected. All lines ending with only CR (Ctrl M) were changed to end with a CR (Ctrl M) followed by LF (Ctrl J).  This changed the internal file format from Macintosh to DOS as required by Genmod."
"changed_places";"Invalid Place encodings detected. Cleaned up place records to match proper GEDCOM 5.5 specifications.  An example from your input GEDCOM is:"
"invalid_dates";"Detected invalid date formats, on cleanup these will be changed to format of DD MMM YYYY (eg. 1 JAN 2004)."
"valid_gedcom";"Valid GEDCOM detected. No cleanup required."
"optional_tools";"You may also choose to run the following optional tools before importing."
"optional";"Optional Tools"
"day_before_month";"Day before Month (DD MM YYYY)"
"month_before_day";"Month before Day (MM DD YYYY)"
"do_not_change";"Do not change"
"change_id";"Change Individual ID to:"
"example_place";"Example of invalid place from your GEDCOM:"
"example_date";"Example of invalid date from your GEDCOM:"
"add_media_tool";"Add Media Tool"
"launch_media_tool";"Click here to launch the Add Media tool."
"add_media_descr";"This tool will add media OBJE tags to the database.  Close this window when you have finished adding media."
"highlighted";"Highlighted Image"
"extension";"Extension"
"order";"Order"
"inject_media_tool";"Add media to GEDCOM file"
"media_table_created";"Successfully updated <i>media</i> table."
"click_to_add_media";"Click here to add the Media listed above to GEDCOM #GEDCOM#"
"adds_completed";"Media successfully added to GEDCOM file."
"ansi_encoding_detected";"ANSI file encoding detected.  Genmod works best with files encoded in UTF-8."
"invalid_header";"Detected lines before the GEDCOM header <b>0&nbsp;HEAD</b>.  On cleanup, these lines will be removed."
"macfile_detected";"Macintosh file detected.  On cleanup your file will be converted to a DOS file."
"place_cleanup_detected";"Invalid place encodings were detected.  These errors should be fixed."
"cleanup_places";"Cleanup Places"
"empty_lines_detected";"Empty lines were detected in your GEDCOM file.   On cleanup, these empty lines will be removed."
"import_options";"Import Options"
"verify_gedcom";"Verify GEDCOM"
"import_statistics";"Import Statistics"
"choose_report";"Escoger un reporte para generar"
"enter_report_values";"Coloque valores usados para generar el Reporte"
"selected_report";"Reporte Seleccionado"
"run_report";"Ver Reporte"
"select_report";"Seleccione Reporte"
"download_report";"Descargar/Bajar Reporte"
"pdf_reports";"Reportes PDF"
"html_reports";"Reportes HTML"
"family_group_report";"Reporte - Grupo Familiar"
"page";"Pagina"
"of";"de"
"enter_famid";"Coloque ID Familiar"
"show_notes";"Mostrar notas?"
"show_basic";"Imprima eventos basicos cuando estos esten en blanco?"
"show_photos";"Mostrar fotografias?"
"individual_report";"Reporte Individual"
"enter_pid";"Coloque su ID Individual"
"individual_list_report";"Reporte - Lista de Individuos"
"generated_by";"Generado por"
"list_children";"Mostrar cada ni~no en order de fecha de nacimiento."
"birth_report";"Reporte - Lugar y Fecha de Nacimiento"
"birthplace";"Lugar de Nacimiento contiene"
"birthdate1";"Lugar de Nacimiento van desde"
"birthdate2";"Lugar de Nacimiento finaliza en"
"sort_by";"Ordenar de Acuerdo a"
"cleanup";"Limpiar"
"skip_cleanup";"Saltarse Limpieza"
"dynasty_list";"Overview of families"
"make_slklist";"Create EXCEL (SLK) list"
"excel_list";"Output in EXCEL (SLK) format on the following files (first use Patriarch list):"
"excel_tab";"tabblad:"
"excel_create";"will be created on file:"
"slk_list";"EXCEL SLK list"
"statistics";"Statistics"
"merge_records";"Combinar records"
"merge_same";"Records no son del mismo tipo. No puede combinar records que no sean del mismo tipo."
"merge_step1";"Combinaci&oacute;n de Records - Paso 1 de 3"
"merge_step2";"Combinaci&oacute;n de Records - Paso 2 de 3"
"merge_step3";"Combinaci&oacute;n de Records - Paso 3 de 3"
"select_gedcom_records";"Seleccione dos(2) GEDCOM records para combinar. Los mismos deben ser del mismo tipo."
"merge_to";"Combinar - A el ID:"
"merge_from";"Combinar - Desde el ID:"
"merge_facts_same";"Los siguientes hechos eran iguales en ambos records y seran combinados automaticamente."
"no_matches_found";"No hemos encontrados hechos (matching records)"
"unmatching_facts";"Los siguientes hechos no son iguales. Seleccione la informacion que usted quiere salvar/mantener."
"record";"Record"
"adding";"Agregando"
"updating_linked";"Actualizando record enlazado"
"merge_more";"Combinar mas records."
"same_ids";"Usted ha colocado los mismos IDs. Usted no puede combinar los mismos records."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generation Ancestry Chart"
"chart_style";"Chart style"
"chart_list";"List"
"chart_booklet";"Booklet"
"show_cousins";"Mostrar primos"
"sosa_2";"Father"
"sosa_3";"Mother"
"sosa_4";"Grandfather"
"sosa_5";"Grandmother"
"sosa_6";"Grandfather"
"sosa_7";"Grandmother"
"sosa_8";"Great-grandfather"
"sosa_9";"Great-grandmother"
"sosa_10";"Great-grandfather"
"sosa_11";"Great-grandmother"
"sosa_12";"Great-grandfather"
"sosa_13";"Great-grandmother"
"sosa_14";"Great-grandfather"
"sosa_15";"Great-grandmother"
"sosa_16";"Great-great-grandfather"
"sosa_17";"Great-great-grandmother"
"sosa_18";"Great-great-grandfather"
"sosa_19";"Great-great-grandmother"
"sosa_20";"Great-great-grandfather"
"sosa_21";"Great-great-grandmother"
"sosa_22";"Great-great-grandfather"
"sosa_23";"Great-great-grandmother"
"sosa_24";"Great-great-grandfather"
"sosa_25";"Great-great-grandmother"
"sosa_26";"Great-great-grandfather"
"sosa_27";"Great-great-grandmother"
"sosa_28";"Great-great-grandfather"
"sosa_29";"Great-great-grandmother"
"sosa_30";"Great-great-grandfather"
"sosa_31";"Great-great-grandmother"
"sosa_32";"Great-great-great-grandfather"
"sosa_33";"Great-great-great-grandmother"
"sosa_34";"Great-great-great-grandfather"
"sosa_35";"Great-great-great-grandmother"
"sosa_36";"Great-great-great-grandfather"
"sosa_37";"Great-great-great-grandmother"
"sosa_38";"Great-great-great-grandfather"
"sosa_39";"Great-great-great-grandmother"
"sosa_40";"Great-great-great-grandfather"
"sosa_41";"Great-great-great-grandmother"
"sosa_42";"Great-great-great-grandfather"
"sosa_43";"Great-great-great-grandmother"
"sosa_44";"Great-great-great-grandfather"
"sosa_45";"Great-great-great-grandmother"
"sosa_46";"Great-great-great-grandfather"
"sosa_47";"Great-great-great-grandmother"
"sosa_48";"Great-great-great-grandfather"
"sosa_49";"Great-great-great-grandmother"
"sosa_50";"Great-great-great-grandfather"
"sosa_51";"Great-great-great-grandmother"
"sosa_52";"Great-great-great-grandfather"
"sosa_53";"Great-great-great-grandmother"
"sosa_54";"Great-great-great-grandfather"
"sosa_55";"Great-great-great-grandmother"
"sosa_56";"Great-great-great-grandfather"
"sosa_57";"Great-great-great-grandmother"
"sosa_58";"Great-great-great-grandfather"
"sosa_59";"Great-great-great-grandmother"
"sosa_60";"Great-great-great-grandfather"
"sosa_61";"Great-great-great-grandmother"
"sosa_62";"Great-great-great-grandfather"
"sosa_63";"Great-great-great-grandmother"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generation Circle Diagram"
"fan_width";"Width"
"gd_library";"PHP server misconfiguration: GD 2.x library required to use image functions."
"gd_freetype";"PHP server misconfiguration: FreeType library required to use TrueType fonts."
"fontfile_error";"Font file not found on PHP server"
"fanchart_IE";"This Fanchart image cannot be printed directly by your browser. Use right-click then save and print."
"rss_descr";"News and links from the #GEDCOM_TITLE# site"
"rss_logo_descr";"Feed created by Genmod"
"attendant";"Attendant"
"attending";"Attending"
"circumciser";"Circumciser"
"civil_registrar";"Civil Registrar"
"friend";"Friend"
"godfather";"Padrino"
"godmother";"Madrina"
"godparent";"Padrinos"
"informant";"Informante"
"lodger";"Lodger"
"nurse";"Nurse"
"priest";"Priest"
"rabbi";"Rabbi"
"registry_officer";"Registry Officer"
"servant";"Servant"
"twin";"Twin"
"twin_brother";"Twin brother"
"twin_sister";"Twin sister"
"witness";"Witness"
"statutci";"unable to create index"
"statnnames";"number of names    ="
"statnfam";"number of families ="
"statnmale";"number of males    ="
"statnfemale";"number of females  ="
"statvars";"Fill in the following variables for the plot"
"statlxa";"along x-axis:"
"statlya";"along y-axis:"
"statlza";"along z-axis"
"stat_10_none";"none"
"stat_11_mb";"Month of birth"
"stat_12_md";"Month of death"
"stat_13_mm";"Month of marriage"
"stat_14_mb1";"Month of birth of first child in a relation"
"stat_15_mm1";"Month of first marriage"
"stat_16_mmb";"Month between marriage and first child."
"stat_17_arb";"age related to birth year."
"stat_18_ard";"age related to death year."
"stat_19_arm";"age in year of marriage."
"stat_20_arm1";"age in year of first marriage."
"stat_21_nok";"number of children."
"stat_gmx";"check tickvalues for month"
"stat_gax";"check tickvalues for ages"
"stat_gnx";"check tickvalues for numbers"
"stat_200_none";"all (or blank)"
"stat_201_num";"numbers"
"stat_202_perc";"percentage"
"stat_300_none";"none"
"stat_301_mf";"male/female"
"stat_302_cgp";"periods. Check tickvalues for periods z-axis"
"statmess1";"<b>Just fill in next rows related to earlier settings on x-axis or z-axis</b>"
"statar_xgp";"tickvalues for periods (x-axis):"
"statar_xgl";"tickvalues for ages    (x-axis):"
"statar_xgm";"tickvalues for month   (x-axis):"
"statar_xga";"tickvalues for numbers (x-axis):"
"statar_zgp";"tickvalues for periods (z-axis):"
"statreset";"reset"
"statsubmit";"show the plot"
"stpl";"..."
"stplGDno";"Graphics Display Library is not available in PHP 4. Please contact your system administrator"
"stpljpgraphno";"JPgraph modules are not available in directory <i>Genmod/jpgraph/</i> . Please get them from http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>First install JPgraph in directory <i>Genmod/jpgraph/</i></h3><br>"
"stplinfo";"plotting information:"
"stpltype";"type:"
"stplnoim";"not implemented:"
"stplmf";"/ man-woman"
"stplipot";"/ per timeperiod"
"stplgzas";"borders z-axis:"
"stplmonth";"month"
"stplnumbers";"numbers for a family"
"stplage";"age"
"stplperc";"percentage"
"is_alive_in";"Is alive in #YEAR#"
"alive";"Alive "
"dead";"Dead "
"maybe";"Maybe "
"definitions";"Definitions"
"description";"Description"
"block_desc";"Block Descriptions"
"click_here";"Click here to continue"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Here is a short description of each of the blocks you can place on the #gm_lang[welcome]# or #gm_lang[mygedview]# page.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"total_places";"Places found"
"media_contains";"Media contains:"
"repo_contains";"Repository contains:"
"source_contains";"Source contains:"
"display_all";"Display all"
"accesskeys";"Keyboard Shortcuts"
"accesskey_skip_to_content";"C"
"accesskey_search";"S"
"accesskey_skip_to_content_desc";"Skip to Content"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Viewing advice"
"accesskey_contact";"4"
"accesskey_individual_details";"I"
"accesskey_individual_relatives";"R"
"accesskey_individual_notes";"N"
"accesskey_individual_sources";"O"
"accesskey_individual_media";"A"
"accesskey_individual_research_log";"L"
"accesskey_individual_pedigree";"P"
"accesskey_individual_descendancy";"D"
"accesskey_individual_timeline";"T"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_children_timeline";"D"
"accesskey_family_timeline";"T"
"accesskey_family_gedcom";"G"
"add_faq_header";"FAQ Header"
"add_faq_body";"FAQ Body"
"add_faq_order";"FAQ Position"
"no_faq_items";"The FAQ list is empty."
"position_item";"Position item"
"confirm_faq_delete";"Are you sure you want to delete the FAQ entry"
"preview";"Preview"
"no_id";"No FAQ ID has been specified !"
"hs_search";"Search"
"hs_close";"Close window"
"hs_results";"Results found:"
"hs_keyword";"Search for"
"hs_searchin";"Search in"
"hs_searchuser";"User Help"
"hs_searchconfig";"Administrator Help"
"hs_searchhow";"Search type"
"hs_searchall";"All words"
"hs_searchany";"Any word"
"hs_searchsentence";"Exact phrase"
"hs_intruehelp";"Help text only"
"hs_inallhelp";"All text"
"media_import";"Import and convert media"
"confirm_folder_delete";"Are you sure you want to delete this folder?"
"choose";"Choose: "
"account_information";"Account Information"
"old_record";"Old record"
"new_record";"New record"
"logs";"Logs"
"help_header";"Información adicional sobre:"
"help_pedigree.php";"~PÁGINA DE ANTEPASADOS.~<br /><br />La página de Antepasados es la primera de este programa.<br /><br />* MÁS AYUDA<br /> A la derecha de algunos enlaces, cajas o botones podrá encontrar un signo de interrogación. Pulsando este signo ?, se abrirá una pequeña ventana con más información<br /><br />* Entrar<br />Puede acceder como usuario registrado desde cualquier página de este programa.<br />Usted accede pulsando el enlace "Entrar" en la cabecera de la página.<br />Los visitantes que deseen abrir una cuenta en el sitio también deben de hacer clic en "Entrar".<br /><br />*Antepasados<br />La mayoría de los visitantes y usuarios sabrán lo que es un gráfico de Antepasados, pero alguna información mas acerca de nuestros antepasados no vendrá mal:<br />¡Ponga esa información aquí!<br /><br />* Nombres en las cajas de antepasados<br />Más información sobre la persona pulsando sobre su nombre en la caja.<br /><br />* Icono de enlaces dentro de la caja<br />Cuando la opción "Ver Detalles" está activada, podrá ver un icono despues del nombre. Dependiendo de la configuración del sitio deberá poner el puntero sobre el icono, o hacer clic sobre él, para acceder a la ventana de enlaces<br /><br />* Lupa para agrandar la caja.<br />También dependiendo de la configuración del sitio tendrá que posar el cursor sobre el icono o hacer clic sobre él.<br /><br />* Las flechas<br />A la derecha e izquierda de la página y a continuación de las cajas de los nombre podrá ver las Flechas.<br /><br />"
"help_descendancy.php";"~PÁGINA DE DESCENDIENTES~<br /><br />Esta página le mostrará los descendientes de una persona.<br />Puede escoger cualquier persona de esta página para ver su informe de descendientes, o bien enlazar directamente con esta página desde "Antepasados" en el menú superior.<br />"
"help_timeline.php";"~GRÁFICO DE EDADES~<br /><br />En esta página puede ver una o más personas a lo largo de la línea de tiempo.<br />De esta forma puede visualizar gráficamente el estado de dos o más personas en un determinado momento.<br /><br />Si pulsa el enlace del Gráfico de Edades desde cualquier página ya tendrá una persona o dos en la línea de tiempo.<br />Si pulsa el enlace desde el menú de la cabecera, tendrá que escribir el "ID" de al menos una persona para comenzar."
"help_relationship.php";"~PÁGINA PARENTESCO~<br /><br />En esta página puede buscar los lazos de parentesco entre dos personas.<br />No necesariamente estas dos personas tienen que estar relaccionadas por línea sanguínea.<br />Cualquier relacción de parentesco será hallada."
"help_indilist.php";"~PÁGINA de PERSONAS~<br /><br />En esta página puede ver una lista con todos las personas de la base de datos.<br /><br />Se mostrarán por orden alfabético primero los Apellidos seguidos del Nombre.<br />La lista que se obtiene depende de:<br /><b>1.</b>La letra que haya pulsado en el índice alfabético.<br /><b>2.</b> Si pulsó "Ocultar" o "Mostrar" Listas de Apellidos .<br /><br />Si está como usuario registrado, y tiene los permisos requeridos, puede agregar una persona sin enlazar a la base de datos.<br /><br />Si precisa de más ayuda, pulse el signo ? correspondiente."
"help_famlist.php";"~PÁGINA de FAMILIAS~<br /><br />En esta página se muestra una lista con todas las familias existentes en  la base de datos.<br /><br />Los apellidos se mostrarán primero ordenados alfabeticamente.<br />La lista obtenida depende de:<br /><b>1.</b> La letra que haya pulsado en el índice alfabético.<br /><b>2.</b> Si pulsó "Ocultar" o "Mostrar" Listas de Apellidos .<br /><br />Si precisa de más ayuda, pulse el signo ? correspondiente."
"help_sourcelist.php";"~PÁGINA de FUENTES~<br /><br />En esta página se muestra un listado de todas las fuentes de la base de datos.<br />A diferencia de Personas y Familias no dispone de un índice alfabético. Pues aunque pueden ser igualmente personas con nombre y apellidos, también lo son bases de datos públicas, institutos, etc.<br />Esto hace difícil encontrar una forma idónea para ordenarlas. Los nombres de fuentes se almacenan en el GEDCOM ordenados alfabéticamente.<br /><br /><b>FUENTES</b><br />Sin fuentes no es posible construir nuestra base de datos. Para toda información almacenada en nuestra base de datos existe una fuente. Y ésta puede ser una persona, instituto, base de datos pública, etc.<br />Una fuente puede enlazar con muchas personas. De otro lado, una persona también puede enlazar con muchas fuentes. Puede tener diferentes fuentes para cada acontecimiento: nacimiento, bautismo, profesión, matrimonio, hijos, etc. etc. "
"help_source.php";"~PÁGINA de DETALLES de la FUENTE~<br /><br />En esta página se muestran los detalles de la fuente.<br />Puede ver la información sobre la fuente, y como ésta es guardada en el GEDCOM.<br /><br />Además una lista de personas y familias que enlazan con esta fuente.<br /><br />Si el administrador del sitio los tiene activados, encontrará uno o más iconos en esta página:<br />Ver GEDCOM<br />Añadir al carrito.<br /><br />Hay más ayuda disponible en la página pulsando en el signo <b>?</b>"
"help_placelist.php";"~JERARQUÍA DE LUGARES~<br />(o Personas por Lugar)<br /><br />En esta pantalla puede ver que personas o familias están conectadas con un lugar.<br /><br />Si hay cualquier conexión entre una persona o familia y un evento en determinado lugar, el programa la encontrará por usted.<br /><br />Los resultados se muestran en un lista doble:<br />Una para personas y otra para familias.<br /><br />Si precisa de más ayuda, pulse el signo ? correspondiente."
"help_medialist.php";"~MULTIMEDIA~<br />No hay ayuda disponible en este momento."
"help_calendar.php";"~ANIVERSARIOS~<br />El calendarios de aniversarios que puede verse en esta página no es uno al uso.<br />Tiene algunas funciones poderosas.<br />Bajo el "Seleccionador de Fechas", el modo "Ver", y los botones "Ver Día" y "Ver Mes" se encuentra un avanzado sistema de filtro que le seleccionará los eventos correctamente.<br /><br />La función de Aniversarios muestra a las personas y familias relaccionadas con un evento en un día o en un mes determinado, dependiendo del botón Ver seleccionado.<br /><br />También dependerá de la selección que haya hecho en el modo "Ver".<br /><br />Los nombres que aparecen en la lista o en el calendario son seleccionables.<br />Pulsando sobre un nombre accederá a la página de la persona o familia.<br /><br />Encontrará ayuda más específica pulsando en el signo <b>?</b> que se encuentra entre las cajas."
"help_clippings.php";"~CARRITO GENEALÓGICO~<br />Permite ir tomando distintos fragmentos del árbol genealógico e irlos añadiendo en un único archivo GEDCOM para su posterior descarga.<br /><br />* ¿Cómo hacerlo?<br />Es muy simple. Siempre que vea un nombre seleccionable (persona, familia o fuente) podrá acceder a la página de ese nombre. Una vez allí encontrará la opción "Añadir al Carrito".<br />Pulsando en ese enlace accederá a una página donde se le ofrecen diversas opciones para descargar.<br /><br />* ¿Cómo descargar?<br />Una vez tiene los registros en el carrito, ya puede descargarlos pulsando el enlace "Descargar".<br />Luego siga las instrucciones y enlaces."
"help_search.php";"~PÁGINA DE BÚSQUEDA~<br /><br />Aunque simple en apariencia, con los dos médos de búsqueda tenemos un poderoso motor de búsquedas.<br /><br />En la mayoría de los sitios de genealogía permiten buscar por un apellido.<br />En este sitio puede prácticamente buscar por todo.<br /><br />La caja de búsqueda de la izquierda es la misma que la de la cabecera.<br /><br />Si esta buscando por personas de un año determinado, introduzca ese año. El programa le encontrará todas las conexiones.<br /><br />¿Buscando un nombre o un lugar?<br />Teclee el nombre o el lugar, completo o una parte, y el programa hará el resto.<br /><br />Méto de búsqueda por SOUNDEX.<br />En la caja de la derecha, puede buscar por nombres, incluso si no sabe como escribir el nombre.<br /><br />Encontrará más ayuda sobre esto pulsando el signo <b>?</b> sobre las cajas."
"SHOW_SOURCES";"Mostrar fuentes?"
"configure";"Configurar Genmod"
"default_user";"Cree el usuario de administración por defecto."
"about_user";"Primero debe crear el usuario de administración principal.  Este usuario tendrá privilegios para actualizar los archivos de configuración, ver datos privados, y crear otros usuarios."
"can_admin";"Administrar:"
"can_edit";"Editar:"
"add_user";"Agregar nuevo Usuario"
"current_users";"Lista de Usuarios"
"leave_blank";"Deje la contraseña en blanco si quiere conservar la contraseña actual."
"other_theme";"Otro, escriba por favor"
"performing_update";"Actualizando."
"config_file_read";"Fichero Config leído."
"does_not_exist";"no existe"
"db_setup_bad";"Su configuración actual de la base de datos está mal.  Por favor revise su conexión a la base de datos y configure de nuevo."
"click_here_to_continue";"Pulse Aquí para continuar."
"mysql";"MySQL"
"admin_gedcoms";"Pulse aquí para administrar los archivos GEDCOM."
"current_gedcoms";"GEDCOMs en uso"
"ged_download";"Descargar"
"ged_gedcom";"Archivo"
"ged_title";"Título"
"ged_config";"Configuración"
"show_phpinfo";"Ver Información PHP"
"confirm_gedcom_delete";"Está seguro de querer eliminar este archivo GEDCOM"
"gregorian";"Gregoriano"
"julian";"Juliano"
"config_french";"Francés"
"jewish";"Judío"
"config_hebrew";"Hebreo"
"jewish_and_gregorian";"Judío y Gregoriano"
"hebrew_and_gregorian";"Hebreo y Gregoriano"
"disabled";"Desactivado"
"mouseover";"Puntero encima"
"mousedown";"Puntero pulsado"
"click";"Haciendo clic"
"mailto";"Correo para"
"messaging";"Mensajes privados"
"messaging2";"Mensajes privados con Emails"
"no_messaging";"Ningún método de contacto"
"no_logs";"Registro de usuarios desactivado"
"daily";"Diariamente"
"weekly";"Semanalmente"
"monthly";"Mensualmente"
"yearly";"Anual"
"DEFAULT_GEDCOM";"Inicio"
"DBHOST";"Host MySQL:"
"DBUSER";"Nombre de usuario MySQL:"
"DBPASS";"Contraseña MySQL:"
"DBNAME";"Nombre Base de Datos:"
"TBLPREFIX";"Prefijo de las Tablas:"
"ALLOW_CHANGE_GEDCOM";"Permitir a los visitantes elegir GEDCOMs:"
"CHARACTER_SET";"Codificación del juego de caracteres:"
"LANGUAGE";"Idioma:"
"ENABLE_MULTI_LANGUAGE";"Permitir a los usuarios elegir idioma:"
"CALENDAR_FORMAT";"Formato del Calendario:"
"DISPLAY_JEWISH_THOUSANDS";"Ver Miles Judíos:"
"DISPLAY_JEWISH_GERESHAYIM";"Ver Gershayim Hebreo:"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Pronunciación Ashkenaz Judía:"
"DEFAULT_PEDIGREE_GENERATIONS";"Número Generaciones de Antepasados:"
"MAX_PEDIGREE_GENERATIONS";"Máximo de Generaciones en Antepasados:"
"MAX_DESCENDANCY_GENERATIONS";"Máximo de Generaciones en Descendientes:"
"USE_RIN";"Utilizar el RIN# del ID del GEDCOM:"
"PEDIGREE_ROOT_ID";"Persona Inicial en Antepasados y Descendientes:"
"GEDCOM_ID_PREFIX";"Prefijo ID del GEDCOM:"
"PEDIGREE_FULL_DETAILS";"Mostrar detalles de nacimiento y defunción en los informes de Antepasados y Descendientes:"
"PEDIGREE_LAYOUT";"Formato de Antepasados:"
"SHOW_EMPTY_BOXES";"Ver cajas vacías en Antepasados:"
"ZOOM_BOXES";"Aumentar cajas en informes:"
"LINK_ICONS";"Ventana de enlaces en informes:"
"HIDE_LIVE_PEOPLE";"Ocultar datos de personas vivas:"
"REQUIRE_AUTHENTICATION";"Autentificación requerida:"
"CHECK_CHILD_DATES";"Comprobar fechas hijos:"
"MAX_ALIVE_AGE";"Edad a la cual presumiblemente una persona ha fallecido:"
"SHOW_GEDCOM_RECORD";"Permitir a los usuarios ver el archivo GEDCOM original:"
"ALLOW_EDIT_GEDCOM";"Activar Edición en línea:"
"INDEX_DIRECTORY";"Directorio de los archivos de índice:"
"ALPHA_INDEX_LISTS";"Agrupar listas largas por primera letra:"
"SHOW_ID_NUMBERS";"Mostrar números de ID a continuación de los nombres:"
"SHOW_PEDIGREE_PLACES";"Mostrar Lugares en las cajas de la persona:"
"MULTI_MEDIA";"Permitir características multimedia:"
"MEDIA_DIRECTORY";"Directorio MultiMedia:"
"MEDIA_DIRECTORY_LEVELS";"Niveles Directorio Multi-Media Directory para Guardar:"
"SHOW_HIGHLIGHT_IMAGES";"Mostrar miniaturas en las cajas de las personas:"
"ENABLE_CLIPPINGS_CART";"Activar Carrito Genealógico:"
"HIDE_GEDCOM_ERRORS";"Ocultar errores GEDCOM:"
"WORD_WRAPPED_NOTES";"Añadir espacios donde las notas fueron comprimidas:"
"HOME_SITE_URL";"URL principal de la web:"
"HOME_SITE_TEXT";"Texto del enlace a principal:"
"CONTACT_EMAIL";"Email contacto genealogía:"
"CONTACT_METHOD";"Método de Contacto:"
"WEBMASTER_EMAIL";"Email del Webmaster:"
"SUPPORT_METHOD";"Método de Soporte:"
"FAVICON";"Icono para Favoritos:"
"THEME_DIR";"Directorio del Tema:"
"GM_SESSION_SAVE_PATH";"Ruta para Guardar Sesión:"
"SERVER_URL";"URL del Servidor:"
"GM_SESSION_TIME";"Duración de la Sesión"
"SHOW_STATS";"Mostrar Estadísticas de Ejecución:"
"USE_REGISTRATION_MODULE";"Permitir registrarse a los usuarios:"
"ALLOW_USER_THEMES";"Seleccionar tema por usuarios:"
"gedcom_title";"Escriba un título que describa los datos de este archivo:"
"LOGFILE_CREATE";"Directorio para archivos Log:"
