"ABBREVIATE_CHART_LABELS";"Afgekorte veldtitels"
"godmother";"Meter"
"godparent";"Peet"
"grandchild";"Kleinkind"
"granddaughter";"Kleindochter"
"grandson";"Kleinzoon"
"gregorian";"Gregoriaans"
"halfbrother";"Halfbroer"
"halfsibling";"Halfbroer of -zus"
"halfsister";"Halfzuster"
"hashcode";"Verificatiecode:"
"header";"Kopregel"
"hebrew_and_gregorian";"Hebreeuws en Gregoriaans"
"help_ancestry.php";"~#gm_lang[ancestry_chart]#~<br /><br />De pagina Voorouders lijkt veel op de <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, maar toont meer details en heeft een keuze in <a href="?help=chart_style_help">#gm_lang[chart_style]#</a>.<br /><br />Elke voorouder heeft een uniek nummer volgens het <i>Sosa-Stradonitz</i> systeem :<br /> - even nummers voor mannen (nummer kind * 2)<br /> - oneven nummers voor vrouwen (nummer partner + 1), behalve uiteraard voor nummer <big>1</big><br /><br />Voorbeeld: <big>7</big> is de partner van <big>6</big>, de moeder van <big>3</big>, de dochter van <big>14</big> en <big>15</big>."
"help_calendar.php";"~GEBEURTENISKALENDER~<br /><br /><ul><li><a href="#calendar_general">Algemene informatie</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Event</a><li><a href="#calendar_button">"Toon"-knoppen </a><li><a href="#calendar_tip">Tip</a></ul><br /><a name="calendar_general"></a>De gebeurteniskalender toont de gezinnen en personen die zijn gekoppeld aan een gebeurtenis op een bepaalde dag of maand, of in een bepaalde periode. De kalender is dermate geavanceerd, dat de juiste datum of periode met de gewenste gebeurtenissen worden getoond.<dl><dt><b>Toon <a href="#calendar_day">dag</a></b></dt><dd>Dit toont de gebeurtenissen op een bepaalde dag, onafhankelijk van maand en jaar. Er verschijnt een lijst met de namen van gezinnen of personen, of een lijst met in de linkerkolom de personen en in de rechter de gezinnen.</dd><dt><b>Toon <a href="#calendar_month">maand</a></b></dt><dd>In de <b>Kalender</b> zijn zowel de namen van personen als van gezinnen zichtbaar in de dagvakken. De kalender wordt getoond zoals deze was in het jaar dat u in het jaarvak heeft ingevoerd. Alle gebeurtenissen in en voor dat jaar zijn zichtbaar.<br />In combinatie met de optie "<a href="#calendar_show">#gm_lang[recent_events]#</a>" geeft het een realistisch beeld van de maandkalender, zoals deze bij uw voorouders in dat jaar aan de muur hing.</dd><dt><b>Toon <a href="#calendar_year">jaar</a></b></dt><dd>Dit toont de gebeurtenissen in een jaar of een reeks van jaren. Er verschijnt een lijst met de namen van gezinnen of personen, of een lijst met in de linkerkolom de personen en in de rechter de gezinnen.</dd></dl>De datum en maand die op dit moment worden getoond, zijn vetgedrukt in de kalenderbalken.<br /><br />U kunt klikken op de namen en datums die in de lijst staan.<br />Hiermee springt u of naar de detailpagina van het gezin of de persoon, of naar de "Toon dag" of "Toon jaar" functie van de kalender, waarmee alle gebeurtenissen van de desbetreffende dag of het jaar worden getoond.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~KNIPSELS~<br /><br />Met deze functie kunt u gegevens uit de stamboom in GEDCOM-formaat verzamelen. Uiteindelijk kunt u de verzamelde GEDCOM-regels downloaden naar uw eigen PC.<br /><br />Hoe verzamelt u de gegevens?<br />Dit is eenvoudig. Als ergens op een pagina u een naam ziet, waarop u kunt klikken (familie, persoon of bron), gaat u naar de detailpagina hiervan. Daar ziet u een optie "Toevoegen aan knipselbak".<br />Als u daarop klikt, krijgt u een nieuw scherm, waarop u kunt kiezen uit een aantal mogelijkheden voor het toevoegen.<br /><br />Hoe download u gegevens?<br />Zodra u gegevens in uw knipselbak heeft, kunt u deze downloaden. Klik hiervoor op de koppeling "Nu downloaden" en volg de instructies."
"help_config";"Help bij instellingen"
"help_contents";"Inhoud"
"help_contents_gedcom_info";"GEDCOM-informatie"
"help_contents_gedcom_places";"Locaties in het GEDCOM-bestand"
"help_descendancy.php";"~NAKOMELINGEN~<br /><br />Op deze pagina worden de nakomelingen van de geselecteerde persoon getoond, maximaal het aantal generaties dat in het veld "generaties" is weergegeven. Indien u een ander persoon als startpersoon wilt kiezen, kunt u direct diens ID intikken in het veld "Startpersoon". Als u het ID niet kent, kunt u de persoon opzoeken door de koppeling "Zoek persoon" aan te klikken en dan op (deel van) de naam te zoeken.<br /><br /><i>PERSOONSVAKKEN IN DE KWARTIERSTAAT</i><br />Per persoon wordt een aantal gegevens getoond, zoals namen, geboorte- en overlijdensdatum en -plaats. Door op de persoonsnaam te klikken, komt u op het detailscherm van de persoon. Tevens zijn twee speciale knoppen zichtbaar (mits de optie "Toon details" aan staat):<br /><br /><i>KNOP "KWARTIERSTAAT" IN PERSOONSVAK</i><br />Afhankelijk van de instelling van de website, kunt u deze knop activeren door erop te klikken of er met de muis overheen te gaan. Er verschijnt dan een schermpje, waarin u kunt klikken op: de kwartierstaat van deze persoon, zijn/haar afstammelingen, zijn/haar gezin en de persoonsschermen van eega en kinderen.<br /><br /><i>VERGROOTGLAS IN PERSOONSVAK</i><br />Afhankelijk van de instelling van de website, kunt u deze knop activeren door erop te klikken of er met de muis overheen te gaan. Er verschijnt dan een schermpje, waarin extra informatie over de persoon wordt gegeven. Dit betreft onder andere de voorhanden zijnde feiten zoals beroepen, verhuizingen, enz..<br /><br /><i>DE PIJLEN LINKS VAN DE VAKKEN</i><br />Door op de pijlen (te klikken, kunt u het scherm "verschuiven", de ouders van de persoon waarvan u de pijl aanklikt, worden dan de startpersonen.<br /><br />"
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />Op deze pagina kunt u de gegevens van twee personen, twee families of twee bronnen samenvoegen. Dit kan noodzakelijk zijn als u twee GEDCOM-bestanden heeft samengevoegd, waar dezelfde personen, families of bronnen in voorkomen.<br /><br />Het samenvoegen gaat in drie stappen.<br /><ul><li><b>Stap 1</b> Hier wordt u gevraagd om twee ID's in te voeren. De ID's moeten van dezelfde soort zijn: beide persoons-, gezins- of bron-ID's. Het is niet mogelijk om gegevens naar een ander soort ID over te brengen. In het vak "Samenvoegen naar ID" vult u de ID in die behouden of aangevuld moet worden. U kunt van de zoek-koppelingen gebruik maken om het ID op te zoeken. In het vak "Samenvoegen van" vult u het ID in waarvan gegevens worden overgenomen en dat daarna wordt verwijderd.</li><li><b>Stap 2</b> Hierin geeft u aan welke informatie van welke ID behouden moet blijven. Deze wordt samengevoegd en in het gekozen "naar" ID opgeslagen. Met de vinkjes geeft u aan wat u wilt behouden.</li><li><b>Stap 3</b> Hier wordt getoond wat het resultaat van het samenvoegen is. Net als het geval is met alle wijzigingen, worden ook deze pas definitief wanneer ze door een gebruiker met accepteer-rechten worden bevestigd.</li></ul><br />"
"help_editconfig.php";"~INSTELLEN Genmod~<br /><br />Deze instellingen vormen de basis voor het functioneren van Genmod, en gelden voor de gehele website.<br />Zorg ervoor, dat u schrijfrechten heeft op het config.php bestand, zodat de ingegeven waarden weggeschreven kunnen worden.<br />Zorg er, als u SQL als database gebruikt, tevens voor dat er een lege database bestaat en een databasegebruiker, die over voldoende rechten beschikt.<br /><br />Verdere helpinformatie kunt u krijgen door op het vraagteken achter een onderwerp te klikken.<br />"
"help_family.php";"~DETAILS GEZINNEN~<br /><br />Deze pagina geeft de detailgegevens van het gezin, dat u op de vorige pagina heeft gekozen.<br /><br />Van boven naar beneden worden de volgende vakken getoond:<br /><br />De eerste partner en ouders.<br />De tweede partner en ouders.<br />De kinderen.<br /><br />De vorm en inhoud van de vakken zijn dezelfde als die u al aantrof in de kwartierstaat- en nakomelingen-pagina's.<br /><br />Aan de rechterkant van de vakken van de ouders ziet u een pijl. Als u daarop klikt, gaat u naar de details van het gezin van die ouders.<br /><br />Onder de vakken van de kinderen ziet u, als dit door de sitebeheerder is ingesteld, de koppeling "Kind toevoegen aan dit gezin".<br />Ook ziet u dan in het vak "Gezinsinformatie" een aantal koppelingen, waarmee u nieuwe feiten, notities, bronvermeldingen en koppelingen met multimedia-items kunt aanbrengen.<br /><br />Aan de rechterzijde van het scherm staan de koppelingen:<br /><br /><i>Laat partners zien op de tijdlijn</i><br />Hiermee kunt u direct doorspringen naar de Tijdlijn, waarop dan al de gegevens van beide partners worden getoond.<br /><br /><i>Toon GEDCOM-gegevens</i><br />Hiermee kunt u de brongegevens van dit gezin uit het GEDCOM-bestand inzien.<br /><br /><i>Toevoegen aan knipselbak</i><br />Hiermee kunt u de gegevens van dit gezin in uw knipselbak opslaan om ze later naar uw PC te downloaden. U kunt ze dan importeren in uw eigen genealogieprogramma.<br /><br />#gm_lang[more_help]#"
"help_famlist.php";"~GEZINNEN~<br /><br />Via deze pagina kunt u de detailgegevens van een gezin opzoeken. Kies hiervoor de beginletter van de achternaam van een van de partners in de alfabetische index. Daarna wordt een lijst met achternamen getoond, waaruit u wederom een keus kunt maken. Als laatste krijgt u een lijst met partners (in huwelijken) te zien, waaruit u een keus kunt maken. Hierna worden de gezinsleden in het desbetreffende huwelijk getoond.<br /><br />Als u klikt op "Sla achternamenlijst over", dan wordt de lijst met verschillende achternamen niet getoond, maar krijgt u direct alle partners in huwelijken te zien waarvan de achternaam met de gekozen letter begint.<br /><br />U kunt zoeken op de achternaam van zowel de ene als van de andere partner.<br /><br />#gm_lang[more_help]#"
"help_fanchart.php";"~#gm_lang[fan_chart]#~<br /><br />Het cirkeldiagram lijkt veel op de <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, maar toont de informatie grafisch op een andere wijze.<br /><br />De startpersoon staat in het centrum van het diagram, de ouders in de eerste cirkel, de grootouders in de tweede, enz.<br /><br />Het geboorte- en overlijdensjaar worden, indien bekend, onder de naam van de persoon afgedrukt.<br /><br />Als u op de naam van een persoon klikt, wordt deze de startpersoon in het cirkeldiagram en verschuift daarmee naar het centrum.<br />In het centrum ziet u tevens een pijl, waarmee u een van de kinderen of broers en zusters van de huidige startpersoon, de nieuwe startpersoon kunt maken. Dit werkt hetzelfde als in de <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>."
"help_faq.php";"~Veel Gestelde Vragen~<br />#gm_lang[text_faq_help]#<br />"
"help_for_this_page";"Help bij deze pagina"
"help_header";"Informatie over:"
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />Het zandloperdiagram toont zowel de voorouders als de nakomelingen van de geselecteerde startpersoon in hetzelfde overzicht. Het is een mengvorm van kwartierstaat en overzicht nakomelingen.<br /><br />De startpersoon wordt weergegeven op het midden van de pagina, zijn nakomelingen links en zijn voorouders rechts. De generaties worden op die manier van links naar rechts weergegeven.<br /><br />"
"help_indilist.php";"~PERSONEN~<br /><br />PERSOON OPZOEKEN<br />Via deze pagina kunt u de detailgegevens van personen opzoeken. Kies hiervoor de beginletter van de achternaam in de alfabetische index. Daarna wordt een lijst met achternamen getoond, waaruit u wederom een keus kunt maken. Hierna worden de personen met de desbetreffende achternaam getoond. Door een van deze personen aan te klikken kunt u de details bekijken.<br />De lijst met achternamen kan worden overgeslagen, door op de koppeling "Sla achternamenlijst over" te klikken.<br />Als u meer informatie wilt hebben, kunt u op het vraagteken achter een koppeling of veld klikken."
"help_individual.php";"~DETAILGEGEVENS PERSOON~<br /><br />Op deze pagina worden alle details van de geselecteerde persoon weergegeven, voor zover deze aanwezig zijn en mogen worden weergegeven vanwege privacy-instellingen. Een uitleg van de mogelijkheden wordt hieronder gegeven.<br />Let op: sommige functies (zoals wijzigen) kunnen door de beheerder zijn uitgeschakeld.<br /><br /><i>NAAMGEDEELTE</i><br />Links op het scherm zijn de namen en het geslacht van de persoon vermeld. Indien aanwezig, eveneens diens bijnamen ("ook bekend als"). Aan de namen kunnen bronvermeldingen zijn gekoppeld evenals notities. Deze zijn, indien aanwezig, bij de desbetreffende naam vermeld.<br />Als een afbeelding van de persoon beschikbaar is, wordt deze eveneens getoond.<br />Tevens kunt u de namen van de persoon wijzigen of verwijderen of zelfs de gehele persoon verwijderen, mits u daartoe rechten heeft.<br /><br /><i>EXTRA FUNCTIES</i><br />Rechts op het scherm ziet u een vak, waarin de functies staan die u vanaf dit scherm kunt uitvoeren, mits de beheerder deze beschikbaar heeft gemaakt: <br /><br /><i>Kwartierstaat</i><br />Ga naar de kwartierstaat van deze persoon.<br /><br /><i>Tijdlijn</i><br />Ga naar de tijdlijn en plaats deze persoon erop.<br /><br /><i>Nakomelingen</i><br />Toon nakomelingen van deze persoon.<br /><br /><i>Toon GEDCOM-gegevens</i><br />Toont in een apart venster de gegevens van deze persoon in GEDCOM-formaat.<br /><br /><i>Toevoegen aan knipselbak</i><br />Voegt de GEDCOM-gegevens van deze persoon toe aan uw knipselbak. Hierin kunt u vanaf diverse plaatsen GEDCOM-gegevens verzamelen en deze vervolgens downloaden. Daarna kunt u ze importeren in uw eigen genealogieprogramma.<br /><br /><i>Relatie met mij</i><br />Toont de verwantschap tussen deze persoon en uzelf.<br /><br /><i>HET TABBLAD "PERSOONLIJKE FEITEN EN DETAILS"</i><br />Hierop worden alle bekende gegevens van de persoon en zijn/haar huwelijk(en) getoond. Per feit of detail worden tevens de bronnen getoond, waarin naar het feit wordt verwezen (klik op de + tekens om eventueel aanvullende tekst te zien).<br />Op elke datum en plaats op dit tabblad kunt u klikken. Een datum brengt u naar de jaarkalender, waar alle personen en gezinnen worden getoond waarvan een feit op die dag en maand plaatsvond. Een plaats geeft u een overzicht van alle personen en gezinnen, waarvan een gebeurtenis is verbonden met deze plaats.<br />Bij iedere huwelijksgerelateerde gebeurtenis wordt tevens de partner genoemd. Als u op de naam daarvan klikt, krijgt u de persoonlijke details van de partner te zijn. Klikt u op de koppeling "Bekijk gezin", dan gaat u naar de gezinsinformatie van dit gezin.<br />Tevens kunt u nieuwe feiten toevoegen aan deze persoon, en bestaande feiten wijzigen of verwijderen.<br /><br /><i>HET TABBLAD "NOTITIES"</i><br />Hier vindt u alle notities, die bij de persoon zijn gemaakt.<br />Ook kunt u bestaande notities wijzigen of verwijderen en nieuwe notities toevoegen.<br /><br /><i>HET TABBLAD "BRONNEN"</i><br />Hier vindt u alle bronnen, die direct aan de persoon zijn gekoppeld. Let op: dit zijn verwijzingen naar bronnen, die de persoon noemen of niet direct aan een feit zijn gerelateerd.<br />Door op de omschrijving van de bron te klikken, kunt u nadere gegevens over de bron inzien. Tevens wordt een lijst getoond van personen en gezinnen, die eveneens een verwijzing naar deze bron hebben.<br />Ook kunt u bestaande notities wijzigen of verwijderen en nieuwe notities toevoegen.<br /><br /><i>HET TABBLAD "MULTIMEDIA"</i><br />Op dit blad treft u alle koppelingen aan van de persoon met multimedia-items. U kunt ze in het groot bekijken, door op de miniatuurweergave te klikken.<br />Eveneens kunt u bestaande multimediakoppelingen wijzigen of verwijderen en nieuwe koppelingen toevoegen.<br /><br /><i>HET TABBLAD "VERWANTEN"</i><br />Op dit scherm vindt u de detailgegevens van het gezin met ouders en van de gezinnen van de persoon zelf. Door op de namen van de gezinsleden te klikken kunt u de detailgegevens van de persoon bekijken.<br /><br />#gm_lang[more_help]#"
"help_info";"U kunt hulp krijgen, voor elk onderwerp, door te klikken op het rode "?" naast het label van elk veld."
"help_medialist.php";"~MULTIMEDIALIJST~<br /><br />In deze lijst worden alle multimedia-items vermeld, die in het bestand voorkomen. De lijst is op volgorde van bestandsnaam gesorteerd.<br />U kunt direct het multimedia-item bekijken, door op de bestandsnaam of de miniatuurafbeelding te klikken. Afhankelijk van het bestandstype wordt het item getoond in Genmod of in het programma dat is gekoppeld aan het bestandstype.<br />Als u met de rechter muisknop op het item klikt, kun u alle mogelijkheden die uw verkenner biedt, benutten, zoals opslaan als....., afdrukken, etc.<br />Onder de bestandsnaam zijn (indien aanwezig) de koppelingen naar personen, gezinnen en bronnen vermeld, waaraan het item is gekoppeld. Als u op deze "Bekijk...."-koppelingen klikt, gaat u direct naar de pagina met de details van persoon, gezin of bron.<br />"
"help_not_exist";"Een Help tekst voor dit onderwerp of deze pagina is nog niet beschikbaar"
"help_page";"Help"
"help_pedigree.php";"~DE KWARTIERSTAAT~<br /><br />De Kwartierstaat Pagina is de eerste pagina van dit programma.<br /><br /><i>MEER HELP</i><br />Aan de rechterkant van sommige velden en koppelingen is een vraagteken zichtbaar. Als u hierop klikt, verschijnt een schermpje met mee informatie over het desbetreffende onderwerp.<br /><br /><i>AANMELDEN</i><br />Hoewel men zich op elke pagina kunt aanmelden, doet men dit meestal toch op de eerste pagina, omdat men pas dan over alle toegestane informatie kan beschikken.<br />U meldt u aan, door op de betreffende koppeling aan de bovenzijde van de pagina te klikken.<br />Bezoekers die een gebruikersnaam en wachtwoord willen aanvragen, klikken ook op de koppeling "Aanmelden"<br /><br /><i>DE KWARTIERSTAAT</i><br />De meeste bezoekers en gebruikers zullen weten wat een kwartierstaat is, maar toch nog een, bescheiden uitleg van deze Kwartierstaat:<br />Een kwartierstaat is in feite een opsomming van alle voorouders van de startpersoon, de "probant". Deze wordt als eerste weergegeven, dan diens ouders, de grootouders, de overgrootouders, enzovoort. De probant is generatie I, diens ouders generatie II, enz.<br /><br /><i>PERSOONSVAKKEN IN DE KWARTIERSTAAT</i><br />Per persoon wordt een aantal gegevens getoond, zoals namen, geboorte- en overlijdensdatum en -plaats. Door op de persoonsnaam te klikken, komt u op het detailscherm van de persoon. Tevens zijn twee speciale knoppen zichtbaar (mits de optie "Toon details" aan staat):<br /><br /><i>KNOP "KWARTIERSTAAT" IN PERSOONSVAK</i><br />Afhankelijk van de instelling van de website, kunt u deze knop activeren door erop te klikken of er met de muis overheen te gaan. Er verschijnt dan een schermpje, waarin u kunt klikken op: de kwartierstaat van deze persoon, zijn/haar afstammelingen, zijn/haar gezin en de persoonsschermen van eega en kinderen.<br /><br /><i>VERGROOTGLAS IN PERSOONSVAK</i><br />Afhankelijk van de instelling van de website, kunt u deze knop activeren door erop te klikken of er met de muis overheen te gaan. Er verschijnt dan een schermpje, waarin extra informatie over de persoon wordt gegeven. Dit betreft onder andere de voorhanden zijnde feiten zoals beroepen, verhuizingen, enz.<br /><br /><i>DE PIJLEN LINKS EN RECHTS VAN DE VAKKEN</i><br />Door op de pijlen (links van het meest linkse vak en rechts van het meest rechtse vak) te klikken, kunt u het scherm "verschuiven", naar links naar de kinderen van de probant, naar rechts naar een generatie verder terug.<br /><br />"
"help_placelist.php";"~PERSONEN PER LOCATIE~<br /><br />Via dit scherm kunt u personen en gezinnen opzoeken, die een verband hebben met een bepaalde locatie.<br /><br />Wanneer een locatie wordt genoemd in een feit of gebeurtenis van een persoon of gezin, vindt het programma deze voor u.<br />Zo kunt u bijvoorbeeld opzoeken, wie iets te maken heeft gehad met een bepaald land, stad of zelfs een bepaalde straat.<br /><br />De resultaten worden getoond in een venster met twee kolommen:<br />Een voor personen en een voor gezinnen.<br /><br />#gm_lang[more_help]#"
"help_relationship.php";"~VERWANTSCHAP~<br /><br />Op deze pagina kunt u de verwantschap tussen twee personen vaststellen.<br />Het is hierbij niet noodzakelijk, dat de twee personen ook bloedverwanten van elkaar zijn, de relatie kan ook bestaan door middel van een huwelijk in de lijn, die de twee personen verbindt (zie "Controleer verwantschap door huwelijk")."
"help_repo.php";"~DETAILS BEWAARPLAATS~<br /><br />Bewaarplaatsen zijn, samen met bronnen, belangrijk in genealogisch onderzoek omdat ze informatie in een stamboom controleerbaar en reproduceerbaar maken. Op die manier kunnen andere onderzoekers op een verantwoorde manier van de gegevens gebruik maken.<br /><br />Op deze pagina ziet u de detailgegevens van de bewaarplaats zoals adres, e-mailadres, internet pagina en telefoonnummer.<br />Onder de details van de bewaarplaats wordt een lijst met bronnen getoond die verwijzen naar deze bewaarplaats.<br /><br />Als de beheerder van de site dit mogelijk heeft gemaakt, ziet u aan de rechterzijde van het scherm nog twee koppelingen: <br />"Toon GEDCOM-gegevens", waarmee u in een apart venster de gegevens van de bewaarplaats in GEDCOM-formaat kunt zien, en <br />"Toevoegen aan knipselbak", waarmee u de GEDCOM-gegevens van de bron in uw knipselbak kunt opslaan. Later kunt u ze downloaden naar uw eigen machine en ze daar importeren in uw genealogiepakket.<br /><br />#gm_lang[more_help]#"
"help_repolist.php";"~BEWAARPLAATSEN~<br /><br />Op deze pagina treft u een overzicht van alle bewaarplaatsen aan.<br />De bewaarplaatsen zijn alfabetisch op titel gesorteerd.<br />Als u op een van de bewaarplaatsen klikt, worden de details van de bewaarplaats weergegeven, evenals de bronnen die aan de bewaarplaats zijn gekoppeld.<br /><br />GEBRUIK VAN BEWAARPLAATSEN<br />Zonder bewaarplaatsen kunnen we niet op een verantwoorde manier een genealogisch bestand opbouwen. Alle informatie dient herleidbaar, reproduceerbaar en controleerbaar te zijn. Alle bronnen die in de genealogie zijn opgenomen, moeten zijn gekoppeld aan een bewaarplaats. Op die manier kan de bron altijd fysiek worden teruggevonden.<br />Omdat in een bewaarplaats meerdere bronnen kunnen zijn opgeslagen, worden bewaarplaatsen gekoppeld aan meerdere bronnen.<br /><br />"
"help_reportengine.php";"~RAPPORTEN~<br />Genmod gebruikt XML-sjablonen om automatisch rapporten te genereren in PDF-formaat. De lijst van beschikbare rapporten wordt gemaakt aan de hand van de fysiek aanwezige XML-bestanden in de reports-map.<br />De eerste stap is het selecteren van een rapport. Daarna wordt gevraagd om informatie te geven die voor het vervaardigen van dat rapport noodzakelijk is, bijvoorbeeld een startpersoon of -gezin en of er wel of niet afbeeldingen moeten worden toegevoegd.<br />Als u hiermee klaar bent, kunt u klikken op "#gm_lang[view_report]#" om het rapport op uw beeldscherm te bekijken, of "#gm_lang[download_report]#" om het in PDF-formaat naar uw eigen computer te downloaden."
"help_search.php";"~ZOEKEN~<br /><br />Hoewel deze pagina er eenvoudig uitziet, bevindt zich achter de zoekfunctie een uiterst krachtige zoekmachine. U kunt op deze pagina:<br /><br />* DOORZOEK GENEALOGIE(EN)<br />Met behulp van deze zoekfunctie kunt u het gehele bestand doorzoeken op willekeurig welk zoekcriterium.<br /> U kunt hier een jaartal ingeven of een (gedeelte van) de naam van een persoon of plaats.<br /><br />* ZOEK GELIJKENDE PERSOONS- of PLAATSNAMEN (SOUNDEX)<br />Met behulp van Soundex kunt u zoeken naar gelijkende namen. U kunt dit gebruiken, als u de schrijfwijze van de achternaam niet precies weet. Het programma vindt alle namen die enigszins overeen komen met degene die u heeft ingegeven.<br /><br />Ale er meer dan een genealogie op deze website aanwezig is EN de beheerder heeft het wisselen van genealogie toegestaan, zoekt deze functie door alle genealogieën heen.<br /><br />Meer informatie vindt u door op de Help-koppelingen te klikken bij de zoekvakken.<br /><br />"
"help_source.php";"~DETAILS BRON~<br /><br />Bronnen zijn belangrijk in genealogisch onderzoek, omdat ze informatie in een stamboom controleerbaar en reproduceerbaar maken. Op die manier kunnen andere onderzoekers op een verantwoorde manier van de gegevens gebruik maken.<br /><br />Op deze pagina ziet u de detailgegevens van de bron.<br />Omdat er veel verschillende soorten bronnen zijn, hebben sommige bronnen hier meer informatie dan anderen.<br />Indien voorhanden, worden onder meer notities, de bewaarplaats en een koppeling naar de afbeelding van de bron weergegeven. De afbeelding is bijvoorbeeld een scan van een akte.<br />Als u op de afbeelding of de bestandsnaam daarnaast klikt, wordt deze in een apart venster vergroot weergegeven.<br />Onder de details van de bron wordt een lijst met personen en gezinnen getoond, waarvan een feit of gebeurtenis naar de bron verwijst.<br /><br />Als de beheerder van de site dit mogelijk heeft gemaakt, ziet u aan de rechterzijde van het scherm nog twee koppelingen: <br />"Toon GEDCOM-gegevens", waarmee u in een apart venster de gegevens van de bron in GEDCOM-formaat kunt zien, en <br />"Toevoegen aan knipselbak", waarmee u de GEDCOM-gegevens van de bron in uw knipselbak kunt opslaan. Later kunt u ze downloaden naar uw eigen machine en ze daar importeren in uw genealogiepakket.<br /><br />#gm_lang[more_help]#"
"help_sourcelist.php";"~BRONNEN~<br /><br />Op deze pagina treft u een overzicht van alle bronnen aan.<br />Anders dan bij Personen en Gezinnen zijn de bronnen niet via een alfabetische index te benaderen. De reden hiervan is, dat een bron een persoon kan zijn met een voor- en achternaam, maar ook een organisatie of zelfs een website.<br />Het is daarom niet mogelijk om een eenduidige sorteervolgorde te hanteren, ze worden daarom alfabetisch op titel weergegeven.<br /><br />GEBRUIK VAN BRONNEN<br />Zonder bronnen kunnen we niet op een verantwoorde manier een genealogisch bestand opbouwen. Alle informatie dient herleidbaar, reproduceerbaar en controleerbaar te zijn. Aan alle personen, gezinnen en feiten moeten daarom bronnen worden gekoppeld. de bron kan een persoon zijn, die informatie heeft verstrekt, een bepaald document (aktes e.d.) of een ander bestand (denk aan Genlias). Als informatie uit meerdere bronnen afkomstig is, worden alle bronnen genoemd. Tevens kan een bron over meerdere zaken informatie geven, en daarom aan meerdere feiten (huwelijk, geboorte, beroep, etc.) gekoppeld zijn.<br /><br />"
"help_timeline.php";"~TIJDLIJN~<br /><br />Op deze pagina kunt u de gebeurtenissen en feiten van een of meerdere personen langs een tijdlijn zichtbaar maken.<br />Op die manier kunt u bijvoorbeeld de status van twee of meer personen op een bepaald moment tonen.<br /><br />Als u vanaf een andere pagina op de tijdlijn-koppeling klikt, wordt de desbetreffende persoon automatisch op de tijdlijn getoond.<br />Als u de tijdlijn heeft gekozen vanaf het menu, kunt u de persoon aangeven door middel van een ID. Ook kunt u met behulp van "Zoek ID" de gewenste persoon opzoeken."
"help_uploadmedia.php";"~UPLOADEN MEDIABESTANDEN~<br /><br />Met deze functie kunt u mediabestanden uploaden naar Genmod. In de invoervakken vult u resp. de bestandsnaam van het mediabestand en van de miniatuurweergave in. Deze bestanden worden dan geplaatst in de mappen, die bij de instellingen van de huidige, actieve genealogie zijn opgegeven.<br />Het mediabestand wordt dan bijvoorbeeld geplaatst in ./media, de miniatuurweergave in ./media/thumbs.<br /><br /><b>Miniatuurweergaven</b><br />Miniatuurweergaven kunnen het beste een afmeting hebben van 100 x 100 en moeten dezelfde naam hebben als het bijbehorende mediabestand.<br /><br />#gm_lang[readme_help]#"
"hidden";"Verborgen"
"hide";"Verbergen"
"hide_block_warn";"Als u een leeg vak verbergt, kun u de instellingen ervan niet wijzigen totdat het niet leeg en dus weer zichtbaar is."
"hide_changes";"Klik hier om wijzigingen te verbergen."
"hide_contexthelp";"Verberg contextuele helpinformatie"
"hide_details";"Verberg details"
"hide_translated";"Verberg vertalingen"
"highlighted";"Primaire afbeelding"
"hijri";"Hijri"
"hit_count";"Bezoekteller:"
"hourglass_chart";"Zandloperdiagram"
"hs_close";"Sluit venster"
"hs_inallhelp";"Alle tekst in de Help-bestanden"
"hs_intruehelp";"Volwaardige Help-teksten"
"hs_keyword";"Zoek naar:"
"hs_results";"Aantal resultaten gevonden:"
"hs_search";"Zoek"
"hs_searchall";"Alle woorden"
"hs_searchany";"Een of meer woorden"
"hs_searchconfig";"Help voor beheerders"
