"stat_sources";"Πηγές, "
"help_uploadmedia.php";"~UPLOAD MEDIA FILES~<br /><br />Uploading the Files is simple, so here just some additional information.<br /><br /><b>Thumbnails</b><br />Thumbnails should have a size somewhere around 100px width.<br />The filename has to be the same as the original.<br /><br /><b>Uploading</b><br />The files will be uploaded automatically to the directory ../media for the large copies and ../media/thumbs/ for the thumbnails.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~ANNIVERSARY CALENDAR~<br /><br /><ul><li><a href="#calendar_general">General information</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Event</a><li><a href="#calendar_button">Select mode (buttons)</a><li><a href="#calendar_tip">Tip</a></ul><br /><a name="calendar_general"></a>The Anniversary Calendar shows the persons and families who are linked to an event at a certain day and/or month or in a certain period of time. It has an advanced filtering system to select the right date or period, and events for you.<dl><dt><b>View <a href="#calendar_day">Day</a></b></dt><dd>This shows the events on a certain day, independent of the selected year. Output will be either a single list with the names of Individuals or Families, or a two-column list with Individuals on one side and Families on the other.</dd><dt><b>View <a href="#calendar_month">Month</a></b></dt><dd>In the <b>Calendar</b> the names of Individuals as well as the names of the Families are shown inside the day boxes. The calendar is shown as it was in the year you typed in in the year box. All events that happened in the past up to that year are shown.<br />In combination with the option "<a href="#calendar_show">#gm_lang[recent_events]#</a>" it will give a realistic view on how a calendar of your ancestors looked like.</dd><dt><b>View <a href="#calendar_year">Year</a></b></dt><dd>This shows the events in a certain year, or in a number of years. Output will be either a single list with the names of Individuals or Families, or a two-column list with Individuals on one side and Families on the other.</dd></dl>The date and month displayed in a highlighted color, in the calendar menu, are the currently shown ones.<br /><br />The names and dates that appear in the list or in the calendar, are clickable.<br />Clicking on a name will bring you to the details page of the person or family, clicking on a date will jump to "Today" mode (or Year) which will display all events for the day and month in the clicked date.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~The Family Tree Clippings Cart~<br />The clippings cart allows you to take "clippings" from this family tree and bundle them up into a single GEDCOM file for downloading.<br /><br />* How to take clippings?<br />This is really simple. Whenever you see a clickable name (individual, family or source) you can go to the details page of that name. From there you will see the option "Add to Clipping Cart".<br />Clicking that link brings you to the page where you are offered several options to download.<br /><br />* How to download?<br />Once you have items in your cart, you can download them just by clicking the "Download Now" link.<br />Then follow the instructions and links."
"help_search.php";"~The SEARCH PAGE~<br /><br />Although this page looks very simple, behind the two forms on it is a very powerful search engine.<br /><br />Most genealogy web sites just let you search for a (sur)name.<br />On this site you can practically search for anything.<br /><br />The search box on the left-hand side of the screen is the same as the search box in the header.<br /><br />If you are looking for people in connection to a certain year, just type the year. The program will find all connections for you.<br /><br />Looking for a name, or place?<br />Just type in the name or place, complete or just a part of it, and the program does the rest.<br /><br />SOUNDEX search method.<br />With the search box on the right hand side, you can search for names of persons and places, even if you don't know how to write the name.<br /><br />You will find more help about these two boxes, by clicking the <b>?</b> above the boxes.<br /><br />"
"help_individual.php";"~INDIVIDUAL'S DETAILS PAGE~<br /><br />On this page all details of a person are displayed.<br /><br />If there is a picture available, you will see it at the top left side.<br />Next to the picture (if present) you will see the name(s) of the person.<br />Names can have notes and sources attached to them.  If any of the names have notes or sources, you will see them listed under the names they relate to.<br />A person might have an AKA (maybe he's known under another name). If that is the case, it will be displayed.<br /><br />If you have editing rights to this person, you will also see edit and delete links next to the items that you can edit.<br /><br />On this page you see tab sheets for "Personal Facts and Details", "Notes", "Sources", "Media", "Close Relatives" and (if enabled) "Research Log"<br /><br />On these tab sheets you will find all the information, that is stored in the GEDCOM.<br /><br />The Personal Details tab will show you the facts and details about this person and any fact from their marriages.  Clicking on any date on this tab will take you to the Anniversary Calendar for that date, so that you can see other events in this GEDCOM that happened on the same day.  Clicking on a place, will take you to the Place Hierarchy where you can view other people who had events in the same place.  For marriage and other family related facts, the name of the person's spouse is available so that you can view the spouse and a link to the family record is also provided.<br /><br />The "Notes" tab will show you any general notes relating to this person.<br /><br />The "Sources" tab will show you all of the general sources for this person.  Clicking on the title of a source will bring you to a more details source information page that will display other people who are also linked to the same source.<br /><br />The "Media" tab will list all of the pictures and other media items that are attached to this individual.  Clicking on a thumbnail of the picture will open up a larger view of the image.<br /><br />The "Close Relatives" tab lists this persons parents and siblings, as well as all of the spouses and children that this person has had.  The persons will be listed in boxes similar to the charts that you may have already seen.<br /><br />On the right hand side of the screen, you will find a box with links.<br />Many of the links in the box are the same as the links in the menus.  For example, clicking on the "Pedigree Chart" link on the side links will take you to the pedigree chart for this person.  This is different from the menu links, because clicking on the "Pedigree Chart" link in the menu will take you back to the default pedigree chart for this GEDCOM.<br /><br />On of the links that might appear in this list if it has been enabled by the admin, is the "View GEDCOM Record" link.  This link will show you the raw GEDCOM record of this individual.<br /><br />If the clippings cart has been enabled by the site admin, you will also have a link that will allow you to add this person to your clippings cart.<br /><br />The Relationship To me link will only appear if you are logged in and have been assigned an ID in the GEDCOM.  This link will take you to the pedigree chart and show you how you are related to this person.<br /><br />More help is available on the page by clicking on the <b>?</b> behind links or items."
"help_editconfig.php";"~CONFIGURE  Genmod~<br /><br />On this page you have to set the global settings for the program, when you have just installed Genmod on your server, and are running it for the first time.<br />#gm_lang[review_readme]#<br /><br />As these settings are <b>global</b>, they are for the whole program and for all GEDCOM files, you are using within the program.<br />For each GEDCOM file you can make seperate settings.<br />Since you are here on the Configuration Page, you can click the link to Administer GEDCOMs, just above the form.<br />From anywhere else in the program, you will find the link in the menu, under the MyGedView Icon."
"help_reportengine.php";"~΅ΑΝΑΦΟΡΕΣ~<br />The GM reporting engine uses XML template files to automatically generate PDF reports.  The first step is to choose a report to run.  The reports available in the list are generated from the reports found in the "reports" directory.  Once you select a report to run, it will ask you to provide some information specific to that report such as which inidivual or family to start with and whether or not to show photos.  When you are ready to run the report, click the "#gm_lang[view_report]#" button to open the report in your browser, or click the "#gm_lang[download_report]#" button to download the report to your hard-drive.<br /><br />You can create your own reports by making a copy of any of the templates provided and modifying the template XML.  To add your custom report, just put it in the "reports" directory and GM will automatically detect it and make it available in the "Choose report" drop-down list."
"help_contents_gedcom_info";"GEDCOM info"
"help_contents_gedcom_places";"Places in the GEDCOM"
"SHOW_SOURCES";"Εμφάνιση πηγών;"
"configure";"Διαμόρφωση Genmod"
"standard_conf";"Βασικές Επιλογές Διαμόρφωσης"
"advanced_conf";"Προχωρημένες Επιλογές Διαμόρφωσης"
"meta_conf";"META Tag Επιλογές Διαμόρφωσης"
"configure_head";"Genmod Διαμόρφωση"
"gedconf_head";"GEDCOM Διαμόρφωση"
"default_user";"Δημιουργία αρχικού χρήστη διαχείρισης."
"about_user";"Πρέπει πρώτα να δημιουργήστε τον βασικό χρήστη διαχείρισης.  Ο χρήστης αυτός θα έχει αρμοδιότητες αλλαγών στα αρχεία διαμόρφωσης, απεικόνισης προσωπικών δεδομένων, και δημιουργία άλλων χρηστών."
"can_admin";"Χρήστης με δικαιώματα Διαχείρισης"
"can_edit";"Επίπεδα Πρόσβασης"
"access";"Απλή Πρόσβαση"
"add_user";"Προσθήκη νέου χρήστη"
"current_users";"Επικαιροποιημένος Κατάλογος Χρηστών"
"leave_blank";"Αφήστε κενό τον κωδικό πρόσβασης για να κρατήστε το ήδη υπάρχοντα."
"other_theme";"Άλλο, παρακαλώ πληκτρολογήστε"
"performing_update";"Σε διαδικασία ενημέρωσης."
"config_file_read";"Ανάγνωση αρχείου προσαρμογής."
"does_not_exist";"δεν υπάρχει"
"media_drive_letter";"Το path των εικόνων δεν πρέπει να έχει driver letter, εικόνα δεν μπορεί να απεικονιστεί."
"gm_config_write_error";"Σφάλμα!!! Αδυναμία εγγραφής στο αρχείο προσαρμογών του Genmod. Παρκαλώ ελέγξτε τα δικαιώματα πρόσβασης του αρχείου και του φακέλλου και δοκιμάστε ξανά."
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"bad_host_user_pass";"Genmod was unable to make a connection to your database host.  Check the host, username, and password to make sure they are correct."
"bad_database_name";"Genmod made a connection to your database host, but was unable to use the database with the name you entered.  Check that the database exists and that the usename you entered has the appropriate permissions on that database."
"click_here_to_continue";"Επιλέξτε εδώ για να συνεχίστε."
"mysql";"MySQL"
"db";"Βάση Δεδομένων"
"admin_gedcoms";"Επιλέξτε εδώ για την διαχείριση GEDCOMS."
"current_gedcoms";"Υπάρχοντα GEDCOMs"
"gedcom_adm_head";"GEDCOM Διαχείριση"
"ged_download";"Download"
"ged_gedcom";"GEDCOM Αρχείο"
"ged_title";"GEDCOM Τίτλος"
"ged_config";"Αρχείο Προσαρμογών"
"ged_privacy";"Privacy File"
"show_phpinfo";"Εμφάνιση σελίδας PHPInfo"
"confirm_gedcom_delete";"Are you sure you want to delete this GEDCOM"
"gregorian";"Γρηγοριανό"
"julian";"Ιουλιανό"
"config_french";"Γαλλικά"
"jewish";"Jewish"
"config_hebrew";"Hebrew"
"jewish_and_gregorian";"Jewish and Gregorian"
"hebrew_and_gregorian";"Hebrew and Gregorian"
"disabled";"Disabled"
"mouseover";"On Mouse Over"
"mousedown";"On Mouse Down"
"click";"On Mouse Click"
"mailto";"Mailto Link"
"messaging";"Genmod Εσωτερική Επικοινωνία"
"messaging2";"Εσωτερική Επικοινωνία μέσω Ηλεκτρονικού Ταχυδρομείου"
"messaging3";"Genmod sends Emails with no storage"
"no_messaging";"No contact method"
"no_logs";"Disable Logging"
"daily";"Ημερήσια"
"weekly";"Εβδομαδιαία"
"monthly";"Μηνιαία"
"yearly";"Ετήσια"
"enter_db_pass";"For security, you must enter the Database Username and Database Password before changing configuration values."
"config_still_writable";"Your config.php file is still writeable.  If you are done configuring your site you should set the permissions of this file back to read-only for security."
"admin_verification_waiting";"Useraccount(s) awaiting verification by admin"
"DEFAULT_GEDCOM";"Default GEDCOM"
"privileges";"Privileges"
"date_registered";"Date Registered"
"last_login";"Τελευταία πρόσβαση"
"server_url_note";"This should be the URL to your Genmod folder.  You should only change this setting if you are sure you know what you are doing.  Genmod has calculated the SERVER_URL to be #GUESS_URL#"
"DBHOST";"Database Host"
"DBUSER";"Όνομα Χρήστη Βάσης Δεδομένων"
"DBPASS";"Κωδικός Βάσης Δεδομένων"
"DBNAME";"Όνομα Βάσης Δεδομένων"
"TBLPREFIX";"Πρόθεμα Πινάκων Βάσης Δεδομένων"
"ALLOW_CHANGE_GEDCOM";"Allow GEDCOM Switching"
"CHARACTER_SET";"Κωδικοποίηση Χαρακτήρων (encoding)"
"LANGUAGE";"Γλώσσα"
"ENABLE_MULTI_LANGUAGE";"Επιτρέπεται στο χρήστη να αλλάζει γλώσσα"
"CALENDAR_FORMAT";"Μορφή Ημερολογίου"
"DISPLAY_JEWISH_THOUSANDS";"Display Hebrew Thousands"
"DISPLAY_JEWISH_GERESHAYIM";"Display Hebrew Gershayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jewish Ashkenaz Pronunciation"
"DEFAULT_PEDIGREE_GENERATIONS";"Pedigree Generations"
"MAX_PEDIGREE_GENERATIONS";"Maximum Pedigree Generations"
"MAX_DESCENDANCY_GENERATIONS";"Maximum Descendancy Generations"
"USE_RIN";"Χρήση RIN# αντί GEDCOM ID"
"PEDIGREE_ROOT_ID";"Default person for pedigree and descendency charts"
"GEDCOM_ID_PREFIX";"Πρόθεμα GEDCOM ID"
"PEDIGREE_FULL_DETAILS";"Show Birth and Death Details on Pedigree and descendency charts"
"PEDIGREE_LAYOUT";"Default Pedigree Chart Layout"
"SHOW_EMPTY_BOXES";"Εμφάνιση άδειων κουτιών στα γενεαλογικά διαγράμματα"
"ZOOM_BOXES";"Zoom Boxes on Charts"
"LINK_ICONS";"PopUp Links on Charts"
"ABBREVIATE_CHART_LABELS";"Abbreviate chart labels"
"HIDE_LIVE_PEOPLE";"Ενεργοποίηση Προστασίας Προσωπικών Δεδομένων"
"REQUIRE_AUTHENTICATION";"Require Visitor Authentication"
"WELCOME_TEXT_AUTH_MODE";"Welcome text on login page in Authentication mode"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Predefined text that states all users can apply for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Predefined text that states admin will decide if applied for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Predefined text that states only family members can apply for a user account"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Choose user defined welcome text typed below"
"WELCOME_TEXT_AUTH_MODE_CUST";"Custom welcome text for authentication mode"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standard header for custom welcome text"
"CHECK_CHILD_DATES";"Check child dates"
"MAX_ALIVE_AGE";"Age at which to assume a person is dead"
"SHOW_GEDCOM_RECORD";"Allow users to see raw GEDCOM records"
"ALLOW_EDIT_GEDCOM";"Enable online Editing"
"INDEX_DIRECTORY";"Index file directory"
"ALPHA_INDEX_LISTS";"Break up long lists by the first letter"
"SHOW_ID_NUMBERS";"Show ID numbers next to names"
"SHOW_PEDIGREE_PLACES";"Place levels to show in person boxes"
"MULTI_MEDIA";"Enable multimedia features"
"MEDIA_EXTERNAL";"Keep links"
"MEDIA_DIRECTORY";"MultiMedia directory"
"MEDIA_DIRECTORY_LEVELS";"Multi-Media Directory Levels to Keep"
"SHOW_HIGHLIGHT_IMAGES";"Show highlight images in people boxes"
"USE_THUMBS_MAIN";"Use thumbnail for main picture on individual page"
"ENABLE_CLIPPINGS_CART";"Enable Clippings Cart"
"HIDE_GEDCOM_ERRORS";"Hide GEDCOM errors"
"WORD_WRAPPED_NOTES";"Add spaces where notes were wrapped"
"COMMON_NAMES_THRESHOLD";"Min. number of surnames before occuring in Common Surnames"
"COMMON_NAMES_ADD";"Names to add to Common Surnames (comma separated)"
"COMMON_NAMES_REMOVE";"Names to remove from Common Surnames (comma separated)"
"HOME_SITE_URL";"Main WebSite URL"
"HOME_SITE_TEXT";"Main WebSite Text"
"CONTACT_EMAIL";"Genealogy Contact User"
"CONTACT_METHOD";"Contact Method"
"WEBMASTER_EMAIL";"Support Contact User"
"SUPPORT_METHOD";"Support Method"
"FAVICON";"Favorites Icon"
"THEME_DIR";"Theme directory"
"GM_SESSION_SAVE_PATH";"Session Save Path"
"SERVER_URL";"Genmod URL"
"LOGIN_URL";"Login URL"
"GM_SESSION_TIME";"Session Timeout"
"SHOW_STATS";"Show Execution Statistics"
"SHOW_COUNTER";"Εμφάνιση Μετρητών Θέασης"
"USE_REGISTRATION_MODULE";"Allow visitors to request account registration"
"ALLOW_USER_THEMES";"Allow users to select their own theme"
"GM_SIMPLE_MAIL";"Use simple mailheaders in external mails"
"gedcom_title";"Enter a title that describes the data in this GEDCOM file"
"LOGFILE_CREATE";"Archive Log Files"
"GM_MEMORY_LIMIT";"Max Memory Limit"
"GM_STORE_MESSAGES";"Allow messages to be stored online"
"ALLOW_THEME_DROPDOWN";"Display Theme Dropdown selector for theme changes"
"META_AUTHOR";"Author META tag"
"META_AUTHOR_descr";"Leave this field empty to use the GEDCOM contact user's full name for this value."
"META_PUBLISHER";"Publisher META tag"
"META_PUBLISHER_descr";"Leave this field empty to use the GEDCOM contact user's full name for this value."
"META_COPYRIGHT";"Copyright META tag"
"META_COPYRIGHT_descr";"Leave this field empty to use the GEDCOM contact user's full name for this value."
"META_DESCRIPTION";"Description META tag"
"META_DESCRIPTION_descr";"Leave this field empty to use the currently active GEDCOM's title for this value."
"META_PAGE_TOPIC";"Page-Topic META tag"
"META_PAGE_TOPIC_descr";"Leave this field empty to use the currently active GEDCOM's title for this value."
"META_AUDIENCE";"Audience META tag"
"META_PAGE_TYPE";"Page Type META tag"
"META_ROBOTS";"Robots META tag"
"META_REVISIT";"How often should crawlers revisit META tag"
"META_KEYWORDS";"Keywords META tag"
"META_TITLE";"Add to TITLE header tag"
"welcome_new";"Welcome to your new Genmod website.  Since you are seeing this page you have successfully installed Genmod on your webserver and are ready to begin configuring it the way you want it.<br />"
"review_readme";"You should first review the <a href="readme.txt" target="_blank">readme.txt</a> file before continuing to configure Genmod.<br /><br />"
"return_editconfig";"You may return to this configuration at any time by pointing your browser to the editconfig.php file, or by clicking the link for <b>Configuration</b> on the <b>Adminstration</b> Page.<br />"
"return_editconfig_gedcom";"You may return to this configuration at any time, by clicking the link: <b>Edit</b> in the <b>Current GEDCOMs</b> table, on the <b>GEDCOM Adminstration</b> Page, or by pointing your browser to the editconfig_gedcom.php file.<br />"
"save_config";"Save Configuration"
"download_here";"Click here to download file."
"download_gedconf";"Download GEDCOM configuration."
"not_writable";"We have detected that you configuration file is not writable by PHP.  You can use the download button to save your settings to a file that you can upload manually."
"download_file";"Download File"
"upload_to_index";"Upload the file to your index directory: "
"edit_privacy";"Edit Privacy"
"edit_privacy_title";"Edit GEDCOM Privacy Settings"
"PRIV_PUBLIC";"Show to public"
"PRIV_USER";"Show only to authenticated users"
"PRIV_NONE";"Show only to admin users"
"PRIV_HIDE";"Hide even from admin users"
"save_changed_settings";"Save changes"
"add_new_pp_setting";"Add new setting for Person Privacy"
"add_new_up_setting";"Add new setting for User Privacy"
"add_new_gf_setting";"Add new setting for Global Fact Privacy"
"add_new_pf_setting";"Add new setting for Person Facts Privacy"
"add_new_pf_setting_indi";"Add new setting for Person Facts Privacy for individuals"
"add_new_pf_setting_source";"Add new setting for Person Facts Privacy for sources"
"privacy_indi_id";"Individual - ID"
"privacy_source_id";"Source - ID"
"privacy_indi_source";"Individual / Source"
"privacy_indi";"Individual"
"privacy_source";"Πηγή"
"file_read_error";"E R R O R !!! Could not read privacy-file!"
"edit_exist_person_privacy_settings";"Edit existing settings for Person Privacy "
"edit_exist_user_privacy_settings";"Edit existing settings for User Privacy"
"edit_exist_global_facts_settings";"Edit existing settings for Global Fact Privacy"
"edit_exist_person_facts_settings";"Edit existing settings for Person Facts Privacy"
"accessible_by";"Show to?"
"hide";"Απόκρυψη"
"show_question";"Εμφάνιση?"
"user_name";"Username"
"name_of_fact";"Name of fact"
"choice";"Επιλογή"
"fact_show";"Show fact"
"fact_details";"Show fact details"
"privacy_header";"Edit privacy settings inside"
"unable_to_find_privacy_indi";"Unable to find individual with id"
"save_and_import";"After you save this GEDCOM configuration you will need to import the GEDCOM by clicking the <b>Import GEDCOM</b> button or by going to <b>Admin->Manage GEDCOMs->Import</b>"
"help_info";"You can get help for each item by clicking on the red &quot;?&quot; by the label for each cell."
"SHOW_LIVING_NAMES";"Show living names"
"SHOW_RESEARCH_LOG";"Show research log"
"USE_RELATIONSHIP_PRIVACY";"Use relationship privacy"
"MAX_RELATION_PATH_LENGTH";"Max. relation path length"
"CHECK_MARRIAGE_RELATIONS";"Check marriage relations"
"SHOW_DEAD_PEOPLE";"Show dead people"
"select_privacyfile_button";"Select privacy file"
"PRIVACY_BY_YEAR";"Limit Privacy by age of Event"
"edit_langdiff";"Edit and configure language files"
"edit_lang_utility";"Language File Edit Utility"
"language_to_edit";"Language to edit"
"file_to_edit";"Language file type to edit"
"lang_save";"Save"
"contents";"Contents"
"listing";"Listing"
"no_content";"No Content"
"original_message";"Original message"
"message_to_edit";"Message to edit"
"changed_message";"Changed content"
"message_empty_warning";"-> Warning!!! This message is empty inside [#LANGUAGE_FILE#] <-"
"language_to_export";"Language to export"
"export_lang_utility";"Language File Export Utility"
"export";"Εξαγωγή-Export"
"export_ok";"Help messages were exported"
"compare_lang_utility";"Language File Comparison Utility"
"new_language";"Source language"
"old_language";"Secondary language"
"compare";"Compare"
"comparing";"Language files that are compared"
"additions";"Additions"
"no_additions";"No Additions"
"subtractions";"Subtractions"
"no_subtractions";"No Subtractions"
"config_lang_utility";"Configuration of supported languages"
"active";"Active"
"edit_settings";"Edit settings"
"lang_edit";"Edit"
"lang_language";"Language"
"export_filename";"Name of the file including the exported data:"
"lang_back";"Go back to the main menu to edit and configure language files"
"lang_back_admin";"Go back to the Admin menu"
"lang_back_manage_gedcoms";"Go back to the GEDCOM management menu"
"lang_name_czech";"Czech"
"lang_name_chinese";"Κινέζικα"
"lang_name_danish";"Danish"
"lang_name_dutch";"Dutch"
"lang_name_english";"Αγγλικά"
"lang_name_finnish";"Finnish"
"lang_name_french";"Γαλλικά"
"lang_name_german";"Γερμανικά"
"lang_name_hebrew";"Hebrew"
"lang_name_hungarian";"Hungarian"
"lang_name_italian";"Ιταλικά"
"lang_name_norwegian";"Norwegian"
"lang_name_polish";"Polish"
"lang_name_portuguese";"Portuguese"
"lang_name_portuguese_br";"Brasilian Portuguese"
"lang_name_russian";"Ρώσικα"
"lang_name_spanish";"Ισπανικά"
"lang_name_spanish_ar";"Latin American Spanish"
"lang_name_swedish";"Swedish"
"lang_name_turkish";"Τούρκικα"
"lang_name_greek";"Ελληνικά"
"lang_new_language";"Νέα Γλώσσα"
"original_lang_name";"Original name of language in #D_LANGNAME#"
"lang_shortcut";"Shortcut for language files"
"lang_langcode";"Language detection codes"
"flagsfile";"Όνομα αρχείου σημαίας"
"text_direction";"Φορά γραφής"
"date_format";"Μορφή Απεικόνισης Ημερομηνίας:"
"time_format";"Μορφή ώρας"
"week_start";"Αρχική ημέρα της εβδομάδας"
"name_reverse";"Επώνυμο πρώτα"
"ltr";"Αριστερά προς δεξιά"
"rtl";"Δεξιά προς αριστερά"
"file_does_not_exist";"ΣΦΑΛΜΑ! Το αρχείο δεν υπάρχει..."
"alphabet_upper";"Αλφάβητο κεφαλαία γράμματα"
"alphabet_lower";"Αλφάβητο μικρά γράμματα"
"lang_config_write_error";"Error writing language settings into the file [language_settings.php]. Check permissions and try again."
"translation_forum";"Link to the Genmod translations forum on SourceForge"
"system_time";"Current System Time:"
"gedcom_not_imported";"This GEDCOM has not been imported yet."
"lang_set_file_read_error";"E R R O R !!! Could not read [language_settings.php]!"
"add_new_language";"Add files and settings for a new language"
"add_new_lang_button";"Προσθήκη νέας γλώσσας"
"hide_translated";"Hide translated"
"lang_file_write_error";"E R R O R !!!<br /><br />Could not write changes into the selected language file!<br />Check write permissions on (#lang_filename#)"
"never";"Ποτέ"
"um_header";"User Information Migration Tool"
"um_proceed";"Proceed with export of user data files?<br /><br />"
"um_creating";"Creating"
"um_file_create_fail1";"Creation of new file failed, a file with that name already exists:"
"um_file_create_fail2";"Cannot create"
"um_file_create_fail3";"Check access rights on this directory."
"um_file_create_succ1";"Creation of new file succeful:"
"um_file_not_created";"File is not created."
"um_nomsg";"No messages seem to be present in the system."
"um_nofav";"No favorites seem to be present in the system."
"um_nonews";"No news seems to be present in the system."
"um_noblocks";"No blocks seems to be present in the system."
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
