"stat_sources";"pramenů,"
"help_sourcelist.php";"~STRÁNKA SE SEZNAMEM PRAMENŮ~<br /><br />Na této stránce je zobrazen seznam pramenů.<br />Narozdíl od stránky s osobami a stránky s rodinami, tady chybí abecední rejstřík. Je to z toho důvodu, že pramen může být osoba, která má samozřejmě křestní jméno a příjmení, anebo to může veřejná databáze nebo instituce atd. atd.<br />To znamená, že je obtížné vymyslet způsob řazení. Názvy pramenů jsou seřazeny v abecedním pořadí tak, jak jsou uloženy v souboru GEDCOM.<br /><br /><b>PRAMENY</b><br />Bez pramenů bychom nemohli vybudovat svou rodopisnou databázi. Každá informace uložená v databázi pochází z nějakého zdroje. Může jím být příbuzný dané osoby, instituce, veřejná databáze apod.<br />Jeden pramen může být spojen s více osobami. Na druhou stranu, jedna osoba může být zase spojena s více prameny. Pro každou událost můžete mít jiný pramen, ať už je to datum narození, profese, sňatek, děti atd. atd."
"help_source.php";"~STRÁNKA S PODROBNOSTMI O PRAMENI~<br /><br />Na této stránce jsou zobrazeny podrobnosti o tomto prameni.<br />Můžete zde najít informace o názvu, autoru, vydání pramene a místě, kde byl vyhledán. Jelikož existuje mnoho typů pramenů, u nekterých z nich může být k dispozici více, u jiných méně údajů.<br /><br />Je-li k prameni připojen multimediální objekt (jako naskenovaný dokument), můžete si tento objekt prohlédnout ve velkém okně kliknutím buď na objekt nebo na název souboru uvedený vedle něj.<br /><br />Po podrobnostech o tomto prameni následuje seznam všech jednotlivců a rodin, kteří jsou k tomuto prameni napojeni. Tak máte možnost získat všechny informace, které byly z daného pramene získány.<br /><br />Je-li to povoleno adminem, budete mít na stránce menu s jedou nebo dvěma ikonami:<br /><b>Zobrazit přímo záznam GEDCOM</b> ukáže údaj v GEDCOM formátu.<br /><b>Přidat do Schránky výstřižků</b>, jež umožňuje ukládat vybrané informace do schránky. Odtud je můžete stáhnout a naimportovat do svého genealogického programu.<br /><br />Další nápověda je k dispozici po kliknutí na <b>?</b>"
"help_placelist.php";"~HIERARCHIE MÍST~<br />(nebo též osoby v místech)<br /><br />Tady se můžete podívat, které osoby nebo rodiny jsou spojeny s jakým místem.<br /><br />Je-li mezi osobou nebo rodinou a nějakou událostí v určitém místě nějaké spojení, program vám jej najde.<br /><br />Výsledek je zobrazen ve dvou-sloupcovém seznamu:<br />Jeden sloupec je pro jednotlivce a druhý pro rodiny.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~SEZNAM MULTIMÉDIÍ~<br /><br />Seznam multimediálních souborů zahrnuje všechny multimediální objekty (MMO), které se nachází v tomto GEDCOMu.<br /><br />V políčkách MMO najdete jeho název a jméno osoby nebo rodiny, ke které je tento objekt připojen. Na obojí můžete kliknout.<br /><br />Kliknete-li na jméno osoby nebo rodiny, dostanete se na stránku s osobními údaji nebo stránku o rodině.<br /><br />Kliknutí na název MMO má stejný efekt jako kliknutí na zmenšeninu (náhled) MMO.<br />V závislosti na formátu MMO (*.gif, *.jpg) se MMO otevře v interním Genmod-prohlížeči nebo v prohlížeči, jenž je připojen k vašemu internetovém prohlížeči.<br /><br />Kliknete-li na odkaz "Zobrazit" vedle osob nebo rodin, dostanete se na stránku s údaji o jednotlivci nebo rodině.<br /><br />"
"help_uploadmedia.php";"~NAHRÁVÁNÍ MEDIÁLNÍCH SOUBORŮ~<br /><br />Nahrávání souborů je jednoduché, takže zde jen doplňující informace.<br /><br /><b>Zmenšeniny</b><br />Zmenšeniny by měly mít velikost přibližně kolem 100px na šířku.<br />Název souboru musí být stejný jako u originálu (obr. v původní velikosti).<br /><br /><b>Nahrávání</b><br />Originály obrázků budou uloženy automaticky do složky ../media a zmenšeniny do ../media/thumbs/.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~KALENDÁŘ VÝROČÍ~<br /><br /><ul><li><a href="#calendar_general">Základní informace</a><li><a href="#calendar_day">#gm_lang[day]#</a><li><a href="#calendar_month">#gm_lang[month]#</a><li><a href="#calendar_year">#gm_lang[year]#</a><li><a href="#calendar_show">#gm_lang[show]# / #gm_lang[showcal]#</a><li><a href="#calendar_sex">#gm_lang[sex]#</a><li><a href="#calendar_event">Událost</a><li><a href="#calendar_button">Výběr režimu (tlačítka)</a><li><a href="#calendar_tip">Tip</a></ul><br /><a name="calendar_general"></a>Kalendář výročí zobrazuje osoby a rodiny napojené k událostem z určitého dne a/nebo měsíce nebo určitého časového úseku. Používá důmyslný filtrovací systém k tomu, aby vám ukázal správné datum nebo období.<dl><dt><b>Zobrazit <a href="#calendar_day">den</a></b></dt><dd>Tato volba ukazuje události, k nimž došlo v určitý den nezávisle na zvoleném roku. Výstupem bude buď jednoduchý seznam jmen osob nebo rodin, nebo dvousloupcový seznam jednotlivců na jedné a rodin na druhé straně.</dd><dt><b>Zobrazit <a href="#calendar_month">měsíc</a></b></dt><dd>V <b>Kalendáři</b> jsou jména osob i rodin zobrazena v políčkách dnů. Kalendář se zobrazí tak, jak vypadal v roce, který jste zadali do políčka roku. Zobrazeny jsou všechny události z minulosti až po zadaný rok.<br />V kombinaci s volbou "<a href="#calendar_show">#gm_lang[recent_events]#</a>" vám poskytne realistický pohled na to, jak vypadal kalendář vašich předků.</dd><dt><b>Zobrazit <a href="#calendar_year">rok</a></b></dt><dd>Tato volba zobrazí události, jež se staly v určitém roce nebo v rozmezí určitých let. Výstupem bude buď jednoduchý seznam jmen osob nebo rodin, nebo dvousloupcový seznam jednotlivců na jedné a rodin na druhé straně.</dd></dl>Právě zobrazovaný den a měsíc jsou v menu kalendáře zvýrazněny.<br /><br />Na jména a data, která se objeví v seznamu nebo v kalendáři, můžete kliknout.<br />Kliknutím na jméno se přenesete na stránku s údaji o dané osobě či rodině. Kliknete-li na datum, dostanete se do režimu "Dnes" (nebo Rok), a tak získáte zobrazení všech událostí tohoto (zvoleného) dne a měsíce.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~Schránka výstřižků~<br />Schránka výstřižků vám umožňuje pořizovat z tohoto rodokmenu "výstřižky" a vložit je do jednoduchého GEDCOM souboru ke stažení.<br /><br />* Jak pořídit výstřižky?<br />To je velmi jednoduché. Kdekoliv uvidíte jméno, na které se dá kliknout (osoba, rodina nebo pramen), můžete na toto jméno kliknout a tak se dostat na stránku s údaji o tomto jménu. Na této stránce uvidíte volbu "Přidat do schránky výstřižků".<br />Kliknutím na tento odkaz se dostanete na stránku, kde vám bude nabídnuto několik možností stažení.<br /><br />* Jak soubor stáhnout?<br />Jakmile budete mít položky ve schránce, můžete je stáhnout jednoduše kliknutím na odkaz "Stáhnout".<br>Pak postupujte podle instrukcí a odkazů."
"help_search.php";"~Stránka VYHLEDÁVÁNÍ~<br /><br />Ačkoliv tato stránka vypadá velmi jednoduše, ty dva formuláře na ní obsluhuje výkonný vyhledávací nástroj.<br /><br />Většina genealogických webů vám umožní hledat příjmení (někdy i jméno).<br />Na této stránce můžete hledat prakticky cokoliv.<br /><br />Vyhledávací políčko na levé straně obrazovky je úplně to samé jako v záhlaví stránky.<br /><br />Jestliže hledáte lidi spojené s určitým rokem, vepište prostě rok. Program vám najde všechna spojení.<br /><br />Hledáte snad jméno nebo místo?<br />Tak jej zadejte, buď celé nebo jen část, a program udělá zbytek za vás.<br /><br />Vyhledávací metoda SOUNDEX.<br />Přes vyhledávací políčko na pravé straně můžete vyhledávat jména osob a míst, dokonce i tehdy, když nevíte, jak se píší.<br /><br />Další nápovědu k těmto dvěma políčkům najdete, kliknete-li na <b>?</b> nad políčky.<br /><br />"
"help_individual.php";"~STRÁNKA S ÚDAJI O JEDNOTLIVCÍCH~<br /><br />Na této stránce jsou zobrazeny všechny údaje o dané osobě.<br /><br />Jestliže je v databázi obrázek, uvidíte jej nahoře po levé straně.<br />Vedle obrázku (je-li nějaký), uvidíte jméno osoby.<br />Ke jménům mohou být připojeny prameny a poznámky. Jsou-li k některému ze jmen připojeny poznámky nebo prameny, uvidíte je seřazeny pod příslušným jménem.<br />Člověk může mít také pseudonym. Je-li tomu tak, bude též zobrazen.<br /><br />Máte-li potřebná práva k této osobě, zobrazí se vám také odkazy pro úpravu a vymazání položek, které můžete upravovat.<br /><br />Na této stránce vidíte záložky "Osobní údaje", "Poznámky", "Prameny", "Média", "Blízcí příbuzní".<br /><br />Pod těmito záložkami najdete veškeré informace uložené v GEDCOMu.<br /><br />Záložka "Osobní údaje" vám ukáže údaje a podrobnosti o dané osobě a údaje o jejích manželstvích. Kliknutím na kterékoliv datum vás přepne do Kalendáře výročí s tímto datem, takže se budete moci podívat, jaké další události se ještě k tomuto datu váží. Kliknutí na místo vás přepne do Hierarchie míst, kde uvidíte seznam lidí, v jejichž životě se něco odehrálo na stejném místě. U sňatků a jiných údajů spojených s rodinou se zobrazí také jméno partnera, takže se budete moci podívat i na něj a k dispozici je i odkaz na záznam o rodině.<br /><br />Záložka "Poznámky" vám ukáže všechny obecné poznámky připojené k této osobě.<br /><br />Záložka "Prameny" vám ukáže všechny prameny vážící se k této osobě. Po kliknutí na název pramene se dostanete na stránku s podrobnými údaji o daném prameni a seznamem lidí, kteří jsou k tomuto prameni napojeni.<br /><br />Pod záložkou "Média" se zobrazí seznam všech obrázků a jiných multimediálních souborů připojených k této osobě. Kliknete-li na náhled obrázku, otevře se okno s obrázkem v původní velikosti.<br /><br />Pod záložkou "Blízcí příbuzní" jsou seřazeni rodiče, sourozenci, partneři a děti této osoby. Osoby budou zapsány do rámečků podobných schématům, jež jste už viděli.<br /><br />Při pravé straně obrazovky najdete rámeček s odkazy.<br />Mnohé z těchto odkazů jsou také v horním menu. Například, kliknete-li z postranních odkazů na "Vývod", dostanete se na stránku s vývodem této osoby. Kdežto, kliknete-li na odkaz "Vývod" v horním menu, zobrazí se vám stránka s implicitním vývodem tohoto GEDCOMu.<br /><br />Jeden z odkazů, které by se mohly v seznamu objevit, jestliže byly zapnuty adminem, je odkaz "Zobrazit přímo záznam GEDCOM". Tento odkaz vám ukáže přímo samotný GEDCOM kód této osoby.<br /><br />Pokud admin povolil používání Schránky výstřižků, uvidíte také odkaz, který vám umožní přidat si tuto osobu do Schránky výstřižků.<br /><br />Odkaz Vztah ke mně se zobrazí pouze v případě, že jste přihlášeni do systému a bylo vám přiřazeno nějaké číslo z aktuálního GEDCOMu. Po kliknutí na tento odkaz se ocitnete na stránce s vývodem a vy uvidíte, jak jste příbuzní s touto osobou.<br /><br />Další nápověda je k dispozici na stránce – po kliknutí na <b>?</b> za odkazy či položkami."
"help_editconfig.php";"~KONFIGURACE Genmod~<br /><br />Na této stránce musíte v případě, že jste právě nainstalovali Genmod na svůj server a poprvé jej spouštíte, zvolit globální nastavení programu.<br />#gm_lang[review_readme]#<br /><br />Poněvadž toto nastavení je <b>globální</b>, platí pro celý program a pro všechny GEDCOMy v něm používané.<br />Pro každý GEDCOM si však můžete vytvořit vlastní nastavení.<br />Jelikož se nacházíte na stránce Konfigurace, můžete kliknout na odkaz pro administraci GEDCOMů (hned nad formulářem).<br />Na všech ostatních stránkách najdete tento odkaz v menu, pod ikonou MyGedView."
"help_reportengine.php";"~REPORTS~<br />Nástroj pro vytváření zpráv v Genmod používá šablony XML pro automatické generování PDF zpráv. Zprávy dostupné ze seznamu, jsou generovány ze zpráv nalezených ve složce "reports". Když zvolíte zprávu, jež se má vytvořit, bude požádáni o informace specifické pro daný typ zprávy, např. výchozí osobu nebo rodinu a dotaz na zobrazení fotek. Máte-li vše zoleno, klikněte na tlačítko "#gm_lang[view_report]#" a zpráva se otevře v prohlížeči, nebo klikněte na tlačítko "#gm_lang[download_report]#", chcete-li zprávu rovnou stáhnout na svůj disk.<br /><br />Můžete si vytvořit vlastní typ zprávy tak, že vytvoříte kopii některého ze souborů s XML šablonou a upravíte jej. Tuto novou šablonu pak vložte do složky "reports". Genmod ji samo najde a zařadí ji do rolovacího menu pro výběr zprávy."
"help_contents_gedcom_info";"GEDCOM info"
"help_contents_gedcom_places";"Místa v GEDCOMu"
"SHOW_SOURCES";"Zobrazit prameny?"
"configure";"Konfigurace Genmod"
"standard_conf";"Standardní nastavení"
"advanced_conf";"Rozšířené nastavení"
"meta_conf";"Konfigurační možnosti META tagů"
"configure_head";"Nastavení Genmod"
"gedconf_head";"Nastavení GEDCOMu"
"default_user";"Vytvořit implicitního administrátora."
"about_user";"Nejprve musíte vytvořit administrátorský účet.  Administrátor bude mít práva aktualizovat konfigurační soubory, prohlížet si soukromá data a vytvářet další účty."
"can_admin";"Uživatel může administrovat"
"can_edit";"Úroveň přístupových práv"
"access";"Přístup"
"add_user";"Přidat nového uživatele"
"current_users";"Seznam všech uživatelů"
"leave_blank";"Pokud chcete zachovat stávající heslo, nechte políčko pro heslo prázdné."
"other_theme";"Další, prosím vepište"
"performing_update";"Provádění aktualizace."
"config_file_read";"Konfigurační soubor načten."
"does_not_exist";"neexistuje"
"media_drive_letter";"Cesta k mediálním souborům by neměla obsahovat písmeno disku; nemusely by se pak zobrazit."
"gm_config_write_error";"Chyba!!! Není možné zapisovat do konfiguračního souboru Genmod. Prosím, překontrolujte přístupová práva k souboru a složce a zkuste to znovu."
"db_setup_bad";"Stávající nastavení vaší databáze je špatné.  Prosím zkontrolujte parametry databázového připojení a nastavte jej znovu."
"bad_host_user_pass";"Genmod nebylo schopné navázat spojení s vaší MySQL databází. Zkontrolujte položky host, uživatelské_jméno a heslo, abyste se ujistili, že jste vše nastavili správně."
"bad_database_name";"Genmod vytvořilo spojení s vaší MySQL databází, ale nebylo schopné používat databázi s názvem, který sjte zadali. Zkontrolujte, zda tato databáze existuje a jestli uživatel, jehož uživalské_jméno jste zadali, má odpovídající práva pro práci s touto databází."
"click_here_to_continue";"Pro pokračování klikněte sem."
"mysql";"MySQL"
"db";"Databáze"
"admin_gedcoms";"Pro administraci GEDCOM souborů klikněte sem."
"current_gedcoms";"Současné GEDCOM soubory"
"gedcom_adm_head";"Správa GEDCOMů"
"ged_download";"Stáhnout"
"ged_gedcom";"Soubory GEDCOM"
"ged_title";"Nadpis GEDCOMu"
"ged_config";"Konfigurační soubor"
"ged_privacy";"Soubor privátnosti"
"show_phpinfo";"Ukázat stránku PHPInfo"
"confirm_gedcom_delete";"Opravdu chcete smazat tento GEDCOM"
"gregorian";"Gregoriánský"
"julian";"Juliánský"
"config_french";"Francouzský"
"jewish";"Židovský"
"config_hebrew";"Hebrejský"
"jewish_and_gregorian";"Židovský a gregoriánský"
"hebrew_and_gregorian";"Hebrejský a gregoriánský"
"hijri";"Muslimský (Hijri)"
"arabic_cal";"Arabský"
"disabled";"Vypnuto"
"mouseover";"Po přejetí myší"
"mousedown";"Po sjetí myší"
"click";"Po kliknutí myší"
"mailto";"E-mail"
"messaging";"Vnitřní zprávy Genmod"
"messaging2";"Vnitřní zprávy s e-maily"
"messaging3";"Genmod posílá e-maily bez ukládání"
"no_messaging";"Není možné kontaktovat"
"no_logs";"Vypnout"
"daily";"Denně"
"weekly";"Týdně"
"monthly";"Měsíčně"
"yearly";"Ročně"
"enter_db_pass";"Z bezpečnostních důvodů musíte před upravováním nastavení zadat uživatelské jméno a heslo k databázi."
"config_still_writable";"Do vašeho souboru config.php je ještě možné zapisovat. Pokud jste již dokončili nastavování svých stránek, měli byste kvůli bezpečnosti změnit práva k tomuto souboru zpět na možnost 'jen pro čtení'."
"admin_verification_waiting";"Uživatelské účty vyžadující ověření adminem"
"DEFAULT_GEDCOM";"Implicitní GEDCOM"
"privileges";"Práva"
"date_registered";"Datum zapsáno"
"last_login";"Naposledy přihlášen(a)"
"server_url_note";"Toto by měl být odkaz na vaši složku s Genmod. Toto nastavení byste měli měnit jedině v případě, pokud jste si jistí tím, co děláte. Genmod nastavilo SERVER_URL na #GUESS_URL#"
"DBHOST";"Host databáze"
"DBUSER";"Uživatelské jméno k databázi"
"DBPASS";"Heslo k databázi"
"DBNAME";"Jméno databáze"
"TBLPREFIX";"Prefix před názvy tabulek v databázi"
"ALLOW_CHANGE_GEDCOM";"Povolit přepínání mezi GEDCOM soubory"
"CHARACTER_SET";"Znaková sada (kódování)"
"LANGUAGE";"Jazyk"
"ENABLE_MULTI_LANGUAGE";"Povolit uživatelům změnu jazyka"
"CALENDAR_FORMAT";"Formát kalendáře"
"DISPLAY_JEWISH_THOUSANDS";"Zobrazit hebrejské tisíce"
"DISPLAY_JEWISH_GERESHAYIM";"Zobrazit hebrejský Gershayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Židovská výslovnost Ashkenazi"
"DEFAULT_PEDIGREE_GENERATIONS";"Počet generací ve vývodu"
"MAX_PEDIGREE_GENERATIONS";"Maximální počet generací ve vývodu"
"MAX_DESCENDANCY_GENERATIONS";"Maximální počet generací v rozrodu"
"USE_RIN";"Použít RIN# místo GEDCOM ID"
"PEDIGREE_ROOT_ID";"Implicitní osoba pro vývod a rozrod"
"GEDCOM_ID_PREFIX";"GEDCOM ID Prefix"
"PEDIGREE_FULL_DETAILS";"Zobrazit podrobnosti o narození a úmrtí ve vývodu a rozrodu"
"PEDIGREE_LAYOUT";"Implicitní rozvržení vývodu"
"SHOW_EMPTY_BOXES";"Zobrazovat ve vývodu i prázdná políčka"
"ZOOM_BOXES";"Zvětšování políček ve schématech"
"LINK_ICONS";"PopUp odkazy ve schématech"
"ABBREVIATE_CHART_LABELS";"Zkrácené popisky pro schémata"
"HIDE_LIVE_PEOPLE";"Zapnout privátnost"
"REQUIRE_AUTHENTICATION";"Vyžadování autentifikace návštěvníků"
"WELCOME_TEXT_AUTH_MODE";"Úvodní text přihlašovací stránky v autentifikačním módu"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Přednastavený text, jenž říká, že všichni uživatelé mohou zažádat o zřízení uživatelského účtu"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Přednastavený text, jenž říká, že admin rozhodne v případě žádosti o účet"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Přednastavený text, jenž říká, že o zřízení uživatelského účtu mohou žádat pouze členové rodiny"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Vybrat uživatelem definovaný text vepsaný pod tímto políčkem"
"WELCOME_TEXT_AUTH_MODE_CUST";"Vlastní úvodní text pro autentifikační mód"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standardní hlavička pto uživatelský úvodní text"
"CHECK_CHILD_DATES";"Zkontrolovat data dětí"
"MAX_ALIVE_AGE";"Věk, od kterého je možné osobu považovat za mrtvou"
"SHOW_GEDCOM_RECORD";"Umožnit uživatelům prohlížet čisté GEDCOM záznamy"
"ALLOW_EDIT_GEDCOM";"Zapnout online editaci"
"INDEX_DIRECTORY";"Adresář Index souborů"
"ALPHA_INDEX_LISTS";"Rozdělit dlouhé seznamy podle počátečního písmena"
"SHOW_ID_NUMBERS";"Zobrazovat vedle jmen ID"
"SHOW_PEDIGREE_PLACES";"Úrovně míst k zobrazení v políčkách osob"
"MEDIA_EXTERNAL";"Uchovávat odkazy"
"MEDIA_DIRECTORY";"Složka Multimédií"
"MEDIA_DIRECTORY_LEVELS";"Úroveň prohledávání multimediálních složek"
"SHOW_HIGHLIGHT_IMAGES";"Zobrazit zvýrazněné obrázky v políčkách lidí"
"USE_THUMBS_MAIN";"Pro hlavní obrázek na stránce o jednotlivci použít náhled"
"ENABLE_CLIPPINGS_CART";"Zapnout schránku výstřižků"
"HIDE_GEDCOM_ERRORS";"Skrýt chyby GEDCOM"
"WORD_WRAPPED_NOTES";"Na místa, kde byly poznámky, vložit mezery"
"COMMON_NAMES_THRESHOLD";"Minimální četnost výskytu příjmení potřebná k tomu, aby se objevilo mezi nejčastějšími příjmeními"
"COMMON_NAMES_ADD";"Příjmení, jež se mají přidat k nejčastěji se vyskytujícím (oddělujte čárkou)"
"COMMON_NAMES_REMOVE";"Příjmení, jež se mají odstranit z nejčastěji se vyskytujících (oddělujte čárkou)"
"HOME_SITE_URL";"URL hlavní stránky"
"HOME_SITE_TEXT";"Text k hlavní stránce"
"CONTACT_EMAIL";"Kontaktní uživatel pro tento rodokmen"
"CONTACT_METHOD";"Způsob kontaktu"
"WEBMASTER_EMAIL";"Kontaktní uživatel pro technickou podporu"
"SUPPORT_METHOD";"Způsob technické podpory"
"FAVICON";"Ikona Oblíbených"
"THEME_DIR";"Složka motivů:"
"GM_SESSION_SAVE_PATH";"Cesta pro ukládání session"
"SERVER_URL";"URL Genmod"
"LOGIN_URL";"Přihlašovací URL"
"GM_SESSION_TIME";"Vypršení platnosti session"
"SHOW_STATS";"Ukázat statistiku provedení"
"SHOW_COUNTER";"Zobrazit počítadlo přístupů"
"USE_REGISTRATION_MODULE";"Umožnit uživatelům požadovat registraci účtu"
"ALLOW_USER_THEMES";"Umožnit uživatelům vybrat si vlastní motiv"
"GM_SIMPLE_MAIL";"V externích e-mailech používat jednoduché e-mailové hlavičky"
"gedcom_title";"Zadejte nadpis popisující data v tomto GEDCOM souboru"
"LOGFILE_CREATE";"Archivovat Log soubory"
"GM_MEMORY_LIMIT";"Maximální velikost paměti"
"GM_STORE_MESSAGES";"Umožnit online ukládání zpráv:"
"ALLOW_THEME_DROPDOWN";"Zobrazit rolovací menu pro změnu motivu"
"META_AUTHOR";"META tag o autorovi"
"META_AUTHOR_descr";"Ponechte toto políčko prázdné, chcete-li, aby bylo použito celé jméno kontaktního uživatele."
"META_PUBLISHER";"META tag o vydavateli"
"META_PUBLISHER_descr";"Ponechte toto políčko prázdné, chcete-li, aby bylo použito celé jméno kontaktního uživatele."
"META_COPYRIGHT";"META tag o copyrightu"
"META_COPYRIGHT_descr";"Ponechte toto políčko prázdné, chcete-li, aby bylo použito celé jméno kontaktního uživatele."
"META_DESCRIPTION";"META tag s popisem"
"META_DESCRIPTION_descr";"Ponechte toto políčko prázdné, chcete-li, aby byl použit nadpis tohoto GEDCOMu."
"META_PAGE_TOPIC";"META tag o tématu stránky"
"META_PAGE_TOPIC_descr";"Ponechte toto políčko prázdné, chcete-li, aby byl použit nynější nadpis tohoto GEDCOMu."
"META_AUDIENCE";"META tag Audience"
"META_PAGE_TYPE";"META tag typu stránky"
"META_ROBOTS";"META tag robotů"
"META_REVISIT";"Jak často by měl webový pavouk kontrolovat META tag"
"META_KEYWORDS";"META tag klíčových slov"
"META_TITLE";"Přidat do hlavičkového tagu TITLE (nadpis)"
"welcome_new";"Vítejte na svých nových stránkách v Genmod. Úspěšně jste nainstalovali Genmod (jinak byste neviděli tuto stránku), a tak se můžete pustit do nastavování systému podle vašich potřeb.<br />"
"review_readme";"Dříve, než budete pokračovat v konfiguraci Genmod, měli byste si pročíst soubor <a href="readme.txt" target="_blank">readme.txt</a>.<br /><br />"
"return_editconfig";"Ke konfigurování se můžete kdykoliv vrátit, když otevřete v prohlížeči soubor editconfig.php nebo kliknete na odkaz <b>Konfigurace</b> na stránce <b>Adminstrace</b>.<br />"
"return_editconfig_gedcom";"Ke konfigurování se můžete kdykoliv vrátit kliknutím na odkaz: <b>Upravit</b> v tabulce <b>Současné GEDCOMy</b> nebo na stránce <b>Adminstrace GEDCOMů</b> nebo otevřením souboru editconfig_GEDCOM.php ve svém prohlížeči.<br />"
"save_config";"Uložit konfiguraci"
"download_here";"Klikněte sem pro stažení."
"download_gedconf";"Stáhnout konfiguraci GEDCOM."
"not_writable";"Zjistili jsme, že PHP do vašeho konfiguračního souboru nemůže zapisovat.  Můžete použít tlačítko ke stažení pro uložení svého nastavení do souboru, který budete moci ručně nahrát (uploudovat)."
"download_file";"Stáhnout soubor"
"upload_to_index";"Nahrát soubor do složky index: "
"edit_privacy";"Upravit privátnost"
"edit_privacy_title";"Upravit nastavení privátnosti v GEDCOMu"
"PRIV_PUBLIC";"Zobrazit veřejně"
"PRIV_USER";"Zobrazit jen autentifikovaným uživatelům"
"PRIV_NONE";"Ukázat jen administrátorům"
"PRIV_HIDE";"Skrýt i administrátorům"
"save_changed_settings";"Uložit změny"
"add_new_pp_setting";"Přidat nové nastavení osobní privátnosti"
"add_new_up_setting";"Přidat nové nastavení uživatelské privátnosti"
"add_new_gf_setting";"Přidat nové nastavení privátnosti globálních údajů"
"add_new_pf_setting";"Přidat nové nastavení privátnosti osobních údajů"
"add_new_pf_setting_indi";"Přidat nové nastavení privátnosti osobních údajů pro jednotlivce"
"add_new_pf_setting_source";"Přidat nové nastavení privátnosti osobních údajů pro prameny"
"privacy_indi_id";"Osoba - ID"
"privacy_source_id";"Pramen - ID"
"privacy_indi_source";"Osoba / Pramen"
"privacy_indi";"Osoba"
"privacy_source";"Pramen"
"file_read_error";"C H Y B A !!! Nejde číst soubor s nastavením privátnosti!"
"edit_exist_person_privacy_settings";"Upravit existující nastavení osobní privátnosti"
"edit_exist_user_privacy_settings";"Upravit existující nastavení uživatelské privátnosti"
"edit_exist_global_facts_settings";"Upravit existující nastavení privátnosti globálních údajů"
"edit_exist_person_facts_settings";"Upravit existující nastavení privátnosti osobních údajů"
"accessible_by";"Komu ukázat?"
"hide";"Skrýt"
"show_question";"Ukázat?"
"user_name";"Uživatelské jméno"
"name_of_fact";"Název údaje"
"choice";"Volba"
"fact_show";"Zobrazit údaj"
"fact_details";"Zobrazit podrobnosti o údaji"
"privacy_header";"Upravit nastavení privátnosti uvnitř"
"unable_to_find_privacy_indi";"Není možné nalézt osobu s id"
"save_and_import";"Po uložení konfigurace tohoto GEDCOMu, bude potřeba importovat GEDCOM soubor kliknutím na tlačítko <b>Importovat GEDCOM</b> nebo výběrem z menu <b>Admin->Správa GEDCOM souborů->Importovat</b>"
"help_info";"Kliknutím na červený &quot;?&quot; u popisku každé buňky získáte nápovědu."
"SHOW_LIVING_NAMES";"Ukázat jména žijících osob"
"USE_RELATIONSHIP_PRIVACY";"Použít příbuzenskou privátnost"
"MAX_RELATION_PATH_LENGTH";"Max. příbuzenská vzdálenost"
"CHECK_MARRIAGE_RELATIONS";"Kontrolovat příbuznost sňatkem"
"SHOW_DEAD_PEOPLE";"Zobrazit jména zemřelých osob"
"select_privacyfile_button";"Vybrat soubor privátnosti"
"PRIVACY_BY_YEAR";"Nastavit privátnost podle stáří události"
"edit_langdiff";"Upravit a nastavit jazyk"
"bom_check";"Kontrola jazykového souboru na BOM"
"bom_not_found";"Žádné BOM nebylo nalezeno."
"bom_found";"BOM bylo nalezeno v "
"edit_lang_utility";"Nástroj pro úpravu jazykových souborů"
"language_to_edit";"Jazyk, který se má upravit"
"file_to_edit";"Typ jazykového souboru, který se má upravit"
"check";"Zkontrolovat"
"lang_save";"Uložit"
"contents";"Obsah"
"listing";"Výčet"
"no_content";"Bez obsahu"
"original_message";"Původní zpráva"
"message_to_edit";"Zpráva k úpravě"
"changed_message";"Změněný obsah"
"message_empty_warning";"-> Upozornění!!! Tato zpráva je v souboru [#LANGUAGE_FILE#] prázdná<-"
"language_to_export";"Jazyk na exportování"
"export_lang_utility";"Pomůcka pro exportování jazykového souboru"
"export";"Export"
"export_ok";"Zprávy s nápovědou byly exportovány"
"compare_lang_utility";"Pomůcka pro porovnávání jazykových souborů"
