"stat_sources";"źródeł, "
"register_info_01";"Ilość danych, które są publicznie dostępne na tej stronie może być ograniczona przez funkcje ochrony prywatności. Większość ludzi nie życzy sobie aby ich dane były publicznie dostępne. Mogłyby one zostać wykorzystane do spamowania lub kradzieży tożsamości.<br /><br />Aby uzyskać dostęp do prywatnych informacji musisz posiadać konto na stronie. Aby otrzymać konto możesz się zarejestrować podając wymagane informacje. Po tym jak administrator sprawdzi i zatwierdzi twoją rejestrację, będziesz mógł (mogła) logować się i przeglądać prywatne dane.<br /><br />Jeśli włączona została prywatność pokrewieństwa będziesz mógł(mogła) jedynie przeglądać informacje dotyczące bliskich krewnych. Administrator może również udzielić zezwolenia na edycję danych zawartych w GEDCOM-ie.<br /><br />UWAGA: Otrzymasz dostęp do prywatnych informacji tylko wtedy, kiedy zdołasz udowodnić, że jesteś krewnym(krewną) jednej z osób w bazie danych.<br /><br />Osoby spoza rodziny mają niewielkie szanse otrzymania konta, mogą więc równie dobrze darować sobie kłopotu.<br />Jeśli będziesz potrzebował(a) dalszej pomocy, skorzystaj z odnośnika kontaktowego poniżej aby napisać do administratora.<br /><br />"
"help_contents_gedcom_places";"Miejsca w pliku GEDCOM"
"SHOW_SOURCES";"Pokazać źródła ?"
"configure";"Konfiguracja Genmod"
"standard_conf";"Opcje standartowej konfiguracji"
"advanced_conf";"Opcje zaawansowanej konfiguracji"
"configure_head";"Konfiguracja Genmod"
"gedconf_head";"Konfiguracja GEDCOM"
"default_user";"Utwórz domyślnego użytkownika- administratora."
"about_user";"Musisz najpierw utworzyć  konto głównego użytkownika - administratora.  Ten użytkownik będzie miał prawo do uaktualniania plików konfiguracyjnych, przeglądania prywatnych danych, oraz tworzenia nowych użytkowników."
"add_user";"Dodaj nowego użytkownika"
"current_users";"Lista użytkowników"
"leave_blank";"Pozostaw miejsce na hasło puste, jeśli chcesz zachować aktualne hasło."
"does_not_exist";"nie istnieje"
"db_setup_bad";"Your current database configuration is bad.  Please check your database connection parameters and configure again."
"click_here_to_continue";"Kliknij tutaj by kontynuować"
"admin_gedcoms";"Kliknij tutaj by administrować plikami GEDCOM."
"ged_download";"ściągnij"
"ged_gedcom";"Plik GEDCOM"
"confirm_gedcom_delete";"Czy napewno chcesz skasować ten plik GEDCOM?"
"gregorian";"Gregoriański"
"julian";"Juliański"
"config_french";"Francuski"
"jewish";"Żydowski"
"config_hebrew";"Hebrajski"
"jewish_and_gregorian";"Żydowski i Gregoriański"
"hebrew_and_gregorian";"Hebrajski i Gregoriański"
"disabled";"Wyłączony"
"click";"Po kliknięciu myszą"
"daily";"Codziennie"
"DEFAULT_GEDCOM";"Domyślny GEDCOM:"
"last_login";"Ostatnio zalogowany(a)"
"DBUSER";"Login do bazy MySQL:"
"DBPASS";"Haslo do bazy MySQL:"
"DBNAME";"Nazwa bazy danych:"
"TBLPREFIX";"Prefiks Tabeli bazy danych:"
"ALLOW_CHANGE_GEDCOM";"Zezwól gosciom zmieniać pliki GEDCOM:"
"CHARACTER_SET";"Kodowanie znaków:"
"LANGUAGE";"Język:"
"ENABLE_MULTI_LANGUAGE";"Zezwalaj użytkownikom na zmianę języka:"
"CALENDAR_FORMAT";"Rodzaj kalendarza:"
"DEFAULT_PEDIGREE_GENERATIONS";"Pokoleń na drzewie:"
"USE_RIN";"Użyj RIN# zamiast GEDCOM ID:"
"GEDCOM_ID_PREFIX";"Prefiks ID GEDCOM:"
"PEDIGREE_FULL_DETAILS";"Pokazuj szczegóły urodzin i śmierci na wykresach i drzewie gnealogicznym:"
"SHOW_EMPTY_BOXES";"Pokazuj puste prostokąty na drzewie gen.:"
"ZOOM_BOXES";"Przyblizaj prostokaty na drzewie:"
"HIDE_LIVE_PEOPLE";"Ukryj żyjące osoby:"
"CHECK_CHILD_DATES";"Sprawdź daty dzieci:"
"ALLOW_EDIT_GEDCOM";"Zezwól na edycję on-line:"
"INDEX_DIRECTORY";"Katalog pliku Index:"
"ALPHA_INDEX_LISTS";"Połam długie listy według pierwszej litery:"
"SHOW_ID_NUMBERS";"Pokazuj numery ID obok imienia:"
"MULTI_MEDIA";"Włącz obsługę multimediów:"
"MEDIA_DIRECTORY";"Katalog multimedia:"
"HIDE_GEDCOM_ERRORS";"Ukrywaj błędy GEDCOM:"
"CONTACT_EMAIL";"Email genealoga:"
"WEBMASTER_EMAIL";"Email webmastera:"
"FAVICON";"Ikona ulubionych:"
"THEME_DIR";"Katalog motywów:"
"GM_SESSION_SAVE_PATH";"Ścieżka zapisu sesji:"
"GM_SESSION_TIME";"Limit czasu sesji:"
"SHOW_STATS";"Pokazuj statystyki wykonywania:"
"gedcom_title";"Wpisz tytuł opisujący dane w tym pliku GEDCOM:"
"save_config";"Zapisz konfigurację"
"download_here";"Kliknij tutaj by ściągnąć plik."
"download_file";"ściągnij plik"
"edit_privacy";"Configuration of the privacy-file"
"save_changed_settings";"Zapisz zmiany"
"SHOW_DEAD_PEOPLE";"Pokaż nieżyjących"
"edit_langdiff";"Edytuj zawartość plików językowych"
"language_to_edit";"Język do edytowania"
"file_to_edit";"Typ pliku"
"check";"Sprawdź"
"lang_save";"Zapisz"
"contents";"Zawartość"
"export";"Eksportuj"
"lang_edit";"Edytuj"
"lang_language";"Język"
"lang_name_czech";"Czeski"
"lang_name_polish";"Polski"
"lang_new_language";"Nowy język"
"date_format";"Format daty:"
"time_format";"Format czasu"
"week_start";"Pierwszy dzień tygodnia"
"name_reverse";"Imiona pierwsze ?"
"ltr";"Od lewej do prawej"
"rtl";"Od prawej do lewej"
"system_time";"Czas systemowy"
"add_new_lang_button";"Dodaj nowy język"
"hide_translated";"Ukryj przetłumaczone"
"never";"Nigdy"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
