"select_an_option";"Gjør et valg under:"
"portal_config_intructions";"Her kan du tilpasse siden ved å bestemme hvor de ulike rammene på siden skal plasseres.<br />Siden er delt opp i to seksjoner, 'Hoved'-seksjonen og 'Høyre' seksjon.<br />'Hoved'-seksjonen er tildelt en større bredde og kommer under velkomsttittel på siden.<br />Den 'høyre' seksjonen begynner til høyre for tittelen og fremstår som en mer hurtiginformasjons-blokk.<br />Hver seksjon har sin egen liste med rammer som vil bli vist på siden i den rekkefølgen som de er listet.<br />Du kan legge til, fjerne og omorganisere rammene slik du ønsker det.<br /><br />Dersom listen for en av seksjonene er tom, vil de andre rammene bruke hele bredden på siden.<br /><br />"
"login_descr";"Rammen for 'Logg inn' skriver et brukernavn og passord for brukere slik at de kan logg seg inn."
"theme_select_descr";"Rammen for stilvalg viser valgfeltet for ønsket stil selv om valget for å bytte stil ikke er aktivert."
"block_top10_title";"Mest viste etternavn"
"block_top10_descr";"Rammen viser en tabell med de 10 mest viste etternavnene i slektsbasen"
"gedcom_news_descr";"Nyhetsrammen viser besøkende siste nytt eller artikler lagt inn av en bruker med administrator-rettigheter.<br />Rammen er et fint sted å bekjentgjøre oppdatering av slektsbasen eller et slektstevne."
"user_news_descr";"Rammen med en notatblokk lar den enkelte bruker legge inn notater eller som en online-oppslagstavle."
"my_journal";"Min notatblokk"
"no_journal";"Du har ikke laget noen notater enda."
"confirm_journal_delete";"Er du sikker på at du vil slette dette notatet?"
"add_journal";"Legg inn et nytt notat"
"confirm_news_delete";"Er du sikker på at du vil slette denne nyhetsartiklen?"
"add_news";"Legg inn et nyhetsinnlegg"
"no_news";"Ingen nyhetsartikler er blitt lagt inn...!"
"edit_news";"Legg til / endre notat- / nyhetsinnlegg"
"enter_title";"Vennligst oppgi en tittel."
"enter_text";"Vennligst legg inn en tekst for dette nyhets- eller notatblokk-innlegget."
"news_saved";"Nyhets- / Notablokkinnlegg er lagret...!"
"article_text";"Sett inn tekst:"
"main_section";"Hoved seksjons-rammer"
"right_section";"Høyre seksjons-rammer"
"available_blocks";"Tilgjengelige rammer"
"move_up";"Flytt opp"
"move_down";"Flytt ned"
"move_right";"Flytt til høyre"
"move_left";"Flytt til venstre"
"broadcast_all";"Send til alle brukere"
"hit_count";"Antall treff:"
"Genmod_message";"Genmod beskjed"
"common_surnames";"Mest brukte etternavn"
"default_news_title";"Velkommen til disse slektssidene"
"default_news_text";"Informasjon om slekten(e) på dette nettstedet blir vist ved hjelp av <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a><br />Sidene gir deg et innblikk og en oversikt over denne slekten/slektssamlingen.<br />Som en start, kan du velge personlisten på menyen, et av diagrammene eller søke etter et navn eller et sted.<br /><br />Dersom det er noe du ikke forstår på en side, sjekk Hjelp i menyen!<br />Der vil du til enhver tid få informasjon om den siden du er på.<br /><br /><b><i>Takk for at du besøker dette nettstedet.</i></b>"
"reset_default_blocks";"Tilbakestill til standardrammer"
"recent_changes";"Siste endringer"
"recent_changes_descr";"Rammen <i>Siste endringer</i> vil vise en liste med alle endringer som er gjort i slektsbasen/-filen den siste måneden.  Denne rammen kan hjelpe deg til å holde deg oppdatert med de endringene som er gjort.  Endringene som vises er knyttet til CHAN-merket (tag)."
"recent_changes_none";"<b>Det har ikke vært gjort noen endringer de siste #gm_lang[global_num1]# dagene.</b><br />"
"recent_changes_some";"<b>Endringer gjort de siste #gm_lang[global_num1]# dagene</b><br />"
"show_empty_block";"Ikke vise denne rammen dersom den er tom?"
"hide_block_warn";"Dersom du velger å ikke vise en tom ramme, vil du heller ikke kunne endre oppsettet for rammen før den vises igjen ved at den ikke lenger er tom."
"delete_selected_messages";"Slett beskjeder som er merket"
"use_blocks_for_default";"Bruke dette ramme-oppsettet som standard for alle brukere?"
"block_not_configure";"Denne rammen har ingen valgmuligheter."
"performing_validation";"Sjekken er utført...!  Gjør de nødvendige valgene og klikk deretter på 'Rydd'"
"changed_mac";"Macintosh linjeslutt oppdaget. Byttet linjeslutt med bare retur - til slutt med retur (RT) og linjeskift (LF)."
"changed_places";"Oppdaget ugyldig oppsett for steder. Rydder opp slik at de er tilpasset GEDCOM 5.5 spesifikasjonene.  Et eksempel fra slektsfilen din er:"
"invalid_dates";"Oppdaget ugyldig dato-format. Ved rydding vil disse bli endret til formatet DD MMM ÅÅÅÅ (f.eks. 1 JAN 2004)."
"valid_gedcom";"Gyldig slektsfil funnet.  Det er ikke nødvendig å gjøre endringer."
"optional_tools";"Du kan også velg å kjøre følgende tilleggsverktøy før importering."
"optional";"Tilleggsverktøy"
"day_before_month";"Dag før måned (DD MM ÅÅÅÅ)"
"month_before_day";"Måned før dag (MM DD YYYY)"
"do_not_change";"Ikke gjør endringer"
"change_id";"Endre personID til:"
"example_place";"Eksempel på ugyldig sted fra slektsfilen din:"
"example_date";"Eksempel på ugyldig dato fra slektsfilen din:"
"add_media_tool";"Lage koblinger til bilder / andre medier i slektsfilen"
"launch_media_tool";"Lag koblinger til bilder / andre medier."
"add_media_descr";"Denne siden vil legge til mediemerket OBJE koblet til personer, familier mm. i slektsfilen.<br />Når du er ferdig vil de registrerte bilder og andre medier bli vist sammen med de IDen du har koblet dem til i "
"highlighted";"Bruke som hovedbilde"
"extension";"Fil-type"
"order";"Rekkefølge"
"inject_media_tool";"Legg til media i slektsfilen"
"media_table_created";"Oppdateringen av <i>bilde- / medie</i>-tabellen er ferdig."
"click_to_add_media";"Klikk her for å legge til bilder / medier, som er vist over, i slektsfilen: #GEDCOM#"
"adds_completed";"Ferdig med å legge til bilder / medier i slektsfilen."
"ansi_encoding_detected";"Oppdaget ANSI tekstkoding.  Genmod fungerer best med filer som er kodet med UTF-8."
"invalid_header";"Oppdaget at det er linjer før startlinjen (0 HEAD) i slektsfilen.  Under oppryddingen vil disse linjene bli fjernet."
"macfile_detected";"Oppdaget Macintosh-fil.  Under oppryddingen vil denne filen bli konvertert til en DOS-fil."
"place_cleanup_detected";"Oppdaget ugyldig stedskoder.  Disse bør endres!  Følgende steder er ugyldige: "
"cleanup_places";"Rydd opp i stedene"
"empty_lines_detected";"Oppdaget tomme linjer i slektsfilen din.  Under oppryddingen vil disse tomme linjene bli fjernet."
"import_options";"Importvalg"
"verify_gedcom";"Sjekk slektsfilen (GEDCOM)"
"import_statistics";"Import-statistikk"
"choose_report";"Velg rapport"
"enter_report_values";"Oppsett for rapport"
"selected_report";"Valgt rapport"
"run_report";"Vis rapport"
"select_report";"Neste >>"
"download_report";"Lagre rapport"
"pdf_reports";"PDF rapporter"
"html_reports";"HTML rapporter"
"family_group_report";"Familie"
"page";"Side"
"of";"av"
"enter_famid";"Angi FamilieID"
"show_notes";"Vise noter?"
"show_basic";"Skriv ut de vanligste hendelsene<br />&nbsp;&nbsp;&nbsp;- selv om disse er tomme?"
"show_photos";"Vise bilder?"
"individual_report";"Person"
"enter_pid";"Angi PersonID"
"individual_list_report";"Liste over personer"
"generated_by";"Laget av"
"list_children";"(Sortert etter alder)"
"birth_report";"Fødte og fødested"
"birthplace";"Fødested inneholder "
"birthdate1";"Vis fødte <b>fra</b> dato "
"birthdate2";"Vis fødte <b>til</b> dato "
"sort_by";"Sortert på "
"cleanup";"Rydd"
"skip_cleanup";"Ikke rydd...!?"
"dynasty_list";"Stamfedre"
"make_slklist";"Lag EXCEL (*.slk) regneark"
"excel_list";"Lagre følgende filer i EXCEL (slk-format) (bruk først listen stamfedre):"
"excel_tab";"Arkfanen:"
"excel_create";"vil bli lagd i filen:"
"slk_list";"EXCEL (*.slk) regneark"
"statistics";"Statistikk"
"merge_records";"Flette data (dobbelregisterte)"
"merge_same";"Dataene er ikke av samme type.  Kan ikke flette data som er av forskjellig type!"
"merge_step1";"Flettesteg 1 av 3"
"merge_step2";"Flettesteg 2 av 3"
"merge_step3";"Flettesteg 3 av 3"
"select_gedcom_records";"Velg 2 oppføringer i slektsbasen som skal flettes.  Oppføringene må være av samme type."
"merge_to";"Flett til ID:"
"merge_from";"Flett fra ID:"
"merge_facts_same";"Følgende fakta /opplysninger er nøyaktig like i begge oppføringer og vil bli flettet automatisk"
"no_matches_found";"Fant ingen like fakta-felt"
"unmatching_facts";"Følgende faktafelt har forskjellig innhold.  Velg de opplysningene du ønsker å beholde."
"record";"Oppføring"
"adding";"Legger til"
"updating_linked";"Oppdaterer data som er knyttet til denne"
"merge_more";"Flette flere oppføringer."
"same_ids";"Du oppgav to like IDer.  Du kan ikke flette en oppføring med seg selv."
"gen_ancestry_chart";"Forfedre - #PEDIGREE_GENERATIONS# slektsledd"
"chart_style";"Utforming"
"chart_list";"Forfedre"
"chart_booklet";"Hefte"
"show_cousins";"Vis søskenbarn"
"sosa_2";"Father"
"sosa_3";"Mother"
"sosa_4";"Grandfather"
"sosa_5";"Grandmother"
"sosa_6";"Grandfather"
"sosa_7";"Grandmother"
"sosa_8";"Great-grandfather"
"sosa_9";"Great-grandmother"
"sosa_10";"Great-grandfather"
"sosa_11";"Great-grandmother"
"sosa_12";"Great-grandfather"
"sosa_13";"Great-grandmother"
"sosa_14";"Great-grandfather"
"sosa_15";"Great-grandmother"
"sosa_16";"Great-great-grandfather"
"sosa_17";"Great-great-grandmother"
"sosa_18";"Great-great-grandfather"
"sosa_19";"Great-great-grandmother"
"sosa_20";"Great-great-grandfather"
"sosa_21";"Great-great-grandmother"
"sosa_22";"Great-great-grandfather"
"sosa_23";"Great-great-grandmother"
"sosa_24";"Great-great-grandfather"
"sosa_25";"Great-great-grandmother"
"sosa_26";"Great-great-grandfather"
"sosa_27";"Great-great-grandmother"
"sosa_28";"Great-great-grandfather"
"sosa_29";"Great-great-grandmother"
"sosa_30";"Great-great-grandfather"
"sosa_31";"Great-great-grandmother"
"sosa_32";"Great-great-great-grandfather"
"sosa_33";"Great-great-great-grandmother"
"sosa_34";"Great-great-great-grandfather"
"sosa_35";"Great-great-great-grandmother"
"sosa_36";"Great-great-great-grandfather"
"sosa_37";"Great-great-great-grandmother"
"sosa_38";"Great-great-great-grandfather"
"sosa_39";"Great-great-great-grandmother"
"sosa_40";"Great-great-great-grandfather"
"sosa_41";"Great-great-great-grandmother"
"sosa_42";"Great-great-great-grandfather"
"sosa_43";"Great-great-great-grandmother"
"sosa_44";"Great-great-great-grandfather"
"sosa_45";"Great-great-great-grandmother"
"sosa_46";"Great-great-great-grandfather"
"sosa_47";"Great-great-great-grandmother"
"sosa_48";"Great-great-great-grandfather"
"sosa_49";"Great-great-great-grandmother"
"sosa_50";"Great-great-great-grandfather"
"sosa_51";"Great-great-great-grandmother"
"sosa_52";"Great-great-great-grandfather"
"sosa_53";"Great-great-great-grandmother"
"sosa_54";"Great-great-great-grandfather"
"sosa_55";"Great-great-great-grandmother"
"sosa_56";"Great-great-great-grandfather"
"sosa_57";"Great-great-great-grandmother"
"sosa_58";"Great-great-great-grandfather"
"sosa_59";"Great-great-great-grandmother"
"sosa_60";"Great-great-great-grandfather"
"sosa_61";"Great-great-great-grandmother"
"sosa_62";"Great-great-great-grandfather"
"sosa_63";"Great-great-great-grandmother"
"gen_fan_chart";"Slekts-hjul - #PEDIGREE_GENERATIONS# slektsledd"
"fan_width";"Hjul-bredde"
"gd_library";"Ugyldig konfigurasjon av PHP server: Biblioteket GD 2.x er nødvendig for bilde-funksjonen."
"gd_freetype";"Ugyldig konfigurasjon av PHP server: Biblioteket Freetype er nødvendig for TrueType skrifttyper."
"fontfile_error";"Fant ikke nødvendige filer med skrifttyper på PHP serveren"
"fanchart_IE";"Dette slekts-hjulet kan ikke bli skrevet ut direkte fra din nettleser. Bruk høyre-klikk og velg så Lagre bilde. Så må du åpne bilde i et annet program for så å skrive det ut derfra."
"rss_descr";"Nyheter og lenker fra nettstedet #GEDCOM_TITLE#"
"rss_logo_descr";"Oppføringen er laget av Genmod #VERSION#"
"attendant";"Deltagere"
"attending";"Observatør"
"circumciser";"Omskjærer"
"civil_registrar";"Sorenskriver"
"friend";"Venn"
"godfather";"Gudfar"
"godmother";"Gudmor"
"godparent";"Gudforeldre"
"informant";"Informant"
"lodger";"Leietaker"
"nurse";"Pleier"
"priest";"Prest"
"rabbi";"Rabbi"
"registry_officer";"Registerfører"
"servant";"Tjener"
"twin";"Tvilling"
"twin_brother";"Tvillingbror"
"twin_sister";"Tvillingsøster"
"witness";"Vitne"
"statutci";"klarte ikke å lage indeks"
"statnnames";"antall navn     ="
"statnfam";"antall familier ="
"statnmale";"antall menn     ="
"statnfemale";"antall kvinner  ="
"statvars";"Fyll inn følgende variabler for diagrammet"
"statlxa";"langs x-aksen:"
"statlya";"langs y-aksen:"
"statlza";"langs z-aksen"
"stat_10_none";"ingen"
"stat_11_mb";"Fødselsmåned"
"stat_12_md";"Dødsmåned"
"stat_13_mm";"Ekteskapsmåned"
"stat_14_mb1";"Fødselsmåned for førstefødte i familie"
"stat_15_mm1";"Måned for første ekteskap"
"stat_16_mmb";"Måneder mellom ekteskap og første barn."
"stat_17_arb";"alder i forhold til fødselsår."
"stat_18_ard";"alder i forhold til dødsår."
"stat_19_arm";"alder i forhold til vigselår."
"stat_20_arm1";"alder ved første ekteskap."
"stat_21_nok";"antall barn."
"stat_gmx";"sjekk akse-verdier for måned"
"stat_gax";"sjekk akse-verdier for alder"
"stat_gnx";"sjekk akse-verdier for antall"
"stat_200_none";"alle (eller tom)"
"stat_201_num";"antall"
"stat_202_perc";"prosent"
"stat_300_none";"ingen"
"stat_301_mf";"mann/kvinne"
"stat_302_cgp";"perioder. Sjekk akse-verdier (z-akse)"
"statmess1";"<b>Bare fyll ut neste rader i forhold til tidligere verdier for x-akse eller z-akse</b>"
"statar_xgp";"akse-verdier for perioder (x-axis):"
"statar_xgl";"akse-verdier for alder    (x-axis):"
"statar_xgm";"akse-verdier for måned    (x-axis):"
"statar_xga";"akse-verdier for antall   (x-axis):"
"statar_zgp";"akse-verdier for perioder (z-axis):"
"statreset";"Nullstill"
"statsubmit";"Vis diagram"
"stpl";"..."
"stplGDno";"Grafisk visningsbiblitek er ikke tilgjengelig i PHP 4. Vennligst kontakt verten for nettstedet ditt"
"stpljpgraphno";"JPgraph moduler finnes ikke i katalogen <i>Genmod/jpgraph/</i>.  Vennligst hent dem hos http://www.aditus.nu/jpgraph/jpdownload.php<br> <h3>Installer først JPgraph i katalogen <i>Genmod/jpgraph/</i></h3><br>"
"stplinfo";"diagram-informasjon:"
"stpltype";"type:"
"stplnoim";"ikke tilgjengelig:"
"stplmf";"/ mann-kvinne"
"stplipot";"/ per tidsperiode"
"stplgzas";"rammer z-akse:"
"stplmonth";"måned"
"stplnumbers";"antall for en familie"
"stplage";"alder"
"stplperc";"prosent"
"is_alive_in";"<i>Levde i året&nbsp;&nbsp;#YEAR#</i>"
"alive";"Levende "
"dead";"Død "
"maybe";"Kanskje "
"definitions";"Definisjoner"
"description";"Beskrivelse"
"block_desc";"Beskrivelse av rammer"
"click_here";"Klikk her for å fortsette"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Her er en kort beskrivelse for hver av de rammene du har valgt for sidene #gm_lang[welcome]# eller #gm_lang[mygedview]#.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"total_places";"steder funnet"
"media_contains";"Media inneholder:"
"repo_contains";"Oppbevaringsstedet inneholder:"
"source_contains";"Kilde inneholder:"
"display_all";"Vis alle"
"accesskeys";"Hurtigtaster"
"accesskey_skip_to_content";"C"
"accesskey_search";"S"
"accesskey_skip_to_content_desc";"Gå til innhold"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Visningsråd"
"accesskey_contact";"4"
"accesskey_individual_details";"I"
"accesskey_individual_relatives";"R"
"accesskey_individual_notes";"N"
"accesskey_individual_sources";"O"
"accesskey_individual_media";"A"
"accesskey_individual_research_log";"L"
"accesskey_individual_pedigree";"P"
"accesskey_individual_descendancy";"D"
"accesskey_individual_timeline";"T"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_children_timeline";"D"
"accesskey_family_timeline";"T"
"accesskey_family_gedcom";"G"
"add_faq_header";"Tittel spørsmål&svar"
"add_faq_body";"Tekst spørsmål&svar"
"add_faq_order";"Plassering spørsmål&svar"
"no_faq_items";"Listen med spørsmål&svar er tom."
"position_item";"Plassering"
"confirm_faq_delete";"Er du sikker på at du vil slette dette spørsmål&svar"
"preview";"Forhåndsvis"
"no_id";"Ingen spørsmål&svarID er angitt !"
"hs_search";"Søk"
"hs_close";"Lukk vindu"
"hs_results";"Resultat funnet:"
"hs_keyword";"Søk etter"
"hs_searchin";"Søk i"
"hs_searchuser";"Brukerhjelp"
"hs_searchconfig";"Administratorhjelp"
"hs_searchhow";"Søkemetode"
"hs_searchall";"Alle ord"
"hs_searchany";"Vilkårlige ord"
"hs_searchsentence";"Nøyaktig"
"hs_intruehelp";"Bare i hjelpetekst"
"hs_inallhelp";"All tekst"
"media_import";"Importer og konverter media"
"confirm_folder_delete";"Er du sikker på at du vil slette denne mappen?"
"choose";"Velg: "
"account_information";"Kontoopplysninger"
"old_record";"Gamle oppføringer"
"new_record";"Nye oppføringer"
"logs";"Logg"
"edit_media";"Rediger media"
"record_to_be_deleted";"Oppføring som skal slettes"
"options";"Valg:"
"person_not_found";"Fant ikke person."
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />Diagrammet Timeglass vil vise forfedre og etterkommere til valgt person i samme diagram.  Dette diagrammet er en miks mellom diagrammene <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> og <a href="?help=help_descendancy.php">#gm_lang[descend_chart]#</a>.<br /><br />Hovedpersonen er sentrert i midten av siden med etterkommere vist til venstre og forfedre til høyre.  I dette diagrammet er hvert slektsledd vist slik at det yngste starter til venstre og ender med det eldste til høyre.<br /><br />"
"help_header";"Hjelp / informasjon om:"
"help_pedigree.php";"~Siden: Anetre~<br /><br />Et slektstre er en opptelling av alle forfedre/-mødre til start-/hovedpersonen.<br />Når du åpner siden, er startpersonen valgt av administratoren til nettstedet vist til venstre. Dersom du har logget deg inn som en bruker, kan du ha valgt din egen start-/hovedperson.<br /><br />"Alle forfedre" betyr som sagt far og mor, og deres foreldre osv.<br />På denne siden er slektstreet vist grafisk.  Du behøver ikke lete på flere sider med tekst for å finne ut hvor forfedrene dine er.<br />Alle personene blir vist i egne bokser med linjer mellom som viser tilhørigheten.<dl><dt><b>Navneboksene på slektstreet</b></dt><dd>Dersom slektstreet er satt opp til å vise detaljer, vil du se navnet til personen og datoene for fødsel og eventuelt død.<br />Du kan klikke på navnet til personen, og da vil du bli vist en side med fakta om denne personen.</dd><dt><b>Ikoner inni navneboksen</b></dt><dd>Når valget "Vis detaljer" er merket, er det også to ikoner inne i hver navneboks. Avhengig av oppsettet for nettstedet må du enten bevege musen over ikonet, eller klikke på det.<br />Når du klikker, eller beveger deg over dette ikonet, så vil det komme fram en ny undermeny.<br />Valgene "#gm_lang[index_header]#" og "#gm_lang[descend_chart]#" er tilsvarende dem du finner i hovedmenyen, men forskjellen er at start-personen nå er personen i den valgte boksen.<br />Du vil også se "#gm_lang[fam_spouse]#". Under der ser du navnet på ektefellen/parneren, fulgt av eventuelle barn.<br />Du kan klikke på alle navn.</dd><dt><b>Forstørrelsesglass inni navneboksen</b></dt><dd>Dette ikonet er også påvirket av oppsettet for siden. Du må enten bevege musen over det, eller klikke på det.<br />Dette gjør navneboksen større slik at det blir vist flere opplysninger om personen.<br />Du vil se flere hendelser og tilhørende datoer. Også her kan du klikke på eventuelle navn.</dd><dt><b>Pilene</b></dt><dd>Til venstre og høyre for de ytterste navneboksen(e) til venstre og høyre på skjermen vil du kunne se piler.<br />Disse gir deg mulighet, ved å klikke på dem, til å forskyve slektstreet et slektsledd ned eller opp.</dd></dl><br />#gm_lang[context_help]#<br/ ><br />"
"register_info_01";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />For å få tilgang til dette nettstedet, må du be om å få en brukerkonto.<br />Etter at kontoen din er blitt godkjent, vil du kunne logge deg inn.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"register_info_02";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />For å få tilgang til dette nettstedet, må du be om å få en brukerkonto.<br />Dersom kontoen din blir godkjent, vil du kunne logge deg inn og se private data.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"register_info_03";"~Søke om å få en brukerkonto~<br /><br />Opplysninger som kan vise offentlig på dette nettstedet, kan være begrenset i henhold til lov om personvern.<br />Mange personer vil heller ikke at deres personlige data ligger åpent på internett.<br />Disse kan bli misbrukt til spam eller av identitetstyver.<br /><br />Det er <u>bare familimedlemmer</u> som har eller kan få tilgang til dette nettstedet! Har du ikke konto, må du søke.<br />Dersom kontoen din blir godkjent, vil du kunne logge deg inn og se private data.<br /><br />Dersom personvern for slektskap er aktivert, vil du etter å ha logget deg inn, bare få tilgang til private opplysninger til de nærmeste slektningene dine.<br />Administrator kan også gi deg tilgang til å gjøre endringer eller legge til informasjon i slektsbasen.<br /><br />Hvis du trenger mer opplysninger, kan du bruke linken under til å kontakte ansvarlig for nettstedet.<br /><br />"
"help_descendancy.php";"~Siden: Etterkommere~<br /><br />Denne siden vil vise etterkommere til personen.<br />Du kan velge en hovedperson for denne etterkommer-oversikten, eller så kan du bli overført til denne siden ved å klikke på linken "#gm_lang[descend_chart]#" på en annen side.<br />Ved å klikk på en pil, vil hovedpersonen bli byttet ut med foreldrene til den personen pilen stod ved siden av.  Klikker du på ikonet øverst til høyre i personboksen vil du få fram en ny meny med nære slektninger til denne personen."
"help_timeline.php";"~Siden: Tidslinje~<br /><br />På denne siden kan du vise en eller flere person(er) langs en tidslinje.<br />Du kan for eksempel vise statusen til to eller flere personer på et gitt tidspunkt.<br /><ul><li>Dersom du klikker på en Tidslinje-link på en faktaside til en person eller familie, vil denne personen / partnere vises som første person(er) på tidslinjen.</ul><ul><li>Dersom du klikker på Tidslinje i toppmenyen, så starter du med en "blank" side uten at det er valgt noen person(er).</ul>"
"help_relationship.php";"~Siden: Slektsskap~<br /><br />På denne siden kan du vise familietilhørigheten mellom to personer.<br />Det er ikke sikkert at disse personene har et direkte slektskap (blodslinje).<br />Enhver tilhørighet vil bli funnet!"
"help_ancestry.php";"~Siden: #gm_lang[ancestry_chart]#~<br /><br />Denne siden er veldig lik <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, men har flere opplysninger og mulighet for alternativ <a href="?help=chart_style_help">utforming</a>.<br /><br /><b>Nummerering:</b><br />Hver person i alle slektsledd (generasjoner) er tildelt et unikt nummer, beregnet ut fra <a href="#system">systemet lagd av <i>Sosa</i> og <i>Stradonitz</i></a>:<ul><li>Partall for menn</li><li>Oddetall for kvinner (ektemann+1)</li><li> Eksempel:<ol><li>Startpersonen (proband), uavhengig av kjønn</li><li>Far</li><li>Mor (2+1)</li><li>Farfar</li><li>Farmor (4+1)</li><li>Morfar</li><li>Mormor (6+1)</li></ol><br /><li>Hvert slektsledd begynner med et tall som også angir hvor mange aner det er i dette slektsleddet (f.eks. starter generasjonen med oldeforeldre på 8 (farfars far) - og vi har dermed 8 oldeforeldre).</li></ul><br /><a name="system"></a><div class="list_value_wrap">Historikk om systemet:<br />Det var den tyske genealogen Stephan Kekule von Stradonitz (1863-1933) som i 1898 tok i bruk dette systemet. Han fant ut at det tidligere hadde vært brukt av den spanske genealog Hieronymus de Sosa på 1600-tallet. Systemet ble allerede i 1590 brukt av tyskeren Michael Eizinger, og det er så logisk at det sikkert har vært brukt av andre før det ble "gjenoppdaget" av von Stradonitz.</div>"
"help_fanchart.php";"~Siden: #gm_lang[fan_chart]#~<br /><br />Dette valget er veldig likt <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, men viser det på en mer grafisk måte.<ul><li>Start-personen (proband) blir vist i midten, foreldrene i den første ringen, besteforeldrene i den andre ringen, osv...</li><li>Dersom årene for fødsel og død er kjent, vil disse bli vist under navnet.</li><li>Ved å klikke på et navn i diagrammet, vil du få opp et nytt diagram med denne personen som start-person (proband).</li><li>Under navnet til start-personen (proband) er det en pil og ved å klikke på denne, vil du få fram et vindu der du kan velge barn eller søsken til start-personen.</li></ul><b>PS.</b> <i>Dersom nettstedet ikke støtter grafisk visning, vil du ikke få dette valget!</i>"
"help_indilist.php";"~Siden: Personliste~<br /><br />På denne siden kan du få en liste med enkeltpersoner.<br /><br />Navnene vil bli vist med etternavnene først og sortert i alfabetisk rekkefølge.<br />Hvordan navnelista blir vist avhenger av:<ol><li>Bokstaven du klikket på i alfabet-indeksen.</li><li>Du klikket på Vis "utvidet liste" eller "kun etternavn".</li></ol>#gm_lang[context_help]#<br /><br />"
"help_famlist.php";"~Siden: Familieliste~<br /><br />På denne siden kan du få en liste over familier.<br /><br />Navnene vil bli vist med etternavnene først og sortert i alfabetisk rekkefølge.<br />Hvordan navnelista blir vist avhenger av:</dt><ol><li>Bokstaven du klikket på i alfabet-indeksen.</li><li>Du klikket på Vis "utvidet liste" eller "kun etternavn".</li></ol>Du kan søke etter etternavnet til både ektemannen og hustruen. Begge finnes i listen.<br /><br />#gm_lang[context_help]#<br /><br />"
