"stat_sources";"Источников,"
"USE_REGISTRATION_MODULE";"Ввод пользователей посредством регистрации имен пользователей:"
"ALLOW_USER_THEMES";"Позволить пользователям выбирать свое личное оформление сайта:"
"gedcom_title";"Дайте описание Вашего GEDCOM файла:"
"LOGFILE_CREATE";"Акхивировать Log-файлы:"
"review_readme";"До того как идти далее с установками Genmod, Вы должны прочитать файл <a href="readme.txt" target="_blank">readme.txt</a>.<br /><br />Вы можете всегда вернуться назад на страницу установок. Найдите через браузер файл configure.php и откройте его.<br /><br />В каждом разделе Вы можете обратиться к помощнику нажав &quot;?&quot;"
"save_config";"Сохранить установки"
"download_here";"Кликните здесь для выгрузки файла."
"download_gedconf";"Загрузить конфигурацию GEDCOM."
"not_writable";"PHP не имеет доступа к записи в Ваш файл конфигурации. Для того чтобы поместить файл куда-нибудь, кликните по загрузить_кнопку. Далее возможно вручную поместить файл на нужное место."
"download_file";"Загрузить файл."
"upload_to_index";"Выгрузить файл в индексную папку."
"edit_privacy";"Конфигурация личного файла"
"edit_privacy_title";"Изменить личные установки GEDCOM"
"PRIV_PUBLIC";"Видимо для ВСЕХ посетителей сайта"
"PRIV_USER";"Видимо только для авторизированных пользователей"
"PRIV_NONE";"Видимо только для администаторов"
"PRIV_HIDE";"Скрыть даже для администраторов"
"save_changed_settings";"Сохранить изменения"
"add_new_pp_setting";"Добавить новые личные установки для персоны"
"add_new_up_setting";"Добавить новые личные установки пользователя"
"add_new_gf_setting";"Добавить новые общие установки для данных"
"add_new_pf_setting";"Добавить новые специфические установки для данных"
"add_new_pf_setting_indi";"Добавить новую установку данных персоны"
"add_new_pf_setting_source";"Добавить новые установки для данных источника"
"privacy_indi_id";"Лица - ID"
"privacy_source_id";"Источник - ID"
"privacy_indi_source";"Персона / Источник"
"privacy_indi";"Персона"
"privacy_source";"Источник"
"file_read_error";"ОШИБКА!!! Невозможно прочитать личный файл!"
"edit_exist_person_privacy_settings";"Изменить существующие личные установки персоны"
"edit_exist_user_privacy_settings";"Изменить существующие личные установки пользователя"
"edit_exist_global_facts_settings";"Изменить существующие общие установки для данных"
"edit_exist_person_facts_settings";"Изменить существующие специфические установки для данных персоны"
"accessible_by";"Видимый для кого?"
"hide";"Скрыть"
"show_question";"Показывать?"
"user_name";"Имя пользователя"
"name_of_fact";"Описание данных"
"choice";"Выбор"
"fact_show";"Показать данные"
"fact_details";"Показать подробные данные"
"privacy_header";"Изменить личные внутренние установки"
"unable_to_find_privacy_indi";"Персона с этим ID номером не найдена"
"save_and_import";"После того как новая конфигурация GEDCOM сохранена, Вы должны заново импортировать GEDCOM кликнув по кновку <b>Импортировать GEDCOM</b> или идти на <b>Администрирование->Администратор GEDCOMs->Импортировать GEDCOM файл</b>"
"help_info";"По каждой теме Вы можете вызвать помощник кликнув по красной &quot;?&quot; рядом с ярлычком каждого поля."
"SHOW_LIVING_NAMES";"Имена живущих ныне лиц видимы"
"SHOW_RESEARCH_LOG";"Архив Log-файлов видим"
"USE_RELATIONSHIP_PRIVACY";"Использовать личные отношении"
"MAX_RELATION_PATH_LENGTH";"Максим.длина ветви родства"
"CHECK_MARRIAGE_RELATIONS";"Проверить родство по браку"
"SHOW_DEAD_PEOPLE";"Показать умерших лиц"
"edit_langdiff";"Обработка и конфигурирование языковых файлов"
"edit_lang_utility";"Программа обработки файла языка"
"language_to_edit";"Язык для корректировки"
"file_to_edit";"Языковые файлы для корректировки"
"lang_save";"Сохранить"
"contents";"Содержание"
"listing";"Список"
"no_content";"Нет содержимого"
"original_message";"Оригинал текста"
"message_to_edit";"Изменить сообщение"
"changed_message";"|Измененное содержание|"
"message_empty_warning";"ВНИМАНИЕ! Текст сообщения отсутствует в  [#LANGUAGE_FILE#]."
"language_to_export";"Выбери язык для экспорта"
"export_lang_utility";"Помощник экспорта языковых файлов"
"export";"Экспорт"
"export_ok";"Экспорт информации-помощника завершен."
"compare_lang_utility";"Помощник сравнивания языковых файлов"
"new_language";"Новый язык"
"old_language";"Старый язык"
"compare";"Сравнить"
"comparing";"Сравнить языковые файлы"
"additions";"Добавления"
"no_additions";"Нет изменений"
"subtractions";"Изменения"
"no_subtractions";"Нет изменений"
"config_lang_utility";"Использовавшийся язык конфигуратора"
"active";"Активный"
"edit_settings";"Изменить установки"
"lang_edit";"|Корректировать|"
"lang_language";"Язык"
"export_filename";"Имя файла с экспортными данными: "
"lang_back";"Назад на главное меню корректировки файлов языков и конфигурирования"
"lang_back_admin";"Назад на меню администратора"
"lang_name_chinese";"Китайский"
"lang_name_danish";"Датский"
"lang_name_dutch";"Недерланский"
"lang_name_english";"Английский"
"lang_name_french";"Французский"
"lang_name_german";"Немецкий"
"lang_name_hebrew";"Иврит"
"lang_name_italian";"Итальянский"
"lang_name_norwegian";"Норвежский"
"lang_name_polish";"Польский"
"lang_name_portuguese";"Португальский"
"lang_name_portuguese_br";"Бразильский - Португальский"
"lang_name_russian";"Русский"
"lang_name_spanish";"Испанский"
"lang_name_spanish_ar";"Латино-Американский Испанский"
"lang_name_swedish";"Швецкий"
"lang_name_turkish";"Турецкий"
"original_lang_name";"Оригинальное название языка в  #D_LANGNAME#"
"lang_shortcut";"Сокращения языка"
"flagsfile";"Файл - флаги:"
"text_direction";"Направление текста:"
"date_format";"Формат даты:"
"week_start";"Неделя начинается с:"
"name_reverse";"Сначала фамилия:"
"ltr";"слева направо"
"rtl";"справа налево"
"file_does_not_exist";"Ошибка! Файл не существует!"
"alphabet_upper";"Алфавит (заглавные буквы)"
"alphabet_lower";"Алфавит (строчные буквы)"
"lang_config_write_error";"Ошибка перезаписи из установок языка в файл [language_settings.php]. Проверьте права за запись и попробуйте заново."
"translation_forum";"На форум переводчиков на сайте Genmod SourceForge"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
