"stat_sources";"Quellen, "
"right_section";"Blöcke im rechten Bereich"
"available_blocks";"Verfügbare Blöcke"
"move_up";"nach oben"
"move_down";"nach unten"
"move_right";"nach rechts"
"move_left";"nach links"
"broadcast_all";"An alle Benutzer senden"
"hit_count";"Besucher-Zähler:"
"Genmod_message";"Genmod Nachricht"
"common_surnames";"Häufigste Nachnamen"
"default_news_title";"Willkommen zur Ahnenforschung"
"default_news_text";"Die genealogischen Informationen dieser Webseite werden mit Hilfe von <a href="http://www.Genmod.net/" target="_blank">Genmod #VERSION#</a> dargestellt.  Diese Seite hier gibt Ihnen einen Überblick und eine Einführung zu diesem Ahnenforschungs-Projekt.<br /><br />Um mit den Daten zu arbeiten, wählen Sie z.B. ein Diagramm aus dem Diagramm-Menü aus, öffnen Sie die Personen-Liste oder suchen Sie nach einem Namen oder Ort.<br /><br />Wenn Sie bei der Nutzung dieser Seite auf Schwierigkeiten stoßen, klicken Sie auf das Hilfe-Menü, um nähere Informationen zur jeweiligen Seite zu bekommen.<br /><br />Viel Erfolg bei der Ahnenforschung!"
"reset_default_blocks";"Reset zur Block Standard-Auswahl"
"recent_changes";"Aktuelle Änderungen"
"recent_changes_descr";"Der "Aktuelle Änderungen"-Block listet alle Änderungen, die an der GEDCOM-Datei im letzten Monat vorgenommen wurden. Dieser Block kann Ihnen helfen, diese jüngsten Veränderungen zu verfolgen. Die Änderungen werden automatisch anhand des "CHAN"-tags erkannt."
"recent_changes_none";"<b>Innerhalb der letzten #gm_lang[global_num1]# Tage, gab es keine Änderungen.</b><br />"
"recent_changes_some";"<b>In den letzten #gm_lang[global_num1]# Tagen durchgeführte Änderungen</b><br />"
"show_empty_block";"Soll der Block verborgen werden, wenn er leer ist?"
"hide_block_warn";"Wenn Sie einen leeren Block verbergen, können Sie seine Konfiguration erst dann wieder ändern, wenn er wieder sichtbar wird, weil er nicht mehr leer ist!"
"delete_selected_messages";"Ausgewählte Nachrichten löschen"
"use_blocks_for_default";"Diese Blöcke als Voreinstellung für alle Benutzer verwenden?"
"performing_validation";"GEDCOM-Überprüfung wird durchgeführt, bitte wählen Sie die gewünschten Optionen und klicken Sie auf <b>Korrigieren</b>"
"changed_mac";"Macintosh Zeilenumbrüche entdeckt. Wagenrücklauf-Zeichen CR (Ctrl M) wurden in Wagenrücklauf-Zeichen CR (Ctrl M) mit zusätzlichem Zeilenvorschub LF (Ctrl J) geändert. Dadurch wurde das interne Dateiformat von Macintosh- auf das für Genmod erforderliche DOS-Format umgestellt."
"changed_places";"Ungültige Orts-Angaben entdeckt. Die Angaben wurden an die gültige GEDCOM 5.5 Spezifikation angepasst. Ein Beispiel aus Ihrer GEDCOM-Datei ist:"
"invalid_dates";"Ungültige Datums-Formate entdeckt. Diese werden bei der Korrektur in das übliche englische Format DD MMM YYYY (z.B. 1 JAN 2004) geändert."
"valid_gedcom";"Gültige GEDCOM-Datei erkannt. Keine Korrektur notwendig."
"optional_tools";"Sie können folgende optionale Tools vor dem Import anwenden."
"optional";"Optionale Tools"
"day_before_month";"Tag vor Monat (DD MM YYYY)"
"month_before_day";"Monat vor Tag (MM DD YYYY)"
"do_not_change";"Nicht ändern"
"change_id";"Persönliche ID ändern in:"
"example_date";"Beispiel eines ungültigen Datums aus Ihrer GEDCOM-Datei:"
"add_media_tool";"Multimedia-Hinzufügen Tool"
"launch_media_tool";"Klicken Sie hier, um das Multimedia-Hinzufügen Tool zu nutzen."
"add_media_descr";"Dieses Tool fügt Multimedia OBJE-tags zu Ihrer Datenbank hinzu. Schließen Sie dieses Fenster, wenn Sie keine weiteren Multimedia-Objekte mehr hinzufügen möchten."
"highlighted";"Hervorgehobenes Bild"
"extension";"Erweiterung"
"order";"Reihenfolge"
"inject_media_tool";"Multimedia-Objekt zur GEDCOM-Datei hinzufügen"
"media_table_created";"Die <i>Multimedia</i>-Tabelle wurde erfolgreich erstellt."
"click_to_add_media";"Klicken Sie hier, um die o.g. Multimedia-Dateien zur GEDCOM-Datei #GEDCOM# hinzuzufügen"
"adds_completed";"Multimedia-Objekt wurde erfolgreich zur GEDCOM-Datei hinzugefügt."
"ansi_encoding_detected";"ANSI Codierung der Datei entdeckt. Genmod arbeitet nur optimal mit Dateien im UTF-8 Format."
"invalid_header";"In der Datei wurden noch Zeilen vor dem GEDCOM-Header <b>0 HEAD</n> entdeckt. Beim Korrigieren werden diese Zeilen gelöscht."
"macfile_detected";"Macintosh-Datei erkannt. Beim Korrigieren wird Ihre Datei ins DOS-Format konvertiert."
"place_cleanup_detected";"Ungültige Orts-Angaben entdeckt. Diese Fehler sollten behoben werden. Hier ein Beispiel von einer ungültigen Ortsangabe, die entdeckt wurde:"
"cleanup_places";"Ortsangaben korrigieren"
"empty_lines_detected";"In der GEDCOM-Datei wurden Leerzeilen entdeckt. Beim Korrigieren werden diese Zeilen entfernt."
"choose_report";"Bericht auswählen"
"enter_report_values";"Bericht-Daten eingeben"
"selected_report";"Ausgewählter Bericht"
"run_report";"Bericht erstellen"
"select_report";"Bericht auswählen"
"download_report";"Bericht download"
"pdf_reports";"PDF Berichte"
"html_reports";"HTML Berichte"
"family_group_report";"Familienbericht"
"page";"Seite"
"of";"von"
"enter_famid";"Familien ID eingeben"
"show_notes";"Notizen anzeigen?"
"show_basic";"Grunddaten auch ausdrucken falls leer?"
"show_photos";"Fotos zeigen?"
"individual_report";"Personenbericht"
"enter_pid";"Personen-ID eingeben"
"individual_list_report";"Personen-Liste Bericht"
"generated_by";"erstellt von"
"list_children";"Alle Kinder nach Geburtsdatum geordnet anzeigen."
"birth_report";"Geburtstags- und -orte-Bericht"
"birthplace";"Geburtsort enthält"
"birthdate1";"Geburtsdatumsbereich Anfang"
"birthdate2";"Geburtsdatumsbereich Ende"
"sort_by";"Sortieren nach"
"cleanup";"Korrigieren"
"skip_cleanup";"Korrigieren überspringen"
"dynasty_list";"Übersicht der Familien"
"make_slklist";"EXCEL (SLK) Liste erstellen"
"excel_list";"Ausgabe im Excel (SLK) Format für die folgenden Dateien:"
"excel_tab";"Blatt:"
"excel_create";"wird erstellt in Datei:"
"slk_list";"EXCEL SLK Liste"
"statistics";"Statistik"
"merge_records";"Datensätze zusammenführen"
"merge_same";"Die Datensätze sind nicht vom gleichen Typ und können daher nicht zusammengeführt werden."
"merge_step1";"Zusammenführen Schritt 1 von 3"
"merge_step2";"Zusammenführen Schritt 2 von 3"
"merge_step3";"Zusammenführen Schritt 3 von 3"
"select_gedcom_records";"Wählen Sie zwei GEDCOM-Datensätze zum Zusammenführen aus. Die Datensätze müssen vom gleichen Typ sein."
"merge_to";"Zusammenführen zu ID:"
"merge_from";"Zusammenführen von ID:"
"merge_facts_same";"Die folgenden Fakten waren identisch in beiden Datensätzen und werden automatisch zusammengeführt."
"no_matches_found";"Keine übereinstimmenden Fakten gefunden"
"unmatching_facts";"Die folgenden Fakten stimmen nicht überein. Wählen Sie aus, welche Sie übernehmen möchten."
"record";"Datensatz"
"adding";"Füge hinzu"
"updating_linked";"Aktualisiere verknüpfte Datensätze"
"merge_more";"Weitere Datensätze zusammenführen."
"same_ids";"Sie haben zweimal die selbe ID eingegeben. Das Zusammenführen ist nicht möglich."
"gen_ancestry_chart";"#PEDIGREE_GENERATIONS# Generationen Ahnentafel"
"chart_style";"Diagramm-Typ"
"show_cousins";"Cousins und Cousinen anzeigen"
"sosa_2";"Vater"
"sosa_3";"Mutter"
"sosa_4";"Großvater"
"sosa_5";"Großmutter"
"sosa_6";"Großvater"
"sosa_7";"Großmutter"
"sosa_8";"Ur-Großvater"
"sosa_9";"Ur-Großmutter"
"sosa_10";"Ur-Großvater"
"sosa_11";"Ur-Großmutter"
"sosa_12";"Ur-Großvater"
"sosa_13";"Ur-Großmutter"
"sosa_14";"Ur-Großvater"
"sosa_15";"Ur-Großmutter"
"sosa_16";"Ur-Ur-Großvater"
"sosa_17";"Ur-Ur-Großmutter"
"sosa_18";"Ur-Ur-Großvater"
"sosa_19";"Ur-Ur-Großmutter"
"sosa_20";"Ur-Ur-Großvater"
"sosa_21";"Ur-Ur-Großmutter"
"sosa_22";"Ur-Ur-Großvater"
"sosa_23";"Ur-Ur-Großmutter"
"sosa_24";"Ur-Ur-Großvater"
"sosa_25";"Ur-Ur-Großmutter"
"sosa_26";"Ur-Ur-Großvater"
"sosa_27";"Ur-Ur-Großmutter"
"sosa_28";"Ur-Ur-Großvater"
"sosa_29";"Ur-Ur-Großmutter"
"sosa_30";"Ur-Ur-Großvater"
"sosa_31";"Ur-Ur-Großmutter"
"sosa_32";"Ur-Ur-Ur-Großvater"
"sosa_33";"Ur-Ur-Ur-Großmutter"
"sosa_34";"Ur-Ur-Ur-Großvater"
"sosa_35";"Ur-Ur-Ur-Großmutter"
"sosa_36";"Ur-Ur-Ur-Großvater"
"sosa_37";"Ur-Ur-Ur-Großmutter"
"sosa_38";"Ur-Ur-Ur-Großvater"
"sosa_39";"Ur-Ur-Ur-Großmutter"
"sosa_40";"Ur-Ur-Ur-Großvater"
"sosa_41";"Ur-Ur-Ur-Großmutter"
"sosa_42";"Ur-Ur-Ur-Großvater"
"sosa_43";"Ur-Ur-Ur-Großmutter"
"sosa_44";"Ur-Ur-Ur-Großvater"
"sosa_45";"Ur-Ur-Ur-Großmutter"
"sosa_46";"Ur-Ur-Ur-Großvater"
"sosa_47";"Ur-Ur-Ur-Großmutter"
"sosa_48";"Ur-Ur-Ur-Großvater"
"sosa_49";"Ur-Ur-Ur-Großmutter"
"sosa_50";"Ur-Ur-Ur-Großvater"
"sosa_51";"Ur-Ur-Ur-Großmutter"
"sosa_52";"Ur-Ur-Ur-Großvater"
"sosa_53";"Ur-Ur-Ur-Großmutter"
"sosa_54";"Ur-Ur-Ur-Großvater"
"sosa_55";"Ur-Ur-Ur-Großmutter"
"sosa_56";"Ur-Ur-Ur-Großvater"
"sosa_57";"Ur-Ur-Ur-Großmutter"
"sosa_58";"Ur-Ur-Ur-Großvater"
"sosa_59";"Ur-Ur-Ur-Großmutter"
"sosa_60";"Ur-Ur-Ur-Großvater"
"sosa_61";"Ur-Ur-Ur-Großmutter"
"sosa_62";"Ur-Ur-Ur-Großvater"
"sosa_63";"Ur-Ur-Ur-Großmutter"
"gen_fan_chart";"#PEDIGREE_GENERATIONS# Generationen Kreis-Diagramm"
"fan_width";"Breite"
"gd_library";"Falsche Konfiguration des PHP-Servers: GD Bibliothek 2.x für Grafik-Funktionen nicht vorhanden."
"gd_freetype";"Falsche Konfiguration des PHP-Servers: FreeType Bibliothek für True-Type Schriftarten nicht vorhanden."
"fontfile_error";"Schriftart-Datei auf PHP-Server nicht vorhanden"
"fanchart_IE";"Dieses Kreis-Diagramm kann von Ihrem Browser nicht direkt gedruckt werden. Bitte speichern Sie das Bild mit dem Kontextmenü (rechter Mausklick) und drucken Sie die Datei anschließend."
"rss_descr";"Neuigkeiten und Links von der Seite #GEDCOM_TITLE#"
"rss_logo_descr";"erstellt mit Genmod"
"attendant";"Begleiter"
"attending";"begleitend"
"circumciser";"Beschneider"
"civil_registrar";"ziviler Standesbeamter"
"friend";"Freund"
"godfather";"Taufpate"
"godmother";"Taufpatin"
"godparent";"Taufpaten"
"informant";"Informant"
"lodger";"Mitbewohner"
"nurse";"Kindermädchen"
"priest";"Pfarrer"
"rabbi";"Rabbiner"
"registry_officer";"Standesbeamter"
"servant";"Diener"
"twin";"Zwilling"
"twin_brother";"Zwillingsbruder"
"twin_sister";"Zwillingsschwester"
"witness";"Zeuge"
"statutci";"Index kann nicht erstellt werden"
"statnnames";"Anzahl der Namen ="
"statnfam";"Anzahl der Familien ="
"statnmale";"Anzahl männliche Personen ="
"statnfemale";"Anzahl weibliche Personen ="
"statvars";"Geben Sie bitte die folgenden Variablen zum Zeichnen ein"
"statlxa";"entlang der X-Achse:"
"statlya";"entlang der Y-Achse:"
"statlza";"entlang der Z-Achse:"
"stat_10_none";"keiner"
"stat_11_mb";"Geburtsmonat"
"stat_12_md";"Sterbemonat"
"stat_13_mm";"Hochzeitsmonat"
"stat_14_mb1";"Geburtsmonat des ersten Kindes in Bezug"
"stat_15_mm1";"Monat der ersten Hochzeit"
"stat_16_mmb";"Anzahl Monate zwischen Hochzeit und Geburt des ersten Kindes."
"stat_17_arb";"Alter bezogen auf das Geburtsjahr."
"stat_18_ard";"Alter bezogen auf das Sterbejahr."
"stat_19_arm";"Alter im Jahr der Hochzeit."
"stat_20_arm1";"Alter im Jahr der ersten Hochzeit."
"stat_21_nok";"Anzahl der Kinder."
"stat_gmx";"Bitte Bereichsgrenzen für Monat angeben"
"stat_gax";"Bitte Bereichsgrenzen für das Alter angeben"
"stat_gnx";"Bitte Bereichsgrenzen für Anzahl angeben"
"stat_200_none";"alle (bzw. keine)"
"stat_201_num";"Anzahl"
"stat_202_perc";"Prozentzahlen"
"stat_300_none";"keiner"
"stat_301_mf";"männlich/weiblich"
"stat_302_cgp";"Zeiträume (Bitte Bereichsgrenzen für Zeiträume angeben)"
"statmess1";"<b>Hier nur die Werte angeben, die sich gegebenenfalls auf die X-Achse oder die Z-Achse beziehen</b>"
"statar_xgp";"Bereichsgrenzen für Zeiträume (X-Achse):"
"statar_xgl";"Bereichsgrenzen für Alter (X-Achse):"
"statar_xgm";"Bereichsgrenzen für Monate (x-Achse)."
"statar_xga";"Bereichsgrenzen für Anzahl (X-Achse):"
"statar_zgp";"Bereichsgrenzen für Zeiträume (Z-Achse):"
"statreset";"Zurücksetzen"
"statsubmit";"Grafik anzeigen"
"stpl";"..."
"stplGDno";"Die "Graphics Display Library" ist in PHP4 nicht verfügbar. Bitte wenden Sie sich an Ihren System-Administrator."
"stpljpgraphno";"Die "JPgraph"-Module befinden sich nicht im Ordner <i>Genmod/jpgraph/</i>. Bitte laden Sie sich diese von http://www.aditus.nu/jpgraph/jpdownload.php herunter<br> <h3>Installieren Sie zuerst JPgraph ins Verzeichnis <i>Genmod/jpgraph/</i></h3>.<br>"
"stplinfo";"Zeichnungs-Informationen:"
"stpltype";"Typ:"
"stplnoim";"nicht verfügbar:"
"stplmf";"/ männlich-weiblich"
"stplipot";"/ pro Zeitraum"
"stplgzas";"Bereiche Z-Achse:"
"stplmonth";"Monat"
"stplnumbers";"Anzahl für eine Familie"
"stplage";"Alter"
"stplperc";"Prozentzahl"
"is_alive_in";"Lebte noch #YEAR#"
"alive";"Lebt"
"dead";"Verstorben"
"maybe";"Möglicherweise "
"definitions";"Definitionen"
"description";"Beschreibung"
"block_desc";"Block Beschreibung"
"click_here";"Fortfahren"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Hier finden Sie eine kurze Beschreibung aller Blöcke, die Sie auf die #gm_lang[welcome]#-Seite oder auf das #gm_lang[mygedview]# stellen können.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"options";"Optionen:"
"help_header";"Informationen über:"
"help_pedigree.php";"~DIE STAMMBAUM SEITE~<br /><br />Die meisten Besucher wissen was ein Stammbaum ist, aber dennoch gibt es wichtige Zusatzinformationen zu diesem Stammbaum:<br />Dieser Stammbaum ist im wesentlichen eine Aufzählung aller Vorfahren der Ausgangsperson.<br />Wenn Sie diese Seite aus dem Hauptmenü aufrufen, sehen Sie die Startperson in der Box ganz links (wenn Sie angemeldeter Benutzer sind, können Sie diese Startperson auch verändern).<br /><br />"Alle Vorfahren" bedeutet also Vater und Mutter, deren Eltern usw.<br />Auf dieser Seite sehen Sie den Stammbaum als graphische Darstellung.<br />Sie müssen nicht durch Seiten voller Text blättern, um Ihre Vorfahren zu finden.<br />Jede Person wird in einer Namens-Box dargestellt.<br /><br />* DIE PERSONEN BOXEN DES STAMMBAUMS<br />Wenn Sie "Details zeigen" gewählt haben, so werden einige Grundinformationen (sofern bekannt, z.B. Geburtsdatum) über jede Person in ihrer Box angezeigt.<br />Sie können auf den Namen einer Person klicken, um zur Seite mit den persönlichen Details dieser Person zu gelangen.<br />Wenn Sie "Details zeigen" gewählt haben, erscheinen 2 Symbole in der Namens-Box.<br /><br />* STAMMBAUM SYMBOL IN DER NAMENS-BOX<br />Wenn Sie "Details zeigen" gewählt haben, sehen Sie ein Stammbaum-Symbol in der Namens-Box. Je nach Einstellung müssen Sie mit der Maus darüberfahren oder darauf klicken, um ein Menü zu öffnen.<br />Der "Stammbaum" und der "Nachfahren-Baum" entsprechen denen im Hauptmenü, wobei die Start-Person dann diejenige ist, in deren Box Sie auf das Symbol geklickt haben.<br />Außerdem sehen Sie den Link "Familie mit Ehepartner". Sie sehen den Namen des Ehepartners gefolgt von den Namen der Kinder.<br />Alle Namen können angeklickt werden.<br /><br />* LUPEN-SYMBOL IN DEN BOXEN<br />Je nach Einstellung müssen Sie mit der Maus darüberfahren oder darauf klicken.<br />Die gewählte Box wird dann vergrößert und es werden (sofern vorhanden) zusätzliche Informationen über die Person eingeblendet.<br /><br />* DIE PFEILE<br />Auf der linken bzw. rechten Seite der äußersten Boxen werden evtl. Pfeile angezeigt.<br />Klicken Sie auf diese Pfeile, um die Ansicht in die entsprechende Richtung zu "verschieben"<br /><br />Weitere Hilfe erhalten Sie, wenn Sie auf das <b>?</b> neben Boxen oder Links klicken."
"register_info_01";"Der Zugang zu privaten Daten auf dieser Webseite kann eingeschränkt sein wegen geltender Datenschutzbestimmungen. Viele Personen möchten nicht, dass ihre persönlichen Daten im Internet öffentlich zugänglich sind, da diese dann durch Identitäts-Diebstahl oder für Spam-Versandt missbraucht werden könnten.<br /><br />Um die privaten Daten zu sehen, müssen Sie einen Zugang zu dieser Webseite haben. Um einen Zugang zu bekommen, können Sie sich selbst registrieren, wobei Sie einige Fragen zu Ihrer Person beantworten müssen. Sobald der Administrator Ihre Angaben geprüft und die Registrierung aktiviert hat, können Sie sich auf der Weibseite einloggen und private Daten ansehen.<br /><br />Falls die Verwandschaftsüberprüfung eingeschaltet wurde, können Sie auch danach nur auf die privaten Daten ihrer eigenen näheren Verwandtschaft zugreifen. Der Administrator kann Ihnen auch Rechte zur Veränderung der vorhandenen Daten geben oder zum Eingeben neuer Daten.<br /><br />Bitte beachten Sie, dass Sie nur dann Zugriff auf die Daten erhalten, wenn Sie nachweisen können, dass Sie mit einer der Personen in der Datenbank verwandt sind. Falls dies nicht der Fall sein sollte, wäre es nutzlos, einen Antrag zu stellen, weil diesem wahrscheinlich nicht nachgegangen wird.<br /><br />Falls Sie weitere Unterstützung brauchen, klicken Sie bitte auf den unten stehenden Link und fragen Sie den Administrator per E-Mail um Rat.<br /><br />"
"help_descendancy.php";"~DER NACHFAHREN-BAUM~<br /><br />Diese Seite zeigt die Nachfahren einer Person.<br />Sie können eine Start-Person für diesen Nachfahren-Baum auf dieser Seite auswählen, oder Sie können auf einer anderen Seite einen Link "Nachfahrenbaum" anklicken, um auf diese Seite zu gelangen.<br />Klicken Sie auf den "nach-oben"-Pfeil, um im Baum nach oben zu navigieren. Klicken Sie auf das Diagramme-Icon in einer Personen-Box, um diese Person als Ausgangsperson für ein Diagramm auszuwählen."
"help_timeline.php";"~LEBENSSPANNENANZEIGE~<br /><br />Auf dieser Seite können Sie eine odere mehrere Personen auf einer Zeitleiste darstellen.<br />So können Sie zum Beispiel veranschaulichen wie alt Personen oder deren Verwandte an bestimmten Stationen ihres Lebens waren."
"help_relationship.php";"~VERWANDTSCHAFTSBERECHNUNGS-SEITE~<br /><br />Auf dieser Seite kann der Verwandtschafts-Grad zwischen 2 Personen dargestellt werden.<br />Dies bedeutet nicht, dass die Personen direkte Blutsverwandtschaft haben müssen.<br />Jegliche Verwandtschaft wird gefunden."
"help_ancestry.php";"~#gm_lang[ancestry_chart]# Seite~<br /><br />Die #gm_lang[ancestry_chart]#-Seite ist der <a href="?help=help_pedigree.php">#gm_lang[index_header]#-Seite</a> sehr ähnlich, zeigt aber mehr Details und bietet mehrere <a href="?help=chart_style_help">#gm_lang[chart_style]#en</a>.<br /><br />Jeder Vorfahre wird mit einer Nummer nach dem <i>Sosa-Stradonitz</i> System gekennzeichnet:<br /> - gerade Zahlen für Männer (Nummer des Kindes*2)<br /> - ungerade Zahlen für Frauen (Nummer des Ehemannes + 1) außer bei Nummer <big>1</big><br /><br />Beispiel: <big>7</big> ist die Frau von <big>6</big>, die Mutter von <big>3</big>, und die Tochter von <big>14</big> und <big>15</big>."
"help_fanchart.php";"~#gm_lang[fan_chart]#~<br /><br />Das #gm_lang[fan_chart]# ist dem <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> sehr ähnlich, bietet aber eine graphik-orientierte Darstellung.<br /><br />Die Ausgangsperson steht in der Mitte, deren Eltern auf dem ersten Ring, Großeltern im zweiten Ring usw.<br /><br />Geburts- und Todesdaten erscheinen unter den Namen wenn bekannt.<br /><br />Wenn Sie auf einen Namen im Diagramm klicken, so wird diese Person als neue Ausgangsperson festgelegt (und erscheint dann in der Mitte). Bei der Person in der Mitte ist ein Pfeil zu sehen, der beim Anklicken ein Menü öffnet, mit dem Sie eines der Kinder oder Geschwister der Person als neue Starperson auswählen können (gleiche Arbeitsweise wie beim <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>)."
"help_indilist.php";"~PERSONEN SEITE~<br /><br />Auf dieser Seite wird eine Liste von Personen angezeigt.<br /><br />Die Namen werden mit vorne stehendem Nachnamen, alphabetisch sortiert angezeigt.<br />Die ausgegebene Liste basiert auf folgenden Kriterien:<br /><b>1.</b> Der Buchstabe, den Sie im Alphabet-Index angeklickt haben.<br /><b>2.</b> Sie können am unteren Ende der Liste die "Nachnamen-Sprungliste" oder "Nachnamen anzeigen" wählen.<br /><br />Wenn Sie weitere Hilfe benötigen, klicken Sie auf die "?" neben den Symbolen."
"help_famlist.php";"~FAMILIEN SEITE~<br /><br />Auf dieser Seite wird eine Liste der Familien angezeigt.<br /><br />Die Namen werden mit vorne stehendem Nachnamen, alphabetisch sortiert angezeigt.<br />Die ausgegebene Liste basiert auf folgenden Kriterien:<br /><b>1.</b> Der Buchstabe, den Sie im Alphabet-Index angeklickt haben.<br /><b>2.</b> Wahl der "Nachnamen-Sprungliste" oder "Nachnamen anzeigen".<br /><br />Sie können sowohl nach dem Nachnamen des Ehemannes als auch nach dem der Ehefrau suchen. Beide sind in der Liste enthalten.<br /><br />Wenn Sie weitere Hilfe benötigen, klicken Sie auf die "?" neben den Symbolen."
"help_family.php";"~FAMILIEN DETAIL SEITE~<br /><br />Diese Seite zeigt Ihnen eine Übersicht der Familie, die Sie auf der vorigen Seite ausgewählt habe.<br />Von oben nach unten sehen Sie die Detailinfo-Boxen von:<br />Der Ehemann und seine Eltern, die Ehefrau und ihre Elternm, und die Kinder.<br /><br />Das Layout und der Inhalt der Personen-Boxen entspricht dem der Boxen, die Sie von der Stammbaum-Seite oder Nachfahren-Baum-Seite kennen.<br />Rechts von den Namens-Boxen der Eltern sehen Sie einen Pfeil (wenn weitere Vorfahren eingetragen sind). Wenn Sie auf diesen Pfeil klicken, gelangen Sie eine Geneartion höher und Sie sehen eine neue Familien-Seite in der die Eltern der vorigen Seite nun als Ehemann und Ehefrau auftauchen.<br />Auf der rechten Seite <i>in</i> der Namens-Box, sehen Sie eventuell ein Lupen-Symbol, das zu weiteren Detail-Information einer Person führt. Wenn Sie auf den Namen klicken, gelangen Sie auf die Seite mit persönlichen Informationen zur Person.<br />Außerdem ist am rechten Rand ein kleines Menü vorhanden, das Sie zu anderen Seiten mir mehr Informationen oder zu anderen Diagrammen führt.<br /><br />Die Familiengruppen-Information zeigt alle Fakten und Daten über diese Familie, wie Hochzeit, Multimedia-Objekte und Notizen. Wenn Sie innerhalb der Informationen auf einen Ort klicken, gelangen Sie zur Ortsliste, in der alle anderen Familien und Personen aufgelistet sind, die zu diesem Ort ebenfalls einen Bezug haben. Wenn Sie auf ein Datum klicken, gelangen Sie zum Tages-Kalender, der alle Ereignisse zeigt, die an diesem Datum in der Vergangenheit stattfanden. Multimedia-Objekte können auch angeklickt werden, dann öffnet sich ein görßeres Bild-Betrachtungsfenster. Wenn Sie auf eine Quelle klicken, erscheinen die Detailinformationen zu dieser Quelle.<br /><br />Unter den Namens-Boxen der Kinder sehen Sie eventuell einen Link "Kind zu dieser Familie hinzufügen".<br />Neben den Namens-Boxen der Kinder sehen Sie "Informationen zur Familiengruppe".<br />Wenn Sie die nötigen Rechte haben, können Sie Ereignisse und Daten verändern, löschen oder hinzufügen.<br /><br />Am rechten Bildschirmrand sehen Sie (wenn aktiviert) Symbole und Links für: <br /><b>GEDCOM Daten anzeigen</b>, dadurch werden die Daten im GEDCOM-Format dargestellt.<br /><b>Datensatz dem Sammelbehälter hinzufügen</b>, dadurch speichern Sie die Daten in Ihrem Ausschnitts-Sammelbehälter. Die Daten in diesem "Behälter" können Sie später herunterladen und in Ihre eigene GEDCOM-Datei importieren.<br /><b>Ehepaar in Lebensspannen-Ansicht zeigen</b>, hiermit gelangen Sie zur Lebensspannenanzeige und die Daten des Ehepaares werden in der Zeitleiste angezeigt.<br /><br />#gm_lang[more_help]#"
"help_sourcelist.php";"~QUELLEN SEITE~<br /><br />Auf dieser Seite wird eine Liste aller Quellen angezeigt.<br />Anders als bei der Personen- und Familien-Seite gibt es keinen Alphabet-Index auf dieser Seite. Da die Quellen sowohl Personen mit unterschiedlichen Namen als auch öffentliche Datenbanken oder Institute sein können, würde eine alphabetische Unter-Gruppierung nicht viel Sinn machen.<br />Die Namen erscheinen in der gleichen alphabetischen Reihenfolge wie sie in der GEDCOM-Datei gespeichert sind.<br /><br /><b>QUELLEN</b><br />Ohne Quellen könnte man keine Genealogie betreiben. Für jede Information in der Datenbank gibt es eine Quelle. Dies kann eine Person, ein Amt oder z.B. eine öffentliche Datenbank sein.<br />Eine Quelle kann mit vielen Personen verknüpft sein. Andererseits kann eine Person auch mit mehreren Quellen verknüpft sein. Sie können mehrere Quellen für ein Ereignis haben, gleich ob es ein Geburtstag, ein Beruf, eine Hochzeit etc. ist."
"help_source.php";"~QUELLEN DETAIL SEITE~<br /><br />Auf dieser Seite werden die Details einer Quelle angezeigt. Quellenangaben sind für Genealogen sehr wichtig und helfen die Ergebnisse von anderen Forschern nachzuvollziehen.<br />Auf dieser Seite finden Sie Informationen über den Namen der Quelle(n), deren Autor, Veröffentlichung und dem Archiv/Ort, wo diese Quelle gefunden wurde. Da es sehr viele verschiedener Arten von Quellen gibt, finden Sie eventuell unterschiedliche Mengen von Angaben vor.<br /><br />Wenn zu einem Multimedia-Objekt eine Quelle angegeben ist (z.B. Scan eines Dokuments), gelangen Sie zu einer größeren Ansicht, indem Sie auf das Objekt oder den Dateinamen daneben klicken.<br /><br />Im Anschluss an die Quellen-Details wird eine Liste angezeigt, die Personen und Familien enthält, die mit dieser Quelle verknüpft sind. So finden Sie alle Informationen, die dieser einen Quelle entnommen sind.<br /><br />Eventuell werden ein oder zwei zusätzliche Symbole angezeigt, je nach Konfiguration durch den Administrator:<br /><b>GEDCOM-Datensatz anzeigen</b> - was die Daten im GEDCOM-Format anzeigt.<br /><b>Datensatz dem Sammelbehälter hinzufügen</b> - was ihnen erlaubt die Dateien in Ihrem Sammelbehälter zu speichern. Diesen "Behälter" können Sie später herunterladen und die Daten in ihre eigene GEDCOM-Datei einfügen.<br /><br />Weitere Hilfe erhalten Sie, wenn Sie auf die "<b>?</b>" klicken."
