"select_an_option";"Select an option below:"
"stat_11_mb";"Month of birth"
"stat_12_md";"Month of death"
"stat_13_mm";"Month of marriage"
"stat_14_mb1";"Month of birth of first child in a relation"
"stat_15_mm1";"Month of first marriage"
"stat_16_mmb";"Months between marriage and first child."
"stat_17_arb";"Age related to birth year."
"stat_18_ard";"Age related to death year."
"stat_19_arm";"Age in year of marriage."
"stat_20_arm1";"Age in year of first marriage."
"stat_21_nok";"Number of children."
"stat_gmx";"check tickvalues for months"
"stat_gax";"check tickvalues for ages"
"stat_gnx";"check tickvalues for numbers"
"stat_200_none";"all (or blank)"
"stat_201_num";"Numbers"
"stat_202_perc";"Percentage"
"stat_300_none";"None"
"stat_301_mf";"Male/female"
"stat_302_cgp";"Periods. Check tickvalues for periods z-axis"
"statmess1";"<b>Just fill in next rows related to earlier settings on x-axis or z-axis</b>"
"statar_xgp";"Tickvalues for periods (x-axis):"
"statar_xgl";"Tickvalues for ages    (x-axis):"
"statar_xgm";"Tickvalues for months  (x-axis):"
"statar_xga";"Tickvalues for numbers (x-axis):"
"statar_zgp";"Tickvalues for periods (z-axis):"
"statreset";"Reset"
"statsubmit";"Show the plot"
"stpl";"..."
"stplGDno";"Graphics Display Library is not available in PHP 4. Please contact your system administrator"
"stpljpgraphno";"JpGraph modules are not available in directory <i>genmod/modules/jpgraph/</i>. More information about this module may be found in the modules/readme.txt file or in the Genmod forum. Please get them from http://www.aditus.nu/jpgraph/jpdownload.php<br /> <h3>First install JpGraph in directory <i>genmod/modules/jpgraph/</i></h3><br />"
"stplinfo";"plotting information:"
"stpltype";"type:"
"stplnoim";"not implemented:"
"stplmf";"/ man-woman"
"stplipot";"/ timeperiod"
"stplgzas";"borders z-axis:"
"stplmonth";"month"
"stplnumbers";"numbers for a family"
"stplage";"age"
"stplperc";"percentage"
"is_alive_in";"Is alive in #YEAR#"
"alive";"Alive "
"dead";"Dead "
"maybe";"Maybe "
"unborn";"Unborn "
"definitions";"Definitions"
"description";"Description"
"block_desc";"Block Descriptions"
"click_here";"Click here to continue"
"block_summaries";"~#gm_lang[block_desc]#~<br /><br />Here is a short description of each of the blocks you can place on the #gm_lang[welcome]# or #gm_lang[mygedview]# page.<br /><table border='1' align='center'><tr><td class='list_value'><b>#gm_lang[name]#</b></td><td class='list_value'><b>#gm_lang[description]#</b></td></tr>#gm_lang[block_summary_table]#</table><br /><br />"
"block_summary_table";"&nbsp;"
"total_places";"Places found"
"media_contains";"Media contains:"
"repo_contains";"Repository contains:"
"source_contains";"Source contains:"
"note_contains";"General Note contains:"
"file_contains";"Filename contains:"
"display_all";"Display all"
"accesskeys";"Keyboard Shortcuts"
"accesskey_skip_to_content";"C"
"accesskey_search";"S"
"accesskey_skip_to_content_desc";"Skip to Content"
"accesskey_viewing_advice";"0"
"accesskey_viewing_advice_desc";"Viewing advice"
"accesskey_contact";"4"
"accesskey_individual_relations";"E"
"accesskey_individual_details";"I"
"accesskey_individual_relatives";"R"
"accesskey_individual_notes";"N"
"accesskey_individual_sources";"O"
"accesskey_individual_media";"A"
"accesskey_individual_research_log";"L"
"accesskey_individual_pedigree";"P"
"accesskey_individual_descendancy";"D"
"accesskey_individual_timeline";"T"
"accesskey_individual_relation_to_me";"M"
"accesskey_individual_gedcom";"G"
"accesskey_family_parents_timeline";"P"
"accesskey_family_children_timeline";"D"
"accesskey_family_timeline";"T"
"accesskey_family_gedcom";"G"
"add_faq_header";"FAQ Header"
"add_faq_body";"FAQ Body"
"no_faq_items";"The FAQ list is empty."
"position_item";"Position item"
"confirm_faq_delete";"Are you sure you want to delete the FAQ entry"
"preview";"Preview"
"no_id";"No FAQ ID has been specified !"
"faq_back";"Return to FAQ menu"
"hs_search";"Search"
"hs_close";"Close window"
"hs_results";"Results found:"
"hs_keyword";"Search for"
"hs_searchin";"Search in"
"hs_searchuser";"User Help"
"hs_searchconfig";"Administrator Help"
"hs_searchhow";"Search type"
"hs_searchall";"All words"
"hs_searchany";"Any word"
"hs_searchsentence";"Exact phrase"
"hs_intruehelp";"Help text only"
"hs_inallhelp";"All text"
"media_import";"Import and convert media"
"confirm_folder_delete";"Are you sure you want to delete this folder?"
"choose";"Choose: "
"account_information";"Account Information"
"old_record";"Old record"
"new_record";"New record"
"logs";"Logs"
"edit_media";"Edit media"
"record_to_be_deleted";"Record to be deleted"
"options";"Options:"
"person_not_found";"Person not found."
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />The Hourglass chart will show the ancestors and descendants of the selected root person on the same chart.  This chart is a mix between the Descendancy chart and the Pedigree chart.<br /><br />The root person is centered in the middle of the page with his descendants listed to the left and his ancestors listed to the right.  In this view, each generation is lined up across the page starting with the earliest generation and ending with the latest.<br /><br />If there is a downwards arrow on the screen under the root person, clicking on it will display a list of the root person's close family members that you can use the navigate down the chart.  Selecting a name from this list will reload the chart with the selected person as the new root person."
"help_header";"Information about:"
"help_pedigree.php";"~THE PEDIGREE PAGE~<br />A pedigree is an enumeration of all ancestors of the starting person.  Users who are not logged in see the pedigree of the starting (root) person chosen by the site administrator.  Logged in users can select their own starting (root) person.<br /><br />In this context, "All ancestors" means the father and mother, their parents, and so on.  The pedigree is displayed graphically; you don't have to struggle through pages of text to determine your ancestors.<br /><br />All individuals are displayed in Name boxes on the screen.<br /><ul><li><b>Name boxes on the pedigree</b><br />If the Pedigree page is set to show details, you will see the person's name and birth and death dates.  You can click on a person's name to take you directly to the #gm_lang[indi_info]# page of that person.<br /><br />When <b>Show details</b> is on there are two icons inside the name box.</li><br /><li><b>Pedigree icon inside the Name box</b><br />When the option <b>Show Details</b> is on, you see a Pedigree icon in the Name box. Depending on the site settings, you have to hover over the icon or click on it.  When you click on or hover over this icon, a small sub-menu appears.<br /><br />The items <b>#gm_lang[index_header]#</b> and <b>#gm_lang[descend_chart]#</b> are similar to those items in the main menu, but the difference is that the starting person is now the individual of mentioned in the Name box.  You also see <b>#gm_lang[as_spouse]#</b>. Underneath that you see the name of the spouse followed by the names of the children.  All names are clickable.</li><br /><li><b>Magnifying glass inside the Name box</b><br />Depending on the site settings, you have to hover over the icon or click on it.  This magnifies the Name box so that more details will be displayed.  You will see more dates and events. Names are clickable.</li><br /><li><b>Arrows</b><br />On the left or right of the leftmost or rightmost Name boxes you may see arrows.  When you click on these arrows the screen display will shift in the direction of the arrow.</li></ul><br />#gm_lang[context_help]#<br/ ><br />"
"register_info_01";"~REQUEST NEW USER ACCOUNT~<br /><br />The amount of data that can be publicly viewed on this website may be limited due to applicable law concerning privacy protection. Many people do not want their personal data publicly available on the Internet. Personal data could be misused for spam or identity theft.<br /><br />Access to this site is permitted to every visitor who has a user account. After the administrator has verified and approved your account application, you will be able to login.<br /><br />If Relationship Privacy has been activated you will only be able to access your own close relatives' private information after logging in. The administrator can also allow database editing for certain users, so that they can change or add information.<br /><br />If you need any further support, please use the link below to contact the administrator.<br /><br />"
"register_info_02";"~REQUEST NEW USER ACCOUNT~<br /><br />The amount of data that can be publicly viewed on this website may be limited due to applicable law concerning privacy protection. Many people do not want their personal data publicly available on the Internet. Personal data could be misused for spam or identity theft.<br /><br />Access to this site is permitted to <u>authorized</u> users only. After the administrator has verified and approved your account application, you will be able to login and view the private data.<br /><br />If Relationship Privacy has been activated you will only be able to access your own close relatives' private information after logging in. The administrator can also allow database editing for certain users, so that they can change or add information.<br /><br />If you need any further support, please use the link below to contact the administrator.<br /><br />"
"register_info_03";"~REQUEST NEW USER ACCOUNT~<br /><br />The amount of data that can be publicly viewed on this website may be limited due to applicable law concerning privacy protection. Many people do not want their personal data publicly available on the Internet. Personal data could be misused for spam or identity theft.<br /><br />Access to this site is permitted to <u>family members only</u>. After the administrator has verified and approved your account application, you will be able to login and view the private data.<br /><br />If Relationship Privacy has been activated you will only be able to access your own close relatives' private information after logging in. The administrator can also allow database editing for certain users, so that they can change or add information.<br /><br />If you need any further support, please use the link below to contact the administrator.<br /><br />"
"help_descendancy.php";"~THE DESCENDANCY PAGE~<br /><br />This page will show the descendants of a person.<br /><br />You can choose a starting (root) person for this Descendancy chart or you can be linked to this page by clicking the <b>#gm_lang[descend_chart]#</b> link on another page.  Click on Arrow icons to navigate this tree in the direction of the arrow.  Click on the Chart icon in any Person box to change the root of the tree to that person.<br /><br />"
"help_timeline.php";"~TIME LINE PAGE~<br /><br />On this page you can display one or more persons along a timeline.  You can, for example, visualize the status of two or more persons at a certain moment.<br /><br />If you click the <b>Time Line</b> link on an other page you already see one person on the Time Line.  If you clicked the <b>Time Line</b> menu item in a page header, you have to supply the starting person's ID.<br /><br />"
"help_relationship.php";"~RELATIONSHIP PAGE~<br /><br />On this page you can display the relationship between any two people.  These people do not have to be directly related by blood line;  any relation will be found.<br /><br />"
"help_ancestry.php";"~#gm_lang[ancestry_chart]# page~<br /><br />The Ancestry page is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, but with more details and alternate <a href="?help=chart_style_help">#gm_lang[chart_style]#</a> displays.<br /><br />Each ancestry is shown with a unique number, calculated according to the <i>Sosa-Stradonitz</i> system:<ul><b>Even</b> numbers for men (child*2)<br /><b>Odd</b> numbers for women (husband+1) except for <b>1</b></ul><br />Example:<br /><ul>The root person is <b>1</b>, regardless of sex.<br /><b>1</b>'s father is <b>2</b> (<b>1</b> * 2), mother is <b>3</b> (<b>2</b> + 1).<br /><b>2</b>'s father is <b>4</b> (<b>2</b> * 2), mother is <b>5</b> (<b>4</b> + 1).<br /><b>3</b>'s father is <b>6</b> (<b>3</b> * 2), mother is <b>7</b> (<b>6</b> + 1).<br /><b>7</b>'s father is <b>14</b> (<b>7</b> * 2), mother is <b>15</b> (<b>14</b> +1).<br />etc.</ul><br />"
"help_fanchart.php";"~#gm_lang[fan_chart]# page~<br /><br />The Circle Diagram is very similar to the <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, but in a more graphical way.<br /><br />The Root person is shown in the center, his parents on the first ring, grandparents on the second ring, and so on.<br /><br />Years of birth and death are printed under the name when known.<br /><br />Clicking on a name on the chart will open a links menu specific to that person.  From this menu you can choose to center the diagram on that person or on one of that person's close relatives, or you can jump to that person's #gm_lang[indi_info]# page or a different chart for that person.<br /><br />"
"help_indilist.php";"~INDIVIDUALS LIST PAGE~<br /><br />On this page you can display a list of individuals.  The names will be displayed with surnames first and sorted into alphabetical order.<br /><br />The output of the Name list depends on:<ol><li>The letter you clicked in the Alphabetical index.</li><li>Whether you clicked "Skip" or "Show" Surname List.</li></ol>#gm_lang[context_help]#<br /><br />"
"help_famlist.php";"~FAMILY LIST PAGE~<br /><br />On this page you can display a list of families.  The names will be displayed with surnames first and sorted into alphabetical order.<br /><br />The output of the Name list depends on:<ol><li>The letter you clicked in the Alphabetical index.</li><li>Whether you clicked "Skip" or "Show" Surname List.</li></ol>You can search on the husband's or the wife's surname;  both are included in the list.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_family.php";"~FAMILY DETAILS PAGE~<br /><br />This page will show you an overview of the family that you chose on a previous page.<br /><br />From top to bottom you will see the Personal Details boxes of the husband and his parents, the wife and her parents, and the children.<br /><br />The layout and contents of the Person Boxes are the same as the boxes that you already know from the Pedigree and Descendancy pages.<br /><br />To the right of the Parent boxes you may see an arrow if more ancestors exist in the file. When you click that arrow, you will move up a generation to show you a new family page with the previous parents now listed as the husband and wife.<br /><br />At the right side within the name box you may see a Zoom (magnifying glass) icon which you can click to reveal more details about the individual. When you click the name you will be taken to the #gm_lang[indi_info]# page of that person.<br /><br />Also at the right side you will find a small menu to take you to pages with charts or more information.  Some of these menu items also have sub-menus which will appear when your mouse pointer approaches the parent menu item.<br /><br />The Family Group Information box shows all known facts and information about this family, such as marriage, multimedia objects, and notes. In the Fact Information box, clicking a place will take you to the Place list, where all other families and individuals who are connected to that place are shown. Clicking a date will jump to the Day calendar, which will show all events that happened on that day and month in history. Multi-media objects can be clicked; this will open a new window in which the object is viewed. When you click on the picture caption, you will see the picture on the #gm_lang[media_list]# page. If you click on a Source link, the details of that source will be displayed on the Source page.<br /><br />Below the name boxes of the children you find the <b>Add a child to this Family</b> link.  Next to the name boxes of the children you see the <b>Family Group Information</b> link.  If you have enough rights, you can edit, delete, and add data and facts here.<br /><br />As with the #gm_lang[indi_info]# page, you will see a menu at the top right of the page.  Entries in this menu take you to other pages where you can get information about this family or perform other tasks related to this family.#gm_lang[more_help]#"
"help_sourcelist.php";"~SOURCES LIST PAGE~<br /><br />A list of sources is displayed on this page.<br /><br />Unlike the #gm_lang[indi_info]# and Family pages, there is no alphabetical index.<br /><br />A source can be an individual, a public database, an institution, an Internet resource, etc.  Because of the completely random nature of genealogical sources, it is impossible to find a sort order that is meaningful in all cases. However, Genmod <u>does</u> sort the Source names into alphabetical order.<br /><br /><b>SOURCES</b><br />Without sources we cannot build our database. There is a source for every item of information in the database. The source can be a relative, an institution, a public database, government or private records, an Internet resource, etc.<br /><br />A source can be linked to many persons. One person can also be linked to many sources. You can have different sources for every event, whether it is birth date, profession, marriage, children, etc.<br /><br />"
"help_source.php";"~SOURCE DETAILS PAGE~<br /><br />The details of the source are displayed on this page. Sources are very important to genealogical researchers and will allow you to follow the trail another researcher used to find the information.<br /><br />You can see information about the source's title, author, publication, and the repository where the source was looked up. Because of the many different types of sources, some sources may have more information than others.<br /><br />If a multimedia object such as a scan of a document is connected to the source, you can view that object by clicking the object. When you click on the object name, you will see the object on the #gm_lang[media_list]# page.<br /><br />Following the source details there is a list of all individuals and families who are connected to this source. This allows you to identify all items that were obtained from that data source.<br /><br />When the administrator has enabled these features, you will have one or two additional menu icons on this page:<ol><li><b>#gm_lang[view_gedcom]#</b><br />which shows the information in GEDCOM format.</li><br /><li><b>#gm_lang[add_to_cart]#</b><br />which enables you to store this information in your #gm_lang[clip_cart]# for later downloading and importing into your own genealogy program.</li></ol><br />#gm_lang[context_help]#<br /><br />"
"help_placelist.php";"~PLACE HIERARCHY~<br />(or Persons Per Place)<br /><br />This page will show you a hierarchy of the places in the GEDCOM and which individuals or families are connected to a location.<br /><br />If there is any connection between an individual or family and an event at a certain location, Genmod will find it.<br /><br />The results are displayed in a two-column list, one column for individuals and one for families.<br /><br />#gm_lang[more_help]#"
"help_medialist.php";"~MULTIMEDIA OBJECT LIST~<br /><br />This page lists all of the Multimedia Objects (MMO) that can be found in this database.<br /><br />For each of the media items you see the title or filename of the item, names of the individuals or families connected to the item, and notes about the item.<br /><br />Clicking the title or filename of the item has the same effect as clicking its thumbnail.  The item will be opened in the image viewer built into Genmod or in the viewer specified in your browser's configuration.<br /><br />When you click on the "View" link next to the person or family, you will be taken to the relevant Details page.<br /><br />"
"help_uploadmedia.php";"~UPLOAD MEDIA FILES~<br /><br />Uploading media files is quite straightforward.  Here is a little additional information.<br /><br /><b>Thumbnails</b><br />Thumbnails should have a size somewhere around 100px width.  The thumbnail <u>must</u> be named identically to the full-size version.  If your system can generate thumbnails automatically, you will see a notice to that effect on the Upload Media page.<br /><br /><b>Uploading</b><br />Files will be uploaded automatically to the directory ../media for the full-sized version and to ../media/thumbs/ for the thumbnails.<br /><br />#gm_lang[readme_help]#"
"help_calendar.php";"~#gm_lang[anniversary_calendar]#~<br /><br /><ul><li><a href="#calendar_general"><b>General information</b></a><li><a href="#calendar_day"><b>#gm_lang[day]#</b></a><li><a href="#calendar_month"><b>#gm_lang[month]#</b></a><li><a href="#calendar_year"><b>#gm_lang[year]#</b></a><li><a href="#calendar_show"><b>#gm_lang[show]# / #gm_lang[showcal]#</b></a><li><a href="#calendar_sex"><b>#gm_lang[sex]#</b></a><li><a href="#calendar_event"><b>Event</b></a><li><a href="#calendar_button"><b>View Day / View Month / View Year buttons</b></a><li><a href="#calendar_tip"><b>Tip</b></a></ul><br /><a name="calendar_general"></a>The #gm_lang[anniversary_calendar]# shows the persons and families who are linked to an event at a certain day or month or during a certain period of time. It has an advanced filtering system to select the right date, period, and events for you.<dl><dt><b>View <a href="#calendar_day">Day</a></b></dt><dd>This shows the events on a certain day, independent of the selected year. Output will be either a single list with the names of individuals or families, or a two-column list with individuals on one side and families on the other.</dd><br /><dt><b>View <a href="#calendar_month">Month</a></b></dt><dd>In this calendar the names of individuals and families are shown inside the Day boxes. The calendar is shown as it was in the year you entered into the Year box. All events that happened in the past up to that year are shown.<br /><br />In combination with the option <a href="#calendar_show"><b>#gm_lang[recent_events]#</b></a>, it will give a realistic view of what a calendar of your ancestors looked like.</dd><br /><dt><b>View <a href="#calendar_year">Year</a></b></dt><dd>This shows the events in a certain year or during a number of years. Output will be a list with the names of individuals or families, or a two-column list with individuals on one side and families on the other.</dd></dl>The currently shown day and month are highlighted in the calendar menu.<br /><br />All names and dates are clickable.  When you click on a name you will be taken to the relevant Details page. Clicking on a date will jump to "Today" or "Year" mode, which will display all events for the day and month in the clicked date.<br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_day"> </a>#gm_lang[annivers_date_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_month"> </a>#gm_lang[annivers_month_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_year"> </a>#gm_lang[annivers_year_select_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_show"> </a>#gm_lang[annivers_show_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_sex"> </a>#gm_lang[annivers_sex_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_event"> </a>#gm_lang[annivers_event_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_button"> </a>#gm_lang[day_month_help]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="calendar_tip"> </a>#gm_lang[annivers_tip_help]#"
"help_clippings.php";"~THE FAMILY TREE CLIPPINGS CART~<br />The #gm_lang[clip_cart]# allows you to take extracts ("clippings") from this family tree and bundle them up into a single file for downloading and subsequent importing into your own genealogy program.  The downloadable file is recorded in GEDCOM format.<br /><ul><li>How to take clippings?<br />This is really simple. Whenever you see a clickable name (individual, family, or source) you can go to the Details page of that name. There you will see the <b>#gm_lang[add_to_cart]#</b> option.  When you click that link you will be offered several options to download.</li><br /><li>How to download?<br />Once you have items in your cart, you can download them just by clicking the <b>Download Now</b> link.  Follow the instructions and links.</li></ul><br />"
"help_search.php";"~THE SEARCH PAGE~<br /><br />Although this page looks very simple, there is a very powerful and complicated search engine behind the two forms.  Most genealogy web sites just let you search for a name.  Genmod lets you search for almost anything.<br /><br />The Search box on the left of the screen is the same as the Search box in each page header.<br /><br />If you are looking for people in connection to a certain year, just type the year. The program will find all connections for you.<br /><br />Looking for a name, or place?  Just type in the name or place, completely or just a part of it, and Genmod does the rest.<br /><br /><b>Soundex search method</b><br />With the search boxes on the right, you can search for names of persons and places, even if you don't know precisely how to write the name.<br /><br />When there are several genealogical databases on one site and the administrator has enabled switching between them, your search will return the results for all of them.<br /><br />You will find more help about these two boxes by clicking the <b>?</b> above the boxes.<br /><br />"
"help_individual.php";"~#gm_lang[indi_info]# PAGE~<br /><br />All details of a person are displayed on this page.<br /><br />If there is a picture available, you will see it at the top left side.  You will see the names of the person next to the picture.<br /><br />Names can have notes and sources attached to them. If any of the names have notes or sources, you will see them listed under the names they relate to.<br /><br />A person might have an AKA (maybe he's known under another name). If that is the case, it will be displayed.<br /><br />If you have Edit rights to this person, you will also see <b>Edit</b>, <b>Copy</b> and <b>Delete</b> links next to the items that you can edit. The copy option works as a clipboard. When you choose copy, the fact is copied to the clipboard and can be used to create a new fact. Choosing to add a new fact after you have chosen to copy the old fact, you will see clipboard in the dropdown menu of facts you can add. The maximum number of items on the clipboard is 5. If the clipboard is full and you add a new fact to the clipboard, the first one is removed and the new one added as the last one.<br /><br />On this page you see tab sheets for <b>#gm_lang[personal_facts]#</b>, <b>#gm_lang[notes]#</b>, <b>#gm_lang[ssourcess]#</b>, <b>#gm_lang[media]#</b>, and <b>#gm_lang[relatives]#</b>.  These tab sheets show you all the information about this individual that is stored in the database.<br /><ul><li>The <b>#gm_lang[personal_facts]#</b> tab will show you the facts and details about this person and any fact from their marriages. Clicking on any date on this tab will take you to the #gm_lang[anniversary_calendar]# for that date, so that you can see other events that happened on the same day. Clicking on a place will take you to the Place Hierarchy where you can view other people who had events in the same place. For marriage and other family related facts, the name of the person's spouse is available so that you can view the spouse and a link to the family record is also provided.</li><br /><li>The <b>#gm_lang[notes]#</b> tab will show you any general notes relating to this person.</li><br /><li>The <b>#gm_lang[ssourcess]#</b> tab will show you all of the <u>general</u> sources for this person. These sources are <u>not</u> linked to individual facts, not even the person's name; they are associated with the individual himself.  Clicking on the title of a source will take you to a more detailed Source Information page that will display other people who are also linked to the same source.</li><br /><li>The <b>#gm_lang[media]#</b> tab will list all of the pictures and other media items that are attached to this individual. Clicking on a thumbnail of the picture will open up a larger view of the image. Clicking on the picture caption will show you the picture on the #gm_lang[media_list]# page.</li><br /><li>The <b>#gm_lang[relatives]#</b> tab lists this person's parents and siblings as well as all of the spouses and children that this person has had. These persons will be listed in boxes similar to the charts that you may have already seen.</li></ul>On the right of the screen you will find a box with links.  Many of the links in the box are the same as the links in the menus. For example, clicking on the <b>#gm_lang[pedigree_chart]#</b> link on the side links will take you to the Pedigree chart for this person. This is different from the menu links, because clicking on the <b>#gm_lang[pedigree_chart]#</b> link in the menu will take you back to the default Pedigree chart for this database.<br /><br />One of the links that might appear in this list if it has been enabled by the admin, is the <b>#gm_lang[view_gedcom]#</b> link. This link will show you the raw GEDCOM record of this individual.<br /><br />If the #gm_lang[clip_cart]# has been enabled by the site admin, you will also have a link that will allow you to add this person to your #gm_lang[clip_cart]#.<br /><br />The <b>#gm_lang[relationship_to_me]#</b> link will only appear if you are logged in and have been assigned an ID in the GEDCOM. This link will take you to the Pedigree chart and show you how you are related to this person.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_editconfig.php";"~CONFIGURE Genmod~<br /><br />On this page you configure the global settings for Genmod.  You have to do this after you have installed Genmod and are running it for the first time.<br /><br />#gm_lang[review_readme]#As these settings are <b>global</b>, they are for the whole program and for all genealogical databases you use with Genmod.<br /><br />Each genealogical database also has additional configuration options that you set after clicking the <b>#gm_lang[admin_gedcoms]#</b> link on this page.<br /><br />You can also access the #gm_lang[gedcom_adm_head]# function from the main Admin page, whose link is found under the #gm_lang[mgv]# icon or in the header of most pages.  On the Admin page, the relevant link is called <b>#gm_lang[manage_gedcoms]#.</b><br /><br />"
"help_edit_merge.php";"~#gm_lang[merge_records]#~<br /><br />This page will allow you to merge two GEDCOM records from the same GEDCOM file.<br /><br />This is useful for people who have merged GEDCOMs and now have many people, families, and sources that are the same.<br /><br />The page consists of three steps.<br /><ol><li>You enter two GEDCOM IDs.  The IDs <u>must</u> be of the same type.  You cannot merge an individual and a family or family and source, for example.<br />In the <b>#gm_lang[merge_to]#</b> field enter the ID of the record you want to be the new record after the merge is complete.<br />In the <b>#gm_lang[merge_from]#</b> field enter the ID of the record whose information will be merged into the #gm_lang[merge_to]# record.  This record will be deleted after the Merge.</li><br /><li>You select what facts you want to keep from the two records when they are merged.  Just click the checkboxes next to the ones you want to keep.</li><br /><li>You inspect the results of the merge, just like with all other changes made online.</li></ol>Someone with Accept rights will have to authorize your changes to make them permanent.</li></ul><br />"
"help_reportengine.php";"~REPORTS~<br />The items in the reports menu will generate PDF files for printing.<br /><br />The first step is to choose a report to run.  After you have selected a report to run, you will be asked to provide some information specific to that report, such as which individual or family to start with and whether or not to show photos.  When you are ready to run the report, click the <b>#gm_lang[download_report]#</b> button to download the report to your computer.<br /><br /><br />#gm_lang[help_xml_reports]#<br />#gm_lang[def_pdf_format_help]#<br />#gm_lang[help_ahnentafel.xml]#<br />#gm_lang[help_birthlist.xml]#<br />#gm_lang[help_relativelist.xml]#"
"help_ahnentafel.xml";"~#gm_lang[ahnentafel_report]#~<br />This is a report of the selected person and his ancestors, printed in booklet format.  It starts with the first person and then continues with his or her parents, grand-parents, etc.<br /><br />Note that the ahnentafel report is only available in English at this time.<br /><br />"
"help_birthlist.xml";"~#gm_lang[birth_report]#~<br />With this report you can list all of the people who were born at a certain time or place.<br /><br />"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />This report will list all of the relatives of the selected individual.  You can choose which of the person's relatives to show on the report.<ul><li><b>#gm_lang[child-family]#</b> will show the selected person, his parents, and his brothers and sisters.</li><li><b>#gm_lang[spouse-family]#</b> will list the person with his or her spouses and their children.</li><li><b>#gm_lang[direct-ancestors]#</b> will list the person, his parents, grand-parents, great-grand-parents, and continue up the tree listing all of the people who are parents in the person's lineage.</li><li><b>#gm_lang[ancestors]#</b> will list all of the people from the #gm_lang[direct-ancestors]# list but also include aunts and uncles and great-aunts and great-uncles, so it will include the siblings of all of the ancestors in this person's family tree.  It will not list the children of the siblings (cousins).</li><li><b>#gm_lang[descendants]#</b> will list all of this person's descendants (children, grand-children, great-grand children, etc).</li><li><b>#gm_lang[all]#</b> this option is a combination of the #gm_lang[descendants]# and the #gm_lang[ancestors]# in a single report.</li></ul><br /><br />"
"help_xml_reports";"~Reporting Engine~<br />The Genmod Reporting Engine uses XML template files to automatically generate PDF reports.<br /><br />The reports available in the <b>#gm_lang[select_report]#</b> list are generated from the report XML files found in the "reports" directory.  You can create your own reports by making a copy of any of the templates provided and modifying the template XML.  To add your custom report, just put it in the "reports" directory and Genmod will automatically detect it and make it available in the <b>#gm_lang[select_report]#</b> drop-down list.<br /><br />"
"help_contents_gedcom_info";"GEDCOM info"
"help_contents_gedcom_places";"Places in the GEDCOM"
"help_repolist.php";"~#gm_lang[repo_list]#~<br /><br />A list of repositories is displayed on this page.<br /><br />The names of the repositories are sorted into alphabetical order.<br /><br /><b>REPOSITORIES</b><br />Without repositories we cannot build our database. There is a source for all information stored in the database, and that source is kept in a repository. Repositories can be the personal archive of a person, an institution, a public database, a government or church records office, an Internet resource, etc. To get access to a source we will want to know where and in what place it is. All necessary information to find a source should be stored in the Repository record.<br /><br />A repository can be linked to many sources.<br /><br />"
"help_repo.php";"~#gm_lang[repo_info]#~<br /><br />The details of the Repository are displayed here. Together with Sources, Repositories are very important to genealogical researchers.  With accurate Source and Repository information, you can follow the trail another researcher used to find the information.  You should be able to find that same information again.<br /><br />On this page you may see information about the Repository's title, address, email and webpage.<br /><br />After the repository details, will be a list of all sources that are linked to this repository. This allows you to see all of the information that was obtained from a particular repository.<br /><br />If enabled by the site admin, you will have one or two more menu icons on this page:<br /><b>#gm_lang[view_gedcom]#</b>, which shows the information in GEDCOM format.<br /><b>#gm_lang[add_to_cart]#</b>, which enables you to store this information in your #gm_lang[clip_cart]#. From there you can download the information in GEDCOM file format and import it into your own genealogy program.<br /><br />#gm_lang[context_help]#<br /><br />"
"block_default_index";"~Default blocks on #gm_lang[welcome]# page~<br /><br />When you remove all entries from the #gm_lang[main_section]# and #gm_lang[right_section]# lists, or when you click the <b>#gm_lang[reset_default_blocks]#</b> button, the block list will be set as follows:<br /><br /><center><table border="1"><tr><td class="list_value"><b>#gm_lang[main_section]#</b></td><td class="list_value"><b>#gm_lang[right_section]#</b></td></tr><td>#gm_lang[gedcom_stats_block]#<br />#gm_lang[gedcom_news_block]#<br />#gm_lang[gedcom_favorites_block]#<br />#gm_lang[review_changes_block]#</td><td>#gm_lang[gedcom_block]#<br />#gm_lang[random_media_block]#<br />#gm_lang[todays_events_block]#<br />#gm_lang[logged_in_users_block]#</td></tr></table></center><br />"
