"ABBREVIATE_CHART_LABELS";"Bezeichnungen in Diagrammen abkürzen"
"help_relationship.php";"~VERWANDTSCHAFTSBERECHNUNGS-SEITE~<br /><br />Auf dieser Seite kann der Verwandtschafts-Grad zwischen 2 Personen dargestellt werden.<br />Dies bedeutet nicht, dass die Personen direkte Blutsverwandtschaft haben müssen.<br />Jegliche Verwandtschaft wird gefunden."
"help_reportengine.php";"~BERICHTE~<br />Die GM Bericht-Routine nutzt Vorlage-Dateien im XML-Format, um automatisch PDF-Berichte zu erstellen. Zunächst müssen Sie den gewünschten Bericht auswählen. Die Liste der verfügbaren Berichte wird aus den vorhandenen Berichtsvorlagen im "reports"-Verzeichnis generiert. Sobald Sie einen Bericht ausgewählt haben, werden noch berichtspezifische Parameter abgefragt, z.B. welche Person oder Familie die Basis für den Bericht bilden soll oder ob Fotos angezeigt werden sollen oder nicht. Anschließend klicken Sie auf den Button "#gm_lang[download_report]#", um den Bericht auf Ihren Rechner herunterzuladen.<br /><br />Sie können eigene Berichte erstellen, indem Sie eine bestehende Vorlage kopieren und den XML-Code anpassen. Um die so erstellte Vorlage zur Auswahl hinzuzufügen, speichern Sie die Datei im "reports"-Verzeichnis, dann wird GM die Datei finden und automatisch zur Berichts-Auswahlliste hinzufügen."
"help_search.php";"~Die SUCH-SEITE~<br /><br />Obwohl diese Seite sehr einfach aussieht, arbeitet Sie mit einem vielseitigen Such-Algorithmus.<br /><br />Die meisten Genealogie-Webseiten ermöglichen nur eine einfache (Nach-)Namen-Suche.<br />Auf dieser Seite können Sie praktisch nach allem suchen.<br /><br />Das Such-Feld auf der linken Seite ist das gleiche wie im Seitenkopf.<br /><br />Wenn Sie nach Personen in Verbindung mit einer bestimmten Jahreszahl suchen, geben Sie nur das Jahr ein. Das Programm wird alle Verbindungen finden.<br /><br />Suchen Sie einen Namen oder einen Ort ?<br />Geben Sie den Namen oder den Ort -vollständing oder teilweise- ein, und das Programm erledigt den Rest.<br /><br />SOUNDEX (Phonetische) Suche<br />Mit diesen Such-Feldern auf der rechten Seite, können Sie nach Namen von Personen oder Orten suchen, auch wenn Sie die genaue Schreibweise nicht kennen.<br /><br />Sie finden weitere Hilfe, wenn Sie auf die Fragezeichen an den Feldern klicken.<br /><br />"
"help_source.php";"~QUELLEN DETAIL SEITE~<br /><br />Auf dieser Seite werden die Details einer Quelle angezeigt. Quellenangaben sind für Genealogen sehr wichtig und helfen die Ergebnisse von anderen Forschern nachzuvollziehen.<br />Auf dieser Seite finden Sie Informationen über den Namen der Quelle(n), deren Autor, Veröffentlichung und dem Archiv/Ort, wo diese Quelle gefunden wurde. Da es sehr viele verschiedener Arten von Quellen gibt, finden Sie eventuell unterschiedliche Mengen von Angaben vor.<br /><br />Wenn zu einem Multimedia-Objekt eine Quelle angegeben ist (z.B. Scan eines Dokuments), gelangen Sie zu einer größeren Ansicht, indem Sie auf das Objekt oder den Dateinamen daneben klicken.<br /><br />Im Anschluss an die Quellen-Details wird eine Liste angezeigt, die Personen und Familien enthält, die mit dieser Quelle verknüpft sind. So finden Sie alle Informationen, die dieser einen Quelle entnommen sind.<br /><br />Eventuell werden ein oder zwei zusätzliche Symbole angezeigt, je nach Konfiguration durch den Administrator:<br /><b>GEDCOM-Datensatz anzeigen</b> - was die Daten im GEDCOM-Format anzeigt.<br /><b>Datensatz dem Sammelbehälter hinzufügen</b> - was ihnen erlaubt die Dateien in Ihrem Sammelbehälter zu speichern. Diesen "Behälter" können Sie später herunterladen und die Daten in ihre eigene GEDCOM-Datei einfügen.<br /><br />Weitere Hilfe erhalten Sie, wenn Sie auf die "<b>?</b>" klicken."
"help_sourcelist.php";"~QUELLEN SEITE~<br /><br />Auf dieser Seite wird eine Liste aller Quellen angezeigt.<br />Anders als bei der Personen- und Familien-Seite gibt es keinen Alphabet-Index auf dieser Seite. Da die Quellen sowohl Personen mit unterschiedlichen Namen als auch öffentliche Datenbanken oder Institute sein können, würde eine alphabetische Unter-Gruppierung nicht viel Sinn machen.<br />Die Namen erscheinen in der gleichen alphabetischen Reihenfolge wie sie in der GEDCOM-Datei gespeichert sind.<br /><br /><b>QUELLEN</b><br />Ohne Quellen könnte man keine Genealogie betreiben. Für jede Information in der Datenbank gibt es eine Quelle. Dies kann eine Person, ein Amt oder z.B. eine öffentliche Datenbank sein.<br />Eine Quelle kann mit vielen Personen verknüpft sein. Andererseits kann eine Person auch mit mehreren Quellen verknüpft sein. Sie können mehrere Quellen für ein Ereignis haben, gleich ob es ein Geburtstag, ein Beruf, eine Hochzeit etc. ist."
"help_timeline.php";"~LEBENSSPANNENANZEIGE~<br /><br />Auf dieser Seite können Sie eine odere mehrere Personen auf einer Zeitleiste darstellen.<br />So können Sie zum Beispiel veranschaulichen wie alt Personen oder deren Verwandte an bestimmten Stationen ihres Lebens waren."
"help_uploadmedia.php";"~MULTIMEDIA-DATEIEN HOCHLADEN~<br /><br />Das Hochladen der Dateien ist einfach, hier aber ein paar Zusatzinformationen.<br /><br /><b>Thumbnails</b><br />Thumbnails sollten ungefährt 100 Pixel breit sein.<br />Der Dateiname muss der selbe sein, wie der des Original-Bildes.<br /><br /><b>Hochladen</b><br />Die Dateien werden automatisch in das Verzeichnis ../media hochgeladen, wenn es sich um Originale handelt und in das Verzeichnis ../media/thumbs/ bei thumbnails.<br /><br />#gm_lang[readme_help]#"
"hidden";"Verborgen"
"hide";"Verbergen"
"hide_block_warn";"Wenn Sie einen leeren Block verbergen, können Sie seine Konfiguration erst dann wieder ändern, wenn er wieder sichtbar wird, weil er nicht mehr leer ist!"
"hide_changes";"Hier klicken, um die Änderungen zu verbergen."
"hide_details";"Details verbergen"
"hide_translated";"Übersetzte verstecken"
"highlighted";"Hervorgehobenes Bild"
"hijri";"Hijri"
"hit_count";"Besucher-Zähler:"
"hourglass_chart";"Sanduhr-Diagramm"
"html_block_descr";"Mit diesem standard HTML Block können Sie einen beliebigen Text auf Ihrer Seite einfügen."
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>Titel hier eingeben</b></p><br /><p>Klicken Sie auf Konfigurieren"
"html_block_sample_part2";"um diesen Text hier zu ändern.</p>"
"html_reports";"HTML Berichte"
"husband";"Ehemann"
"id";"Identifikationsnummer (ID)"
"illegal_chars";"Unzulässige Zeichen im Namen"
"image_size";"Bildgröße"
"import_complete";"Import komplett"
"import_gedcom";"Diese GEDCOM-Datei importieren"
"import_marr_names";"Heirats-Namen importieren"
"import_multiple";"Importieren und Weiterarbeiten mit mehreren GEDCOM-Dateien"
"import_progress";"Import Fortschritt..."
"importing_dates";"Datumsangaben importieren"
"importing_places";"Ortsangaben importieren"
"importing_records";"Importiere Datensätze in Datenbank"
"in_this_month";"In diesem Monat in Ihrer Chronik..."
"in_this_year";"In diesem Jahr in Ihrer Chronik..."
"inc_languages";"Sprachen"
"index_complete";"Index komplett."
"index_edit_advice";"Markieren Sie den Namen eines Blockes und klicken Sie auf eines der Pfeil-Symbole, um den markierten Block in die gewünschte Richtung zu bewegen."
"index_header";"Stammbaum"
"indi_complete";"Update der Personen-Index-Datei ist komplett."
"indi_downloaded_from";"Daten der Person wurden geladen von:"
"indi_info";"Persönliche Informationen"
"indis_charts";"Optionen für Personen"
"indis_with_surname";"Personen mit dem Nachnamen #surname#"
"individual_list";"Personen Liste"
"individual_list_report";"Personen-Liste Bericht"
"individual_report";"Personenbericht"
"individuals";"Personen"
"informant";"Informant"
"inject_media_tool";"Multimedia-Objekt zur GEDCOM-Datei hinzufügen"
"int";"interpretiert"
"invalid_dates";"Ungültige Datums-Formate entdeckt. Diese werden bei der Korrektur in das übliche englische Format DD MMM YYYY (z.B. 1 JAN 2004) geändert."
"invalid_email";"Bitte geben Sie eine gültige E-Mail-Adresse ein."
"invalid_gedformat";"Format entspricht nicht dem GEDCOM 5.5 Standard"
"invalid_header";"In der Datei wurden noch Zeilen vor dem GEDCOM-Header <b>0 HEAD</n> entdeckt. Beim Korrigieren werden diese Zeilen gelöscht."
"invalid_id";"Diese ID existiert nicht in der GEDCOM-Datei."
"invalid_search_input";"Bitte geben Sie einen Vor-, Nachnamen oder einen Ort zusätzlich zur Jahresangabe an"
"invalid_username";"Der Benutzername enthält unzulässige Zeichen"
"is_alive_in";"Lebte noch #YEAR#"
"item_with_id";"Ausschnitt von ID"
"jan";"Januar"
"jewish";"Jüdisch"
"jewish_and_gregorian";"Jüdisch and Gregorianisch"
"jul";"Juli"
"julian";"Julianisch"
"jun";"Juni"
"just_family";"Nur den Familiendatensatz dieser Familie hinzufügen."
"just_person";"Nur den Datensatz dieser Person hinzufügen."
"landscape";"Querformat"
"lang_back";"Zurück zum Hauptmenu, um die Sprach-Dateien zu bearbeiten und zu konfigurieren"
"lang_back_admin";"Zurück zum Verwaltungsmenü"
"lang_back_manage_gedcoms";"Zurück zum GEDCOM Management Menü"
"lang_config_write_error";"Fehler beim Versuch, die Spracheinstellungen in die Datei [language_settings.php] zu schreiben. Prüfen Sie die Zugriffsrechte und probieren Sie es erneut."
"lang_edit";"Bearbeiten"
"lang_file_write_error";"F E H L E R !!!<br /><br />Die Änderungen können nicht in die gewählte Sprachdatei geschrieben werden!<br />Prüfen Sie die Schreibrechte für (#lang_filename#)."
"lang_langcode";"Sprachen Kenncodes"
"lang_language";"Sprache"
"lang_name_arabic";"Arabisch"
"lang_name_chinese";"Chinesisch"
"lang_name_czech";"Tschechisch"
"lang_name_danish";"Dänisch"
"lang_name_dutch";"Holländisch"
"lang_name_english";"Englisch"
"lang_name_finnish";"Finnisch"
"lang_name_french";"Französisch"
"lang_name_german";"Deutsch"
"lang_name_greek";"Griechisch"
"lang_name_hebrew";"Hebräisch"
"lang_name_hungarian";"Ungarisch"
"lang_name_italian";"Italienisch"
"lang_name_norwegian";"Norwegisch"
"lang_name_polish";"Polnisch"
"lang_name_portuguese";"Portugiesisch"
"lang_name_portuguese_br";"Portugiesisch (Brasilien)"
"lang_name_russian";"Russisch"
"lang_name_spanish";"Spanisch"
"lang_name_spanish_ar";"Spanisch (Latein-Amerika)"
"lang_name_swedish";"Schwedisch"
"lang_name_turkish";"Türkisch"
"lang_new_language";"Neue Sprache"
"lang_save";"Speichern"
"lang_set_file_read_error";"F E H L E R !!! Die Datei [language_settings.php] konnte nicht gelesen werden!"
"lang_shortcut";"Abkürzung für Sprachdateien"
"language_to_edit";"Zu bearbeitende Sprache"
"language_to_export";"Zu exportierende Sprache"
"last_login";"Letzte Anmeldung"
"lastname_search";"Nachname"
"launch_media_tool";"Klicken Sie hier, um das Multimedia-Hinzufügen Tool zu nutzen."
"lds_sealing";"HLT Siegelung:"
"leave_blank";"Passwort leer lassen, um das aktuelle Passwort beizubehalten."
"line_up_generations";"Personen gleicher Generation auf einer Höhe darstellen"
"link_media";"Multimedia-Objekt verknüpfen"
"link_media_records";"Multimedia-Dateien mit Personen verknüpfen"
"list_children";"Alle Kinder nach Geburtsdatum geordnet anzeigen."
"listing";"Eintragung"
"lists";"Listen"
"living";"Lebt"
"living_only";"Lebende Personen"
"living_or_all";"Nur Ereignisse von lebenden Personen anzeigen?"
"locked";"nicht verändern!"
"lodger";"Mitbewohner"
"logfile_content";"Inhalt der Logdatei"
"logged_in_as";"Angemeldet als"
"logged_in_users_block";"Angemeldete Benutzer"
"logged_in_users_descr";"Der Block "Angemeldete Benutzer" zeigt eine Liste der Personen, die derzeit auf dieser Seite angemeldet sind."
"login_aut";"Benutzereinstellungen bearbeiten"
"login_descr";"Der "Login"-Block ermöglicht Benutzern das Anmelden auf dieser Seite."
"login_head";"Genmod Benutzer Anmeldung"
"login_user";"1 angemeldeter Benutzer"
"login_users";"#gm_lang[global_num1]# angemeldete Benutzer"
"logout";"Logout"
"lost_password";"Haben Sie Ihr Passwort verloren?"
"lost_pw_reset";"Passwort neu anfordern"
"ltr";"Links nach rechts"
"macfile_detected";"Macintosh-Datei erkannt. Beim Korrigieren wird Ihre Datei ins DOS-Format konvertiert."
"magnify";"Vergrößern"
"mail01_line01";"Hallo #user_fullname# ..."
"mail01_line02";"Auf der Website ( #SERVER_NAME# ) wurde ein Benutzerantrag mit Ihrer E-Mail-Adresse ( #user_email# ) gestellt."
"mail01_line03";"Informationen zu der Anfrage können Sie unter dem untenstehenden Link abrufen."
"mail01_line04";"Bitte klicken Sie nun auf den folgenden Link und geben die dort geforderten Daten ein, um Ihre Anmeldung und Ihre E-Mail-Adresse zu bestätigen."
"mail01_line05";"Falls Sie keinen Zugang beantragt haben, können Sie diese Mail einfach löschen."
"mail01_line06";"Sie werden keine weitere Mail mehr erhalten, da ohne Verifizierung die angegebenen Daten nach einer Woche automatisch gelöscht werden."
"mail01_subject";"Ihre Anmeldung bei #SERVER_NAME#"
"mail02_line01";"Hallo Administrator ..."
"mail02_line02";"Eine neuer Benutzer hat sich auf der Website ( #SERVER_NAME# ) angemeldet."
"mail02_line03";"Der Benutzer hat eine E-Mail mit den zur Verifizierung notwendigen Informationen erhalten."
"mail02_line04";"Sobald diese Verifikation erfolgt ist, werden Sie erneut benachrichtigt und aufgefordert, diese Person freizuschalten. Der Benutzer kann sich auf der Seite solange nicht anmelden, bis Sie seinen Zugang aktivieren."
"mail02_line04a";"Sobald diese Verifikation erfolgt ist, werden Sie erneut benachrichtigt. Der Benutzer kann sich ab dem Zeitpunkt seiner Verifikation auf der Seite anmelden, ohne dass Sie weitere Schritte unternehmen müssen."
"mail02_subject";"Neue Anmeldung bei #SERVER_NAME#"
"mail03_line01";"Hallo Administrator ..."
"mail03_line02";"#newuser[username]# ( #newuser[fullname]# ) hat die Registrierungsdaten verifiziert."
"mail03_line03";"Bitte klicken Sie jetzt auf den unten stehenden Link und loggen sich ein. Sie müssen die Daten dieses Benutzers editieren, damit dieser sich einloggen kann."
"mail03_line03a";"Der Benutzer kann sich jetzt anmelden; Sie müssen nichts weiter unternehmen."
"mail03_subject";"Neue Verifizierung bei #SERVER_NAME#"
"mail04_line01";"Hallo #user_fullname#..."
"mail04_line02";"Für ihren Benutzernamen wurde ein neues Passwort angefordert."
"mail04_line03";"Empfehlung:"
"mail04_line04";"Bitte klicken Sie jetzt auf den unten stehenden Link oder kopieren Sie ihn in die Adresszeile Ihres Browsers, loggen sich mit dem neuen Passwort ein und ändern Sie es umgehend aus Datenschutzgründen."
"mail04_subject";"Datenanforderung bei #SERVER_NAME#"
"mailto";"E-Mail Verknüpfung"
"main_section";"Blöcke im Hauptbereich"
"make_slklist";"EXCEL (SLK) Liste erstellen"
"male";"männlich"
"manage_gedcoms";"GEDCOM-Dateien und Datenschutz-Einstellungen verwalten"
"manage_media";"Multimedia-Objekte verwalten"
"manage_media_files";"Multimedia-Dateien verwalten"
"mar";"März"
"marr_name_import_instr";"Klicken Sie auf diesen Button, wenn Genmod die Heirats-Namen von weiblichen Personen in dieser GEDCOM-Datei ermitteln soll. Dann können Sie Ehefrauen auch nach ihren Heirats-Namen suchen oder auflisten lassen."
"marriage";"Heirat:"
"marriage_license";"Ehe Erlaubnis:"
"max_generation";"Die maximale Anzahl von Generationen beträgt #PEDIGREE_GENERATIONS#."
"max_upload_size";"Maximale Größe zum Hochladen: "
"may";"Mai"
"maybe";"Möglicherweise "
"media";"Multimedia"
"media_drive_letter";"Der Pfad zur Media-Datei sollte keinen Laufwerksbuchstaben enthalten. Diese Datei kann sonst eventuell nicht angezeigt werden."
"media_file";"Multimedia-Datei"
"media_files";"Multimedia-Dateien, welche zu den Datensätzen dieser GEDCOM-Datei gehören:"
"media_found";"Multimedia Objekt(e) gefunden"
"media_id";"Multimedia-ID"
"media_list";"Multimedia Liste"
"media_object";"Multimedia Objekt"
"media_table_created";"Die <i>Multimedia</i>-Tabelle wurde erfolgreich erstellt."
"medialist_show";"Zeige"
"menu";"Menü"
"merge_facts_same";"Die folgenden Fakten waren identisch in beiden Datensätzen und werden automatisch zusammengeführt."
"merge_from";"Zusammenführen von ID:"
"merge_more";"Weitere Datensätze zusammenführen."
"merge_records";"Datensätze zusammenführen"
"merge_same";"Die Datensätze sind nicht vom gleichen Typ und können daher nicht zusammengeführt werden."
"merge_step1";"Zusammenführen Schritt 1 von 3"
"merge_step2";"Zusammenführen Schritt 2 von 3"
"merge_step3";"Zusammenführen Schritt 3 von 3"
"merge_to";"Zusammenführen zu ID:"
"message";"Nachricht senden"
"message_body";"Text:"
"message_deleted";"Nachricht gelöscht"
"message_email1";"Die folgende Nachricht wurde an Ihr Genmod Benutzer-Postfach gesendet von "
"message_email2";"Sie haben die folgende Nachricht an einen Genmod Benutzer gesendet:"
"message_email3";"Sie haben die folgende Nachricht an einen Genmod Administrator gesendet:"
"message_empty_warning";"-&gt; Achtung!!! Diese Nachricht ist in der Datei [#LANGUAGE_FILE#] leer &lt;-"
"message_from";"E-Mail Adresse:"
"message_from_name";"Ihr Name:"
"message_instructions";"<b>Bitte beachten:</b> Private Informationen von lebenden Personen werden nur Familienangehörigen und nahen Freunden zugänglich gemacht. Bevor Sie irgendwelche persönlichen Daten ansehen können, müssen Sie Ihren Verwandtschaftsgrad belegen. Es kann auch vorkommen, dass bestimmte Daten von bereits verstorbenen Personen privat sind. Dies kann der Fall sein, wenn nicht genügend Informationen vorhanden sind, um sicher zu belegen, ob die Person noch lebt oder verstorben ist.<br /><br />Bevor Sie Fragen stellen, überprüfen Sie bitte, dass Sie über die von Ihnen gesuchte Person fragen, indem Sie Orte, Zeitangaben und Verwandte prüfen. Falls Sie Änderungen der genealogischen Daten übermitteln, geben Sie bitte auch die Quelle an, von der Sie Ihre Informationen bezogen haben.<br /><br />"
"message_sent";"Nachricht gesendet"
"message_subject";"Betreff:"
"message_to";"An:"
"message_to_edit";"Zu ändernder Inhalt"
"messaging";"Interne Nachrichten-Funktion von Genmod"
"messaging2";"Interne Nachrichten-Funktion und E-Mail Verknüpfung"
"messaging3";"Genmod sendet E-Mails ohne sie zu speichern"
"meta_conf";"Konfiguration META Tags"
"mgv";"MeinGedView"
"min_generation";"Die minimale Anzahl von Generationen beträgt 3."
"monday";"Montag"
"month";"Monat:"
"month_before_day";"Monat vor Tag (MM DD YYYY)"
"monthly";"Monatlich"
"more_information";"Für weitere Informationen wenden Sie sich an folgende E-Mail Adresse:"
"mother";"Mutter"
"mothers_family_with";"Familie der Mutter mit "
"mousedown";"Bei "Mouse Down""
"mouseover";"Bei "Mouse Over""
"move_down";"nach unten"
"move_left";"nach links"
"move_right";"nach rechts"
"move_to";"Verschieben nach -->"
"move_up";"nach oben"
"multi_title";"Liste der Multimedia Objekte"
"must_provide";"Bitte eingeben:"
"my_favorites";"Meine Lesezeichen"
"my_indi";"Mein Datenblatt"
"my_journal";"Mein Journal"
"my_messages";"Meine Nachrichten"
"my_pedigree";"Mein Stammbaum"
"mygedview";"Mein GedView Portal"
"mygedview_desc";"Dieses Portal ermöglicht Ihnen das Anlegen von Lesezeichen zu bevorzugten Personen, Überwachen bevorstehender Ereignisse und die Zusammenarbeit mit anderen Genmod Benutzern."
"mysql";"MySQL"
"myuserdata";"Meine Benutzerdaten"
"name";"Name"
"name_contains";"Name enthält:"
"name_description";"Name / Beschreibung"
"name_of_fact";"Ereignis-Bezeichnung"
"name_reverse";"Nachname zuerst"
"never";"Nie"
"new_gedcom_title";"Genealogische Daten aus [#GEDCOMFILE#]"
"new_language";"Referenz-Sprache"
"new_repo_created";"neues Archiv erstellt"
"new_source_created";"Neue Quelle erfolgreich erstellt."
"news_saved";"Der Neuigkeiten/Journal-Eintrag wurde erfolgreich gespeichert."
"next";"Nächste Seite &gt;"
"next_path";"Nächsten Pfad suchen"
"no";"Nein"
"no_account_yet";"Haben Sie noch keine Benutzerdaten?"
"no_additions";"Keine Ergänzungen"
"no_changes";"Es liegen derzeit keine Änderungen zur Überprüfung vor."
"no_children";"keine Kinder eingetragen"
"no_content";"kein Inhalt"
"no_events_all";"In den nächsten #gm_lang[global_num1]# Tagen stehen keine Ereignisse bevor."
"no_events_all1";"Für morgen stehen keine Ereignisse bevor."
"no_events_living";"Für die nächsten #gm_lang[global_num1]# Tage stehen keine Ereignisse für lebende Personen bevor."
"no_events_living1";"Für morgen stehen keine Ereignisse für lebende Personen bevor."
"no_events_privacy";"Für die nächsten #gm_lang[global_num1]# Tage stehen zwar Ereignisse bevor aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"no_events_privacy1";"Für morgen stehen zwar Ereignisse bevor aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"no_favorites";"Sie haben noch keine Lesezeichen gesetzt. Dies können Sie tun, indem Sie in der Detailansicht einer Person auf den <b>Lesezeichen hinzufügen</b>-Button klicken, oder indem Sie die folgende ID-Box benutzen."
"no_gedcom_favorites";"Derzeit sind keine Lesezeichen angelegt. Der Administrator kann Lesezeichen einrichten, die Ihnen hier angezeigt werden."
"no_journal";"Sie haben noch keine Journal-Einträge angelegt."
"no_link_found";"Keine (weitere) Verbindung zwischen den beiden Personen gefunden."
"no_login";"Kann Benutzer nicht verifizieren."
"no_login_users";"Keine angemeldeten oder anonymen Benutzer"
"no_logs";"Logging deaktivieren"
"no_matches_found";"Keine übereinstimmenden Fakten gefunden"
"no_messages";"Keine neuen Nachrichten."
"no_messaging";"keine Nachrichten-Funktion"
"no_news";"Es sind keine Neuigkeiten eingetragen."
"no_open";"F E H L E R !!!<br /><br />Die Datei #lang_filename# kann nicht geöffnet werden."
"no_results";"Keine Ergebnisse gefunden"
"no_subtractions";"Keine entfernten Teile"
"no_tab1";"Zu dieser Person gibt es keine Fakten."
"no_tab2";"Zu dieser Person gibt es keine Notizen."
"no_tab3";"Zu dieser Person gibt es keine Quellenangaben."
"no_tab4";"Zu dieser Person gibt es keine Multimedia-Objekte."
"no_tab5";"Zu dieser Person gibt es keine direkte Verwandschaft."
"no_tab6";"Zu dieser Person gibt es keine Forschungs-Protokolle."
"no_temple";"Kein Tempel - Ordinanz zu Lebzeiten"
"no_thumb_dir";"Thumbnail-Verzeichnis existiert nicht und konnte auch nicht erstellt werden."
"no_to_user";"Bitte Empfänger angeben."
"no_upload";"Multimedia-Dateien können nicht hochgeladen werden, weil Multimedia-Objekte deaktiviert wurden oder weil für das Verzeichnis keine Schreibrechte bestehen."
"none";"Keine"
"none_today_all";"Am heutigen Tag gibt es keine Ereignisse."
"none_today_living";"Am heutigen Tag gibt es keine Ereignisse für lebende Personen."
"none_today_privacy";"Am heutigen Tag gibt es zwar Ereignisse aber aus Datenschutz-Gründen können diese nicht angezeigt werden."
"not_an_array";"keine Reihe (Array)"
"not_writable";"Die Konfiguration lässt sich nicht speichern. Mit dem Download-Button können Sie Ihre Einstellungen in eine Datei speichern, die Sie anschließend manuell hochladen müssen."
"note";"Notiz"
"notes";"Notizen"
"notes_sources_media";"Notizen, Quellen und Multimedia-Dateien"
"nov";"November"
"now_import";"Sie sollten jetzt den Import der GEDCOM-Daten in Genmod starten, indem Sie auf den Import-Button klicken."
"num_to_show";"Anzahl der anzuzeigenden Objekte"
"nurse";"Kindermädchen"
"object_note";"Objekt-Notiz:"
"oct";"Oktober"
"of";"von"
"old_language";"Zweite Sprache"
"oldest_top";"Älteste zuoberst"
"on_this_day";"An diesem Tag in Ihrer Chronik..."
"optional";"Optionale Tools"
"optional_tools";"Sie können folgende optionale Tools vor dem Import anwenden."
"options";"Optionen:"
"order";"Reihenfolge"
"original_lang_name";"Original-Name der Sprache auf #D_LANGNAME#"
"original_message";"Original Inhalt"
"other";"Übrige"
"other_records";"Datensätze, die auf diese Quelle verweisen:"
"other_repo_records";"Datensätze, die auf dieses Archiv verweisen:"
"other_theme";"Anderes Darstellungsthema. Bitte Verzeichnis eingeben."
"page";"Seite"
"parents";"Eltern:"
"parents_and_child";"Den Familiendatensatz, den der Eltern und die der Kinder dieser Familie hinzufügen."
"parents_and_family";"Den Familiendatensatz und die Datensätze der Eltern dieser Familie hinzufügen."
"parents_desc";"Den Familiendatensatz, die Datensätze der Eltern und die ihrer gesamten Nachkommen hinzufügen."
"parents_timeline";"Ehepaar in<br />Lebensspannen-Ansicht zeigen"
"password";"Passwort"
"password_mismatch";"Passwörter stimmen nicht überein."
"passwordlength";"Das Passwort muss mindestens 6 Zeichen lang sein."
"paste_id_into_field";"Fügen Sie die folgende Quellen-Identifikation in das jeweilige Eingabefeld ein, um auf diese Quelle zu verweisen: "
"paste_person";"Person einfügen"
"paste_rid_into_field";"Fügen Sie die folgende Archiv-ID ein, um auf dieses Archiv zu verweisen "
"path_to_gedcom";"Geben Sie den Pfad zu Ihrer GEDCOM-Datei ein:"
"patriarch_list";"Liste der Spitzenahnen"
"pdf_reports";"PDF Berichte"
"pedigree_chart";"Stammbaum"
"people";"PERSONEN"
"per_page";"Objekte pro Seite"
"performing_update";"Update wird durchgeführt."
"performing_validation";"GEDCOM-Überprüfung wird durchgeführt, bitte wählen Sie die gewünschten Optionen und klicken Sie auf <b>Korrigieren</b>"
"person1";"Person 1:"
"person2";"Person 2:"
"person_ancestor_fams";"Den Datensatz dieser Person, die seiner direkten Vorfahren und die Datensätze derer Familien hinzufügen."
"person_ancestors";"Den Datensatz dieser Person und die seiner direkten Vorfahren hinzufügen."
"person_desc";"Den Datensatz dieser Person, den seines Ehepartners und die aller seiner Nachfahren hinzufügen."
"person_links";"Links zu Diagrammen, Familien und nahen Verwandten dieser Person. Klicken Sie auf dieses Symbol, um die Seite mit dieser Person als Ausgangspunkt aufzurufen."
"person_list";"Liste der Personen:"
"person_living";"Diese Person ist am Leben. Persönliche Details werden nicht eingefügt."
"person_parents_sibs";"Den Datensatz dieser Person, die seiner Eltern und seiner Geschwister hinzufügen."
"person_private";"Details dieser Person sind vertraulich. Persönliche Details werden nicht eingefügt."
"person_spouse";"Den Datensatz dieser Person, den seines Ehepartners und die seiner Kinder hinzufügen."
"personal_facts";"Persönliche Fakten und Details"
"phone";"Telefon:"
"photo_replace";"Möchten Sie ein älteres Foto durch dieses ersetzen?"
"phpinfo";"PHP Informationen"
"place_cleanup_detected";"Ungültige Orts-Angaben entdeckt. Diese Fehler sollten behoben werden. Hier ein Beispiel von einer ungültigen Ortsangabe, die entdeckt wurde:"
"place_contains";"Ort enthält:"
"place_description";"Ort / Beschreibung"
"place_list";"Liste der Orte"
"place_list2";"Ortsliste"
"place_list_aft";"Liste der Orte in"
"please_be_patient";"BITTE UM ETWAS GEDULD"
"please_wait";"Einen Moment bitte: Index Dateien werden neu erstellt."
"pls_note06";"Ihnen wird nun eine Bestätigungsmail an die Adresse ( #user_email# ) geschickt. Sie müssen den in der Mail enthaltenen Anweisungen folgen, um ihren Account zu aktivieren. Falls Sie innerhalb von 7 Tagen nicht reagieren, wird Ihre Anfrage automatisch abgewiesen. Sie müssen sich dann erneut anmelden.<br /><br />Wenn Sie den Anweisungen in der Bestätigungs-Mail gefolgt sind, muss der Administrator Ihren Account noch freischalten, bevor Sie ihn benutzen können.<br /><br />Um sich auf dieser Web-Seite anzumelden, benötigen Sie Ihren Benutzernamen und Ihr Passwort.<br /><br />"
"pls_note06a";"Ihnen wird nun eine Bestätigungsmail an die Adresse ( #user_email# ) geschickt. Sie müssen den in der Mail enthaltenen Anweisungen folgen, um ihren Account zu aktivieren. Falls Sie innerhalb von 7 Tagen nicht reagieren, wird Ihre Anfrage automatisch abgewiesen. Sie müssen sich dann erneut anmelden.<br /><br />Wenn Sie den Anweisungen in der Bestätigungs-Mail gefolgt sind, können Sie sich sofort auf dieser Web-Seite anmelden. Dazu benötigen Sie Ihren Benutzernamen und Ihr Passwort.<br /><br />"
"pls_note07";"Bitte geben Sie nun Ihren Benutzernamen, Ihr Passwort und den Verifizierungscode ein, den Sie per E-Mail erhalten haben, um Ihre Anmeldung zu bestätigen."
"pls_note08";"Die Angaben für den Benutzer #user_name# wurden überprüft."
