"ABBREVIATE_CHART_LABELS_help";"~#gm_lang[ABBREVIATE_CHART_LABELS]#~<br /><br /"
"edituser_my_account_help";"Ön ezen az oldalon változtathatja meg a személyes beállításait.<br /><br />Módosíthatja felhasználói nevét, a teljes nevét, jelszavát, az alapértelmezett nyelvet, az e-mail címét, az asztaltémát és a kapcsolattartási módot. <br /><br />Ugyanakkor az Ön azonosítóját, mely a GEDCOM-ban szerepel, nem tudja itt megváltoztatni.<br /><br />"
"edituser_password_help";"~#gm_lang[password]#~<br /><br />Mindeképpen érdemes rendszeresen megváltoztatni a jelszavát.<br />Tartsa szem előtt, hogy aki tudja az Ön felasználói nevét és jelszavát, az hozzáférhet az Ön adataihoz. <br />Válasszon olyan jelszót, mely legalább 6 karakterből áll (minél hosszabb, annál jobb). Használhat minden, a billentyűzeten található karaktert, ugyanakkor érdemes a " (idézőjel) és a ' (aposztróf) alkalmazását kerülni. Általában működnek, viszont egyes esetekben hibához vezethetnek.<br /><br /><b>Érdemes nagybetűk, kisbetűk, számok és egyéb karakterek kombinációjából összeállítani a jelszót, pl. 5Z_q$P4=r9.<br /><br />A felhasználói névhez hasonlóan a jelszó is <b>érzékeny a kis- és nagybetűkre</b>. Így a "Jo5hn" nem egyezik meg a "jo5hn"-nal vagy a "JO5HN"-nal.<br/><br/>"
"edituser_rootid_help";"~#gm_lang[rootid]#~<br /><br />Ez a grafikonok kezdő (első) személyének azonosítója.<br />Tehát ha Ön kiválasztja pl. az Ősfát a menüből, ezt a személyt találja az oldal bal szélén. <br />Természetesen nem kizárólag Ön lehet a kezdő személy, bármely olyan személyt kijelölhet, akinek az adatai publikusak az Ön számára.<br />Egyes grafikonoknál egyedileg is megválaszthatja a kezdő szemléyt, de az csak azokra az oldalakra érvényes.<br />"
"edituser_user_theme_help";"~#gm_lang[user_theme]#~<br /><br />Ezen az oldalon számos asztaltéma áll az Ön rendelkezésre <br />(melyeket egyszerűen hívhatunk az "oldal kinézetének" is). Minden asztaltéma esetében ugyanaz a megjelenített információ, csak Ön más formában láthatja. <br />Ezt hasonlíthatjuk ahhoz, ha egy képet új keretbe, vagy akár új szobába helyezünk, de a kép attól még változatlan marad. <br />Nyugodtan próbálja ki a rendelkezésre álló asztaltémákat, használja azt, amelyik a legjobban tetszik Önnek. <br />Amikor újra bejelentkezik az odalra, a program az Ön kiválasztott asztaltémáját fogja aktiválni.<br />"
"edituser_username_help";"~#gm_lang[username]#~<br /><br />Ebben a mezőben tudja megváltoztatni a felhasználói nevét, ha valamilyen okból nem szeretné a régit továbbra is használni.<br /><br />Kérjük, vegye figyelembe, hogy a felhasználói név <b>érzékeny a kis- és nagybetűkre.case sensitive</b>. Ez azt jelenti, hogy a "János" nem egyezik meg a  "jános"-sal vagy a  "JÁNOS"-sal.<br /><br />Ön <b>kizárólag</b> olyan karaktereket használhat (kis- és nagybetűk illetve számok), melyeket a program támogat.<br /><br />Kérjük, <b>kerülje</b> az írásjelek, szóközök és egyéb, nem támogatott karakterek alkalamazását."
"export_lang_utility_help";"~#gm_lang[export_lang_utility]#~<br /><br />#gm_lang[export_lang_utility_desc]#<br />"
"file_to_edit_help";"~#gm_lang[file_to_edit]#~<br /><br />Ebből a listából választhatja ki azt az állományt, melyet szerkeszteni kíván.<br /><br />A következőkből választhat:<br />lang.xx.php<br />facts.xx.php<br />configure_help.xx.php<br />help_text.xx.php<br />rs_lang.xx.php<br /><br />Az xx helyettesíti az adott nyelv nyelvi kódját, melyet a program automatikusan kiválaszt.<br />Az 'rs_lang.xx.php' csak abban az esetben jelenik meg, amennyiben Ön feltelepítette a 'Research Log' beépülőt.<br/>"
"follow_spouse_help";"~A "HÁZASTÁRSON KERESZTÜLI ROKONSÁG ELLENŐRZÉSE" JELÖLŐNÉGYZETE~<br /><br />Ha Ön ezt a jelölőnégyzetet <b>nem</b> jelöli meg, akkor csak a vérrokonság kerül feltüntetésre.<br />Ha a négyzetet bejelöli, akkor a házastárson keresztüli rokoni kapcsolatokat is megtekintheti.<br/><br/>"
"gedcom_configfile_help";"~GEDCOM KONFIGURÁCIÓS ÁLLOMÁNY~<br /><br />Ebben az állományban tárolódik a GEDCOM-állományokra vonatkozó összes alapvető beállítás.<br /><br />A GEDCOM-állományok adminisztrációs oldalán, a "Konfigurációs állomány" oszlopban találhatja meg az egyes konfigurációs állományok nevét és elérési útját.<br/><br/>"
"gedcom_path_help";"~#gm_lang[gedcom_path]#~<br /><br />Először töltse fel a GEDCOM-állományt a szerverre, a php által elérhető helyre. Ezután adja meg az állomány nevét és eléréséi útját pl. a következők szerint: <b>./index/allomany_neve.ged</b>.<br /><br />Ez a mező beállítja a $GEDCOM változót a config.php állományban.<br /><br />Bővebb információt a <a href="readme.txt">Readme.txt</a> állományban találhat.<br/>"
"gedcom_title_help";"~#gm_lang[gedcom_title]#~<br /><br />Adjon meg egy, a GEDCOM-állományra jellemző nevet, melyet az egyes állományok közötti választáskor látnak a felhasználók.<br/>"
"general_privacy_help";"~#gm_lang[general_privacy]#~<br /><br />Ezek a beállítások lesznek az alap beállítások az egyéni családfánál.<br />Ellenőrizze az oldal fejlécében látható címmel, hogy a megfelelő GEDCOMot szerkeszti-e.<br /><br />Ezt azt is jelenti, hogy ha több GEDCOMja van az oldalon, mindegyikhez külön beállítások rendelehetők.<br /><br />Ezeket a beállításokat felülbírálhatja a Diszkréciós Form-al a #gm_lang[edit_privacy_title]# oldalon.<br />#gm_lang[more_config_help]#"
"global_facts_help";"~#gm_lang[global_facts]#~<br /><br />A 'kifejezés-alapú diszkrécióval' meghatározhatók azok a genealógiai szakkifejezések, melyeket globálisan el kíván rejteni.<br /><br />A ["kifejezés neve"] határozza meg az elrejtendő kifejezést. A ["választás"] elemmel választhat maga a kifejezés illetve a kifejezés részletezése között. A ["hozzáférhet"] elemmel határozhatja meg azok körét, akik láthatják az adott kifejezést.<br /><br />A $global_facts tömb feladata, hogy  bizonyos kifejezéseket minden személyre vonatkozóan elrejtsen függetlenül attól, hogy a személyek élnek vagy elhunytak. Alapbeállításként az SSN-kifejezés van elrejtve minden látogató elől, annak elkerülése érdekében, hogy az Ön rokonainak társadalombiztosítási azonosítójával ne követhessenek el visszaélést (melynek az USÁ-ban nagy jelentősége van).<br /> Ha tehát Ön az összes házasságot el kívánja rejteni a látogatók elől, a következőket kell beállítania: <br /><br />Kifejezés neve: '(MARR) - Házasságok'<br />Választás: 'Kifejezés hozzáférhető'<br />Hozzáférhet: 'Csak regisztrált felhasználók'<br /><br />(...)<br /><br />A többi beállítástól eltérően, ez  esetben lehetőség van arra, hogy az adminisztrátorok elől is elrejtsen bizonyos kifejezéseket, mellyel letilthat minden nem kívánt jellemzőt.<br /><br />Ez a mező beállítja a $global_facts változókat a diszkrét adatkezelés kiválasztott állományában.<br/>"
"header_favorites_help";"~Fejléc: Kedvenceim~<br />A Kedvenceim lenyíló-listája az Ön által a személyes oldalon kiválasztott Kedvenceket tünteti föl. Szintén itt láthatók az oldal adminisztrátora által az aktív GEDCOM-állományból kiválasztott személyeket.<br />Az egyik Kedvencere kattintva közvetlenül elérhető az adott Személyes adatlap.<br />Kedvencek hozzáadásáról további segítséget kaphat az Ön személyes oldalán.<br />"
"header_general_help";"<div class="name_head"><center><b>ÁLTALÁNOS INFORMÁCIÓ</b></center></div><br />"
"header_help";"<div class="name_head"><center><b>FEJLÉC</b></center></div><br />A Fejléc megjelenik minden oldal tetején:<br />számos, az oldalon való navigációt segítő hivatkozást tartalmaz.<br />Mivel az oldal megjelenése a kiválasztott Asztaltéma#gm_lang[redast]# függvényében eltérő lehet, ezek a fejlécet is érinthetik, így a hivatkozások is eltérőek lehetnek.<br />Az itt található hivatkozások a következők:<br />"
"header_lang_select_help";"~Fejléc: Nyelvválasztás~<br />A Genmod egyik legfontosabb szolgáltatása a többnyelvűség támogatása, illetve a nyelvek közötti automatikus - a böngésző-beállítástól függő - választás.<br />Ha ez a választás nem történik meg automatikusan (melyet valószínűleg az "Előnyben részesített nyelv" helytelen böngésző-beállítása okozhatja), Ön módosíthatja az oldal nyelvét a <b>Nyelvválasztás</b> segítségével.<br />A Nyelvválasztás két módon jeleníthető meg:<br />1. Klasszikus  "lenyíló" listában.<br />2. A nemzeti zászlók segítségével.<br />"
"header_search_help";"~Fejléc: Kereső-mező~<br />Amilyen kicsi a kereső-mező, olyan hatékony.<br />Ön majdnem bármilyen keresést elvégezhet a segítségével a Genmod-oldon. Amint Ön a ' <b>&gt;</b>'-ra vagy a <b>Keresés</b> gombra kattint, átirányítjuk a keresés főoldalára, ahol megtekintheti a találati listát.<br />A keresésről annak főoldalán kaphat átfogóbb segítséget.<br />"
"header_user_links_help";"~Fejléc: Felhasználói hivatkozások~<br />A hivatkozások kis csoportja, melyet a felhasználó minden oldalon ugyanott találhat (amíg meg nem változtatja az Asztaltémát).<br />Ha Ön még nem jelentkezett be, kizárólag a  <b>Belépés</b> hivatkozást láthatja.<br />Miután belépett, a következőket találja it:  <b>Bejelentkezve, mint (az Ön neve)</b>. Erre kattintva az Ön felhasználói adataihoz juthat.<br />A <b>Kilépés</b> hivatkozással jelentkezhet ki.<br />Ha Önnek vannak adminisztrátori jogosultságai, akkor szintén itt találja az <b>Adminisztráció</b> hivatkozását. Erre kattintva közvetlenül az Adminisztráció nyitólapjára juthat.<br />"
"help_HS_help";"<dl><dt><b>#gm_lang[hs_title]#</b></dt><dd>#gm_lang[hs_intro]#</dd></dl>"
"help_content_help";"<dl><dt><b>A Segítség tartalomjegyzéke</b></dt><dd>Erre a menüpontra kattintva  Ön megtekintheti egy felugró ablakban az összes fontosabb segítség-elemet. <br />Ez az index a jövőben mind több element fog tartalmazni, mivel a kevésbbé fontos elemek is folyamatosan felvételre kerülnek.</dd></dl>"
"help_faq_help";"<dl><dt><b>GYIK Lista</b></dt><dd>#gm_lang[text_faq_help]#</dd></dl>"
"help_help";"Természetesen az volna a kívánatos, ha olyan programot alkotnánk, mely egyáltalán nem igényel magyarázatot, olyan egyszerű lenne, mint egy könyv olvasása. <br />Annak ellenére, hogy a program meglehetősen bonyolult, a felhasználói felületen Ön ezt általában nem veszi észre, majdnem az összes funkciója minden további magyarázat nélkül használható. <br />Viszont számos olyan látogatónk és felhasználónk van, akik nem túlzottan jártasak a számítógép és az internet használatában, bizonyos helyeken Segítséget kínálunk Önnek.<br />A Segítség menüben a következő elemek találhatók:<br />"
"help_page_help";"<dl><dt><b>Segítség ehhez az oldalhoz</b></dt><dd>Minden oldalhoz elérhető egy általános, "oldalspecifikus segítség".<br />Ha Ön az adott oldalon jár, erre a menüpontra kattintva megtekintheti az oldal tartalmát bemutató "oldalspecifikus segítséget".<br />Az oldalspecifikus segítség az esetek többségében elég rövid. <br />Ha Önnek további tájékoztatásra van szüksége az oldalon található egyik elemről, akkor a Segítség menü harmadik lehetőségét vegye igénybe: a "Környezetérzékeny segítséget".</dd></dl>"
"help_qm_help";"<dl><dt><b>Környezetérzékeny segítség elrejtése / megjelenítése</b></dt><dd>Talán ez a menüpont lehet a leginkább kényelmes Önnek. Erre kattintva ki- és bekapcsolhatja a "Környezetérzékeny segítséget".<br />De mit is takar a "Környezetérzékeny segítség"?<br />Ha bekapcsolja, egy kérdőjelet találhat az egyes hivatkozások, lenyíló listák és gombok jobb oldalán. Ezekre a <b>?</b>-kre kattintva az adott elemről szóló segítség jelenik meg a felugró ablakban.<br />Természetesen a "Környezetérzékeny segítség elrejtése " kiválasztásával a kérdőjelek eltünnek addig, amíg újra erre a menüpontra nem kattint.</dd></dl>"
"hide_translated_help";"~#gm_lang[hide_translated]#~<br /><br />Amennyiben az <b>igen</b>-t választja, csak azokat az üzeneteket fogja látni, amelyeket még nem fordított le, tehát amelyek még nincsnek benne az Ön által választot nylvi állományban.<br />Amint megadott egy fordítást az üzenethez, az rögtön el fog tünni a listából.<br/>"
"how_upgrade_help";"~FRISSÍTŐ ESZKÖZ~<br /> A frissítő eszköz elvégzi a Genmod frissítését az Ön által letöltött újabb verzióra.<br /><br />Letölthetők-e az új verziók?<br />Az új verziót közvetlenül letöltheti a http://sourceforge.net/projects/Genmod/ címről, illetve a keresést elvégeztetheti a frissítő eszközzel is, mely megjeleníti a letölthető állományokat (melyek egyaránt lehetnek .zip vagy .gz állományok)<br /><br />Mit frissíthetek?<br />*Genmod<br />Frissíti a Genmod valamennyi alapállományát, kivéve a config.php, privacy.php és authenticate.php állományokat. Emellett frissíti az /images könyvtár tartalmát is.<br />*Index-állományok<br />Frissíti az /index könyvtár tartalmát. Kérjük, figyelmesen használja ezt a lehetőséget, mivel az a könyvtár tartalmát felülírja<br />*Nyelvek<br />Frissíti a /languages könyvtár tartalmát<br />*Asztali témák<br />Frissíti a /themes könyvtár tartalmát. Kérjük, figyelmesen használja ezt a lehetőséget, mivel minden testreszabott beállítást felülír.<br />*Konfigurációs állományok<br />Összeveti az Ön konfigurációs állományát az új konfigurációs állománnyal, és az abban talált frissítésekkel módosítja az aktuális álományt. Ez biztosítja, hogy az Ön beállításai megmaradjanak a legfrissebb állományban is.<br />*Diszkrét adatkezelésre vonatkozó állományok<br />Összeveti az Ön diszkrét adatkezelésre vonatkozó állományait az új állományokkal, és az abban talált frissítésekkel módosítja az aktuális álományt. Ez biztosítja, hogy az Ön diszkrét adatkezelésre vonatkozó beállításai megmaradjanak a legfrissebb állományokban is.<br />*Kézikönyvek<br />Frissíti a /doc könyvtár tartalmát<br />*ResearchLog<br />Frissíti a ResearchLog-beépülőt.<br />*Biztonsági mentés<br />Biztonsági mentést készít a régi állományokról a /backup kányvtárba.<br />Hogyan frissítsek?<br />1. Jelöje ki azokat a részeket, melyeket frissíteni szeretne<br />2. Kattintson a "mentés" linkre<br /><br />A folyamatot nyomonkövetheti a lap alján."
"hs_title_help";"<center>~#gm_lang[hs_title]#~</center><br />#gm_lang[hs_intro]#<br /><br />#gm_lang[hs_keyword_advice]#<br /><br />#gm_lang[hs_searchhow_advice]#<br /><br />#gm_lang[hs_searchin_advice]#"
"import_gedcom_help";"~GEDCOM IMPORTÁLÁSA~<br /><br />Az esetek többségében a GEDCOM-állományok importálása csak egy lépése az olyan folyamatoknak, mint pl. GEDCOM-állományok hozzáadása és feltöltése.<br /><br />Ezen lépések egy logikai folyamat részét képezik és mindenképpen be kell őket fejezni, hogy Ön működéképes GEDCOM-állományt használhasson.<br />Ha Ön nem fejezi be a folyamatot, <b>figyelmeztető</b> üzenetet fog látni, mely szerint az importálás nem készült él, és kattintson a megjelölt hivatkozásra a GEDCOM-állomány (újra)importálásához.<br /><br /><b>Importálás</b><br />Abban az esetben, ha Ön vagy valamely másik felhasználó <b>online változtatást</b> végzett a GEDCOM-állományban, akkor azt újra kell importálni, hogy a módosítások rögzítésre kerüljenek.<br /><br />A konfigurációs beállítások ugyanakkor az állomány újraimportálásával nem változnak meg, viszont a létező adatokat a program felülírja."
"index_common_names_help";"~LEGYAKORIBB VEZETÉKNEVEK BLOKKJA~<br />A GEDCOM-állományban legtöbbet előforduló vezetéknevek láthatók ebben a blokkban. A feltüntetett nevek számát az adminisztrátor szabja meg. <br /><br />A nevek természetesen kattinthatóak, így bővebben tájékozódhat az adott személyről az #gm_lang[individual_list]# útján.<br />"
"index_events_help";"~ELKÖVETKEZŐ ESEMÉNYEK BLOKKJA~<br />Ez a blokk az érintett GEDCOM-ból származó, a következő hónapban aktuális eseményeket tünteti fel.<br />"
"index_favorites_help";"~GEDCOM KEDVENCEK BLOKK~<br />A GEDCOM Kedvencek sokban hasonlít a MyGedView Portálon található "Kedvenceim" blokkra azzal a különbséggel, hogy ez esetben az adminisztrátornak van joga felvenni, törölni vagy megváltoztatni a kedvenceket.<br />A blokk szerepe, hogy a látogatók figyelmét felhívja a különleges érdeklődésre számot tartó személy(ek)re. <br />A "GEDCOM kedvencek" minden oldal fejlécében, egy lenyílóból érhetők el.<br />Az ott található hivatkozások az adott személy adatlapjára mutatnak.<br /><br />Helykímélés miatt a szövegdobozok minimális információt hordoznak, a cellák jobb oldalán található nagyító segítsgével juthat több adathoz.<br />A személy nevére kattintva Ön eljuthat az illető személyi lapjához. <br />Szintén a jobb oldalon találhatja a menüt, melyen bővebb infomációt vagy grafikonokat tartalmazó oldalakra vezető hivatkozásokat találhat.<br />"
"index_gedcom_news_adm_help";"A GEDCOM Hírek blokkja lehetővé teszi <b>HTML-kódok</b> használatát.<br />Kérjük, ügyeljen a nyitó- és záróelemek következetes használatára. <br />Ez esetben szükséges lehet a HTML-nyelv megfelelő szintű ismerete. <br /><br />Ez a program emellett <b>stíluslapokat (CSS)</b> is használ, mely az asztaltémáknak megfelelően eltérő.<br />Ön természetesen ezeket a stílusdefiníciókat is használhatja.<br /><br />Ha bővebb információra van szüksége, a Genmod weboldalán bemutatunk néhány pédát, hogyan használjon stíluslap-elemeket a GEDCOM Hírek blokkjában.<br />"
"index_gedcom_news_help";"~GEDCOM HÍREK BLOKKJA~<br />A Hírek blokkja leginkább egy hirdetőtáblára hasonlít.<br />Az oldal admnisztrátora fontos bejelentéseket vagy érdekes híreket tehet itt közzé.<br /><br />Ha Önnek van valamilyen közérdekű, érdekes híre, küldje el az adminisztrátornak, aki felrakja azt a hirdetőtáblára."
"index_help";"~#gm_lang[welcome_page]#~<br /><br />Ez a lap a #gm_lang[welcome_page]#, mely fogadja Önt a kiválasztott <a href="#def_gedcom">GEDCOM</a> állományban. Ön bármikor visszatérhet ide a felső menüsorban található #gm_lang[welcome_page]# ikon segítségével. Ha az oldal több GEDCOM-állománnyal dolgozik, Ön egy lenyíló menüből választhatja ki a látni kívánt GEDCOM-ot.<br /><br /"
"index_loggedin_help";"~BEJELENTLKEZETT FELHASZNÁLÓK BLOKKJA~<br />Ezen a helyen Ön nyomonkövetheti a bejelentkezett felhasználók számát.<br />"
"index_login_help";"~BEJELENTKEZŐ BLOKK~<br />Bár Ön majdnem az összes oldalon be tud jelentkezni, leggyakrabban mégis a nyitóoldalon teszi ezt meg, mivel csak ezután kaphat jogosultásgot bizonyos adatok megtekintéséhez.<br />A <b>felhasználónév</b> és a <b>jelszó</b> begépelésével valamint a Belépés gombra való kattintással tud bejelentkezni.<br /><br />#gm_lang[new_password_help]#<br /><br />"
"index_media_help";"~VÉLETLEN MÉDIA BLOKK~<br />Ebben a blokkban a Genmod minden az Ön látogatásakor egy véletlenszerűen kiválasztott média-elemet jelenít meg.<br />A képre vagy a címére kattintva megtekintheti a teljes méretű változatot. <br />A kép alatt ezen kívül talál még egy hivatkozást az ábrázolt személy adatlapjához.<br />"
"index_onthisday_help";"~#gm_lang[on_this_day]#Blokk~<br />Ez a blokk hasonlóan működik, mint az  "#gm_lang[upcoming_events_block]#" , viszont csak a mai napot érintő eseményeket tünteti fel.<br/><br/>"
"index_portal_head_help";"<div class="name_head"><center><b>NYITÓOLDAL</b></center></div><br />"
"index_portal_help";"A Nyitóoldal testre szabható és több, elkülönített, blokkból áll, tehát minden, az oldalon futtatott GEDCOM-állományhoz eltérő nyitóoldal rendelhető.<br />A Nyitóoldalon a következő blokkok találhatók:<br /><br />"
"index_stats_help";"~GEDCOM STATISZTIKA BLOKK~<br />Ebben a blokkban az aktuális GEDCOM-állományra vontakozó legfontosabb statisztikai adatokat találhatja. <br />Ha Ön több információra kíváncsi, a lap alján találhat lehetőséget a kapcsolat felvételére.<br /><br />#gm_lang[index_common_names_help]#"
"index_welcome_help";"~FELHASZNÁLÓ ÜDVÖZLŐ BLOKK~<br />Ez a blokk a következőket közli:<br />Az aktuális GEDCOM-állomány, a dátum és az idő (ha az adminisztrátor engedélyezte) és a <b>Számláló</b>.<br />A számláló kizárólag a Nyitóoldalon illetve a személyi lapokon tüntethető fel. <br />A számláló az adott oldalt érintő "találatokat" rögzíti, vagyis azt, hogy az oldalt hányszor látogatták meg.<br />Nem ellenőrzi a látogató URL-jét, tehzát ha valaki visszatér az oldara, azt új találatként értelmezi. <br />"
"lang_debug_help";"~#gm_lang[lang_debug]#~<br /><br />#gm_lang[lang_debug_desc]#<br />"
"lang_edit_help";"~#gm_lang[translator_tools]#~<br /><br />Ön ezen az oldalon végezheti el a nyelvi állományokkal kapcsolatos feladatokat:<br />Lehetősége van a fordításra, az összehasonlításra és az exportálásra.<br />Ezen túlmenően Ön itt állíthatja be a program által támogatott nyelvek tulajdonságait us .<br /><br />A következő lehetőségek állnak az Ön rendelkezésére:<br/>"
"lang_langcode_help";"~#gm_lang[lang_langcode]#~<br /><br />Ezen kódok lehetővé teszik, hogy a Genmod a böngésző beállításai alapján felismerje az aktuális nyelvet. A kódokat pontosvesszővel kell egymástól elválasztani.<br/>"
"lang_shortcut_help";"~#gm_lang[lang_shortcut]#~<br /><br />Ez a kód megadja a Genmod nyelvi állományaiban használatos nyelv-specifikus rövidítést.<br />Ez rendszerint az első a 'Nyelvi beállítások' kódjai közül (melyek a támogatott nyelvek konfigurálása ablakának következő mezőjében adhatók meg).<br/>"
"language_to_edit_help";"~#gm_lang[language_to_edit]#~<br /><br />Ebből a listából választhatja ki a nyelvet, melynek <b>szerkeszteni</b> kívánja az üzeneteit.<br/>"
"language_to_export_help";"~#gm_lang[language_to_export]#~<br /><br />Az alábbi listából kiválaszthatja azt a nyelvet, melynek üzeneteit <b>exportálni</b> szeretné.<br/>"
"login_buttons_aut_help";"~'HITELESÍTÉS' MÓD~<br /><br />BEJELENTKEZŐ GOMBOK<br /><br />Két gombot találhat itt, melyek a rendszerve való belépést szolgálják.<br />Az, hogy a felhasználónév és a jelszó megadása után melyik oldalra kerül, attól függ, melyik gombra kattintott.<br /><br />* A <b> #gm_lang[login]# </b> gomb<br />Ha erre a gombra kattint, akkora bejelentkezés után a MyGedView Portálra kerül, ahol szerkesztheti a beállításait, úk kedvenceket vehet föl vagy a régieket szerkesztheti, üzeneteket küldhet és fogadhat stb.<br /><br />* Az <b> #gm_lang[admin]# </b> gomb<br />Ha Önnek adminisztrátori jogosultsága van, akkor kattinthat erre a gombra, hogy egyenesen az Admnisztráció oldalára kerüljön.<br/>"
"login_buttons_help";"~BEJELENTKEZŐ GOMBOK~<br /><br />Két gombot találhat itt, melyek a rendszerve való belépést szolgálják.<br />Az, hogy a felhasználónév és a jelszó megadása után melyik oldalra kerül, attól függ, melyik gombra kattintott.<br /><br />* A <b> #gm_lang[login]# </b> gomb<br />Ha erre kattint, Ön arra az oldalra fog kerülni, ahonnan ide érkezett.<br />Tehát ha Ön úgy kattint a " #gm_lang[login]# " gombra, hogy előtte az Ősfa oldalán járt, akkor oda is fog visszatérni.<br /><br />* Az <b> #gm_lang[admin]# </b> gomb<br />Ha Önnek adminisztrátori jogosultsága van, akkor kattinthat erre a gombra, hogy egyenesen az Admnisztráció oldalára kerüljön.<br/>"
"login_page_help";"~BEJELENTKEZŐ OLDAL~<br /><br />Ezen az oldalon van lehetőség a belépésre, új jelszó kérésére, valamint új felhasználó regisztrációjára.<br />"
"mail_option1_help";"Ha ezt a lehetőséget választja, a Genmod belső üzenőrendszerét fogja használni, és Ön felé nem továbbítunk e-mailt.<br />Így csak ezek a <b>belső üzenetek</b> jutnak el Önhöz a többi felhasználótól.<br />Ha egy felhasználó üzenetet küld Önnek, az Ön személyes oldalán, az Üzeneteim blokkban fog megjelenni (kivéve, ha eltávolította ezt a blokkot).<br />"
"mail_option2_help";"Ezen mód a #gm_lang[messaging]#hez hasonlít egyetlen eltérésse:<br />A fogadott üzenetről fog kapni egy másolatot arra az e-mail címre, melyet Ön a személyes beállításainál megadott.<br />Ez az alapértelmezett kapcsolattartási mód.<br />"
"mail_option3_help";"Ha ezt a módot választja, akkor csupán az e-mail címére fogja megkapni az Önnek küldött üzenetet, és a felhasználók nem érhetik Önt el a belső üzenőrendszeren keresztül.<br />"
"mail_option4_help";"Ezen opció alapján Ön egyáltalán nem fog üzeneteket kapni.<br />"
"menu_annical_help";"~#gm_lang[anniversary_calendar]# Menü~<br />Az Évforduló-naptár a kiválasztott dátumhoz tartozó eseményeket tünteti fel az adott évben. <br />Emellett megtekinthetők az egész hónapra vonatkozó események is. <dl><dt>Adott napon</dt><dd>Az aktuális napra vonatkozó eseményeket muttaja meg.</dd><dt>Adott hónapban</dt><dd>Az aktuális hónapban lévő évfordulókat tekintheti itt át.</dd></dl><br/>"
"menu_charts_help";"~Grafikonok~<br />Az összes működő grafikon érhető el erről a menüpontról:<dl><dt>Ősfa</dt><dd>Az aktuális GEDCOM-állomány ősfája, melynek kezdő személye lehet Ön (ha bejelentkezett), illetve egy Ön által kiválasztott személy.</dd><dt>Leszármazottak</dt><dd>A leszrámazottak fája többé-kevésbbé megfelel egy fordított ősfának.<br />Az összehasonlítás összességében megállja a helyét, de amíg az ősfa egy adott személy őseit mutatja meg, addig a leszármazottak fája egy szemléy leszármazottait tünteti fel. </dd><dt>Kronológiai</dt><dd>Ezen az oldalon egy adott személy életének eseményeit mutatjuk be az idő múlásával. <br />Tanulságos lehet két vagy több személy életét egymás mellett látni.</dd><dt>Rokonsági fok</dt><dd>Itt egy személynek Önhöz vagy egy másik személyhez fűződő rokonsági kapcsolatát ismerheti meg.</dd></dl>"
"menu_clip_help";"~#gm_lang[clippings_cart]# Menu~<br />Ön csak abban az esetben látja ezt a menüpontot, ha az adott GEDCOM-állományra vonatkozóan engedélyezet az adminisztrátor. <br />A Családfa-ágak kosara lehetővé teszi, hogy Ön "darabokat" vágjon le a családfából.<br /><br />"
"menu_famtree_help";"~Nyitólap~<br />Ön az oldalon elérhető összes GEDCOM-állomány közül választhat ezen a helyen. Minden GEDCOM-állománynak van egy ehhez hasonló egyéni Nyitóoldala.<br />Ha az oldalon csak egy GEDCOM-állomány található, természetesen almenük nem érhetők el a Nyitóoldal ikonján keresztül.<br />"
"menu_help_help";"~#gm_lang[help_page]# Menü~<br />#gm_lang[help_help_items]#"
"menu_lists_help";"~Listák~<br />Ezen menüponton keresztül a következő listák jeleníthetők meg: <dl><dt>Személyek litája</dt><dt>Családok listája</dt><dd>Eben a két listában az aktuális GEDCOM-állomány személyeinek listáját találhatja.<br />Az első a személyeket, a második a családokat tünteti fel.</dd><dt>Források listája</dt><dd>Itt a GEDCOM-állományban szereplő összes forrást tekintheti meg. </dd><dt>Helyszínek hierarchiája</dt><dd>Itt a helyszínek alapján kereshet meg személyeket. Egy két oszlopos listát kap, melyből a bal oldalon találja a személyekhez, a jobb oldalon pedig a családokhoz kötődő helyeket.</dd><dt>Multimédia lista</dt><dd>Ezt a menüpontot csak az adminisztrátor engedélyével láthatja. <br />Az összes multimédia-állomány listáját tartalmazza, melyek az aktuális GEDCOM-hoz tartoznak. </dd></dl>"
"menu_myged_help";"~#gm_lang[mygedview]# menü~<br />Ha Ön bejelentkezett, ezen menüpontban a következő elemeket találja meg: <dl><dt>#gm_lang[mygedview]#</dt><dd>Elvezeti Önt az Ön "kezdőlapjára".</dd><dt>Felhasználói adataim</dt><dd>Itt szerkesztheti az Ön személyes felhasználói beállításait. </dd><dt>Családfám</dt><dd>Ha Ön kiválasztotta a kezdő személyt ehhez a GEDCOM-állományhoz, ez a hivatkozás ennek a személynek az ősfájához fogja irányítani.</dd><dt>Én és családom</dt><dd>Átirányítja Önt az Ön Személyi Lapjára, ahol az Önre és családjára vontkozó genealógiai adatok találhatók.</dd></dl><br/>"
"menu_search_help";"~#gm_lang[search]# Menü~<br />A fejlécben található keresőmező részletesebb változata.<br /><br />"
"messaging2_help";"Az üzenet elküldésekor kapni fog egy másolatot e-mailben, az Ön által megadott e-mail címre"
"more_config_help";"<br /><b>Bővebb információ</b><br />#gm_lang[context_help]#<br /><br />"
