"stat_sources";"Kilder,"
"register_info_01";"Oplysninger i denne database kan i henhold til gældende regler om beskyttelse af privatlivets fred være tilgængelige i begrænset omfang. Mange ønsker ikke at se deres personlige data offentligt på internettet, da disse data evt. kan misbruges i forbindelse med spam eller opbygning af en falsk identitet.<br /><br />For at få adgang til private data, skal du have en brugerkonto på dette websted. For at få en konto må du registrere dig selv og give de ønskede oplysninger om dig selv. Når administratoren har vurderet dine oplysninger og godkendt dig, vil du kunne logge ind på webstedet og se nogle af de private data.<br /><br />Hvis der stilles krav om slægtsrelation, vil du kun kunne få adgang til dine egne nære slægtninges private data efter login. Administratoren har mulighed for at give dig adgang til at redigere i databasen, således du kan ændre eller tilføje oplysninger.<br /><br />BEMÆRK: Du vil kun få adgang til private data hvis du kan sandsynliggøre du er en nær slægtning til en person i databasen.<br /><br />Hvis du ikke er en nær slægtning vil du formentlig ikke få oprettet en konto, hvorfor du lige så godt kan spare dig selv for ulejligheden med at bede om det.<br />Ønskes yderligere hjælp, kan du - såfremt den mulighed er aktiveret - bruge linket herunder til at kontakte webmaster.<br /><br />"
"SHOW_SOURCES";"Vis kilder"
"REQUIRE_ADMIN_AUTH_REGISTRATION";"En administrator skal godkende nye brugere"
"SPLIT_PLACES";"Adskil steder i redigeringstilstand"
"ALLOW_REMEMBER_ME";"Vis <b>Remember Me</b> valgmulighed på Login-siden"
"UNDERLINE_NAME_QUOTES";"Understreg navne i anførselstegn"
"PRIVACY_BY_RESN";"Brug Gedcom (RESN) Fortrolighedsindstilling"
"SHOW_LDS_AT_GLANCE";"Vis SDH-ritualkoder i diagrambokse"
"GEDCOM_DEFAULT_TAB";"Standardfaneblad på personside"
"SHOW_MARRIED_NAMES";"Vis giftenavn i personlisten"
"SHOW_QUICK_RESN";"Vis fortrolige feltoplysninger på #gm_lang[quick_update_title]# formularen"
"USE_QUICK_UPDATE";"Brug #gm_lang[quick_update_title]# formularen"
"SEARCHLOG_CREATE";"Gem SearchLog-filer"
"CHART_BOX_TAGS";"Andet som vises i diagrammer"
"configure";"Indstil Genmod"
"standard_conf";"Standardindstillinger"
"advanced_conf";"Advancerede indstillinger"
"gedcom_conf";"Gedcom grundlæggende"
"media_conf";"Multimedier"
"accpriv_conf";"Adgang og fortrolighed"
"displ_conf";"Visning og udseende"
"displ_names_conf";"Navne"
"displ_comsurn_conf";"Almindelige efternavne"
"displ_layout_conf";"Udseende"
"displ_hide_conf";"Skjul og vis"
"useropt_conf";"Brugerindstillinger"
"contact_conf";"Kontaktoplysninger"
"meta_conf";"Websted og META tag indstillinger"
"configure_head";"Genmod-indstillinger"
"gedconf_head";"Gedcom-indstillinger"
"default_user";"Opret standardadministrator"
"about_user";"Du skal først oprette en standardadministrator. Standardadministrator har mulighed for at ændre alle indstillinger, se alle fortrolige data og oprette andre brugere."
"can_admin";"Har Admin rettigheder"
"can_edit";"Har Edit rettigheder"
"access";"Adgang"
"add_user";"Opret ny bruger"
"current_users";"Nuværende brugere"
"leave_blank";"Lad adgangskodefeltet være tomt hvis du vil beholde din nuværende adgangskode."
"other_theme";"Andet, skriv venligst"
"performing_update";"Opdaterer."
"config_file_read";"Indstil fil-læsning."
"does_not_exist";"findes ikke"
"media_drive_letter";"En medie-sti skal ikke indeholde en drevbetegnelse, mediet vil muligvis ikke blive vist."
"gm_config_write_error";"FEJL!! Kan ikke skrive til Genmod-indstillingsfilen. Kontroller venligst skrivetilladelserne for filer og mapper og prøv igen."
"db_setup_bad";"Dine databaseindstiller er forkerte. Kontrolloer venligst disse og prøv igen."
"bad_host_user_pass";"Genmod kunne ikke skabe forbindelse til din databasevært. Kontroller værtsnavn, brugernavn og adgangskode og vær sikker på de er korrekte."
"bad_database_name";"Genmod oprettede forbindelse til din databasevært, men kunne ikke bruge databasen med det navn du indtastede. Kontroller at databasen eksisterer og at dit brugernavn har tiladelse til at anvende den."
"click_here_to_continue";"Klik her for at fortsætte."
"mysql";"MySQL"
"db";"Database"
"admin_gedcoms";"Klik her for at arbejde med GedcomS."
"current_gedcoms";"Nuværende Gedcoms"
"gedcom_adm_head";"Gedcom Administration"
"ged_download";"Download"
"ged_gedcom";"Gedcom-fil"
"ged_title";"Gedcom-titel"
"ged_config";"Gedcom-filindstillinger"
"ged_search";"SearchLog-filer"
"ged_privacy";"Fortroligheds-fil"
"show_phpinfo";"Vis PHPInfo"
"confirm_gedcom_delete";"Er du sikker på at du ønsker at slette denne Gedcom"
"gregorian";"Gregoriansk"
"julian";"Juliansk"
"config_french";"Fransk"
"jewish";"Jødisk"
"config_hebrew";"Hebraisk"
"jewish_and_gregorian";"Jødisk og Gregoriansk"
"hebrew_and_gregorian";"Hebraisk og Geregoriansk"
"hijri";"Hijri"
"arabic_cal";"Arabisk"
"disabled";"Slået fra"
"mouseover";"Når musen holdes over"
"mousedown";"Når musen holdes nede"
"click";"Når musen klikkes"
"mailto";"Mailto link"
"messaging";"Genmod interne beskeder"
"messaging2";"Interne beskeder via email"
"messaging3";"Genmod sender emails uden at gemme"
"no_messaging";"Kan ikke kontaktes"
"no_logs";"Slå logging fra"
"daily";"Daglig"
"weekly";"Ugentlig"
"monthly";"Månedlig"
"yearly";"Årlig"
"enter_db_pass";"Af sikkerhedshensyn skal du angive #gm_lang[DBUSER]# og #gm_lang[DBPASS]# før du kan ændre indstillingerne."
"config_still_writable";"Din <i>config.php</i> fil er ikke blevet skrivebeskyttet igen. Af sikkerhedshensyn bør du ændre adgangsrettighederne for filen tilbage til read-only når du har færdiggjort indstillingerne for dit websted."
"admin_verification_waiting";"Brugerkonti som afventer godkendelse af administrator"
"DEFAULT_GEDCOM";"Standard Gedcom"
"privileges";"Privilegier"
"date_registered";"Dato for tilmelding"
"last_login";"Seneste logon"
"server_url_note";"Dette skal være URLen til din Genmod folder. Du bør kun ændre denne indstilling hvis du er sikker på du ved hvad du gør. Genmod har beregnet URLen til<b>#GUESS_URL#</b>"
"DBHOST";"Databasevært"
"DBUSER";"Databasebrugernavn"
"DBPASS";"Database adgangskode"
"DBNAME";"Databasenavn"
"TBLPREFIX";"Databasetabel-præfiks"
"ALLOW_CHANGE_GEDCOM";"Tillad skift afGedcom"
"gedcom_path";"Gedcom-sti og navn"
"CHARACTER_SET";"Tegnsæt"
"LANGUAGE";"Standardsprog"
"ENABLE_MULTI_LANGUAGE";"Tillad brugere at skifte sprog"
"CALENDAR_FORMAT";"Kalenderindstilling"
"DISPLAY_JEWISH_THOUSANDS";"Vis Hebraiske tusinder"
"DISPLAY_JEWISH_GERESHAYIM";"Vis Hebraisk Gershayim"
"JEWISH_ASHKENAZ_PRONUNCIATION";"Jødisk Ashkenazi lydform"
"USE_RTL_FUNCTIONS";"Brug RTL processing"
"DEFAULT_PEDIGREE_GENERATIONS";"Antal generationer i anetræ"
"MAX_PEDIGREE_GENERATIONS";"Maksimale antal generationer i Anetræ"
"MAX_DESCENDANCY_GENERATIONS";"Maksimale antal generationer i Efterkommertræ"
"USE_RIN";"Use RIN# i stedet for Gedcom-ID"
"PEDIGREE_ROOT_ID";"Standardperson for Anetræ og Efterkommertræ"
"GEDCOM_ID_PREFIX";"Gedcom-ID præfiks"
"SOURCE_ID_PREFIX";"Kilde-ID præfiks"
"REPO_ID_PREFIX";"Arkiv-ID præfiks"
"PEDIGREE_FULL_DETAILS";"Vis fødsels- og dødsoplysninger i Anetræ og Efterkommertræ"
"PEDIGREE_LAYOUT";"Standardlayout Anetræ"
"SHOW_EMPTY_BOXES";"Vis tomme bokse i Anetræ"
"ZOOM_BOXES";"Diagramlup"
"LINK_ICONS";"PopUp-links i diagrammer"
"ABBREVIATE_CHART_LABELS";"Forkort diagrampunkter"
"SHOW_PARENTS_AGE";"Vis forældres alder ved barns fødsel"
"HIDE_LIVE_PEOPLE";"Slå fortrolighed til"
"REQUIRE_AUTHENTICATION";"Forlang logon"
"WELCOME_TEXT_AUTH_MODE";"Velkomsttekst på login-siden i verifikationsmodus"
"WELCOME_TEXT_AUTH_MODE_OPT1";"Forudindstillet tekst som siger at alle kan anmode om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT2";"Forudindstillet tekst som siger at administrator tager stilling til anmodninger om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT3";"Forudindstillet tekst som siger kun familiemedlemmer kan anmode om en brugerkonto"
"WELCOME_TEXT_AUTH_MODE_OPT4";"Vælg tilpasset velkomsstekst nedenfor"
"WELCOME_TEXT_AUTH_MODE_CUST";"Velkomsttekst i verifikationsmodus"
"WELCOME_TEXT_AUTH_MODE_CUST_HEAD";"Standardheader for tilpasset velkomsttekst"
"CHECK_CHILD_DATES";"Kontroller børns data"
"MAX_ALIVE_AGE";"Formodes død ved alder"
"SHOW_GEDCOM_RECORD";"Tillad brugere at se rå Gedcom-poster"
"ALLOW_EDIT_GEDCOM";"Tillad online redigering"
"INDEX_DIRECTORY";"Indexfilmappe"
"ALPHA_INDEX_LISTS";"Opdel lange navnelister efter begyndelsesbogstav"
"SHOW_ID_NUMBERS";"Vis ID-numre ved siden af navne"
"SHOW_FAM_ID_NUMBERS";"Vis ID-numre ved siden af familier"
"SHOW_PEDIGREE_PLACES";"Stedniveauer at vise i personbokse"
"MEDIA_EXTERNAL";"Bevar links"
"MEDIA_DIRECTORY";"Multimediemappe"
"MEDIA_DIRECTORY_LEVELS";"Mulktimediemappeniveuer at beholde"
"SHOW_HIGHLIGHT_IMAGES";"Vis fremhævede billeder i personbokse"
"USE_THUMBS_MAIN";"Brug billedikon på personsiden"
"ENABLE_CLIPPINGS_CART";"Slå udklipskurv til"
"HIDE_GEDCOM_ERRORS";"Skjul Gedcom-fejl"
"WORD_WRAPPED_NOTES";"Tilføj mellemrum hvor noter ombrydes"
"COMMON_NAMES_THRESHOLD";"Mindste antal forekomster af et "Hyppigt Efternavn""
"COMMON_NAMES_ADD";"Navne som skal tilføjes til Hyppige Efternavne (kommasepareret)"
"COMMON_NAMES_REMOVE";"Navne som skal fjernes fra Hyppige Efternavne (kommasepareret)"
"HOME_SITE_URL";"Websted-URL"
"HOME_SITE_TEXT";"Hovedside tekst"
"CONTACT_EMAIL";"Kontaktperson"
"CONTACT_METHOD";"Kontaktform"
"WEBMASTER_EMAIL";"Supportkontakt"
"SUPPORT_METHOD";"Supportkontaktform"
"FAVICON";"Favoritikon"
"THEME_DIR";"Temamappe"
"GM_SESSION_SAVE_PATH";"Session filsti"
"SERVER_URL";"Genmod URL"
"LOGIN_URL";"Login URL"
"GM_SESSION_TIME";"Session timeout"
"SHOW_STATS";"Vis statistik"
"SHOW_COUNTER";"Vis tæller"
"USE_REGISTRATION_MODULE";"Tillad gæster at anmode om brugerkonto"
"ALLOW_USER_THEMES";"Tillad brugere at vælge eget tema"
"GM_SIMPLE_MAIL";"Brug enkle mailheaders i email"
"gedcom_title";"Indtast en titel, der beskriver data i denne Gedcom-fil:"
"LOGFILE_CREATE";"Gem logfiler"
"GM_MEMORY_LIMIT";"Hukommelsesgrænse"
"GM_STORE_MESSAGES";"Tillad beskeder at være gemt online"
"ALLOW_THEME_DROPDOWN";"Vis temavalgmenu"
"META_AUTHOR";"Forfatter META tag"
"META_AUTHOR_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_PUBLISHER";"Udgiver META tag"
"META_PUBLISHER_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_COPYRIGHT";"Copyright META tag"
"META_COPYRIGHT_descr";"Hvis dette felt lades tomt bruges det fulde navn i  #gm_lang[CONTACT_EMAIL]#."
"META_DESCRIPTION";"Beskrivelse META tag"
"META_DESCRIPTION_descr";"Lad dette felt stå tomt for at bruge navnet på den aktive database"
"META_PAGE_TOPIC";"Sideemne META tag"
"META_PAGE_TOPIC_descr";"Lad dette felt stå tomt for at bruge navnet på den aktive database"
"META_AUDIENCE";"Publikum META tag"
"META_PAGE_TYPE";"Sidetype META tag"
"META_ROBOTS";"Robot META tag"
"META_REVISIT";"Genvisit META tag"
"META_KEYWORDS";"Nøgleords META tag"
"META_SURNAME_KEYWORDS";"Tilføj hyppigste efternavne til nøgleords META field"
"META_TITLE";"Tilføj i TITLE header tag"
"welcome_new";"Velkommen til din ny Genmod webside.<br /><br />Siden du ser denne side skulle Genmod være blevet installeret problemfrit på din server og være parat til at blive indstillet efter dine ønsker.<br /><br />"
"review_readme";"Du bør kigge på <a href="readme.txt" target="_blank">readme.txt</a> filen før du fortsætter med at indstille Genmod.<br /><br />"
"return_editconfig";"Du kan vende tilbage til dine indstillinger på adressen <i>edit_config.php</i> eller linket <b>Indstillinger</b> på <b>#gm_lang[gedcom_adm_head]#</b> siden.<br />"
"return_editconfig_gedcom";"Du kan vende tilbage til denne indstilling på et senere tidspunkt ved at klikke <b>Rediger</b> i <b>#gm_lang[current_Gedcoms]#</b> tabellen på <b>#gm_lang[Gedcom_adm_head]#</b> siden eller på adressen </i>editconfig_Gedcom.php</i>.<br />"
"save_config";"Gem indstillinger"
"download_here";"Klik her for at downloade fil"
"download_gedconf";"Download Gedcom indstillinger."
"not_writable";"Din indstillingsfil ser ud til at være skrivebeskyttet. Du kan bruge <b>#gm_lang[download_file]#</b> knappen til at gemme dine indstillinger i en fil som du manuelt kan placere på serveren."
"download_file";"Download Fil"
"upload_to_index";"Placer fil i index-mappen på serveren"
"import_sql";"Der findes SQL-filer i din indexmappe. Da disse kan være fremkommet ved brug af brugeroverflytningsredskabet, har du mulighed for at importere informationen til din database. Ønsker du at prøve dette nu? Al eksisterende brugerdefineret information (brugere, nyheder, favoritter, block layouts, og beskeder) i databasen vil blive slettet.<br /><br />Hvis du vælger at fortsætte, vil Genmod prøve at importere data. Skulle det mislykkes vil du skulle lave en administratorkonto som det næste.<br /><br />"
"edit_privacy";"Indstil fortrolighed"
"edit_privacy_title";"Rediger Gedcom fortrolighedssindstillinger"
"PRIV_PUBLIC";"Vis til alle"
"PRIV_USER";"Vis kun til godkendte brugere"
"PRIV_NONE";"Vis kun til administratorer"
"PRIV_HIDE";"Skjul, selv for administratorer"
"save_changed_settings";"Gem indstillinger"
"add_new_pp_setting";"Tilføj ny Person-fortrolighedsindstilling"
"add_new_up_setting";"Tilføj ny Bruger-fortrolighedsindstilling"
"add_new_gf_setting";"Tilføj ny Almen fortrolighedsindstilling"
"add_new_pf_setting";"Tilføj ny Persondata-fortrolighedsindstilling"
"add_new_pf_setting_indi";"Tilføj ny fortrolighedsindstilling for personoplysninger personer"
"add_new_pf_setting_source";"Tilføj ny fortrolighedsindstilling for personoplysninger kilder"
"privacy_indi_id";"Person - ID"
"privacy_source_id";"Kilde - ID"
"privacy_indi_source";"Person / Kilde"
"privacy_indi";"Person"
"privacy_source";"Kilde"
"file_read_error";"F E J L  !!! Kunne ikke læse fortrolighedsfil!"
"edit_exist_person_privacy_settings";"Rediger fortrolighedsindstillinger for personer"
"edit_exist_user_privacy_settings";"Rediger fortrolighedsindstillinger for brugere"
"edit_exist_global_facts_settings";"Rediger  fortrolighedsindstillinger for almene oplysninger"
"edit_exist_person_facts_settings";"Rediger eksisterende Persondata-fortrolighedsindstillinger"
"general_privacy";"Almene fortrolighedsindstillinger"
"person_privacy";"Person-fortrolighedsindstillinger"
"user_privacy";"Bruger-fortrolighedsindstillinger"
"global_facts";"Almene fortrolighedsindstillinger"
"person_facts";"Persondata-fortrolighedsindstillinger"
"accessible_by";"Vis til?"
"hide";"Skjul"
"show_question";"Vis?"
"user_name";"Brugernavn"
"name_of_fact";"Informationstype"
"choice";"Valg"
"fact_show";"Vis information"
"fact_details";"Vis detailinformation"
"privacy_header";"Rediger fortrolighedsindstillinger"
"unable_to_find_privacy_indi";"Kan ikke finde person med ID"
"save_and_import";"Når du har gemt denne Gedcom-indstilling skal du importere Gedcom-filen ved at klikke på <b>Importer Gedcom</b> knappen eller ved at gå til <b>Administration->Administrer Gedcom-filer->Importer Gedcom</b>"
"help_info";"Du kan få hjælp til hvert element ved at klikke på det røde &quot;?&quot; ud for hvert felt."
"SHOW_LIVING_NAMES";"Vis nulevendes navne"
"SHOW_RESEARCH_LOG";"Vis forskningslog"
"USE_RELATIONSHIP_PRIVACY";"Anvend slægtskabs-fortrolighed"
"MAX_RELATION_PATH_LENGTH";"Maksimale slægtskabsniveau"
"CHECK_MARRIAGE_RELATIONS";"Check slægskab gennem ægteskab"
"SHOW_DEAD_PEOPLE";"Vis afdøde personer"
"select_privacyfile_button";"Vælg fortrolighedsfil"
"PRIVACY_BY_YEAR";"Begræns fortrolighed afhængig af begivenhedens alder"
"edit_langdiff";"Rediger og indstil sprogfiler"
"bom_check";"BOM-kontrol af sprogfiler"
"bom_not_found";"Ingen BOM's befundet"
"bom_found";"Der blev fundet BOM's i"
"edit_lang_utility";"Sprogfil retteredskab"
"language_to_edit";"Sprog som skal redigeres"
"file_to_edit";"Sprogfiltype som skal redigeres"
"check";"Kontroller"
"lang_save";"Gem"
"contents";"Indhold"
"listing";"Liste"
"no_content";"Intet indhold"
"editlang";"Rediger"
"savelang";"Gem"
"original_message";"Original tekst"
"message_to_edit";"Tekst der skal redigeres"
"changed_message";"Indhold ændret"
"message_empty_warning";"-> Advarsel!!! Dette felt er tomt i #LANGUAGE_FILE# <-"
"language_to_export";"Sprog der skal eksporteres"
"export_lang_utility";"Sprogfil eksportredskab"
"export";"Eksport"
"export_ok";"Hjælpetekst blev eksporteret"
"compare_lang_utility";"Sprogfil sammenligningsredskab"
"new_language";"Sprogkilde"
"old_language";"Gammelt sprog"
"compare";"Sammenlign"
"comparing";"Sprogfiler, der er sammenlignet"
"additions";"Tilføjelser"
"no_additions";"Ingen tilføjelser"
"subtractions";"Udeladelser"
"no_subtractions";"Ingen udeladelser"
"config_lang_utility";"Indstilling af understøttede sprog"
"active";"Aktiv"
"edit_settings";"Rediger indstillinger"
"lang_edit";"Rediger"
"lang_language";"Sprog"
"export_filename";"Resultatfil"
"lang_back";"Gå til Hoved-menuen for at justere indstillinger for sprogfiler."
"lang_back_admin";"Gå til Administrator-menuen"
"lang_back_manage_gedcoms";"Gå til Gedcom-administrationsmenuen"
"lang_name_czech";"tjekkisk"
"lang_name_chinese";"kinesisk"
"lang_name_danish";"dansk"
"lang_name_dutch";"hollandsk"
"lang_name_english";"engelsk"
"lang_name_finnish";"finsk"
"lang_name_french";"fransk"
"lang_name_german";"tysk"
"lang_name_hebrew";"hebraisk"
"lang_name_hungarian";"ungarsk"
"lang_name_italian";"italiensk"
"lang_name_norwegian";"norsk"
"lang_name_polish";"polsk"
"lang_name_portuguese";"portugisisk"
"lang_name_portuguese_br";"brasiliansk portugisisk"
"lang_name_russian";"russisk"
"lang_name_spanish";"spansk"
"lang_name_spanish_ar";"sydamerikansk spansk"
"lang_name_swedish";"svensk"
"lang_name_turkish";"tyrkisk"
"lang_name_greek";"græsk"
"lang_name_arabic";"arabisk"
"lang_new_language";"Nyt sprog"
"original_lang_name";"Oprindelig sprognavn for #D_LANGNAME#"
"lang_shortcut";"Sprogfilers kortnavne"
"lang_langcode";"Sproggenkendelseskoder"
"lang_filenames";"Sprogfiler"
"flagsfile";"Flagfil"
"text_direction";"Tekstretning"
"date_format";"Datoformat"
"time_format";"Tidsformat"
"week_start";"Ugestart"
"name_reverse";"Efternavn først"
"ltr";"venstre til højre"
"rtl";"højre til venstre"
"file_does_not_exist";"FEJL! Filen findes ikke ..."
"alphabet_upper";"Rækkefølge af store bogstaver"
"alphabet_lower";"Rækkefølge af små bogstaver"
"lang_config_write_error";"Fejl ved skrivning af sprogindstillinger til filen <b>lang_settings.php</b>. Kontroller skriverettighederne og prøv igen."
"translation_forum";"Link til Genmods oversætterforum på SourceForge (engelsk)"
"system_time";"Nuværende systemtid"
"gedcom_not_imported";"Gedcom-filen er endnu ikke importeret"
"lang_set_file_read_error";"F E J L: <b>language_settings.php</b> kunne ikke læses!"
"add_new_language";"Tilføj filer og indstillinger for et nyt sprog"
"add_new_lang_button";"Tilføj nyt sprog"
"hide_translated";"Skjul oversættelse"
"lang_file_write_error";"F E J L!<br /><br />Ændringer kunne ikke skrives i den valgte sprogfil. Kontroller venligst skriverettighederne for <b>#lang_filename#</b>"
"no_open";"F E J L !!!<br /><br />Kan ikke åbne filen <b>#lang_filename#</b>"
"never";"Aldrig"
"um_header";"Eksportredskab for brugerinformation"
"um_proceed";"Fortsæt med eksport af brugerinformation?<br /><br />"
"um_creating";"Opretter"
"um_sql_index";"Dette redskab vil oprette filen <i>authenticate.php</i> og flere andre <i>.dat</i> filer i index-mappen.<br /><br />Når filerne er oprettet, kan du skifte fra SQL- til Index-modus med alle registrerede brugere og deres beskeder, og andre indstillinger  intakte.<br /><br />BEMÆRK! Når du har skiftet til Index-modus, skal du importere Gedcom-filerne igen.<br /><br />"
"um_file_create_fail1";"Ny fil kunne ikke oprettes, fordi der allerede eksisterer en fil med dette navn:"
"um_file_create_fail2";"Kan ikke oprette"
"um_file_create_fail3";"Kontroller adgangsrettighederne til denne mappe."
"um_file_create_succ1";"Ny fil oprettet uden problemer:"
"um_file_not_created";"Filen blev ikke oprettet."
"um_nomsg";"Der eksisterer øjensynligt ingen beskeder i systemet."
"um_nofav";"Der eksisterer øjensynligt ingen favoritter i systemet."
"um_nonews";"Der eksisterer øjensynligt ingen nyheder i systemet."
"um_noblocks";"Der eksisterer øjensynligt ingen blokke i systemet."
"um_index_sql";"Dette redskab vil importere filen <i>authenticate.php</i> og andre <i>.dat</i> filer fra index-mappen til databasen.<br />"
"um_noaction";"Det er ikke nødvendigt at konvertere bruger-information til SQL-modus nu.<br /><br />Hvis du har skiftet til SQL-databasemodus, skal du imidlertid udføre konverteringen for at importere alle data til SQL-databasen. Genmod vil da bruge de eksisterende filer fra Index-modus.<br /><br /><b>BEMÆRK! Du må <u>ikke</u> fjerne filen <i>authenticate.php</i> og <i>.dat</i> filerne fra index-mappen under bytte-processen.</b><br />"
"um_import";"Importer"
"um_export";"Exporter"
"um_explain";"Dette redskab vil flytte brugerdata, enten fra SQL- til Index-modus eller fra Index-filer til MySQL-database.<br /><br />Brugerdata, favoritter, ramme-definitioner, beskeder og nyheder vil være tilgængelige igen efter du har skiftet modus.<br /><br /><b>ADVARSEL</b><br />Du kan ikke bruge dette verktøj til at overføre brugerdata mellom forskellige versioner af Genmod. Vær sikker på at data stammer fra, eller er importeret til samme Genmod-version.<br /><br /><b>IMPORTER</b><br />Hvis du vælger at importere brugerdata-filerne fra Index-modus, vil eventuelle brugerdata som findes der i forvejen blive <u>overskrevet</u>. Med andre ord så fletter dette redskab <u>ikke</u> informationen, men indlæser informationen på ny. Når du er færdig med importen, er det ikke muligt at genskabe den gamle information igen.<br /><br /><b>EKSPORTER</b><br />Hvis du eksporterer brugerinformationen fra SQL-databasen til Index-modulfiler, vil redskabet gemme filen <i>authenticate.php</i> og flere <i>.dat</i> filer i index-mappen. Hvis der findes filer med samme navn fra tidligere, vil du blive spurgt om disse skal overskrives. Efter du har skiftet til Index-modus, vil al information være tilgængelig direkte.<br /><br /><b>NB!</b> Når du har skiftet til Index-modus, er det nødvendigt at importere Gedcom-filerne på ny.<br /><br />"
"um_imp_users";"Importerer brugere"
"um_imp_blocks";"Importerer blokke"
"um_imp_favorites";"Importerer favoritter"
"um_imp_messages";"Importerer beskeder"
"um_imp_news";"Importerer nyheder"
"um_nousers";"Filen <i>authenticate.php</i> blev ikke fundet i index mappen. Flytning anulleret."
"um_imp_succ";"Import udført uden problemer"
"um_imp_fail";"Import slog fejl"
"um_backup";"Sikkerhedskopi"
"um_zip_succ";"ZIP filen oprettet uden problemer."
"um_zip_dl";"Download ZIPped sikkerhedskopifil"
"um_bu_explain";"Dette redskab kan lave en sikkerhedskopi af alle data i Genmod.<br /><br />De data du vælger vil blive gemt i en ZIP-fil, som du kan downloade ved at klikke på linket i bunden af siden, efter at filen er blivet oprettet.<br /><br />Denne ZIP-fil vil forblive i index-mappen indtil du fjerner den manuelt."
"um_bu_config";"Genmod-indstillingsfil"
"um_bu_gedcoms";"Gedcom-filer"
"um_bu_gedsets";"Gedcom-indstillings og -fortrolighedsfiler"
"um_bu_logs";"Gedcom-tællere, -søgelogs og Genmod-logfiler"
"um_bu_usinfo";"Brugerdefinitioner, Blokindstillinger, Favoritter, Beskeder, Nyheder"
"um_mk_bu";"Lav sikkerhedskopi"
"um_nofiles";"Ingen filer fundet at sikkerhedskopiere"
"um_files_exist";"En af disse filer findes allerede. Vil du overskrive den?"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
