"stat_sources";"Kaynaklar, "
"return_editconfig_gedcom";"Bu yapılandırma sayfasına her zaman tarayıcınızda <b>editconfig_gedcom.php</b> dosyasını açarak ya da <b>İdare / Ayarlar</b> sayfasındaki <b>GEDCOM - Veritabanı ayarları</b> bağlantısını tıklayarak açılan <b>Aktüel GEDCOM veritabanları</b> sayfasında ayarlamak istediğiniz GEDCOM Veritabanı yanındaki <b>İşle</b> bağlantısına tıklayarak geri dönebilirsiniz.<br />"
"save_config";"Ayarları hafıza et"
"download_here";"Dosyayı indirmek için buraya tıkla."
"download_gedconf";"GEDCOM ayarları dosyasını indir."
"download_file";"Dosyayı indir"
"upload_to_index";"Dosyayı indeks dizinine yolla:"
"edit_privacy";"Mahremiyet ayarlarını işle"
"edit_privacy_title";"GEDCOM mahremiyet ayarlarını işle"
"PRIV_PUBLIC";"Herkeze göster"
"PRIV_USER";"Sırf tasdik edilmiş ziyaretçiye göster"
"PRIV_NONE";"Sırf yöneticilere göster"
"PRIV_HIDE";"Yöneticilerden bile sakla"
"save_changed_settings";"Değişiklikleri hafıza et"
"add_new_pp_setting";"Şahıs mahremiyetine yeni ekleme yap"
"add_new_up_setting";"Üye mahremiyetine yeni ekleme yap"
"add_new_gf_setting";"Genel hadise mahremiyetine yeni ekleme yap"
"add_new_pf_setting";"Şahsi hadise mahremiyetine yeni ekleme yap"
"add_new_pf_setting_indi";"Kişisel şahsi hadise mahremiyetine yeni ekleme yap"
"add_new_pf_setting_source";"Şahsi kaynak mahremiyetine yeni ekleme yap"
"privacy_indi_id";"Kişisel İD numarası"
"privacy_source_id";"Kaynak İD numarası"
"privacy_source";"Kaynak"
"file_read_error";"H A T A !!! Mahremiyet dosyasını okuyamadım!"
"edit_exist_person_privacy_settings";"Varolan şahıs mahremiyeti ayarını işle"
"edit_exist_user_privacy_settings";"Varolan üye mahremiyeti ayarını işle"
"edit_exist_global_facts_settings";"Varolan genel hadise mahremiyeti ayarını işle"
"edit_exist_person_facts_settings";"Varolan şahsi hadise mahremiyeti ayarını işle"
"general_privacy";"Genel mahremiyet ayarları"
"person_privacy";"Şahıs mahremiyeti ayarları"
"user_privacy";"Üye mahremiyeti ayarları"
"global_facts";"Genel hadise mahremiyeti ayarları"
"person_facts";"Şahsi hadise mahremiyeti ayarları"
"accessible_by";"Kime gösterilsin?"
"hide";"Sakla"
"show_question";"Göster?"
"user_name";"Üye rumuzu"
"name_of_fact";"Hadisenin ismi"
"choice";"Seçenek"
"fact_show";"Hadiseyi göster"
"fact_details";"Hadiselerin ayrıntılarını göster"
"privacy_header";"Mahremiyet ayarlarını düzenleme aracı"
"unable_to_find_privacy_indi";"Seçilen numaraya bağlı hiç bir şahıs bulunamadı"
"help_info";"Her nesne üzerine kırmızı &quot;?&quot; (soru işaretlerine) tıklayıp yardım elde edebilirsiniz.<br />"
"SHOW_LIVING_NAMES";"Yaşayan şahısların ismini göster"
"SHOW_RESEARCH_LOG";""ResearchLog" modülünü göster"
"USE_RELATIONSHIP_PRIVACY";"Akrabalık mahremiyetini kullan"
"MAX_RELATION_PATH_LENGTH";"Maksimum akrabalık derecesi"
"CHECK_MARRIAGE_RELATIONS";"Akrabalık derecesini denetle"
"SHOW_DEAD_PEOPLE";"Hayatta olmayan şahısları göster"
"select_privacyfile_button";"Mahremiyet dosyasını seç"
"PRIVACY_BY_YEAR";"Mahremiyeti hadisenin yalşı ile sınırla"
"edit_langdiff";"Dil dosyalarının içeriğini ve dil ayarlarını işle"
"bom_check";"Dil dosyası içinde BOM denetimi"
"edit_lang_utility";"Dil dosyalarının içeriğini değiştirme aracı"
"language_to_edit";"İçeriği değiştirilecek dil"
"file_to_edit";"İçeriği değiştirilecek dosya tipi"
"check";"Denetle"
"lang_save";"Hafıza et"
"contents";"İçerik"
"listing";"Gösterilen dosya"
"no_content";"İçerik yok"
"original_message";"Orjinal mesaj"
"message_to_edit";"Değiştirilecek mesaj içeriği"
"changed_message";"Değiştirmiş içerik"
"message_empty_warning";"-&lt; Dikkat!!! Bu mesajın içeriği [#LANGUAGE_FILE#] dosyasında boştur &gt;-"
"language_to_export";"İhraç edilecek dil"
"export_lang_utility";"Dil dosyasını ihraç etme aracı"
"export";"İhraç et"
"export_ok";"Yardım mesajları ihraç edilmiştir"
"compare_lang_utility";"Dil dosyalarını karşılaştırma aracı"
"new_language";"Kaynak dil"
"old_language";"İkinci dil"
"compare";"Karşılaştır"
"comparing";"Karşılaştırılan diller"
"additions";"Eklemeler"
"no_additions";"Ekleme yapılmamış"
"subtractions";"Silinenler"
"no_subtractions";"Hiç bir mesaj silinmemiştir"
"config_lang_utility";"Desteklenen dillerin ayarı"
"active";"Kullanımda"
"edit_settings";"Ayarları değiştir"
"lang_edit";"İşle"
"lang_language";"Dil"
"lang_back";"Dil dosyalarının içeriğini ve dil ayarlarını işlemek için ana sayfaya geri dön"
"lang_back_admin";"İdare / Ayarlar sayfasına geri dön"
"lang_back_manage_gedcoms";"GEDCOM ayarlandırma sayfasına geri dön"
"lang_name_czech";"Çekçe"
"lang_name_chinese";"Çince"
"lang_name_danish";"Danca"
"lang_name_dutch";"Hollandaca"
"lang_name_english";"İngilizce"
"lang_name_finnish";"Fince"
"lang_name_french";"Fransızca"
"lang_name_german";"Almanca"
"lang_name_hebrew";"İbranice"
"lang_name_hungarian";"Macarca"
"lang_name_italian";"İtalyanca"
"lang_name_norwegian";"Norveççe"
"lang_name_polish";"Lehçe"
"lang_name_portuguese";"Portekizce"
"lang_name_portuguese_br";"Brezilya Portekizcesi"
"lang_name_russian";"Rusça"
"lang_name_spanish";"İspanyolca"
"lang_name_spanish_ar";"Latin Amerika İspanyolcası"
"lang_name_swedish";"İsveççe"
"lang_name_turkish";"Türkçe"
"lang_name_greek";"Yunanca"
"lang_name_arabic";"Arapça"
"lang_new_language";"Yeni Dil"
"original_lang_name";"Bu dilin #D_LANGNAME# dilindeki gerçek ismi"
"lang_shortcut";"Dil dosyaları için kısaltma"
"lang_langcode";"Dil belirleme kodları"
"lang_filenames";"Dil dosyaları"
"flagsfile";"Bayrak dosyasının ismi"
"text_direction";"Yazım yönü"
"date_format";"Tarih biçimi"
"time_format";"Saat biçimi"
"week_start";"Haftanın ilk günü"
"name_reverse";"Önce soy isim"
"ltr";"Soldan sağa"
"rtl";"Sağdan sola"
"file_does_not_exist";"HATA! Bu dosya yoktur..."
"alphabet_upper";"Alfabe büyük harf"
"alphabet_lower";"Alfabe küçük harf"
"lang_config_write_error";"Hata!!! [language_settings.php] adlı dosyaya yazamadım. Lütfen dosya ve dizin izinlerini denetleyin ve ondan sonra bu adımı tekrar deneyin."
"translation_forum";"SourceForge sitesindeki Genmod tercüme forumuna bağlantı"
"system_time";"Sistemin aktüel saati:"
"gedcom_not_imported";"Bu GEDCOM veritabanı daha ithal edilmemiştir."
"add_new_language";"Yeni bir dil için gerekli olan dosya ve ayarları ekle"
"add_new_lang_button";"Yeni dil ekle"
"hide_translated";"Tercümesi tamamlanmış olanları sakla"
"lang_file_write_error";"Hata!!!<br /><br />Secilen dil dosyasina degisiklikleri yazamadım!<br />Lütfen [#lang_filename#] adlı dosyaya yazma izinini denetleyin ve ondan sonra bu adımı tekrar deneyin."
"no_open";"H A T A !!!<br /><br />#lang_filename# isimli dosyayı okuyamadım"
"um_header";"Üye verilerini kaydırma aracı"
"um_file_not_created";"Dosya yaratılmadı."
"um_backup";"Yedekleme"
"um_bu_config";"Genmod yapılandırma dosyası"
"um_bu_gedcoms";"GEDCOM dosyaları"
"um_bu_gedsets";"GEDCOM ayarları, yapılandırma ve mahremiyet dosyaları"
"um_bu_logs";"GEDCOM sayacları, Arama- ve Genmod-Günlük dosyaları"
"um_mk_bu";"Yedeklemeyi yap"
"um_nofiles";"Yedekleme için hiç bir dosya bulunamadı."
"um_files_exist";"Bir ya da birkaç dosya mevcuttur. Onların üstüne yazmak istiyormusunuz?"
"0";"0"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"
"6";"6"
"7";"7"
"8";"8"
"9";"9"
"10";"10"
"100";"100"
"1000";"1000"
