"ABBREVIATE_CHART_LABELS";"Forkorte ledeord i diagram"
"help_family.php";"~Siden: Familie-opplysninger~<br /><br />Denne siden vil vise en oversikt over valgt familie.<br /><br />På venstre side fra toppen ser du følgende bokser:<ul><li>Ektemannen og hans foreldre</li><li>Hustruen og hennes foreldre</li><li>Barna</li></ul>- Utseende og innholdet til boksene er lik den du finner for <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> og <a href="?help=help_descendancy.php">#gm_lang[descend_chart]#</a>.<br />- Klikker du på pilen til høyre for navneboksene til foreldrene, vil du siden med familiesiden til disse forfedrene/-mødrene (dersom disse  i slektsbasen).<br />- <i>Inne</i> i navnerammen til høyre, vil du kunne se et forstørrelsesglass for å vise litt mer informasjon om personen. Ved å klikke på navnet, vil du få opp siden med faktopplysninger om personen.<br /><br />På høyre side fra toppen ser du:<ul><li>Menyen "#gm_lang[fams_charts]#" som inneholder:<dl><dt><b>#gm_lang[charts]#</b></dt><dd>Her vil du flere varianter av diagrammet #gm_lang[timeline_chart]# der personer fra denne side er forhåndsvalgt.</dd><dt><b>#gm_lang[reports]#</b></dt><dd>Her finner du noen rapporter som er relatert til familien. Her vil også denne familien være forhåndsvalgt.</dd><dt><b>#gm_lang[edit]#</b></dt><dd>Dersom du har de nødvendige rettigheter, vil du her få ulike valg for å legge til, endre eller slette opplysninger for familien.</dd><dt><b>#gm_lang[other]#</b></dt><dd>Her kan det være at du vil få valget om å legge denne familien i Utklippsmappen og vise opplysningene om denne familien slik de er lagret i slektsfilen.</dd></dl></li><li>#gm_lang[family_group_info]#<br />Viser alle kjente faktaopplysninger om familien, slik som ekteskap, multimediafiler og noter. Du kan klikke på stedsnavn, datoer, mulimediafiler, kilder mm, og da vil du få opp sider med andre personer som er knytter til de samme faktaene.<br />Dersom du har de nødvendige rettigheter, så kan du endre, slette og legge til fakta også.</li></ul>Under boksene til barna kan du finne du en link for å "#gm_lang[add_child_to_family]#".<br />"
"help_famlist.php";"~Siden: Familieliste~<br /><br />På denne siden kan du få en liste over familier.<br /><br />Navnene vil bli vist med etternavnene først og sortert i alfabetisk rekkefølge.<br />Hvordan navnelista blir vist avhenger av:</dt><ol><li>Bokstaven du klikket på i alfabet-indeksen.</li><li>Du klikket på Vis "utvidet liste" eller "kun etternavn".</li></ol>Du kan søke etter etternavnet til både ektemannen og hustruen. Begge finnes i listen.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_fanchart.php";"~Siden: #gm_lang[fan_chart]#~<br /><br />Dette valget er veldig likt <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, men viser det på en mer grafisk måte.<ul><li>Start-personen (proband) blir vist i midten, foreldrene i den første ringen, besteforeldrene i den andre ringen, osv...</li><li>Dersom årene for fødsel og død er kjent, vil disse bli vist under navnet.</li><li>Ved å klikke på et navn i diagrammet, vil du få opp et nytt diagram med denne personen som start-person (proband).</li><li>Under navnet til start-personen (proband) er det en pil og ved å klikke på denne, vil du få fram et vindu der du kan velge barn eller søsken til start-personen.</li></ul><b>PS.</b> <i>Dersom nettstedet ikke støtter grafisk visning, vil du ikke få dette valget!</i>"
"help_faq.php";"~Ofte spurte spørsmål~<br />#gm_lang[text_faq_help]#<br />"
"help_for_this_page";"Hjelp for denne siden"
"help_header";"Hjelp / informasjon om:"
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />Diagrammet Timeglass vil vise forfedre og etterkommere til valgt person i samme diagram.  Dette diagrammet er en miks mellom diagrammene <a href="?help=help_pedigree.php">#gm_lang[index_header]#</a> og <a href="?help=help_descendancy.php">#gm_lang[descend_chart]#</a>.<br /><br />Hovedpersonen er sentrert i midten av siden med etterkommere vist til venstre og forfedre til høyre.  I dette diagrammet er hvert slektsledd vist slik at det yngste starter til venstre og ender med det eldste til høyre.<br /><br />"
"help_indilist.php";"~Siden: Personliste~<br /><br />På denne siden kan du få en liste med enkeltpersoner.<br /><br />Navnene vil bli vist med etternavnene først og sortert i alfabetisk rekkefølge.<br />Hvordan navnelista blir vist avhenger av:<ol><li>Bokstaven du klikket på i alfabet-indeksen.</li><li>Du klikket på Vis "utvidet liste" eller "kun etternavn".</li></ol>#gm_lang[context_help]#<br /><br />"
"help_individual.php";"~Siden: #gm_lang[indi_info]#~<br />Denne siden vil vise alle opplysninger om personen.<br /><br />Dersom det er et bilde tilgjengelig, så vil du se det øverst til venstre.<br />Ved siden av bildet (hvis det er der) vil du se detaljer om navnet til personen.<br />Dersom noen av navnene har noter eller kilder knyttet til seg, vil du se dem opplistet under de tilhørende navnene.<br />En person kan også ha et alias (kjent under et annet navn) og da vil dette også bli vist.<br /><br />På denne siden vil du se egne ark med tilhørende "faner", der du vil finne all informasjon som er lagret i slektsbasen om denne personen:<dl><dt><b>#gm_lang[personal_facts]#</b></dt><dd>Dette arket vil vise deg alle faktaopplysninger om denne personen og eventelle ekteskap.<br />- Klikker du på en dato så vil du få opp #gm_lang[anniversary_calendar]#, slik at du kan se alle hendelser i slektsbasen som hendte på denne dagen.<br />- Klikker du på et sted, vil du få opp siden med stednavn, slik at du kan se alle hendelser i slektsbasen som hendte på det samme stedet.  For ekteskap og andre hendelser knyttet til familien, vil navnet til ektefellen også vises slik at du kan se på denne og og en link til familien.</dd><dt><b>#gm_lang[notes]#</b></dt><dd>Dette arket vil vise deg eventuelle notater som er gjort om denne personen.</dd><dt><b>#gm_lang[ssourcess]#</b></dt><dd>Dette arket vil vise deg alle kilder som er knyttet til denne personen.  Klikker du på tittelen til kilden, så vil du få opp siden med kilder i slektsbasen slik at du kan se andre personer som er knyttet til den samme kilden.</dd><dt><b>#gm_lang[media]#</b></dt><dd>Dette arket vil vise deg alle bilder og andre medieobjekt som er knyttet til personen.  Klikke du på et minibilde, vil du få se bilde i full størrelse.</dd><dt><b>#gm_lang[relatives]#</b></dt><dd>Dette arket viser deg foreldre og søsken til personen, i tillegg til alle ektefeller og barn denne personen har eller har hatt.  Personene vil bli vist i bokser tilsvarende de du også vil kunne se i diagram.</dd></dl>Øverst til høyre på siden, vil du se en meny med <b>#gm_lang[indis_charts]#</b>.<dl><dt><b>#gm_lang[charts]#</b></dt><dd>De fleste er like med dem du finner i hovedmenyen, men forskjellen er at her vil personen på siden bli startpersonen (proband) i diagrammene i steden for den vanlige startpersonen i slektsbasen.<br />Dersom du er logget inn og er knyttet til slektsbasen, vil du også få valget <i>#gm_lang[relationship_to_me]#</i>.</dd><dt><b>#gm_lang[reports]#</b></dt><dd>Her finner du noen rapporter som er relatert til personer. Her vil også personen på siden bli startperson.</dd><dt><b>#gm_lang[edit]#</b></dt><dd>Dersom du har de nødvendige rettigheter, vil du her få ulike valg for å legge til, endre eller slette opplysninger for personen.</dd><dt><b>#gm_lang[other]#</b></dt><dd>Her kan det være at du vil få valget om å legge denne personen i Utklippsmappen og vise opplysningene om denne personen slik de er lagret i slektsfilen.</dd></dl>Mer hjelp er tilgjengelig for siden ved å klikke på <b>?</b> ved linkene eller boksene."
"help_info";"Du kan få hjelp i hver enhet ved å klikke på det røde "?" ved ledeteksten ut for hvert felt."
"help_medialist.php";"~Siden: Bilder eller andre medier~<br /><br />Denne listen viser alle MultiMedia-filer (MM) som er lagret i denne slektsbasen eller med kobling til en anne Internett-adresse (URL).<ul><li>For hvert MM kan du finne en tittel eller filnavn, navn på personer eller familier som er knyttet til MM, og eventuelle noter.</li><li>Ved å klikke på navnet eller direkte på bildet, så vil filen/URLen, avhengig av formatet (eks.: *.gif, *.jpg), åpnes i den interne bildefremviseren eller i nettleseren din.</li><li>Ved å klikke på linjen med "Vis person/familie/kilde" under navnet, så vil du få opp siden med fakta om personen, familien eller kilden.</li><li>Ved å høyreklikke på et MM, vil du få fram de valgene som nettleseren din gir deg. Som for eksempel, lagre et bilde, bruke det som bakgrunn, få en utskrift, osv.</li></ul>"
"help_not_exist";"<b>Hjelpeteksten for denne siden eller delen er ikke lagt inn enda</b>"
"help_page";"Hjelp"
"help_pedigree.php";"~Siden: Anetre~<br /><br />Et slektstre er en opptelling av alle forfedre/-mødre til start-/hovedpersonen.<br />Når du åpner siden, er startpersonen valgt av administratoren til nettstedet vist til venstre. Dersom du har logget deg inn som en bruker, kan du ha valgt din egen start-/hovedperson.<br /><br />"Alle forfedre" betyr som sagt far og mor, og deres foreldre osv.<br />På denne siden er slektstreet vist grafisk.  Du behøver ikke lete på flere sider med tekst for å finne ut hvor forfedrene dine er.<br />Alle personene blir vist i egne bokser med linjer mellom som viser tilhørigheten.<dl><dt><b>Navneboksene på slektstreet</b></dt><dd>Dersom slektstreet er satt opp til å vise detaljer, vil du se navnet til personen og datoene for fødsel og eventuelt død.<br />Du kan klikke på navnet til personen, og da vil du bli vist en side med fakta om denne personen.</dd><dt><b>Ikoner inni navneboksen</b></dt><dd>Når valget "Vis detaljer" er merket, er det også to ikoner inne i hver navneboks. Avhengig av oppsettet for nettstedet må du enten bevege musen over ikonet, eller klikke på det.<br />Når du klikker, eller beveger deg over dette ikonet, så vil det komme fram en ny undermeny.<br />Valgene "#gm_lang[index_header]#" og "#gm_lang[descend_chart]#" er tilsvarende dem du finner i hovedmenyen, men forskjellen er at start-personen nå er personen i den valgte boksen.<br />Du vil også se "#gm_lang[fam_spouse]#". Under der ser du navnet på ektefellen/parneren, fulgt av eventuelle barn.<br />Du kan klikke på alle navn.</dd><dt><b>Forstørrelsesglass inni navneboksen</b></dt><dd>Dette ikonet er også påvirket av oppsettet for siden. Du må enten bevege musen over det, eller klikke på det.<br />Dette gjør navneboksen større slik at det blir vist flere opplysninger om personen.<br />Du vil se flere hendelser og tilhørende datoer. Også her kan du klikke på eventuelle navn.</dd><dt><b>Pilene</b></dt><dd>Til venstre og høyre for de ytterste navneboksen(e) til venstre og høyre på skjermen vil du kunne se piler.<br />Disse gir deg mulighet, ved å klikke på dem, til å forskyve slektstreet et slektsledd ned eller opp.</dd></dl><br />#gm_lang[context_help]#<br/ ><br />"
"help_placelist.php";"~Stedsnavn~<br />(eller personer fra sted)<br /><br />På denne siden kan du se hvilke personer eller familier som koblet til ulike steder vist som nivåer eller en utvidet liste med alle stedsnavn.<br /><br />Dersom det er en kobling mellom en person eller familie og en begivenhet på et bestemt sted, vil programmet finne det for deg.<br /><br />Resultatet blir vist i en todelt liste:<br />En for personer og en for familier.<br /><br />#gm_lang[more_help]#"
"help_relationship.php";"~Siden: Slektsskap~<br /><br />På denne siden kan du vise familietilhørigheten mellom to personer.<br />Det er ikke sikkert at disse personene har et direkte slektskap (blodslinje).<br />Enhver tilhørighet vil bli funnet!"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />Dette er en rapport som viser alle slektninger til den valgte personen.  Du kan velge hvilke slektninger i tillegg til valgt person:<ul><li><b>#gm_lang[child-family]#</b> vil vise foreldre og søsken.</li><li><b>#gm_lang[spouse-family]#</b> vil vise ektefelle og felles barn.</li><li><b>#gm_lang[direct-ancestors]#</b> vil vise foreldre, besteforeldre, oldeforeldre, ... til det ikke finnes flere registrerte foreldre i slektslinjen til personen.</li><li><b>#gm_lang[ancestors]#</b> vil vise alle personer i rapporten #gm_lang[direct-ancestors]# og i tillegg tanter og onkler, søsken til besteforeldre osv.  Den vil ikke vise søskenbarn.</li><li><b>#gm_lang[descendants]#</b> vil vise etterkommere (barn, barnebarn, osv).</li><li><b>#gm_lang[all]#</b> vil vise en kombinasjon av rapportene #gm_lang[descendants]# og #gm_lang[ancestors]#.</li></ul><br /><br />"
"help_repo.php";"~#gm_lang[repo_info]#~<br /><br />Detaljer om oppbevaringsstedet blir vist her. Sammen med kilder, er informasjon om oppbevaringsstedene veldig viktig for slektsforskere.  Ved å ha nøyaktig informasjon om kilder og oppbevaringsteder, kan du følge sporene andre slektsforskere brukte for å finne informasjonen.  Du bør kunne finne den samme informasjonen igjen.<br /><br />På denne siden vil du forhåpentligvis kunne se informasjon om navnet på oppbevaringsstedet, adresse, epost og internettside.<br /><br />Etter informasjonen om oppbevaringsstedet, vil du se en liste med alle kilder som er knyttet til dette oppbevaringsstedet. Det gir deg muligheten til å se all informasjon som er funnet på dette bestemte oppbevaringsstedet.<br /><br />Du vil også ha to eller flere meny-valg på denne siden dersom administratoren til nettstedet har aktivert dette:<br /><b>#gm_lang[view_gedcom]#</b>, som viser informasjonen i GEDCOM-format.<br /><b>#gm_lang[add_to_cart]#</b>, som gjør det mulig å kopiere informasjonen til #gm_lang[clip_cart]# ditt. Herfra kan du hente ned (download) informasjonen i GEDCOM fil-format og import den inn i slektsprogrammet ditt på din lokale maskin.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_repolist.php";"~#gm_lang[repo_list]#~<br /><br />En liste med oppbevaringssteder eller arkivat blir vist på denne siden.<br />Navnene er vist i alfabetisk rekkefølge.<br /><br /><b>Oppbevaringssted</b><br />Uten oppbevaringssteder for kilder kan kan vi ikke lage slektsbasen vår. Det er en kilde for all informasjon lagret her, og kildene oppbevares på et oppbevaringssted. Oppbevaringssteder kan være en person, arkivet til en person, en institusjon, en offentlig database, et offentlig eller kirkelig arkiv, en Internett-kilde, osv. For å få tilgang til en kilde så ønsker vi å vite hvor og på hvilket sted den befinner seg. All nødvendig informasjon for å finne en kilde bør lagres i en liste over oppbevaringssteder.<br /><br />Et oppbevaringssted kan knyttes mot mange kilder.<br /><br />"
"help_reportengine.php";"~Rapporter~<br /><br />Valgene i menyen vil gi deg rapporter i formatet <a href="?help=def_pdf_format_help">PDF</a> (som betyr at du må ha et program som kan vise/skrive ut dette formatet, for eksempel <a href="http://www.adobe.com/products/acrobat/readstep2.html" alt="Hent det gratis her" title="Hent det gratis her" >Adobe Reader</a>).<br />Etter å ha valgt ønsket rapport, må du gjøre ulike valg i forhold til hva som skal vises;<br />- I rapporten for person kan du blant annet velge om du vil vise kilder, noter og bilder.<br />Du kan enten velge <b><i>#gm_lang[run_report]#</i></b> for å se på rapporten (ikke tilgjengelig...) eller <b><i>#gm_lang[download_report]#</i></b> for å lagre den på datamaskinen din. <br /><br />Noen av de tilgjengelige rapportene er:<ul><li><a href="#report_ahnen">#gm_lang[ahnentafel_report]#</a><li><a href="#report_birth">#gm_lang[birth_report]#</a><li>#gm_lang[individual_report]#<li>#gm_lang[family_group_report]#<li>#gm_lang[index_header]#<li><a href="#report_rela">#gm_lang[relatives_report]#</a><br /><br /><li><a href="#report_report">Lage rapporter</a></li></ul><br /><br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_ahnen"> </a>#gm_lang[help_ahnentafel.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_birth"> </a>#gm_lang[help_birthlist.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_rela"> </a>#gm_lang[help_relativelist.xml]#<br /><a href="#top">#gm_lang[UpArrow]#</a><a name="report_report"> </a>#gm_lang[help_xml_reports]#<br />"
"help_search.php";"~Siden: Søke~<br />Selv om denne siden ser ut til å være veldig enkel, så er det forholdsvis kraftig søkemuligheter som tilbys.<br />- Til forskjell fra andre nettsteder som viser slektsopplysninger der du kan søke på (etter)navn, så kan Genmod praktisk talt søke etter alt mulig som finnes i slektsbasen!<dl><dt><b>Søkefeltet på venstre side av skjermen</b><br />(er det samme som søkefeltet på toppen av siden.)</dt><dd>- Dersom du leter etter personer knyttet til et bestemt år, kan du bare skrive inn året. Programmet vil finne alle forbindelse for deg.</dd><br /><dd>- Lete etter et navn, eller et sted?<br />Skriv bare inn navnet eller stedet, hele eller bare deler av det, og programmet gjør resten.</dd><dt><b>Søkefeltet på høyre side av skjermen</b><br />Fonetisk søk.</dt><dd>Her kan du søke etter navn dersom du ikke er helt sikker på hvordan det staves.</dd><dt>#gm_lang[more_help]#</dt></dl>"
"help_source.php";"~Siden: Detaljer om kilder~<br /><br />På denne siden vises opplysninger om kildene. Kilder er veldig viktig for slektsforskere og vil hjelpe deg til å følge sporene andre forskere brukte for å finne informasjonen.<br /><br />Her vil du kunne se informasjon om tittel på kilden, forfatter, publikasjon og hvor stedet kilden ble funnet.  Fordi det er så mange forskjellige typer kilder, kan noen kilder ha mer informasjon enn andre.<ul><li>Dersom et multimedia-objekt er knyttet til kilden (slik som et skannet dokument), kan du se objektet i et eget vindu ved enten å klikke på objektet eller filnavnet ved siden av.</li><li>Etter detaljopplysningen om kilden, vil du se en liste med alle personer og/eller familier som er knyttet til kilden.  Dette gjør at du kan se all informasjon som ble funnet i en bestemt data-kilde.</li><li>Du vil kunne se en eller to meny-ikoner på siden dersom administratoren av nettstedet har aktivisert dem:<ul><li><i>#gm_lang[view_gedcom]#</i>, som viser informasjonen i slektsfilen.</li><li><i></i>, som gjør at du kan lagre denne informasjonen i #gm_lang[clip_cart]# din. Derfra kan du laste ned (download) informasjonen og importere den til ditt eget slektsprogram.</li></ul></li></ul>#gm_lang[context_help]#"
"help_sourcelist.php";"~Siden: Liste med kilder~<br /><br />På denne siden vises en liste over kilder.<br />Det er vanskelig å finne en meningsfull sorterings-rekkefølge for alle type kilder, fordi kilder kan være personer med fornavn og etternavn, eller det kan være offentlige databaser, kirkebøker osv. Derfor vises det ikke noen alfabetisk indeks på toppen.<br /> For å ha en viss sortering, brukes kildenavnene.<br /><br /><b>Om kilder</b><br />Vi er avhengige av kilder for å kunne lage en slektsbase, fordi all informasjon i databasen er fra en eller flere kilder. Det kan være en slektning til en person, en institusjon, offentlig database, kirkebok osv.<br />En kilde kan være koblet til mange personer. For å si det på en annen måte, kan en person også være koblet til mange kilder. Du kan ha flere kilder for hver begivenhet, om det er fødselsdag, yrke, ekteskap, barn, osv.<br /><br />"
"help_timeline.php";"~Siden: Tidslinje~<br /><br />På denne siden kan du vise en eller flere person(er) langs en tidslinje.<br />Du kan for eksempel vise statusen til to eller flere personer på et gitt tidspunkt.<br /><ul><li>Dersom du klikker på en Tidslinje-link på en faktaside til en person eller familie, vil denne personen / partnere vises som første person(er) på tidslinjen.</ul><ul><li>Dersom du klikker på Tidslinje i toppmenyen, så starter du med en "blank" side uten at det er valgt noen person(er).</ul>"
"help_uploadmedia.php";"~Hente (upload) Medie-filer~<br /><br />Å laste opp (upload) filer er enkelt, så her er litt tilleggsinfomasjon:<br /><br /><b>#gm_lang[thumbnail]</b><br />Disse små bildene bør ha en bredde på rundt 100px.<br />Filnavnet <b>må</b> være det samme som originalen.<br /><br /><b>Overføre (upload)</b> <br />Filene vil bli overført og lagret i mappen ../media for de store bildene og ../media/thumbs/ for de små bildene. <br /><br />#gm_lang[readme_help]#"
"help_xml_reports";"~Lage rapporter~<br />Genmod lager rapporter ved hjelp av malfiler i kodespråket XML (avansert utgave av HTML). Formatet på rapportene er <a href="?help=def_pdf_format_help">PDF</a>.<br /><br />De viste rapportene er et resultat av XML-filer funnet i mappen "reports".  Du kan lage dine egne rapporter ved å kopiere en av de eksisterende malene og endre innholdet.<br />Nye rapporter i mappen "reports" vil automatisk bli oppdaget og vist i menyvalget "Rapporter".<br /><br />"
"hidden";"Skjulte"
"hide";"Skjul"
"hide_block_warn";"Dersom du velger å ikke vise en tom ramme, vil du heller ikke kunne endre oppsettet for rammen før den vises igjen ved at den ikke lenger er tom."
"hide_changes";"Klikk her for å skjule endringer."
"hide_contexthelp";"Skjul tilhørende hjelpetekster"
"0";"0"
"hide_details";"Skjul detaljer"
"hide_translated";"Skjul oversatt tekst"
"highlighted";"Bruke som hovedbilde"
"hijri";"Hijri"
"hit_count";"Antall treff:"
"hourglass_chart";"Timeglass"
"hs_close";"Lukk vindu"
"hs_inallhelp";"All tekst"
"hs_intro";"Du kan søke i helpesystemet til Genmod.  #gm_lang[hs_title]# gir deg mulighet til å ha en stor grad av kontroll med søkemulighetene; du bør lett kunne finne det du søker etter."
"hs_intruehelp";"Bare i hjelpetekst"
"hs_keyword";"Søk etter"
"hs_keyword_advice";"~#gm_lang[hs_keyword]#~<br />Du angir ordene eller emnet du ønsker å finne.<br /><br />Søket bryr seg ikke om store/små bokstaver.  Dersom du søker etter <b>Ekteskap</b>, så vil du finne tekst som inneholder <b>Ekteskap</b>, <b>ekteskap</b> eller <b>EKTESKAP</b>.  Du vil også finne tekst ordet kan være en del av et annet ord (f.eks.  <b>ekteskapsrådgiver</b>).<br /><br />Du kan også søke etter flere ord samtidig.  Skriv inn ordene med kun mellomrom som skille (eks.  <b>person&nbsp;familie&nbsp;barn</b>).  Når du angir flere ord, vil disse bli angitt i feltet #gm_lang[hs_searchhow]#.<br />"
"hs_results";"Resultat funnet:"
"hs_search";"Søk"
"hs_searchall";"Alle ord"
"hs_searchany";"Vilkårlige ord"
"hs_searchconfig";"Administratorhjelp"
"hs_searchhow";"Søkemetode"
"hs_searchhow_advice";"~#gm_lang[hs_searchhow]#~<br />Du klargjør meningen med det du har angitt i feltet #gm_lang[hs_keyword]# ved å velge blant mulghetene her.<br />Dersom for eksempel du skrev inn  <b>person&nbsp;familie&nbsp;barn</b>, vil:<dl><dt><b>#gm_lang[hs_searchany]#</b></dt><dd> Valget vil søke etter ett eller flere av disse ordene i hjelpeteksten, men rekkefølgen av ordene vil ikke ha noen ingen innvirkning.  Valget betyr: "Finn hjelpetekst som inneholdet <u>ett eller flere</u> av ordene <b>person</b>, <b>familie</b> og <b>barn</b>".</dd><br /><dt><b>#gm_lang[hs_searchall]#</b></dt><dd>Valget vil søke etter alle disse ordene i hjelpeteksten, men rekkefølgen av ordene vil ikke ha noen ingen innvirkning.  Valget betyr: "Finn hjelpetekst som inneholdet <u>alle</u> ordene <b>person</b>, <b>familie</b> og <b>barn</b>".</dd><br /><dt><b>#gm_lang[hs_searchsentence]#</b></dt><dd>Valget vil søke etter alle disse ordene i hjelpeteksten med den rekkefølgen som er angitt.  Valget betyr: "Finn hjelpetekst som inneholdet <u>alle</u> ordene <b>person</b>, <b>familie</b> og <b>barn</b> i nøyaktig den rekkefølgen uten andre ord mellom".  Du vil sannsynligvis ikke få noe resultat med over nevne eksempel, men kan være nyttig med andre orskombinasjoner.</dd></dl><br />NB! Det er noen få begrensninger ved denne type søk.  Noen spesielle tegn som f.eks. <b>&quot; &lt; &gt;</b> osv. er lagret i hjelpeteksten på en spesiell måte og vil derfor ikke bli funnet dersom de er en del av søkeordet.  Dette gjelder i noen tekster også for mellomrom (<b>&amp;nbsp;</b>)."
"hs_searchin";"Søk i"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />Du bestemmer omfanget av søket ditt her.<br /><br />Vanlige brukere kan bare søke i Brukerhjelpen, mens Administratorer har valget om å søke i Brukerhjelp og/eller Konfigurasjonhjelp.<br /><br />Hjelpetekstene innholder også noen spesielle koder.  Dette valget gir deg også mulighet til å søke etter disse.<br />"
"hs_searchsentence";"Nøyaktig"
"hs_searchuser";"Brukerhjelp"
"hs_title";"Søk i hjelpetekst"
"html_block_descr";"Dette er en enkel ramme som du kan legge på siden din for å vise en beskjed (i HTML-format)."
"html_block_name";"Rammen Enkle beskjeder (HTML)"
"html_block_sample_part1";"<p class="blockhc"><b>Sett inn tittelen din her</b></p><br /><p>Klikk på knappen for oppsett"
"html_block_sample_part2";"for å endre det som skal stå her.</p>"
"html_reports";"HTML rapporter"
"husb_present";"Denne familien har allerede en tilknyttet ektemann."
"husband";"Ektemann"
"husband_added";"Ektemann er nå lagt til."
"id";"ID"
"illegal_chars";"Ugyldige tegn i navn"
"image_format";"Bilde-filtype"
"image_size";"Bilde-størrelser"
"imageview";"Bildeframviser"
"import_complete";"Import ferdig"
"import_gedcom";"Importer en slektsfil"
"import_marr_names";"Importere Navn som gift"
"import_multiple";"Importere og arbeide med flere slektsfiler"
"import_options";"Importvalg"
"import_progress";"Import utført..."
"import_sql";"SQL-filer er funnet i katalogen index. Siden det er sannsynlig at de stammer fra Overførings-verktøyet, kan du velge å importere informasjonen inn i databasen din. Ønsker du å importere disse filen inn i databasen nå?<br />NB! All eksisterende bruker-relaterte informasjon (brukere, nyheter, favoritter, oppsett for rammer og beskjeder) vil bli overskrevet!<br /><br />Dersom du ønsker å fortsette, vil Genmod prøve å importere dataene. Dersom det skulle vise seg å ikke gå, så vil du uansett få valget om å opprette den første administrator-kontoen.<br /><br />"
"import_statistics";"Import-statistikk"
"import_time_exceeded";"Maks utføringstid for en handling er nådd !<br />- Klikk på knappen "Fortsett" for å gjenoppta importen av slektsfilen (som ny handling)."
"importing_dates";"Importerer dato-data"
"importing_places";"Importerer steder"
"importing_records";"Importerer slektsdatene til slektsbasen"
"in_this_month";"Årsdager for hendelser i slekten..."
"in_this_year";"Hendelser i slekten..."
"inc_languages";"Språk"
"index_complete";"Indeksering ferdig."
"index_edit_advice";"Merk navnet til en ramme og klikk på en av pilene for å flytte rammen i ønket retning."
"index_header";"Anetre"
"indi_complete";"Oppdatering av personindeksfilen er ferdig."
"indi_downloaded_from";"Denne personen er hentet fra:"
"indi_info";"Person-opplysninger"
"indis_charts";"Valg for denne personen"
"indis_with_surname";"Personer med etternavnet #surname#"
"individual";"Person"
"individual_list";"Personer"
"individual_list_report";"Liste over personer"
"individual_report";"Person"
"individuals";"Personer"
"infant";"Spedbarn"
"informant";"Informant"
"information";"Informasjon-beskjed"
"inject_media_tool";"Legg til media i slektsfilen"
"int";"tolket"
"invalid_dates";"Oppdaget ugyldig dato-format. Ved rydding vil disse bli endret til formatet DD MMM ÅÅÅÅ (f.eks. 1 JAN 2004)."
"invalid_email";"Tast inn en gyldig epost-adresse."
"invalid_gedformat";"Ugyldig GEDCOM 5.5 format"
"invalid_header";"Oppdaget at det er linjer før startlinjen (0 HEAD) i slektsfilen.  Under oppryddingen vil disse linjene bli fjernet."
"invalid_id";"Ukjent ID i denne slektsbasen."
"invalid_search_input";"Vennligst angi fornavn, etternavn eller stedsnavn \n\t i tillegg til år"
"invalid_username";"Brukernavnet inneholder ugyldige tegn"
"ip_address";"IP-adresse"
"is_alive_in";"<i>Levde i året&nbsp;&nbsp;#YEAR#</i>"
"item_with_id";"Objekt med id"
"jan";"januar"
"jewish";"Jødisk"
"jewish_and_gregorian";"Jødisk og Gregoriansk"
"jul";"juli"
"julian";"Juliansk"
"jun";"juni"
"just_family";"Bare familien alene."
"just_person";"Bare personen alene."
"landscape";"Liggende tre"
"lang_back";"Gå tilbake til hovedmenyen for å endre og konfigurere språk-filer"
"lang_back_admin";"Tilbake til Admin-meny"
"lang_back_manage_gedcoms";"Gå tilbake til siden til Slektsfil(er) og personvern"
"lang_config_write_error";"Feil ved skriving av språkets innstillinger til filen [language_settings.php]. Sjekk rettigheter og prøv igjen."
"lang_debug";"Feilsøking-informasjon i hjelptekster"
"lang_debug_desc";"Når du aktivert dette valget, vil navnene til språk-variablene brukt i hjelpeteksten vises sammen med teksten i hjelpeviduet.<br />Dette kan hjelpe oversettere å finne det rette variabel-navnet som skal endres.<br /><br />Denne innstillingen vil ikke være aktivert neste gang du logger deg inn i Genmod."
"lang_debug_use";"Bruk valget Feilsøking-informasjon i hjelpetekster"
"lang_edit";"Endre"
"lang_file_write_error";"F E I L !!!<br /><br />Klarte ikke å lagre endringer i den valgte språkfilen!<br />Sjekk rettighetene til å skrive til (#lang_filename#)"
"lang_filenames";"Navn på språk-filer"
"lang_langcode";"Kode(r) for gjennkjenning av språk"
"lang_language";"Språk"
"lang_name_arabic";"Arabisk"
"lang_name_chinese";"Kinesisk"
"lang_name_czech";"Tsjekkisk"
"lang_name_danish";"Dansk"
"lang_name_dutch";"Nederlandsk"
"lang_name_english";"Engelsk"
"lang_name_finnish";"Finsk"
"lang_name_french";"Fransk"
"lang_name_german";"Tysk"
"lang_name_greek";"Gresk"
"lang_name_hebrew";"Hebraisk"
"lang_name_hungarian";"Ungarsk"
"lang_name_italian";"Italiensk"
"lang_name_lithuanian";"Litauisk"
"lang_name_norwegian";"Norsk"
"lang_name_polish";"Polsk"
"lang_name_portuguese";"Portugisisk"
