"ABBREVIATE_CHART_LABELS";"קצר תגים בתרשימים"
"help_family.php";"~דף פירוט של משפחה~<br /><br />הדף מראה לך סקירה כללית של המשפחה שבחרת בדף הקודם.<br /><br />מלמעלה למטה תראה תיבות עם נתונים אישיים של הבעל והוריו, האישה והוריה והילדים.<br /><br />המבנה והתוכן של התיבות האישיות זהים לתוכן התיבות המוכרות מדף אילן היוחסין או מדף הצאצאים.<br /><br />משמאל לתיבות של ההורה יתכן שתראה חץ אם קיימים אב-אבות נוספים בקובץ. לחיצה על החץ, תעביר אותך דור אחד למעלה לדף משפחה חדש כאשר ההורים רשומים כבעל ואישה.<br /><br />בצד שמאל בתוך תיבת השם יתכן שתראה צלמית זום (זכוכית מגדלת) שתראה מידע נוסף על האדם. לחיצה על השם תעביר אותך לדף #gm_lang[indi_info]# של האדם.<br /><br />בצד שמאל תמצא תפריט קטן שיוכל להביא אותך לדפים עם תרשימים או להביא מידע נוסף. לחלק מפריטי התפריט הללו יש תת-תפריטים שיופיעו כאשר סימן העכבר מתקרב לפריט האב.<br /><br />נתוני קבוצת המשפחה מראים את כל העובדות והמידע הידועים על המשפחה, כמו חתונה, פרטי מדיה והערות. בעובדות, לחיצה על מקום, תעביר אותך לרשימת המקומות שבה תוכל לראות את כל המשפחות או האנשים האחרים הקשורים לאותו מקום. לחיצה על תאריך כלשהו מעבירה אותך ללוח יום השנה, בו תוכל לראות את כל המאורעות שהתרחשו בעבר באותו יום וחודש. ניתן ללחוץ על עצמי מולטימדיה. חלון חדש יפתח ובו ניתן לראות את העצם. לחיצה על כותרת התמונה מראה לך את דף #gm_lang[media_list]# של התמונה. לחיצה על קישורית מקור תראה פרוט על דף המקור.<br /><br />מתחת לתיבות השם של הילדים תמצא קישור אל <b>הוסף ילד/ה למשפחה</b>.<br />על יד תיבות השם של הילדים תראה קישור <b>נתוני קבוצת המשפחה</b> במידה ויש לך מספיק הרשאות, תוכל כאן לערוך, למחוק ולהוסיף מידע ועובדות.<br /><br />כמו על דף #gm_lang[indi_info]#, תראה בצד שמאל של המסך תפריט. כניסות בתפריט זה יקחו אותך אל דפים שבהם תקבל מידע על המשפחה או תוכל לבצע פעילויות אחרות הקשורות למשפחה זו.#gm_lang[more_help]#"
"help_famlist.php";"~רשימת המשפחות~<br /><br />בדף הזה תוכל להציג רשימה של משפחות. השמות מוצגים לפי שם המשפחה וממוינים על פי סדר האלף-בית.<br /><br />תכולת רשימת השמות תלוייה ב-:<ol><li>האות שלחצת באינדקס האלף-בית.</li><li> אם לחצת על "דלג על" או "הצג" רשימת שמות המשפחה.</li></ol>תוכל לחפס לפי שם המשפחה של הבעל או של האישה; שניהם נכללים ברשימה.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_fanchart.php";"~דף -#gm_lang[fan_chart]# ~<br /><br />תרשים המניפה דומה מאוד ל<a href="?help=help_pedigree.php">#gm_lang[index_header]#</a>, אבל בצורה גרפית יותר.<br /><br />אדם ההמוצא של התרשים מוצג במרכז, הוריו במעגל הראשון, סבים וסבתות במעגל השני וכן הלאה...<br /><br />שנות הלידה והפטירה מוצגות מתחת לשם, כאשר הן ידועות.<br /><br />לחיצה על שם בתרשים פותחת תפריט קישוריות אישי לאדם הזה. מתפריט זה תוכל למרכז את תרשים המניפה על האדם או על אחד הקרובים של האדם, או לעבור לדף #gm_lang[indi_info]# של האדם, או לתרשים אחר של האדם.<br /><br />"
"help_faq.php";"~שאלות נפוצות~<br />#gm_lang[text_faq_help]#<br />"
"help_for_this_page";"עזרה לדף הזה"
"help_header";"מידע על:"
"help_hourglass.php";"~#gm_lang[hourglass_chart]#~<br /><br />תרשים שעון החול מראה בתרשים אחד את האבות והצאצאים של אדם המוצא. התרשים מהווה תערובת בין תרשים צאצאים ותרשים אילן היוחסין.<br /><br />אדם המוצא יוצג באמצע הדף עם צאצאיו מימין ואבותיו משמאל. בתצוגה הזו כל דור ערוך בשורה לאורך הדף, בתחילה הדור המוקדם ביותר ובסיום הדור האחרון.<br /><br />"
"help_indilist.php";"~רשימת השמות~<br /><br />בדף הזה תוכל להציג רשימה של שמות. השמות מוצגים לפי שם המשפחה וממוינים על פי סדר האלף-בית.<br /><br />תכולת רשימת השמות תלויה ב-:<ol><li>האות שלחצת באינדקס האלף-בית.</li><li>לחצת על "דלג על" או "הצג" רשימת שמות המשפחה.</li></ol>#gm_lang[context_help]#<br /><br />"
"help_individual.php";"~דף #gm_lang[indi_info]#~<br /><br />בדף הזה מוצגים כל פרטי האדם.<br /><br />אם קיימת תמונה, היא תופיע למעלה בצד ימין. ליד התמונה תראה את שמות האדם.<br /><br />יתכן ולשמות מקושרים הערות ומקורות. אם לשם יש הערות או מקורות, תראה אותם מתחת לאותם השמות אליהם הם מתיחסים.<br /><br />יתכן שלאדם יש שמות כינוי (אולי הוא מוכר בשם אחר). במקרה כזה הכינוי יוצג.<br /><br />אם יש לך הרשאות לעדכן אדם זה, תוכל לראות קישורי <b>עדכון</b> ו<b>מחיקה</b> ליד הנתונים שניתן לעדכן אותם.<br /><br />על הדף תראה חוצצים עבור <b>#gm_lang[personal_facts]#</b>, <b>#gm_lang[notes]#</b>, <b>#gm_lang[ssourcess]#</b>, <b>#gm_lang[media]#</b>, ו<b>#gm_lang[relatives]#</b>. בחוצצים הללו תוכל למצוא את כל המידע השמור במאגר הנתונים.<br /><ul><li>החוצץ <b>#gm_lang[personal_facts]#</b> יראה לך את העובדות והפרטים על האדם ועל נישואיו. לחיצה על תאריך כלשהו מעבירה אותך ל #gm_lang[anniversary_calendar]# עבור היום, כך שתוכל לראות מאורעות אחרים שהתרחשו באותו יום. לחיצה על מקום, תעביר אותך לרשימת המקומות שבה תוכל לראות את האנשים האחרים שהיו להם מאורעות באותו המקום. לנישואים ולמאורעות אחרים הקשורוים למשפחה, השם של בן/בת הזוג זמין כך שתוכל לראות את נתוניו, כמו כן מוצע קישור לרשום המשפחה.</li><br /><li>החוצץ <b>#gm_lang[notes]#</b> מראה הערות כלליות הקשורות לאדם זה.#gm_lang[help_individual.php_part2]#"
"help_info";"ניתן לקבל עזרה ע"י לחיצה על "?" אדום ליד כל תא."
"help_medialist.php";"~רשימת מולטימדיה~<br /><br />הדף רשימת מולטימדיה מציג את כל עצמי המולטימדיה שנמצאים במאגר הנתונים.<br /><br />עבור כל עצם מדיה יתכן שתמצא את הכותרת או את שם הקובץ של העצם, שמות האנשים או המשפחות הקשורים לעצם והערות בקשר לעצם.<br /><br />לחיצה על הכותרת או על שם הקובץ גורמת לתוצאה זהה ללחיצה על התמונה המזערית של העצם. העצם יפתח ע"י viewer פנימי של Genmod או ע"י viewer המוגדר בהגדרות הדפדפן המקומי שלך.<br /><br />לחיצה על קישורית ה "הצג" ליד האנשים או המשפחות תביא אותך לדף המפורט הרלונטי.<br /><br />"
"help_not_exist";"<b>טכסט עזרה לדף או פריט זה עדיין לא מוכן.</b>"
"help_pedigree.php";"~דף אילן יוחסין~<br />אילן היוחסין הוא רישום של כל האב-אבות של האדם המוצג בתחילת העץ. משתמשים שאינם מחוברים לאתר רואים את אילן היוחסין כאשר הוא מתחיל מאדם  (אדם מוצא) שנבחר ע"י המנהלן. משתמשים מחוברים לאתר יכולים בעצמם לבחור את האדם המוצא.<br /><br />ובכן, "כל האב-אבות" הם אבא ואמא, הוריהם וכן הלאה. אילן היוחסין מוצג בצורה גרפית; אין צורך להתמודד עם דפים רבים של טכסט כדי לגלות את אב-אבותיך.<br /><br />כל האנשים מוצגים בתיבות השם על המסך.<br /><br /><ul><li><b>תיבות השם באילן היוחסין</b><br />אם דף אילן היוחסין מוגדר להצגת פרטים, תראה את שם האדם ואת תאריכי הלידה והפטירה. תוכל ללחוץ על שם האדם ותועבר ישירות לדף #gm_lang[indi_info]# של האדם.<br /><br />כאשר <b>הצג פרטים</b> פועל, מוצגות שתי צלמיות בתוך תיבת השם.</li><br /><li><b>צלמית אילן יוחסין בתוך תיבת השם</b><br />כאשר <b>הצג פרטים</b> פועל, אתה רואה את הצלמית של אילן היוחסין בתוך תיבת השם. הגדרת האתר משפיעה האם יש לרחף מעל הקישור או ללחוץ עליו. לאחר שלוחצים או מרחפים על הצלמית הזו, מופיע תת-תפריט קטן.<br /><br />הפריטים <b>#gm_lang[index_header]#</b> ו<b>#gm_lang[descend_chart]#</b>  דומים לפריטים הללו, המופיעים בתפריט הראשי, בהבדל שהאדם בתיבת השם יהיה האדם בתחילת התרשים כפי שרשום בתיבת השם. תראה גם <b>#gm_lang[as_spouse]#</b>. מתחתיו תראה את השם של בן או בת הזוג ואחריו את שמות הילדים. ניתן ללחוץ על כל השמות.</li><br /><li><b>זכוכית מגדלת בתוך תיבת השם</b><br />תלוי בהגדרות האתר אם עליך לרחף או ללחוץ עליה. דבר זה מגדיל את תיבת השם כך שנתונים נוספים מוצגים.<br />תראה עוד תאריכים ואירועים. ניתן ללחוץ על השמות.</li><br /><li><b>החצים</b><br />יתכן שתראה חצים מימין או משמאל לתיבות הימניות או השמאליות ביותר. לחיצה על החצים הללו מזיזה את צוגת המסך לכיוון החץ.</li></ul><br />#gm_lang[context_help]#<br/ ><br />"
"help_placelist.php";"~היררכית המקומות~<br />(או אנשים במקום)<br /><br />הדף הזה מראה את ההיררכיה של המקומות של ה-GEDCOM ואלו אנשים או משפחות קשורים למקום.<br /><br />במידה ויש קשר בין אדם או משפחה לבין ארוע במקום מסוים, Genmod ימצא אותו עבורך.<br /><br />התוצאות מוצגות ברשימה בת שתי עמודות, אחת עבור אנשים והשניה עבור משפחות.<br /><br />#gm_lang[more_help]#"
"help_relationship.php";"~דף קירבה משפחתית~<br /><br />בדף הזה תוכל להציג את הקשר בין שני אנשים. שני האנשים לא חייבים להיות קרובים בקשר דם; כל הקרובים ימצאו.<br /><br />"
"help_relativelist.xml";"~#gm_lang[relatives_report]#~<br />הדו"ח הזה רושם את כל הקרובים של האדם הנבחר. תוכל לבחור איזה קרובים של האדם להציג בדו"ח.<ul><li><b>#gm_lang[child-family]#</b> יציג את האדם הנבחר, הוריו, אחיו ואחיותיו.</li><li><b>#gm_lang[spouse-family]#</b> יציג את האדם עם בני/בנות זוגו וילדיהם.</li><li><b>#gm_lang[direct-ancestors]#</b> יציג את האדם, הוריו, סבים וסבתות, הורי סבים וסבתות, וכן הלאה במעלה העץ להורי האב אבות.</li><li><b>#gm_lang[ancestors]#</b> יציג את כל האנשים מרשימת ה#gm_lang[direct-ancestors]# וכולל גם כן דודים ודודות ודודים ודודות של ההורים, כך שהוא כולל את כל הצאצאים של אב אבותיו של האדם הזה. הוא אינו כולל את הילדים של האחים והאחיות (בני/בנות הדוד).</li><li><b>#gm_lang[descendants]#</b> יציג את כל צאצאיו של האדם (ילדים, נכדים, נינים וכו').</li><li><b>#gm_lang[all]#</b> הבחירה היא הצירוף של ה#gm_lang[descendants]# וה#gm_lang[ancestors]# בדו"ח אחד.</li></ul><br /><br />"
"help_repo.php";"~#gm_lang[repo_info]#ר~<br /><br /> פרטי המאגר מוצגים על הדף הזה. בצרוף המקור. המאגרים חשובים מאוד לחוקר המשפחה. נתוני מקור ומאגרים מדויקים מאפשרים להתקדם לפי השביל שחוקר אחר עבר כאשר מצא את הנתונים. אתה צריך להיות מסוגל למצוא את אותם הנתונים שנית.<br /><br />על הדף הזה תוכל לראות מידע על כותרת, כתובת, דואר אלקטרונית וכתובת האינטרנט של המאגר.<br /><br />אחרי פרוט המאגר תמצא רשימת כל המקורות הקשורים למאגר הזה. דבר זה מאפשר לך לראות את כל המידע שהושג ממאגר מסויים.<br /><br />אם מינהלן האתר איפשר, תראה על הדף צלמית או שתיים של תפריטים:<br /><b>#gm_lang[view_gedcom]#</b>,  מראה את המידע במבנה של GEDCOM.<br /><b>#gm_lang[add_to_cart]#</b>, מאפשר לך לשמור מידע זה ב#gm_lang[clip_cart]# שלך. משם תוכל להוריד את המידע במבנה קובץ GEDCOM ולייבא אותו לתוכנת חקר המשפחה שלך.<br /><br />#gm_lang[context_help]#<br /><br />"
"help_repolist.php";"~#gm_lang[repo_list]#~<br /><br />בדף הזה מוצגת רשימת מאגרים.<br /><br />שמות המאגרים ממויינים בסדר אלף בית.<br /><br /><b>מאגרים</b><br />לא ניתן לבנות את מאגר המידע שלנו ללא מאגרים. משום שלכל המידע השמור במאגר הנתונים יש מקור, והמקור הזה שמור בתוך מאגר. המאגר יכול להיות ארכיון פרטי של אדם, מוסד, מאגר נתונים ציבורי, משרד רישום של ממשלה או כנסיה, אמצעי אינטרנטי וכו'. כדי לקבל גישה למקור עלינו לדעת היכן הוא נמצא. כל המידע הדרוש כדי להשיג מקור הייה צריך להימצא ברשומת המאגר.<br /><br />ניתן לקשר מאגר מקורות רבים.<br /><br />"
"help_reportengine.php";"~דו"חות~<br /> לחיצה על הפריטים בתפריט הדו"חות יוצרת דו"חות PDF עבור הדפסה.<br /><br />השלב הראשון הוא בחירת הדו"ח שרוצים להריץ. אחרי שתבחר דו"ח להרצה, המערכת תבקש שתמסור מידע ספציפי לדו"ח הזה, כגון מאיזה אדם או משפחה להתחיל והאם יש להציג תמונות. כאשר אתה מוכן להריץ את הדו"ח, לחץ על כפתור <b>#gm_lang[download_report]#</b> כדי להוריד את הדו"ח למחשב שלך.<br /><br />#gm_lang[help_xml_reports]#<br />#gm_lang[def_pdf_format_help]#<br />#gm_lang[help_ahnentafel.xml]#<br />#gm_lang[help_birthlist.xml]#<br />#gm_lang[help_relativelist.xml]#"
"help_search.php";"~דף החיפוש~<br /><br /> למרות שהדף הזה נראה פשוט, מאחורי שתי אפשרויות הבחירה שלו קיים מנגנון חיפוש חזק. רוב אתרי חקר שושלת היוחסין מאפשרים חיפוש רק לפי שם. Genmod נותן לחפש כמעט כל דבר.<br /><br />תיבת החיפוש בצד ימין של המסך זהה לתיבת החיפוש בכותרת.<br /><br />אם אתה מחפש אנשים הקשורים לשנה מסוימת, הקלד רק את השנה. התוכנית תמצא את הקשרים.<br /><br />מחפש שם או מקום? הקלד את השם או המקום בשלמות או חלק ממנו, ו-Genmod עושה את היתר.<br /><br /><b>חיפוש לפי סאונדקס</b>.<br />ע"י שימוש בתיבה בצד השמאלי תוכל לחפש שמות לועזיים של אנשים או מקומות גם אם אינך יודע איך מאייתים את השם במדויק.<br /><br />אם באתר יש יותר ממאגר נתונים אחד והמינהלן איפשר מעבר בינהם, החיפוש יחזיר תוצאות מכל הקבצים.<br /><br />תמצא עזרה נוספת על שתי התיבות ע"י לחיצה על ה-"<b>?</b>" מעל לתיבות.<br /><br />"
"help_source.php";"~דף פירטי מקור~<br /><br />בדף הזה מוצגים הנתונים על המקורות. מקורות הם חשובים לחוקר נתוני המשפחה ומאפשרים לעקוב אחרי העיקבות של חוקר אחר כאשר הוא מצא את הנתונים.<br /><br />תוכל לראות נתונים על הכותרת, היוצר, הפרסום והמאגר היכן התגלה המקור. בגלל הסוגים הרבים של מקורות, לחלקם יש יותר מידע מאשר לאחרים.<br /><br />אם פריט מולטימדיה כמו מסמך סרוק קשור למקור, תוכל לעיין בפריט זה ע"י לחיצה על הפריט. כאשר תלחץ על שם הפריט, תראה את הפריט בדף #gm_lang[media_list]#.<br /><br />בהמשך לפרטי המקור יש רשימת שמות של אנשים ומשפחות הקשורים למקור הזה. הדבר מאפשר זיהוי של כל הפריטים שהתקבלו ממקור הנתונים ההוא.<br /><br />אם מנהלן האתר אפשר את האופציה, תראה צלמית אחת או יותר על הדף:<ol><li><b>#gm_lang[view_gedcom]#</b><br />אשר מציג מידע במבנה GEDCOM.</li><br /><li><b>#gm_lang[add_to_cart]#</b><br />אשר מאפשר שמירת הנתונים ב-#gm_lang[clip_cart]# שלך כדי להוריד ולייבא אותה לתוכנת חקר המשפחה שלך.</li></ol><br />#gm_lang[context_help]#<br /><br />"
"help_sourcelist.php";"~דף רשימת מקורות~<br /><br />בדף הזה מוצגת רשימה של מקורות.<br />בניגוד לדף #gm_lang[indi_info]# ולדף המשפחות אין למעלה אינדקס אותיות.<br /><br />מקורות יכולים להיות אדם, מאגר מידע ציבורי, מוסד או אמצעי אינטרנטי  וכו'. משמעות הדבר, שקשה למצוא מפתח למיון משותף משום שהמקורות של חקר המשפחה הם אקראיים. Genmod <u>כן</u> ממיין את השמות של המקורות בסדר האלף-בית.<br /><br /><b>מקורות</b><br />ללא מקורות לא ניתן לבנות מאגר מידע, משום שלכל המידע במאגר המידע יש מקור. הוא יכול להיות קרוב משפחה של האדם, מוסד,  מאגר מידע ציבורי, ממשלה או רישום פרטי, נתון מאינטרנט וכו' וכו'.<br /><br />ניתן לקשר מקור למספר אנשים. מצד שני, ניתן גם לקשר אדם מסוים למספר מקורות. יתכן שיש מקור שונה לכל מאורע, יהיו אלה לידה, מקצוע, נישואים, ילדים וכו'.<br /><br />"
"help_timeline.php";"~דף תרשים קו הזמן~<br /><br />בדף הזה תוכל להציג אדם אחד או יותר לאורך קו הזמן. כך תוכל, למשל, להמחיש מצב שני אנשים או יותר בנקודת זמן מסוימת.<br /><br />אם תלחץ על קישור <b>קו הזמן</b> בדף אחר, אדם אחד כבר יופיע על קו הזמן. אם בחרת <b>קו הזמן</b> מהתפריט בכותרת של דף, אזי עליך להכניס קודם כל את קוד הזיהוי של אדם המוצא.<br /><br />"
"help_uploadmedia.php";"~העלאת קבצי מדיה~<br /><br />העלאת הקבצים פשוטה. להלן מידע נוסף.<br /><br /> <b>תמונות ממוזערות</b><br />רצוי שרוחב התמונות הממוזערות יהיה בערך 100 פיקסלים. שם הקובץ <u>צריך</u> להיות זהה לשם הקובץ של התמונה בגודל המלא. אם המערכת שלך יכולה ליצור בצורה אוטומטית תמונות מזעריות, תראה הודעה על כך על דף העלה מדיה.<br /><br /><b>העלאה</b><br />הקבצים יועלו בצורה אוטומטית לתיקייה media/.. עבור העותק הגדול ולתיקייה /media/thumbs/.. עבור התמונות המזעריות.<br /><br />#gm_lang[readme_help]#"
"help_xml_reports";"~מנוע דו"חות~<br />מנוע הדו"חות של Genmod משתמש בקבצי תבניות XML כדי ליצור בצורה אוטומטית דו"חות PDF.<br /><br />הדו"חות הזמינים ברשימת <b>#gm_lang[select_report]#</b> נוצרים מקבצי XML של דו"ות שנימצאים בתיקית ה"reports". תוכל ליצור דו"חות פרטיים ע"י העתקה מהתבניות שסופקו וע"י שינוי ה- XML של התבנית. כדי להוסיף את הדו"ח הפרטי שלך למערכת, עלך לשים אותו בתיקית "reports" וה-Genmod יבחין בו בצורה אוטומטית ויוסיף אותו לרשימה הנגללת <b>#gm_lang[select_report]#</b>.<br /><br />"
"hidden";"חבויים"
"hide";"הסתר"
"hide_block_warn";"אם תסתיר אזור ריק, לא תוכל לשנות את ההגדרות שלו כל עוד הוא ריק ומוסתר."
"hide_changes";"לחץ כאן כדי להסתיר את השינויים."
"hide_details";"הסתר פרטים"
"hide_translated";"הסתר מה שתורגם"
"highlighted";"תמונה בהדגשה"
"hijri";"לוח שנה מוסלמי"
"hit_count";"ספירת פגיעות:"
"hourglass_chart";"תרשים שעון חול"
"hs_close";"סגור חלון"
"hs_inallhelp";"כל הטכסט"
"hs_intro";"ניתן לחפש במערכת העזרה של Genmod. מאפיין #gm_lang[hs_title]# נותן לך שליטה גבוהה על תיפקוד החיפוש; מציאת מה שאתה מחפש אמורה להיות קלה."
"hs_intruehelp";"טכסט עזרה בלבד"
"hs_keyword";"חפש את"
"hs_keyword_advice";"~#gm_lang[hs_keyword]#~<br />הכנס את המילים או הביטויים שברצונך למצוא.<br /><br />החיפוש אינו מבדיל בין אותיות לועזיות קטנות או גדולות של הביטוי או הטכסט שאותו בודקים  כלומר, אם מחפשים <b>Individual</b>, מוציאים טכסטים שכוללים <b>Individual</b>, <b>individual</b>, או <b>INDIVIDUAL</b>.  מוצאים גם טכסטים הכוללים <b>individuals</b>, וכו'. מכיוון שהחיפוש מחפש רצף אותיות ולא מילים.<br /><br />ניתן לחפש מספר מילים בבת אחת.  הכנס את כל המילים מופרדות ע"י רווח, בצורה הבאה: <b>אדם&nbsp;משפחה&nbsp;ילד</b>.  כאשר מכניסים יותר ממילה אחת, משמעות ההקשה מובהרת בשדה #gm_lang[hs_searchhow]#.<br />"
"hs_results";"נימצאו תוצאות:"
"hs_search";"חפש"
"hs_searchall";"כל המילים"
"hs_searchany";"מילה כלשהיא"
"hs_searchconfig";"עזרה למנהלנים"
"hs_searchhow";"סוג חיפוש"
"hs_searchhow_advice";"~#gm_lang[hs_searchhow]#~<br />ניתן לבחור את מה שהוכנס לשדה  #gm_lang[hs_keyword]# ע"י בחירה מהאפשרויות הבאות.<br /><dl><dt><b>#gm_lang[hs_searchany]#</b></dt><dd>אם הכנסת <b>אדם&nbsp;משפחה&nbsp;ילד</b>, האופציה תחזיר טכסט עזרה שכולל מילה אחת מהרשימה. לסדר המילים אין השפעה.  משמעות החיפוש הינה: "מצא טכסט עזרה שכולל <b>אדםl</b> <u>או</u> <b>משפחה</b> <u>או</u> <b>ילד</b>".</dd><br /><dt><b>#gm_lang[hs_searchall]#</b></dt><dd>אם הכנסת <b>אדם&nbsp;משפחה&nbsp;ילד</b>, האופציה תחזיר טכסט עזרה שכולל את כל המילים הרשומות.  לסדר המילים אין השפעה.  משמעות החיפוש הינה: "מצא טכסט עזרה שכולל <b>אדם</b> <u>וגם</u> <b>משפחה</b> <u>וגם</u> <b>ילד</b>".</dd><br /><dt><b>#gm_lang[hs_searchsentence]#</b></dt><dd>אם הכנסת <b>אדם&nbsp;משפחה&nbsp;ילד</b>, האופציה תחזיר טכסט עזרה שכולל את כל המילים הרשומות בסדר הרשום.  משמעות החיפוש הינה: "מצא טכסט עזרה שכולל את המילים  <b>אדם&nbsp;משפחה&nbsp;ילד</b> בסדר זה ללא מילים או סימנים נוספים ביניהם".  יש להניח שלא תימצא את הביטוי הזה בשום טכסט עזרה.<br /><br />ישנם מספר מגבלות בחיפוש כזה.  סימנים מיוחדים כגון <b>&quot; &lt; &gt;</b> וכו' הם חלק מטכסט העזרה בצורה סימבולית ולא כלולים בחלק הטופס שבו מכניסים את טכסט החיפוש. חלק מטכסטי העזרה כוללים רווח מיוחד שרשום כ<b>&amp;nbsp;</b> ולא תימצא ביטויים הכוללים סימן זה.</dd></dl>"
"hs_searchin";"חפש ב-"
"hs_searchin_advice";"~#gm_lang[hs_searchin]#~<br />כאן מגדירים את היקף החיפוש.<br /><br />מנהלנים יכולים לחפש בתוך העזרה למשתמשים ובתוך העזרה בהגדרות התצורה או בשניהם.  למשתמשים הברירה הזו אינה קיימת; מכיוון שאין להם גישה למאפייני הגדרות, הם יכולים לחפש רק בקובץ העזרה של המשתמשים.<br /><br />קובץ העזרה כולל בנוסף לטכסטי עזרה גם מחרוזות שמשמשות בבנית טופסי קלט וחומר אחר.  הברירה מאפשרת שליטה אם יש לבדוק את כל קובץ העזרה או רק את טכסטי העזרה.<br />"
"hs_searchsentence";"ביטוי מדויק"
"hs_searchuser";"עזרה למשתמשים"
"hs_title";"חפש טכסט עזרה"
"html_block_descr";"זהו אזור HTML פשוט שתוכל לשים על הדף שלך ולהוסיף בו כל הודעה שתרצה."
"html_block_name";"HTML"
"html_block_sample_part1";"<p class="blockhc"><b>הכנס את הכותרת שלך כאו</b></p><br /><p>לחץ על כפתור הגדרת התצורה"
"html_block_sample_part2";"כדי לראות מה שמודפס כאן.</p>"
"html_reports";"דו"חות HTML"
"husband";"בעל"
"id";"קוד זיהוי"
"illegal_chars";"אותיות לא חוקיות בשם"
"image_format";"מבנה התמונה"
"image_size";"מימדי התמונה"
"imageview";"מציג מדיה"
"import_complete";"הייבוא הסתיים"
"import_gedcom";"ייבא את קובץ ה-GEDCOM"
"import_marr_names";"ייבא שמות נישואין"
"import_multiple";"ייבא ועבוד עם מספר קבצי GEDCOM"
"import_options";"אופציות ייבוא"
"import_progress";"התקדמות הייבוא..."
"import_sql";"בתיקית האינדקס שלך יש קבצי SQL. מכיוון שיתכן שמקורם בכלי ההגירה של משתמשים, תוכל לייבא את הנתונים למאגר הנתונים שלך. האם לנסות לייבא את הקובץ למאגר המידע שלך עכשיו? כל הנתונים הקשורים למשתמשים (משתמשים, חדשות, מועדפים, מבנה האזורים וההודעות) יעלמו ממאגר המידע שלך.<br /><br />אם תחליט להמשיך לייבא את הנתונים, Genmod ינשא לייבא את הנתונים. אם דבר זה לא מצליח, תתבקש להגדיר את המשתמש האדמיניסטרטיבי הראשוני.<br /><br />"
"import_statistics";"סטטיסטיקות ייבוא"
"import_time_exceeded";"עברת את גבול זמן העיבוד. לחץ על כפתור המשך למטה כדי לחדש את הייבוא של קובץ ה-GEDCOM."
"importing_dates";"מייבא רשומות תאריך"
"importing_places";"ייבוא רשומות של מקומות"
"importing_records";"מייבא רשומות למסד נתונים"
"in_this_month";"בחודש הזה - בהיסטוריה שלך..."
"in_this_year";"בשנה הזו - בהיסטוריה שלך..."
"inc_languages";"שפות"
"index_complete";"אינדקס הושלם."
"index_edit_advice";"הדגש שם אזור ולחץ על אחד מצלמיות החץ כדי להעביר את האזור המודגש לכיוון המוצבע."
"index_header";"אילן יוחסין"
"indi_complete";"עדכון קובץ אינדקס השמות הסתיים."
"indi_downloaded_from";"האדם הורד מהאתר:"
"indi_info";"מידע אישי"
"indis_charts";"אפשרויות של אדם"
"indis_with_surname";"אנשים עם שם משפחה #surname#"
"individual";"אדם"
"individual_list";"רשימת השמות"
"individual_list_report";"דו"ח רשימה אישית"
"individual_report";"דו"ח אישי"
"individuals";"אנשים"
"infant";"תינוק"
"informant";"מוסר מידע"
"inject_media_tool";"הוסף מדיה לקובץ GEDCOM"
"int";"פרשנות"
"invalid_dates";"התגלו מבני תאריך לא חוקיים, הניקיון ישנה אותם למבנה DD MMM YYYY (כלומר 01 JAN 2004)."
"invalid_email";"דואר אלקטרוני בר תוקף.הכנס כתובת "
"invalid_gedformat";"מבנה GEDCOM 5.5 שגוי"
"invalid_header";"התגלו שורות לפני כותרת ה-GEDCOM <b>0&nbsp;HEAD</b>. הניקיון ימחוק את השורות הללו."
"invalid_id";"קוד זיהוי כזה לא קיים בקובץ GEDCOM הזה."
"invalid_search_input";"הכנס בבקשה שם פרטי, שם משפחה או מקום \n\t בנוסף לשנה"
"invalid_username";"קוד המשתמש מכיל סימנים לא חוקיים"
"ip_address";"כתובת IP"
"is_alive_in";"חי ב-#YEAR# "
"item_with_id";"פריט עם קוד זיהוי"
"jan";"ינואר"
"jewish";"יהודי"
"jewish_and_gregorian";"יהודי וגרגוריאני"
"jul";"יולי"
"julian";"יוליאני"
"jun";"יוני"
"just_family";"הוסף רק את רשומת המשפחה הזו."
"just_person";"הוסף רק אדם זה."
"landscape";"תצוגה מרווחת"
"lang_back";"חזור לתפריט הראשי כדי לערוך ולעצב קבצי השפות"
"lang_back_admin";"חזור לתפריט הניהול"
"lang_back_manage_gedcoms";"חזור לתפריט ניהול GEDCOM-ים"
"lang_config_write_error";"שגיאה בכתיבת הגדרת השפה לתוך קובץ <b>lang_settings.php</b>. בדוק הרשאות ונסה שנית."
"lang_debug";"אופצית ניפוי בגים של טכסט עזרה"
"lang_debug_desc";"התרת האופציה מדפיסה שמות של משתני שפה שבשימוש בטכסט העזרה, בחלון הצץ של טכסט העזרה.<br />הוא עוזר למתרגמים לקבוע את שם המשתנה אם יש להתאים את הטכסט.<br />ההגדרה בתוקף רק בישיבת ה-Genmod הנוכחית שלך."
"lang_debug_use";"השתמש באופצית ניפוי באגים של טכסט עזרה"
"lang_edit";"ערך"
"lang_file_write_error";"ש ג י א ה  !!!<br /><br />לא ניתן לכתוב את השינויים בקובץ השפה הנבחר!<br />בדוק הרשאות כתיבה על <b>#lang_filename#</b>"
"lang_filenames";"קבצי שפות"
"lang_langcode";"קודי השפה"
"lang_language";"שפה"
"lang_name_arabic";"ערבית"
